BRIG_MODEL_AFG_1_10;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;203mm Howitzer M115;;155mm Howitzer M114;;;X
BRIG_MODEL_AFG_7_0;Renault FT 17;Renault FT 17;Renault FT 17;Renault FT 17;Renault FT 17;Renault FT 17;;Renault FT 17;;;X
BRIG_MODEL_ALB_1_1;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;;;;;x
BRIG_MODEL_ARG_1_9;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;;105mm M2A1;;;X
BRIG_MODEL_ARG_1_10;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;155mm Howitzer M114;203mm Howitzer M115;;155mm Howitzer M114;;;X
BRIG_MODEL_AST_1_3;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;;BL 8inch Mk. VI ;;;X
BRIG_MODEL_AST_1_9;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;105mm M2A1;;105mm M2A1;;;X
BRIG_MODEL_AUS_1_0;8 cm Feldkanone M. 99;8 cm Feldkanone M. 99;8 cm Feldkanone M. 99;8 cm Feldkanone M. 99;8 cm Feldkanone M. 99;8 cm Feldkanone M. 99;;;;;x
BRIG_MODEL_AUS_1_1;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;10 cm M. 14 Feldhaubitze;;;;;x
BRIG_MODEL_AUS_1_2;15 cm schwere Feldhaubitze M 14;15 cm schwere Feldhaubitze M 14;15 cm schwere Feldhaubitze M 14;15 cm schwere Feldhaubitze M 14;15 cm schwere Feldhaubitze M 14;15 cm schwere Feldhaubitze M 14;;;;;x
