#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;;;;;;;;;;;X
########################################;;;;;;;;;;;X
#  Division Description;;;;;;;;;;;X
########################################;;;;;;;;;;;X
NAME_INFANTRY;Infantry;Infanterie;Fanteria;Infanterнa;Infanterie;Piechota;;Пехота;;;X
NAME_CAVALRY;Cavalry;Cavalerie;Cavalleria;Caballerнa;Kavallerie;Kawaleria;;Кавалерия;;;X
NAME_MOTORIZED;Motorized;Motorisйe;Unitа motorizzata;Motorizada;Motorisiert;Zmotoryzowana;;Моториз. пехота;;;X
NAME_MECHANIZED;Mechanized;Mйcanisйe;Unitа meccanizzata;Mecanizada;Mechanisiert;Zmechanizowana;;Механиз. пехота;;;X
NAME_LIGHT_ARMOR;Light Armored;Blindй lйger;Corazzato leggero;Blindada ligera;Leichte Panzer;Lekka pancerna;;Легкотанковая дивизия;;;X
NAME_ARMOR;Armored;Blindй;Corazzato;Blindada;Panzer;Pancerna;;Танковая дивизия;;;X
NAME_PARATROOPER;Paratroops;Parachutistes;Paracadutisti;Paracaidistas;Fallschirmjдger;Spadochroniarze;;ВДВ;;;X
NAME_MARINE;Marines;Troupes d'assaut amphibie;Marine;Inf. marina;Marineinfanterie;Piechota morska;;Морская пехота;;;X
NAME_BERGSJAEGER;Mountain;Troupes alpines;Alpini;Montaсa;Gebirgsjдger;Strzelcy gуrscy;;Горнострелки;;;X
NAME_MILITIA;Militia;Milice;Milizia;Milicia;Miliz;Milicja;;Ополчение;;;X
NAME_GARRISON;Garrison;Garnison;Presidio;Guarniciуn;Garnison;Garnizon;;Гарнизон;;;X
NAME_HQ;HQ;QG;QG;EM;HQ;Dowodzenia;;Штаб;;;X
NAME_FIGHTER;Fighters;Chasseur;Caccia;Cazas;Jдger;Myњliwiec;;Истребители;;;X
NAME_INTERCEPTOR;Interceptors;Intercepteur;Intercettori;Interceptores;Abfangjдger;Myњliwiec przechwytuj№cy;;Перехватчики;;;X
NAME_MULTI_ROLE;Fighters;Chasseur;Caccia;Cazas;Mehrzweckjдger;Myњliwiec wielozadaniowy;;Многоц. истребители;;;X
NAME_ESCORT;Escort Fighters;Chasseur d’escorte;Caccia di scorta;Cazas de escolta;Begleitjдger;Myњliwiec eskortuj№cy;;Истребители сопровож.;;;X
NAME_STRATEGIC_BOMBER;Strategic Bombers;Bombardier strat.;Bomb. strategico;Bomb. Estratйgico;Strategische Bomber;Bombowiec strategiczny;;Страт. бомбард.;;;X
NAME_TACTICAL_BOMBER;Tactical Bombers;Bombardier tactique;Bomb. tattico;Bomb. Tбctico;Taktische Bomber;Bombowiec taktyczny;;Тактич. бомбард.;;;X
NAME_NAVAL_BOMBER;Naval Bomber;Bombardier naval;Bomb. navale;Bomb. naval;Marinebomber;Bombowiec okrкtowy;;Морск. бомбард.;;;X
