##  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#;;;;;;;;;;;x
CURR_GEARINGBONUS;Gearing Bonus: %.0f/%.0f;Bonus de préparation: %.0f/%.0f;Bonus produzione in serie: %.0f/%.0f;Bonif. por concentración: %.0f/%.0f;Serienbonus: %.0f/%.0f;Pr. prod. mas.: %.0f/%.0f;;;;;x
USSR_GEAR_1;The Soviet Union gears up for War!;L'Union Soviétique se prépare à la guerre !;L'Unione Sovietica si prepara alla guerra;La Unión Soviética se prepara para la guerra.;Die Sowjetunion bereitet sich auf den Krieg vor!;ZSRR gotuje siê do wojny!;;;;;x
USSR_GEAR_2;The Red Army has conducted even more preparations for a future war to bring the glory of communism to all the world. The level of readiness of our armed forces has risen!;L'Armée Rouge a augmenté ces efforts pour la guerre à venir et pour convertir le reste du monde à la gloire du communisme. Le niveau de préparation de vos forces armées a augmenté!;L'Armata Rossa si è preparata ancora meglio per una guerra futura, per portare la gloria del comunismo a tutto il mondo. Il livello di preparazione delle nostre forze armate è cresciuto!;El Ejército Rojo ha llevado a cabo más preparativos aún para una futura guerra que llevará las excelencias del comunismo a todo el mundo. ¡Nuestras fuerzas armadas están más preparadas para luchar que nunca!;Die Rote Armee hat sich noch besser auf einen zukünftigen Krieg vorbereitet um Kommunismus in die Welt hinauszutragen. Die Kriegsbereitschaft unserer Truppen ist gestiegen. ;Armia Czerwona poczyni³a kolejne przygotowania do przysz³ej wojny, która ma przynieœæ chwalebne zasady komunizmu ca³emu œwiatu. Poziom gotowoœci naszych armii wzrós³! ;;;;;x
#;;;;;;;;;;;x
TCNOT_OTHER_DIVISION;%s has below %d %s.\n;%s a moins de %d %s.\n;%s ha meno di %d %s.\n;%s tiene menos %d de %s.\n;%s hat weniger als %d %s.\n;%s poni¿ej %d %s.\n;;;;;x
TC_OTHER_DIVISION;%s has at least %d %s.\n;%s a au moins %d %s.\n;%s possiede almeno %d %s.\n;%s tiene al menos %d de %s.\n;%s hat mindestens %d %s.\n;%s co najmniej %d %s.\n;;;;;x
TCNOT_OTHER_TECH_KNOWN;%s does NOT have the '%s' technology.\n;%s n'a PAS la technologie '%s'.\n;%s non possiede la tecnologia '%s'.\n;%s NO tiene la tecnología '%s'.\n;%s hat NICHT die '%s' Technologie.\n;%s nie posiada technologii: '%s'.\n;;;;;x
TC_OTHER_TECH_KNOWN;%s has the '%s' technology.\n;%s a la technologie '%s'.\n;%s possiede la tecnologia '%s'.\n;%s tiene la tecnología '%s'.\n;%s hat die '%s' Technologie.\n;%s posiada technologiê: '%s'.\n;;;;;x
#;;;;;;;;;;;x
UIW_MERGE_AIR_DIS_IRO;You can only merge units if they are in the same province and not involved in any combat. Air units cannot have more than 4 divisions.;Vous ne pouvez fusionner des unités que si elles sont dans la même province, et ne participent à aucun combat. Les unités aériennes ne peuvent avoir plus de 4 divisions.;Puoi fondere le unità solo se si trovano nella stessa provincia e se non sono impegnate in combattimento. Le unità aeree non possono avere più di 4 divisioni.;Sólo puedes combinar unidades que estén en la misma provincia y no estén combatiendo. Las unidades del aire no pueden tener más de 4 divisiones.;Sie können Einheiten nur dann vereinen wenn diese sich in der selben Provinz und nicht im Kampf befinden. Lufteinheiten können maximal 4 Divisionen haben.;Mo¿esz ³¹czyæ jednostki tylko, jeœli przebywaj¹ one w jednej prowincji i nie bior¹ udzia³u w walce. Grupa lotnicza mo¿e zawieraæ nie wiêcej ni¿ 4 dywizje. ;;;;;x
