##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV1;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;;;;;X
PROV2;Torshavn;Torshavn;Torshavn;Torshavn;Torshavn;Torshavn;;;;;X
PROV3;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;;;;;X
PROV4;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;;;;X
PROV5;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;;;;;X
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;;;;X
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;;;;X
PROV8;Fort William;Fort William;Fort William;Fort William;Fort William;Fort William;;;;;X
PROV9;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;;;;;X
PROV10;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;;;;;X
PROV11;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;;;;X
PROV12;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;;;;;X
PROV13;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;;;;X
PROV14;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;;;;;X
PROV15;Hull;Hull;Hull;Hull;Hull;Hull;;;;;X
PROV16;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;;;;;X
PROV17;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;;;;;X
PROV18;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;;;;X
PROV19;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;;;;X
PROV20;Exeter;Exeter;Exeter;Exeter;Exeter;Exeter;;;;;X
PROV21;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;;;;;X
PROV22;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;;;;X
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;;;;X
PROV24;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;;;;X
PROV25;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;;;;X
PROV26;Dover;Dover;Dover;Dover;Dover;Dover;;;;;X
PROV27;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;;;;X
PROV28;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;;;;;X
PROV29;London;London;London;London;London;London;;;;;X
PROV30;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;;;;;X
PROV31;Cork;Cork;Cork;Cork;Cork;Cork;;;;;X
PROV32;Galway;Galway;Galway;Galway;Galway;Galway;;;;;X
PROV33;Leifear;Leifear;Leifear;Leifear;Leifear;Leifear;;;;;X
PROV34;Dublin;Dublin;Dublin;Dublin;Dublin;Dublin;;;;;X
PROV35;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;;;;;X
PROV36;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;;;;X
PROV37;Brest;Brest;Brest;Brest;Brest;Brest;;;;;X
PROV38;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;;;;X
PROV39;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;;;;X
