BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;;;;;;;x
34001;Head of State;Getulio Vargas;36;PA;Autocratic Charmer;High;M34001;x
34002;Head of Government;Getulio Vargas;36;PA;Naive Optimist;High;M34001;x
34003;Foreign Minister;José de Macedo Soares;36;LWR;Iron Fisted Brute;Medium;M34003;x
34004;Minister of Armament;Café Filho;36;SD;Military Entrepreneur;Low;M34004;x
34005;Minister of Security;Marcondes Filho;36;SD;Crime Fighter;High;M34005;x
34006;Head of Military Intelligence;Filinto Muller;36;SD;Political Specialist;Very High;M34006;x
34007;Chief of Staff;Gaspar Dutra;36;LWR;School of Defence;Medium;M34007;x
34008;Chief of Army;Joao Neves da Fontoura;36;LWR;Static Defence Doctrine;Medium;M34008;x
34009;Chief of Navy;Aristides Guilhem;36;SD;Open Seas Doctrine;Medium;M34009;x
;Replacements;;;;;;;x
34010;Chief of Air Force;Salgado Filho;36;LWR;Army Aviation Doctrine;Medium;M34010;x
34063;Head of State;Luis Carlos Prestes;36;LE;Die-hard Reformer;High;MBraPrestes;x
34064;Head of State;Nero Fiuza de Castro;45;SD;Benevolent Gentleman;High;M34031;x
34065;Head of State;Eduardo Gomes;37;ML;Stern Imperialist;High;M34021;x
34066;Head of State;Washington Luis Pereira;43;SC;Insignificant Layman;High;M34066;x
34067;Head of State;Gaspar Dutra;36;PA;Weary Stiffneck;High;M34011;x
34070;Head of Government;Luis Carlos Prestes;36;LE;Smiling Oilman;High;MBraPrestes;x
34071;Head of Government;Nero Fiuza de Castro;45;SD;Naive Optimist;High;M34031;x
34072;Head of Government;Eduardo Gomes;37;ML;Flamboyant Tough Guy;High;M34021;x
34073;Head of Government;Washington Luis Pereira;43;SC;Naive Optimist;High;M34066;x
34074;Head of Government;Gaspar Dutra;36;PA;Old General;High;M34011;x
34075;Head of Government;Plinio Salgado;36;NS;Backroom Backstabber;High;MBraPlinio;x
34076;Foreign Minister;Oswaldo Aranha;38;LWR;Biased Intellectual;Medium;M34076;x
34077;Foreign Minister;Pedro Leão Veloso;44;LWR;Great Compromiser;Medium;M34077;x
34078;Foreign Minister;Henry Berger;36;LE;Ideological Crusader;Very Low;M34053;x
34079;Foreign Minister;Oscar Weinschenck;36;LE;The Cloak N Dagger Schemer;High;M34079;x
34080;Foreign Minister;Mario Pimentel Brandão;37;SD;The Cloak N Dagger Schemer;High;M34080;x
34081;Foreign Minister;Otavio Mangabeira;36;PA;Great Compromiser;High;M34033;x
34082;Foreign Minister;Otavio Mangabeira;37;ML;The Cloak N Dagger Schemer;Low;M34033;x
34083;Foreign Minister;Afranio de Mello Franco;39;ML;Great Compromiser;High;M34083;x
34084;Foreign Minister;Acyr de Nascimento Paes;43;ML;Biased Intellectual;Low;M34084;x
34086;Foreign Minister;Paso Fernandes Morã;43;SC;Ideological Crusader;High;M34086;x
34087;Foreign Minister;S. de Sousa Leão Gracíe;46;SC;Biased Intellectual;High;M34087;x
34088;Foreign Minister;Raul Fernandes;47;SC;Great Compromiser;High;M34013;x
34089;Foreign Minister;Joao Neves da Fontoura;45;SC;General Staffer;High;M34008;x
34090;Foreign Minister;Miguel Costas;37;FA;Iron Fisted Brute;Low;M34043;x
34091;Foreign Minister;Plinio Salgado;36;NS;Apologetic Clerk;Very High;MBraPlinio;x
34092;Foreign Minister;Newton Cavalcanti;44;FA;General Staffer;Medium;M34047;x
34093;Minister of Armament;Januario Coelho Neto;37;LWR;Tank Proponent;High;M34093;x
34094;Minister of Armament;José de Macedo Soares;39;LWR;Laissez Faires Capitalist;Medium;M34003;x
34095;Minister of Armament;Getulio Vargas;41;LWR;Administrative Genius;High;M34001;x
34096;Minister of Armament;Agustin Juarez Folhã;43;LWR;Corrupt Kleptocrat;Medium;M34096;x
34098;Minister of Armament;Henry Berger;36;LE;Air Superiority Proponent;Very Low;M34053;x
34099;Minister of Armament;Luis Carlos Prestes;45;SD;Strategic Air Proponent;Very Low;MBraPrestes;x
34101;Minister of Armament;Americo de Almeida;37;ML;Resource Industrialist;Medium;M34024;x
34103;Minister of Armament;Gastão da Cunha Bahiana;39;ML;Theoretical Scientist;Medium;M34103;x
34104;Minister of Armament;José Linhares Filho;40;ML;Laissez Faires Capitalist;High;M34104;x
34105;Minister of Armament;Eduardo Gomes;43;ML;Air to Ground Proponent;Medium;M34021;x
34106;Minister of Armament;Elyseu F. de Montarroyos;45;ML;Air Superiority Proponent;High;M34106;x
34107;Minister of Armament;Washington Luis Pereira;36;SC;Administrative Genius;Low;M34066;x
34108;Minister of Armament;Afranio de Mello Franco;36;SC;Battle Fleet Proponent;High;M34083;x
34109;Minister of Armament;Gastão Vidigal;45;SC;Resource Industrialist;High;M34014;x
34110;Minister of Armament;Gustavo Barroso;46;SC;Submarine Proponent;Medium;M34044;x
34111;Minister of Armament;Gustavo Barroso;37;FA;Military Entrepreneur;Medium;M34044;x
34112;Minister of Armament;Waldemar Costa Neto;41;FA;Infantry Proponent;High;M34112;x
34113;Minister of Armament;Carlos Ferreira de Camargo;43;FA;Laissez Faires Capitalist;High;M34113;x
34114;Minister of Security;Pedro Leão Veloso;37;LWR;Compassionate Gentleman;Medium;M34077;x
34115;Minister of Security;Manuel A. Venâncio;40;LWR;Man of the People;Low;M34035;x
34116;Minister of Security;Mario Pimentel Brandão;43;LWR;Crooked Kleptocrat;High;M34080;x
34117;Minister of Security;Carlos Abguar Bastos;36;LE;Prince of Terror;High;M34055;x
34119;Minister of Security;Ademar de Carvalho Gomes;36;LE;Man of the People;High;M34119;x
34120;Minister of Security;Guilherme Guinlé de Silvio;39;SD;Efficient Sociopath;High;M34118;x
34121;Minister of Security;Oscar Weinschenck;41;SD;Silent Lawyer;High;M34079;x
34122;Minister of Security;Carlos Abguar Bastos;45;SD;Back Stabber;Low;M34055;x
34124;Minister of Security;Costa Neto;37;ML;Compassionate Gentleman;Medium;M34015;x
34125;Minister of Security;Mesquito da Costa;39;ML;Silent Lawyer;High;M34025;x
34126;Minister of Security;Teotonio da Fonseca;43;ML;Prince of Terror;High;M34126;x
34127;Minister of Security;Raul Fernandes;43;SC;Back Stabber;High;M34013;x
34128;Minister of Security;Epitacio da Silva Pessoa;45;SC;Crime Fighter;Medium;M34128;x
34129;Minister of Security;Teotonio da Fonseca;46;SC;Prince of Terror;High;M34126;x
34130;Minister of Security;Carlos Almeida Neto;47;SC;Efficient Sociopath;High;M34130;x
34131;Minister of Security;Riccardo Cassiano;36;FA;Efficient Sociopath;Medium;M34045;x
34132;Minister of Security;Carlos Ferreira de Camargo;40;FA;Prince of Terror;High;M34113;x
34133;Minister of Security;Carlos Almeida Neto;43;FA;Back Stabber;High;M34130;x
34134;Head of Military Intelligence;Raulinho Volta Redondo;39;LWR;Logistics Specialist;High;M34134;x
34135;Head of Military Intelligence;Ahusto de Souza e Silva;43;LWR;Political Specialist;High;M34056;x
34137;Head of Military Intelligence;Ademar de Carvalho Gomes;36;LE;Naval Intelligence Specialist;High;M34119;x
34139;Head of Military Intelligence;Manuel A. Venâncio;45;SD;Technical Specialist;Low;M34035;x
34140;Head of Military Intelligence;Costa Neto;36;ML;Naval Intelligence Specialist;Medium;M34015;x
34141;Head of Military Intelligence;Mesquito da Costa;39;ML;Dismal Enigma;High;M34025;x
34143;Head of Military Intelligence;Rodrigo Octavio;45;ML;Political Specialist;High;M34143;x
34144;Head of Military Intelligence;Pedro Perotti;43;SC;Dismal Enigma;Medium;M34144;x
