TIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
73001;Head of State;Dalai Lama Tenzin Gyatso;1936;1964;1999;PA;Benevolent Gentleman;High;M73023_Dalai Lama jeune;x
73002;Head of Government;Reting Rimpoche;1936;1964;1999;PA;Happy Amateur;High;M73002;x
73003;Foreign Minister;Ngagchen Rinpoche;1936;1964;1999;PA;Ideological Crusader;High;M73040_Ngagchen Rinpoche;x
73004;Minister of Armament;Mondo ;1936;1964;1999;PA;Theoretical Scientist;High;M73039_Mondo;x
73005;Minister of Security;Lhalu Se;1936;1964;1999;PA;Back Stabber;Medium;M73035_Lhalu Se;x
73006;Head of Military Intelligence;Jigme Taring;1936;1964;1999;PA;Technical Specialist;High;M73029_Jigme Taring tradi;x
73007;Chief of Staff;Changra Depon;1936;1964;1999;PA;School of Defence;High;M73022_Changra Depon;x
73008;Chief of Army;Changra Depon;1936;1964;1999;PA;Static Defence Doctrine;High;M73022_Changra Depon;x
73009;Chief of Navy;Changra Depon;1936;1964;1999;PA;Decisive Naval Battle Doctrine;High;M73022_Changra Depon;x
73010;Chief of Air Force;Changra Depon;1936;1964;1999;PA;Army Aviation Doctrine;High;M73022_Changra Depon;x
73011;Head of State;Dalai Lama Tenzin Gyatso;1946;1964;1999;PA;Autocratic Charmer;High;M73071_Dalai Lama adulte;x
73012;Head of State;Dalai Lama Tenzin Gyatso;1936;1964;1999;SD;Benevolent Gentleman;High;M73071_Dalai Lama adulte;x
73013;Head of State;Panchen Lama Choekyi Gyaltsen ;1944;1964;1999;ST;Popular Figurehead;High;M73058_Panchen Lama;x
73014;Head of Government;Langdun;1938;1964;1999;FA;Political Protege;Medium;M73034_Langdun;x
73015;Minister of Security;Kyibu;1937;1964;1999;SC;Compassionate Gentleman;High;M73033_Kyibu;x
73016;Head of Government;Kunphela;1936;1964;1999;SL;Backroom Backstabber;High;M73032_Kunphela;x
73017;Head of Government;Phunwang;1936;1964;1999;LWR;Naive Optimist;High;M73055_Phunwang;x
73018;Head of Government;Ngapo Ngawang Jigme;1936;1964;1999;ST;Silent Workhorse;High;M73051_Ngapoi Ngawang Jigme;x
73019;Foreign Minister;Lhawang Tobgyal Surkhang;1936;1964;1999;SC;General Staffer;Medium;M73036_Lhawang Tobgyal;x
73020;Foreign Minister;Gedun Choephel;1936;1964;1999;SD;Ideological Crusader;High;M73026_Gedun Choephel;x
73021;Foreign Minister;Ngapo Ngawang Jigme;1936;1964;1999;LE;Great Compromiser;High;M73051_Ngapoi Ngawang Jigme;x
73022;Foreign Minister;Tashi Dorje Phunkhang;1938;1964;1999;PA;iron fisted brute;Medium;;x
73023;Foreign Minister;Ngawang Gyaltsen;1938;1964;1999;PA;Great Compromiser;Medium;M73057_Ngawang Gyaltsen;x
73024;Foreign Minister;Liushar;1946;1964;1999;PA;Apologetic Clerk;Medium;M73037_Liushar;x
