AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
54001;Head of State;Muhammed Zahir;1936;1964;1999;PA;Popular Figurehead;Very High;M54001;X
54002;Head of Government;Muhammed Hashim;1936;1964;1999;PA;Happy Amateur;High;M54002;X
54003;Foreign Minister;Haji Faiz Muhammed Zikeria;1936;1964;1999;FA;Ideological Crusader;High;M54003;X
54004;Minister of Armament;Abdul Majid Zabuli;1936;1964;1999;SL;Laissez-Faire Capitalist;High;AFG_abdul_majid_zabuli;X
54005;Minister of Security;Muhammed Hashim;1936;1964;1999;PA;Secret Police Chief;Medium;M54002;X
54006;Head of Military Intelligence;Shah Mahmud Ghazi;1936;1964;1999;FA;Dismal Enigma;Medium;M54006;X
54007;Chief of Staff;Mohammed Daoud;1936;1964;1999;FA;School of Psychology;High;M54007;X
54008;Chief of Army;Mohammed Daoud;1936;1964;1999;FA;Elastic Defence Doctrine;Medium;M54007;X
54009;Chief of Navy;Muhammed Zahir;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M54001;X
54010;Chief of Air Force;Mohammed Daoud;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M54007;X
54021;Chief of Staff;Malik Habibullah Kalakani;1936;1964;1999;NS;School of Mass Combat;High;AFGHab;X
54022;Minister of Security;Inayatullah Khan Seraj;1936;1964;1999;PA;Silent Lawyer;Very High;AFGIna;X
54023;Head of Government;Shah Mahmud Khan;1939;1964;1999;PA;Political Protege;High;AFG_Shah Mahmud Khan;X
54024;Head of Government;Shah Mahmud Ghazi;1946;1964;1999;PA;Old General;High;M54006;X
54025;Head of Military Intelligence;Abdul Hadi Dawai;1937;1964;1999;PA;Political Specialist;High;AFGDaw;X
54026;Foreign Minister;Amanullah Khan;1939;1964;1999;FA;Ideological Crusader;Low;AFGAma;X
54027;Foreign Minister;Mohammed Daoud;1939;1964;1999;FA;Great Compromiser;Medium;M54007;X
54028;Foreign Minister;Ghulam Nabi Charkhi;1936;1964;1999;PA;General Staffer;Medium;AFG_Ghulam Nabi Charkhi;X
54106;Head of Government;Abdul Hadi Dawai;1936;1970;1999;PA;Flamboyant Tough Guy;Very High;AFGDaw;X
54103;Chief of Staff;Shah Mahmud Khan;1936;1970;1999;PA;School of Defence;Very High;AFG_Shah Mahmud Khan;X
54104;Minister of Armament;Shah Mahmud Khan;1936;1970;1999;PA;Keynesian Economy;Very High;AFG_Shah Mahmud Khan;X
54029;Foreign Minister;Ali Muhammed Khan;1939;1964;1999;SC;Biased Intellectual;Medium;M54020;X
54030;Foreign Minister;Mohammed Etemadi Khan;1944;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M54016;X
54031;Foreign Minister;Asadullah Seraj Khan;1945;1964;1999;PA;Iron Fisted Brute;High;M54031;X
54032;Minister of Armament;Mohammed Daoud;1937;1964;1999;FA;Air to Ground Proponent;Medium;M54007;X
54033;Minister of Armament;Italo Sergente;1958;1964;1999;FA;Tank Proponent;Low;M54033;X
54034;Minister of Armament;Bortolo Berlotti;1939;1964;1999;FA;Administrative Genius;Low;M54034;X
54035;Minister of Armament;Asadullah Seraj Khan;1939;1964;1999;SC;Infantry Proponent;Medium;M54031;X
54102;Minister of Armament;Haji Faiz Muhammed Zikeria;1936;1964;1999;SC;Laissez-Faire Capitalist;High;M54003;X
54037;Minister of Armament;Nasirullah Husain;1940;1964;1999;SC;Battle Fleet Proponent;Medium;M54019;X
54038;Minister of Armament;Feruccio Serafini;1940;1964;1999;SC;Air Superiority Proponent;Medium;M54038;X
54039;Minister of Armament;Mohammed Nadir Shah;1936;1964;1999;PA;Reformer;Low;AFGNad;X
54107;Chief of Army;Mohammed Nadir Shah;1936;1970;1999;PA;Doctrine of Autonomy;High;AFGNad;X
54108;Minister of Armament;Muhammad Nauruz;1936;1970;1999;FA;Planned Economy Proponent;Very High;unknown;X
54109;Foreign Minister;Muhammad Nauruz;1936;1970;1999;FA;Iron Fisted Brute;Very High;unknown;X
54110;Head of Government;Khalilullah Khalili;1936;1970;1999;NS;Spiritual Leader;Very High;AFG_Khalilullah Khalili;X
54111;Minister of Security;Khalilullah Khalili;1936;1970;1999;NS;Man of the People;Very High;AFG_Khalilullah Khalili;X
54112;Chief of Army;Mirza Ali Khan;1936;1970;1999;NS;Doctrine of Autonomy;Very High;AFG_Mirza Ali Khan;X
54113;Head of Military Intelligence;Mirza Ali Khan;1936;1970;1999;NS;Logistics Specialist;Very High;AFG_Mirza Ali Khan;X
54040;Minister of Armament;Habibullah Khan Tarzi;1936;1964;1999;PA;Balanced Budget Economy;High;AFG_Habibullah Khan Tarzi;X
54041;Minister of Armament;Pompeo Aloisi;1943;1964;1999;SC;Military Entrepreneur;Medium;M54041;X
54042;Minister of Armament;Shah Wali Khan;1939;1964;1999;SC;Infantry Proponent;Medium;M54042;X
54043;Minister of Armament;Mohammed Etemadi Khan;1945;1964;1999;PA;Mixed Economy;High;M54016;X
