SIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
522001;Head of State;Nikolay Avksentyev;1936;1964;1999;PA;Benevolent Gentleman;High;M522001;X
522002;Head of Government;Vassilij Boldyrev;1936;1964;1999;PA;Naive Optimist;High;M522002;X
522003;Foreign Minister;Viktor N. Pepelyayev;1936;1964;1999;PA;Apologetic Clerk;High;M522003;X
522004;Minister of Armament;Mikhail Nikitin;1936;1964;1999;PA;Strategic Air Proponent;Medium;M522004;X
522005;Minister of Security;Timireva Lazutkin;1936;1964;1999;PA;Man of the People;Medium;M522005;X
522006;Head of Military Intelligence;Pavel Grebhov;1936;1964;1999;PA;Political Specialist;Medium;M522006;X
522007;Chief of Staff;Pyotr Bogasukanov;1936;1964;1999;PA;School of Psychology;Medium;M522007;X
522008;Chief of Army;Yasha Parsinchev;1936;1964;1999;PA;Static Defence Doctrine;Medium;M522008;X
522009;Chief of Navy;Valerik Lesik;1936;1964;1999;PA;Power Projection Doctrine;Medium;M517009;X
522010;Chief of Air Force;Lev Schurkin;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M522010;X
522011;Head of State;Alexander Kolchak;1960;1964;1999;FA;Resigned Generalissimo;High;M522011;X
522012;Head of Government;Pyotr Vologodsky;1936;1964;1999;FA;Political Protege;High;M522012;X
522013;Foreign Minister;Konstantin Igumnov;1936;1964;1999;PA;Iron Fisted Brute;High;M522013;X
522014;Foreign Minister;Aleksei Gavrilovich;1936;1964;1999;PA;Ideological Crusader;High;M522014;X
522015;Foreign Minister;Yakov Pauchenko;1936;1964;1999;FA;Great Compromiser;High;M522015;X
522016;Foreign Minister;Nikolai Burdenko;1936;1964;1999;FA;Apologetic Clerk;High;M522016;X
522017;Foreign Minister;Tikhon Shalamov;1936;1964;1999;FA;The Cloak N Dagger Schemer;High;M522017;X
522018;Minister of Armament;Konstantin Timiryazav;1936;1964;1999;PA;Resource Industrialist;Medium;M522018;X
522019;Minister of Armament;Sergei Petrovich;1936;1964;1999;PA;Infantry Proponent;Medium;M522019;X
522020;Minister of Armament;Vassilij Kramer;1936;1964;1999;FA;Battle Fleet Proponent;Medium;M522020;X
522021;Minister of Armament;Eval Ilyenkov;1936;1964;1999;FA;Resource Industrialist;Medium;M522021;X
522022;Minister of Armament;Ivan Kliun;1936;1964;1999;FA;Infantry Proponent;Medium;M522022;X
522023;Minister of Security;Ivan Obreimov;1936;1964;1999;PA;Back Stabber;Medium;M522023;X
522024;Minister of Security;Nikolai Itsenko;1936;1964;1999;PA;Prince of Terror;Medium;M522024;X
522025;Minister of Security;Pavel Emdin;1936;1964;1999;FA;Prince of Terror;Medium;M522025;X
522026;Minister of Security;Sergei Spasokukotsky;1936;1964;1999;FA;Compassionate Gentleman;Medium;M522026;X
522027;Minister of Security;Andriy Polenov;1936;1964;1999;FA;Back Stabber;Medium;M522027;X
522028;Head of Military Intelligence;Father Nikolay;1936;1964;1999;PA;Dismal Enigma;Medium;M522028;X
522029;Head of Military Intelligence;Nikolai Gumilev;1936;1964;1999;PA;Technical Specialist;Medium;M522029;X
522030;Head of Military Intelligence;Mikhail Ostroumov;1936;1964;1999;FA;Industrial Specialist;Medium;M522030;X
522031;Head of Military Intelligence;Pyotr Fyefilov;1936;1964;1999;FA;Political Specialist;Medium;M522031;X
522032;Head of Military Intelligence;Pyotr Pavlenko;1936;1964;1999;FA;Dismal Enigma;Medium;M522032;X
522033;Chief of Staff;Alexander Kolchak;1960;1964;1999;FA;School of Fire Support;Medium;M522033;X
522034;Chief of Army;Roman Vreden;1936;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M522034;X
522035;Chief of Navy;Alexander Kolchak;1960;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M522035;X
522036;Chief of Air Force;Mikhail Koudaev;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M522036;X
522037;Head of State;Arkady A. Krakovetsky;1936;1964;1999;SL;Benevolent Gentleman;High;Mkrapovetsky;X
522038;Head of Government;Alexander Krasnoshchyokov;1936;1964;1999;SD;Naive Optimist;High;MKrasnoshchokov;X
522056;Foreign Minister;Mikhail B. Shatila;1936;1964;1999;SD;Great Compromiser;High;Mshatila;X
522039;Minister of Armament;Alexander E. Novoselov;1936;1964;1999;SD;Resource Industrialist;Medium;Mbergal;X
522040;Chief of Navy;Pyotr Nikiforov;1936;1964;1999;LWR;Power Projection Doctrine;High;Mnikiforov;X
522041;Head of State;Alexei N. Grishin-Almazov;1936;1964;1999;SC;Weary Stiffneck;High;Mgrishin;X
522042;Head of Government;Ivan Adrianovich Mikhailov;1936;1964;1999;SC;Silent Workhorse;Medium;Mmikhailov;X
522043;Minister of Security;Matvei Berman;1936;1964;1999;LE;Efficient Sociopath;High;Mbermann;X
522044;Minister of Security;Alexandra Kim;1936;1964;1999;LWR;Compassionate Gentleman;High;Mkimstankevich;X
