ECU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
40001;Head of State;Federico Páez Chiriboaga;1936;1964;1999;SD;Stern Imperialist;High;M40001;X
40002;Head of Government;Federico Páez Chiriboaga;1936;1964;1999;SD;Flamboyant Tough Guy;High;M40001;X
40003;Foreign Minister;Alberto Larrea Chiriboaga;1936;1964;1999;SL;Apologetic Clerk;Medium;M40003;X
40004;Minister of Armament;Fabian Del Castello;1936;1964;1999;SL;Laissez-Faire Capitalist;Medium;M40004;X
40005;Minister of Security;Davide Flores;1936;1964;1999;SL;Crime Fighter;Medium;M40005;X
40006;Head of Military Intelligence;Aurelio Mosquera Narváez;1936;1964;1999;ML;Logistics Specialist;Medium;M40006;X
40007;Chief of Staff;Benigno Andrade Flores;1936;1964;1999;SL;School of Defence;Very Low;M40007;X
40008;Chief of Army;Alberto Enríquez Gallo;1936;1964;1999;PA;Decisive Battle Doctrine;Low;M40008;X
40009;Chief of Navy;Juan Ramon Castro;1936;1964;1999;SL;Open Seas Doctrine;Medium;M40009;X
40010;Chief of Air Force;Cosme Renella Barbatto;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M40010;X
40031;Head of State;Gustavo Becerra Páz;1936;1964;1999;LWR;Insignificant Layman;High;M40021;X
40032;Head of State;Enrique Gil Gilbert;1940;1964;1999;LWR;Autocratic Charmer;High;M40023;X
40033;Head of State;José María Velasco Ibarra;1936;1964;1999;SC;Benevolent Gentleman;High;M40033;X
40034;Head of State;Camillo Ponce Enríquez;1936;1964;1999;SC;Popular Figurehead;High;M40034;X
40035;Head of State;Aurelio Mosquera Narváez;1938;1964;1999;ML;Die-hard Reformer;High;M40006;X
40036;Head of State;Andrés de Córdova Nieto;1939;1964;1999;SL;Weary Stiffneck;High;M40036;X
40037;Head of State;Antonio Pons Campuzano;1936;1964;1999;SC;Autocratic Charmer;High;M40037;X
40038;Head of State;Carlos Arosemena Tola;1936;1964;1999;SC;Resigned Generalissimo;High;M40038;X
40039;Head of State;Juan de Diaz Mera;1937;1964;1999;ML;Popular Figurehead;High;M40015;X
40041;Head of State;Isidro Ayora Cueva;1936;1964;1999;ML;Barking Buffoon;High;M40041;X
40042;Head of State;Carlos M. Larrea;1936;1964;1999;SC;Insignificant Layman;High;M40042;X
40043;Head of State;Gilberto Enríquez Gallo;1937;1964;1999;PA;Resigned Generalissimo;High;M40008;X
40044;Head of State;Manuel Borrero Gonzalez;1936;1964;1999;PA;Stern Imperialist;High;M40044;X
40045;Head of State;Julio Moreno Pe?aherrera;1940;1964;1999;ML;Autocratic Charmer;High;M40045;X
40046;Head of State;Benigno Andrade Flores;1936;1964;1999;PA;Resigned Generalissimo;High;M40007;X
40047;Head of State;Julio Salém Gallegos;1944;1964;1999;ML;Resigned Generalissimo;High;M40047;X
40048;Head of State;Carlos Mancheno Cajas;1936;1964;1999;NS;Pig-headed Isolationist;High;M40048;X
