SAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
77001;Head of State;Maximilliano Hernandez Martínez;1936;1964;1999;PA;Resigned Generalissimo;High;M77001;x
77002;Head of Government;Maximilliano Hernandez Martínez;1936;1964;1999;PA;Old General;High;M77001;x
77003;Foreign Minister;Miguel Ángel Araujo;1936;1964;1999;SC;Biased Intellectual;Medium;M77003;x
77004;Minister of Armament;Alberto Goméz Zarate;1936;1964;1999;PA;Infantry Proponent;Medium;M77004;x
77005;Minister of Security;Fidel Cristino Garay;1936;1964;1999;PA;Back Stabber;Medium;M77005;x
77006;Head of Military Intelligence;Oscar A. Bolaños;1936;1964;1999;PA;Industrial Specialist;Medium;M77006;x
77007;Chief of Staff;Marco A. Molina;1936;1964;1999;PA;School of Mass Combat;Medium;M77007;x
77008;Chief of Army;Maximilliano Hernandez Martínez;1936;1964;1999;PA;Elastic Defence Doctrine;High;M77001;x
77009;Chief of Navy;Raul Rodolfí Sanchez;1936;1964;1999;PA;Open Seas Doctrine;Medium;M77009;x
77010;Chief of Air Force;Humbert Aberle;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M77010;x
77031;Head of State;Andrés Ignacio Menéndez;1944;1964;1999;SL;Benevolent Gentleman;High;M77011;x
77032;Head of State;Osmín Aguirre y Salinas;1944;1964;1999;PA;Powerhungry Demagogue;High;M77032;x
77033;Head of State;Salvador Castañeda Castro;1945;1964;1999;SC;Die-hard Reformer;High;M77033;x
77034;Head of Government;Andrés Ignacio Menéndez;1944;1964;1999;SL;Naive Optimist;High;M77011;x
77035;Head of Government;Osmín Aguirre y Salinas;1944;1964;1999;PA;Old General;High;M77032;x
77036;Head of Government;Salvador Castañeda Castro;1945;1964;1999;SC;Smiling Oilman;High;M77033;x
77037;Foreign Minister;Arturo Ramón Avila;1942;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M77013;x
77038;Foreign Minister;Julio Enrique Ávila;1944;1964;1999;SD;Iron Fisted Brute;Medium;M77038;x
77039;Foreign Minister;Alberto Argüello Loucel;1944;1964;1999;PA;Great Compromiser;Medium;M77039;x
77040;Foreign Minister;Hector Escobar Serraño;1945;1964;1999;SC;General Staffer;Medium;M77040;x
77041;Foreign Minister;Joaquin Leiva y Lleida;1946;1964;1999;ML;Biased Intellectual;Medium;M77041;x
77042;Minister of Armament;Pio Romero Bosque;1938;1964;1999;SL;Administrative Genius;Medium;M77012;x
77043;Minister of Armament;Pedro Jaime de Matheu;1938;1964;1999;SC;laissez-faire capitalist;Medium;M77043;x
77044;Minister of Armament;Jose Maria Cuellar;1945;1964;1999;ML;Tank Proponent;Very Low;M77022;x
77045;Minister of Armament;José Gustavo Guerrero;1944;1964;1999;SL;Resource Industrialist;Medium;M77045;x
77046;Minister of Security;Pedro Jaime de Matheu;1937;1964;1999;SL;Man of the People;Medium;M77043;x
77047;Minister of Security;José Adán Parada;1939;1964;1999;PA;Compassionate Gentleman;Medium;M77015;x
77048;Minister of Security;Pedro Jaime de Matheu;1941;1964;1999;SC;Man of the People;Medium;M77043;x
77049;Head of Military Intelligence;Armando Molina Meña;1941;1964;1999;SC;Dismal Enigma;Medium;M77016;x
77050;Head of Military Intelligence;Salvador Peña Trejo;1944;1964;1999;SD;Logistics Specialist;Medium;M77026;x
77051;Head of Military Intelligence;Laura H. de Salazar;1944;1964;1999;SL;Technical Specialist;Medium;M77023;x
77052;Chief of Staff;Andrés Ignacio Menéndez;1938;1964;1999;PA;School of Defence;Medium;M77011;x
77054;Chief of Army;Mauro Espínola Castro;1943;1964;1999;SC;Decisive Battle Doctrine;Medium;M77018;x
77055;Chief of Army;José Angél Castillo;1944;1964;1999;SD;Guns and Butter Doctrine;Low;M77028;x
77056;Chief of Navy;Horacio Carnejo Ibanéz;1940;1964;1999;SC;Indirect Approach Doctrine;Medium;M77019;x
77058;Chief of Air Force;Ricardo Abrego Abrego;1943;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M77020;x
77059;Chief of Air Force;Milton Andrade Cabrera;1944;1964;1999;SD;Army Aviation Doctrine;Medium;M77030;x
77060;Chief of Staff;Osmín Aguirre y Salinas;1944;1964;1999;PA;School of Mass Combat;High;M77032;x
77061;Chief of Army;Osmín Aguirre y Salinas;1944;1964;1999;PA;Elastic Defence Doctrine;High;M77032;x
77062;Minister of Armament;José Gustavo Guerrero;1944;1964;1999;SC;laissez-faire capitalist;Medium;M77045;x
77063;Chief of Staff;Salvador Castañeda Castro;1945;1964;1999;SC;School of Manoeuvre;High;M77033;x
77064;Chief of Army;Hector Escobar Serraño;1945;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M77040;x
77021;Head of State;Augustín Farabundo Martí;1936;1964;1999;LE;Weary Stiffneck;High;M77021;x
77022;Head of Government;Jose Maria Cuellar;1936;1964;1999;LE;Naive Optimist;High;M77022;x
77023;Foreign Minister;Laura H. de Salazar;1936;1964;1999;LWR;Iron Fisted Brute;Medium;M77023;x
77025;Minister of Security;Franco Hernandez Ávila;1936;1964;1999;LE;Compassionate Gentleman;Medium;M77025;x
77027;Chief of Staff;Augustín Farabundo Martí;1936;1964;1999;LE;School of Fire Support;Medium;M77021;x
77065;Head of State;Oscar A. Osorio;1948;1964;1999;PA;Resigned Generalissimo;High;M77065;x
77066;Head of Government;Oscar A. Osorio;1948;1964;1999;PA;Old General;High;M77065;x
77067;Foreign Minister;Franco Amerigo Paz;1948;1964;1999;PA;Iron Fisted Brute;Medium;M77067;x
77068;Minister of Armament;Humberto Costa;1948;1964;1999;PA;Air Superiority Proponent;Medium;M77068;x
