AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
56001;Head of State;Isaac Alfred Isaacs;1936;1964;1999;SC;Stern Imperialist;High;M56001;X
56002;Head of Government;Joseph A. Lyons;1936;1964;1999;SC;Flamboyant Tough Guy;High;M56002;X
56003;Foreign Minister;George F. Pearce;1936;1964;1999;PA;Great Compromiser;High;M56003;X
56004;Minister of Armament;Robert A. Parkhill;1936;1964;1999;SC;Resource Industrialist;Medium;M56004;X
56005;Minister of Security;Thomas Paterson;1936;1964;1999;SC;Silent Lawyer;Medium;M56005;X
56006;Head of Military Intelligence;Alexander McLachlan;1936;1964;1999;SC;Technical Specialist;High;M56006;X
56007;Minister of Armament;Joseph A. Lyons;1936;1964;1999;SC;Balanced Budget Economy;Very High;M56002;X
56008;Chief of Army;John Lavarack;1936;1958;1999;SC;Decisive Battle Doctrine;Medium;M56008;X
56009;Chief of Staff;Thomas Blamey;1936;1951;1999;FA;Commando Doctrine Staff;Very High;AST_Blamey;X
56010;Chief of Air Force;Richard Williams;1936;1964;1999;ML;Army Aviation Doctrine;Medium;L54093;X
56031;Head of State;Alexander G. Arkwright;1936;1964;1999;SC;Stern Imperialist;High;M56031;X
56032;Head of State;Henry Duke of Gloucester;1945;1964;1999;SC;Autocratic Charmer;High;M56032;X
56035;Head of State;Paul Roseville;1936;1964;1999;PA;Benevolent Gentleman;High;M56011;X
56037;Head of Government;Robert G. Menzies;1937;1964;1999;SC;Backroom Backstabber;High;M56037;X
56039;Head of Government;Ben Chifley;1945;1960;1999;SD;Ambitious Union Boss;High;M56039;X
56040;Head of Government;J.H.A. Durant;1936;1964;1999;PA;Happy Amateur;High;M56012;X
56041;Head of Government;Lance Sharkey;1936;1964;1999;ST;Ambitious Union Boss;High;M56021;X
56042;Foreign Minister;Palmer A. McBride;1936;1964;1999;SC;Iron Fisted Brute;High;M56042;X
56045;Foreign Minister;Robert G. Menzies;1938;1964;1999;SC;Apologetic Clerk;Very High;M56037;X
56046;Foreign Minister;Frederick Stewart;1939;1964;1999;SC;Ideological Crusader;High;M56046;X
56893;Minister of Armament;Frederick Stewart;1936;1961;1999;SC;Military Entrepreneur;High;M56046;X
56894;Minister of Armament;Harold Holt;1936;1970;1999;ML;Administrative Genius;High;Harold Holt;X
56895;Head of Government;Harold Holt;1936;1970;1999;ML;Silent Workhorse;High;Harold Holt;X
56896;Chief of Air Force;Thomas Walter White;1936;1957;1999;PA;Aviation Organizer;High;Thomas Walter White;X
56897;Minister of Armament;George McLeay;1936;1956;1999;SL;Administrative Genius;High;George McLeay;X
56898;Minister of Armament;Percy Spender;1936;1970;1999;SL;Keynesian Economy;High;Percy Spender;X
56899;Foreign Minister;Percy Spender;1936;1970;1999;SL;Biased Intellectual;High;Percy Spender;X
56900;Minister of Security;Percy Spender;1936;1970;1999;SL;Silent Lawyer;High;Percy Spender;X
56047;Foreign Minister;Thomas Paterson;1936;1964;1999;SC;Biased Intellectual;Medium;M56005;X
56048;Foreign Minister;Earle Page;1938;1962;1999;SC;Biased Intellectual;Medium;M56139;X
56051;Foreign Minister;Peter Spearitt;1936;1964;1999;PA;General Staffer;Low;M56013;X
56052;Foreign Minister;Francesco Piscitelli;1940;1964;1999;PA;The Cloak N Dagger Schemer;High;M56052;X
56053;Foreign Minister;Hugh Moxon;1936;1964;1999;ST;Ideological Crusader;High;M56023;X
56054;Foreign Minister;George Bateman;1942;1964;1999;LE;Biased Intellectual;High;M56054;X
56055;Foreign Minister;John McAuley;1944;1964;1999;ST;Great Compromiser;High;M56055;X
56056;Minister of Armament;Edward Davis Millen;1936;1964;1999;ML;Resource Industrialist;High;M56056;X
56057;Minister of Armament;Geoffrey A. Street;1936;1964;1999;SC;Military Entrepreneur;High;M56305;X
56058;Minister of Armament;Hattil S. Foll;1939;1964;1999;FA;Administrative Genius;Medium;M56058;X
56059;Minister of Armament;William D. Bostock;1940;1968;1999;SC;Air to Sea Proponent;High;L54078;X
56060;Minister of Armament;Palmer A. McBride;1944;1964;1999;SC;Infantry Proponent;High;M56042;X
56063;Minister of Armament;George Jones;1939;1964;1999;SD;Strategic Air Proponent;High;L54087;X
56064;Minister of Armament;Henry Showers;1941;1964;1999;SD;Battle Fleet Proponent;Medium;L54075;X
56065;Minister of Armament;Carl Herman Jess;1936;1948;1999;SC;Infantry Proponent;Medium;LCarl_Herman_Jess;X
56066;Minister of Armament;John Northcott;1936;1964;1999;ML;Tank Proponent;Medium;L54039;X
56067;Minister of Armament;Stanley J. Goble;1936;1949;1999;ML;Air to Sea Proponent;Medium;L54084;X
56068;Minister of Armament;Guy C.C. Royle;1936;1954;1999;SC;Carrier Proponent;Medium;L54074;X
56069;Minister of Armament;John Lavarack;1936;1958;1999;SC;Reformer;Medium;M56008;X
56070;Minister of Armament;Richard Williams;1936;1964;1999;ML;Air to Ground Proponent;Medium;L54093;X
56073;Minister of Armament;Paul Roseville;1942;1964;1999;PA;Air Superiority Proponent;Very High;M56011;X
56074;Minister of Armament;Richard Overell;1944;1964;1999;PA;Administrative Genius;Very High;M56074;X
56075;Minister of Armament;Jack Henry;1936;1964;1999;LE;Military Entrepreneur;Medium;M56024;X
56076;Minister of Armament;Jim Henderson;1939;1964;1999;ST;Infantry Proponent;Medium;M56076;X
56077;Minister of Armament;Tony McGillick;1944;1964;1999;ST;Theoretical Scientist;High;M56077;X
56078;Minister of Security;Kenneth Eather;1936;1964;1999;ML;Efficient Sociopath;High;M56078;X
56079;Minister of Security;Alexander McLachlan;1937;1964;1999;SC;Crime Fighter;High;M56006;X
56080;Minister of Security;Earle Page;1936;1962;1999;SC;Health and Safety;Medium;M56139;X
56081;Minister of Security;Henry S. Gullett;1939;1964;1999;SC;Silent Lawyer;Very High;M56043;X
56891;Minister of Armament;Henry S. Gullett;1936;1964;1999;SC;Theoretical Scientist;Very High;M56043;X
56082;Minister of Security;Hattil S. Foll;1941;1964;1999;FA;Compassionate Gentleman;Medium;M56058;X
56083;Minister of Security;George F. Pearce;1936;1964;1999;PA;Silent Lawyer;High;M56003;X
56084;Minister of Security;Robert A. Parkhill;1944;1964;1999;SC;Compassionate Gentleman;Medium;M56004;X
56085;Minister of Armament;Hubert P. Lazzarini;1936;1964;1999;SD;Industrialiser;Very High;M56085;X
56087;Minister of Security;James McCarthy;1936;1964;1999;PA;Crime Fighter;Medium;M56015;X
56088;Minister of Security;J.H.A. Durant;1939;1964;1999;PA;Compassionate Gentleman;High;M56012;X
56089;Minister of Security;James Culliton;1943;1964;1999;PA;Back Stabber;High;M56089;X
56090;Minister of Security;John B. Miles;1936;1964;1999;ST;Prince of Terror;High;M56025;X
56091;Minister of Security;Guido Barracchi;1939;1964;1999;ST;Silent Lawyer;Very High;M56091;X
56092;Minister of Security;Philip Adams;1942;1964;1999;ST;Man of the People;High;M56092;X
56093;Head of Military Intelligence;C. Brudenell White;1936;1951;1999;SC;Logistics Specialist;High;M56093;X
56094;Head of Military Intelligence;Ragnar M. Colvin;1936;1954;1999;SC;Naval Intelligence Specialist;Medium;L54065;X
56096;Head of Military Intelligence;Norman J. Makin;1940;1964;1999;SL;Industrial Specialist;Medium;M56061;X
56097;Head of Military Intelligence;Hubert P. Lazzarini;1942;1964;1999;SD;Dismal Enigma;Medium;M56085;X
56099;Head of Military Intelligence;Thomas Blamey;1936;1951;1999;FA;Logistics Specialist;Very High;AST_Blamey;X
56100;Head of Military Intelligence;Tom Dale;1936;1964;1999;ST;Dismal Enigma;Medium;M56026;X
56101;Head of Military Intelligence;Alf Bradley;1941;1964;1999;LE;Logistics Specialist;High;M56101;X
56102;Head of Military Intelligence;Tony McGillick;1945;1964;1999;ST;Technical Specialist;High;M56077;X
56103;Chief of Staff;Vernon Sturdee;1940;1966;1999;SC;School of Defence;Medium;M56049;X
56104;Chief of Staff;C. Brudenell White;1936;1951;1999;SC;School of Mass Combat;High;M56093;X
56105;Chief of Staff;Ernest Squires;1936;1941;1999;SC;School of Defence;Medium;M56105;X
56107;Chief of Staff;Leslie Beavis;1936;1970;1999;ML;School of Fire Support;Medium;M56107;X
56109;Chief of Army;James Cannan;1936;1970;1999;SL;Guns and Butter Doctrine;Medium;M56027;X
56111;Chief of Army;Leslie Morshead;1940;1960;1999;SC;Guns and Butter Doctrine;Medium;M56066;X
56112;Chief of Army;Robert Nimmo;1938;1966;1999;ML;Armoured Spearhead Doctrine;Medium;LRobert_Harold_Nimmo;X
56113;Chief of Army;Vernon Sturdee;1937;1966;1999;SC;Combat Engineering Doctrine;Medium;M56049;X
56114;Chief of Army;Sydney Rowell;1941;1970;1999;SD;Guns and Butter Doctrine;Medium;L54046;X
56115;Chief of Army;Alan Ramsay;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M56018;X
56118;Chief of Navy;Victor Crutchley;1941;1964;1999;SC;Open Seas Doctrine;Medium;M56019;X
56119;Chief of Navy;Guy C.C. Royle;1936;1954;1999;SC;Power Projection Doctrine;Medium;L54074;X
56120;Chief of Navy;Claud Barry;1936;1952;1999;SC;Indirect Approach Doctrine;Medium;LClaud_Barrington_Barry;X
56121;Chief of Navy;Henry Showers;1944;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;L54075;X
56123;Chief of Navy;Frank E. Getting;1936;1964;1999;SD;Indirect Approach Doctrine;Medium;L54071;X
56124;Chief of Air Force;Alan M. Charlesworth;1938;1970;1999;SC;Vertical Envelopment Doctrine;Medium;L54081;X
56126;Chief of Air Force;Stanley J. Goble;1936;1949;1999;ML;Naval Aviation Doctrine;Medium;L54084;X
56127;Chief of Air Force;John McCauley;1942;1970;1999;SL;Tactical Aviation Doctrine;Medium;L54091;X
56128;Chief of Air Force;Roderick Carr;1940;1970;1999;ML;Carpet Bombing Doctrine;High;L58055;X
56129;Chief of Air Force;Frederick Scherger;1947;1970;1999;SC;Tactical Aviation Doctrine;Medium;L54092;X
56131;Chief of Air Force;Lance Sharkey;1941;1964;1999;ST;Army Aviation Doctrine;Very High;M56021;X
56132;Head of State;Alexander G. Arkwright;1936;1964;1999;SD;Stern Imperialist;High;M56031;X
56133;Head of State;Henry Duke of Gloucester;1945;1964;1999;SD;Autocratic Charmer;High;M56032;X
56134;Head of State;William John McKell;1947;1964;1999;SD;Insignificant Layman;High;M56134;X
56135;Head of State;William John McKell;1947;1964;1999;SC;Insignificant Layman;High;M56134;X
56136;Head of State;Alexander G. Arkwright;1936;1964;1999;ML;Stern Imperialist;High;M56031;X
56137;Head of State;Henry Duke of Gloucester;1945;1964;1999;ML;Autocratic Charmer;High;M56032;X
56138;Head of State;William John McKell;1947;1964;1999;ML;Insignificant Layman;High;M56134;X
56140;Head of Government;Arthur W. Fadden;1940;1970;1999;ML;Corporate Suit;High;M56140;X
56141;Head of Government;Francis M. Forde;1945;1964;1999;SD;Silent Workhorse;High;M56141;X
56147;Chief of Staff;Frank Berryman;1940;1970;1999;SL;School of Fire Support;Medium;L54005;X
56148;Foreign Minister;John McEwen;1936;1964;1999;SC;Biased Intellectual;High;M56148;X
56149;Minister of Armament;Earle Page;1936;1962;1999;SC;Laissez-Faire Capitalist;Very High;M56139;X
56200;Head of State;John McEwen;1936;1964;1999;SC;Die-hard Reformer;Very High;M56148;X
56201;Head of Government;Earle Page;1936;1962;1999;SC;Naive Optimist;High;M56139;X
56202;Foreign Minister;Walter Nash;1936;1964;1999;ML;Apologetic Clerk;Medium;M55004;X
56203;Minister of Armament;Arthur W. Fadden;1936;1970;1999;ML;Administrative Genius;Very High;M56140;X
56204;Minister of Security;J.E. Fenton;1936;1964;1999;SC;Man of the People;High;M56204;X
56205;Head of Military Intelligence;John Dedman;1936;1964;1999;ML;Technical Specialist;High;M56098;X
56206;Chief of Army;Bernard Freyberg;1936;1963;1999;PA;Decisive Battle Doctrine;High;L58010;X
56207;Chief of Army;C. Brudenell White;1936;1951;1999;SC;Decisive Battle Doctrine;Very High;M56093;X
56208;Chief of Navy;Patrick Perry;1936;1964;1999;SC;Merchant Navy Focus;High;M56208;X
56209;Chief of Air Force;William D. Bostock;1940;1968;1999;SC;Naval Aviation Doctrine;Very High;L54078;X
56300;Head of Military Intelligence;Hattil S. Foll;1936;1964;1999;FA;Logistics Specialist;Very High;M56058;X
56301;Head of Government;John J. Curtin;1936;1964;1999;SD;Silent Workhorse;Very High;M56038;X
56303;Minister of Armament;John Latham;1936;1964;1999;ML;Bank President;High;M56303;X
56304;Minister of Security;Archie Cameron;1936;1964;1999;SC;Crime Fighter;High;M56304;X
56305;Head of Military Intelligence;Geoffrey A. Street;1936;1964;1999;SC;Logistics Specialist;High;M56305;X
56306;Head of State;William Birdwood;1936;1970;1999;PA;Weary Stiffneck;High;6960;X
56307;Chief of Army;Leslie Beavis;1936;1970;1999;ML;Elastic Defence Doctrine;High;M56107;X
56308;Chief of Navy;Ragnar M. Colvin;1936;1954;1999;SC;Open Seas Doctrine;High;L54065;X
56309;Chief of Air Force;James Fairbairn;1936;1964;1999;SC;Aviation Organizer;High;M56103;X
56400;Head of State;John J. Curtin;1936;1964;1999;SD;Benevolent Gentleman;Very High;M56038;X
56401;Foreign Minister;Hattil S. Foll;1936;1964;1999;FA;Ideological Crusader;Very High;M56058;X
56402;Foreign Minister;Herbert Evatt;1936;1964;1999;SD;Biased Intellectual;High;M56050;X
56403;Minister of Armament;Leighton Bracegirdle;1936;1970;1999;SC;Battle Fleet Proponent;Very High;AST_Leighton Bracegirdle;X
56404;Minister of Security;Thomas Blamey;1936;1951;1999;FA;Efficient Sociopath;Very High;AST_Blamey;X
56405;Head of Government;Geoffrey A. Street;1936;1964;1999;SC;Respected War Hero;High;M56305;X
56892;Chief of Army;Geoffrey A. Street;1936;1964;1999;SC;Guns and Butter Doctrine;High;M56305;X
56406;Chief of Staff;John Lavarack;1936;1958;1999;SC;School of Fire Support;High;M56008;X
56407;Chief of Army;Iven Mackay;1936;1966;1999;SC;Static Defence Doctrine;High;L54033;X
56408;Chief of Navy;John Gregory Crace;1936;1964;1999;ML;Open Seas Doctrine;High;L54066;X
56409;Chief of Air Force;Henry Neilson Wrigley;1936;1970;1999;SL;Aviation Organizer;High;LHenry_Neilson_Wrigley;X
56500;Head of State;Billy Hughes;1936;1964;1999;PA;Stern Imperialist;High;Hughes;X
56501;Head of Government;George F. Pearce;1936;1964;1999;PA;Happy Amateur;High;M56003;X
