SCA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
514002;Head of Government;Thorvald Stauning;1936;1964;1999;SD;Ambitious Union Boss;High;M16002;x
514003;Foreign Minister;Per Albin Hansson;1936;1964;1999;SD;Iron Fisted Brute;High;M7033;x
514004;Minister of Armament;Gustav Möller;1936;1964;1999;SD;laissez-faire capitalist;Medium;M7048;x
514005;Minister of Security;Johan Nygaardsvold;1936;1964;1999;SD;Man of the People;High;M14002;x
514006;Head of Military Intelligence;Alfred Roscher-Lund;1936;1964;1999;SD;Logistics Specialist;Low;M14006;x
514007;Chief of Staff;Aage H. Vedel;1936;1964;1999;SD;School of Manoeuvre;Very High;M16119;x
514008;Chief of Army;Oscar Nygren;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;M7007;x
514009;Chief of Navy;Aage H. Vedel;1936;1964;1999;SD;Open Seas Doctrine;Very High;M16119;x
514010;Chief of Air Force;Torsten Friis;1936;1964;1999;SD;Army Aviation Doctrine;Very High;M7010;x
514034;Head of Government;Per Albin Hansson;1942;1964;1999;SD;Corporate Suit;High;M7033;x
514035;Head of Government;Einar Gerhardsen;1946;1964;1999;SD;Political Protege;High;M14037;x
514036;Head of Government;C.J. Hambro;1936;1964;1999;ML;Silent Workhorse;High;M14036;x
514037;Head of Government;Axel Pehrsson-Bramstorp;1940;1964;1999;ML;Happy Amateur;High;M7002;x
514038;Head of Government;Knud Kristensen;1945;1964;1999;ML;Political Protege;High;M16043;x
514039;Foreign Minister;Erik Scavenius;1940;1964;1999;SD;Biased Intellectual;Very High;M16040;x
514040;Foreign Minister;Trygve H. Lie;1941;1964;1999;SD;Iron Fisted Brute;High;M14005;x
514041;Foreign Minister;Tage Erlander;1946;1964;1999;SD;Great Compromiser;High;M7034;x
514042;Foreign Minister;Erik Andreas Colban;1936;1964;1999;ML;Great Compromiser;High;M14045;x
514043;Foreign Minister;Per E.G. Insulander;1939;1964;1999;ML;General Staffer;High;M7044;x
514044;Foreign Minister;Christmas Møller;1945;1964;1999;ML;Biased Intellectual;Medium;M16041;x
514045;Minister of Armament;Vilhelm Buhl;1940;1964;1999;SD;Battle Fleet Proponent;High;M16039;x
514046;Minister of Armament;Jens Christian Hauge;1941;1964;1999;SD;Military Entrepreneur;High;M14053;x
514047;Minister of Armament;Bertil Ohlin;1944;1964;1999;SD;Military Entrepreneur;Medium;M7037;x
514048;Minister of Armament;Gustav Cassel;1936;1964;1999;ML;Administrative Genius;Medium;M7049;x
514049;Minister of Armament;Erling Sandberg;1943;1964;1999;ML;Infantry Proponent;Very low;M14014;x
514050;Minister of Armament;Ole Bjørn Kraft;1945;1964;1999;ML;Resource Industrialist;Medium;M16042;x
514051;Minister of Security;Anders Lindstedt;1937;1964;1999;SD;Compassionate Gentleman;Very High;M7061;x
514052;Minister of Security;J.C. Jorgensen;1942;1964;1999;SD;Crime Fighter;High;M16077;x
514053;Minister of Security;Haakon Lie;1945;1964;1999;SD;Prince of Terror;High;M14067;x
