BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
34399;Head of State;Artur da Silva Bernardes;1936;1964;1999;SC;Insignificant Layman;High;Kaiserreich Artur da Silva Bernardes;X
39999;Head of Government;Fernando de Melo Viana;1936;1964;1999;SC;Backroom Backstabber;High;Kaiserreich Fernando de Melo Viana;X
34081;Foreign Minister;Otavio Mangabeira;1936;1964;1999;SD;Great Compromiser;High;M34033;X
34107;Minister of Armament;Washington Luis Pereira;1936;1964;1999;SC;Administrative Genius;Low;M34066;X
34116;Minister of Security;Mario de Pimentel Brandão;1936;1964;1999;SD;Crooked Kleptocrat;High;M34080;X
34143;Head of Military Intelligence;Rodrigo Octavio;1936;1964;1999;ML;Political Specialist;High;M34143;X
34153;Chief of Staff;Henrique Teixeira Lott;1936;1964;1999;LWR;School of Fire Support;Medium;M34027;X
34172;Chief of Army;Goes Monteiro;1936;1964;1999;SC;Guns and Butter Doctrine;High;M34018;X
34180;Chief of Navy;Jorge Dodsworth Martins;1936;1964;1999;ML;Base Control Doctrine;Medium;M34029;X
34193;Chief of Air Force;Mourão Filho;1936;1964;1999;FA;Carpet Bombing Doctrine;Very High;M34050;X
34194;Head of State;Plinio Salgado;1936;1964;1999;NS;Powerhungry Demagogue;High;kaiserreich Pliniosalgado;X
34195;Head of State;Miguel Reale;1950;1964;1999;NS;Stern Imperialist;Medium;BRA_Miguel_Reale;X
34196;Head of State;Euclides Figueiredo;1936;1964;1999;NS;Autocratic Charmer;Medium;Euclides_Figueiredo;X
34197;Head of State;Getulio Vargas;1936;1964;1999;PA;Autocratic Charmer;High;M34001;X
34198;Head of State;Eurico Gaspar Dutra;1936;1964;1999;PA;Weary Stiffneck;High;M34011;X
34199;Head of State;Carlos de Lima Cavalcanti;1936;1964;1999;PA;Ruthless Powermonger;Medium;BRA_Carlos_de_Lima_Cavalcanti;X
34200;Head of State;Washington Luis Pereira;1943;1964;1999;SC;Insignificant Layman;High;M34066;X
34201;Head of State;Olímpio de Melo;1936;1964;1999;SC;Weary Stiffneck;High;Kaiserreich Olímpio de Melo;X
34202;Head of State;Fernando de Melo Viana;1936;1964;1999;SC;Barking Buffoon;High;Kaiserreich Fernando de Melo Viana;X
34203;Head of State;Eduardo Gomes;1937;1964;1999;ML;Stern Imperialist;High;M34021;X
34204;Head of State;Júlio Prestes;1936;1964;1999;ML;Pig-headed Isolationist;Medium;Julio_Prestes;X
34205;Head of State;Ernesto Dornelles;1943;1964;1999;SL;Resigned Generalissimo;Medium;Ernesto_Dornelles;X
34206;Head of State;Borges de Medeiros;1936;1964;1999;SL;Die-hard Reformer;Medium;Borges_de_Medeiros;X
34207;Head of State;Ildo Meneghetti;1936;1964;1999;SD;Benevolent Gentleman;Medium;Ildo_Meneghetti;X
34208;Head of State;Luis Carlos Prestes;1936;1964;1999;LWR;Reformist Soldierhos;High;BRA_Luis_Carlos_Prestes;X
34209;Head of State;Edgard Leuenroth;1936;1964;1999;LWR;Stern Imperialist;Medium;BRA_Edgard_Leuenroth;X
34210;Head of State;Lauro Reginaldo da Rocha;1948;1964;1999;LE;Die-hard Reformer;Medium;BRA_Lauro_Reginaldo_da_Rocha;X
34211;Head of State;Minervino de Oliveira;1936;1964;1999;LE;Benevolent Gentleman;Medium;BRA_Minervino_de_Oliveira;X
34212;Head of State;Astrojildo Pereira;1936;1964;1999;LE;Popular Figurehead;High;Kaiserreich Astrojildo Pereira;X
34213;Head of Government;Gustavo Barroso;1936;1964;1999;NS;Political Protege;Medium;BRA_Gustavo_Barroso;X
34214;Head of Government;Plinio Salgado;1936;1964;1999;NS;Backroom Backstabber;High;kaiserreich Pliniosalgado;X
34215;Head of Government;Euclides Figueiredo;1936;1964;1999;NS;Old General;Medium;Euclides_Figueiredo;X
34216;Head of Government;Monteiro Lobato;1945;1964;1999;FA;Smiling Oilman;Medium;BRA_Monteiro_Lobato;X
34217;Head of Government;Getulio Vargas;1936;1964;1999;PA;Naive Optimist;High;M34001;X
34218;Head of Government;Altino Arantes;1936;1964;1999;PA;Naive Optimist;Medium;Altino_Arantes;X
34219;Head of Government;João Pessoa;1936;1964;1999;PA;Political Protege;Medium;BRA_Joao_Pessoa;X
34220;Head of Government;Carlos de Lima Cavalcanti;1936;1964;1999;PA;Flamboyant Tough Guy;Medium;BRA_Carlos_de_Lima_Cavalcanti;X
34221;Head of Government;Miguel Costa;1936;1964;1999;PA;Old General;Medium;BRA_Miguel_Costa;X
34222;Head of Government;Eurico Gaspar Dutra;1936;1964;1999;PA;Old General;High;M34011;X
34223;Head of Government;Washington Luis Pereira;1943;1964;1999;SC;Naive Optimist;High;M34066;X
34224;Head of Government;Artur da Silva Bernardes;1936;1964;1999;SC;Corporate Suit;High;Kaiserreich Artur da Silva Bernardes;X
34225;Head of Government;Olímpio de Melo;1936;1964;1999;SC;Happy Amateur;High;Kaiserreich Olímpio de Melo;X
34226;Head of Government;Eduardo Gomes;1937;1964;1999;ML;Flamboyant Tough Guy;High;M34021;X
34227;Head of Government;Júlio Prestes;1936;1964;1999;ML;Flamboyant Tough Guy;Medium;Julio_Prestes;X
34228;Head of Government;Prestes Maia;1936;1964;1999;ML;Backroom Backstabber;Medium;Prestes_Maia;X
34229;Head of Government;Borges de Medeiros;1936;1964;1999;SL;Silent Workhorse;Medium;Borges_de_Medeiros;X
34230;Head of Government;Ernâni do Amaral Peixoto;1936;1964;1999;SD;Old Admiral;Medium;BRA_Ernani_do_Amaral_Peixoto;X
34231;Head of Government;Hélio Carlomagno;1936;1964;1999;SD;Ambitious Union Boss;Medium;Helio_Carlomagno;X
