ETH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
65001;Head of State;Haile Selassie I;1936;1964;1999;PA;Stern Imperialist;High;M65001;X
65002;Head of Government;Bedjironde Tekle Hawariate;1936;1964;1999;PA;Happy Amateur;High;M65002;X
65003;Foreign Minister;Herouy Wolde Selassie;1936;1964;1999;PA;General Staffer;Very High;M65003;X
65004;Minister of Armament;Herouy Wolde Selassie;1936;1964;1999;PA;Military Entrepreneur;Very High;M65003;X
65005;Minister of Security;Bedjironde Tekle Hawariate;1936;1964;1999;PA;Crime Fighter;Very High;M65002;X
65006;Head of Military Intelligence;Haile Selassie I;1936;1964;1999;PA;Logistics Specialist;Very High;M65001;X
65007;Chief of Staff;Ras Mulugueta;1936;1964;1999;PA;School of Defence;Very High;M65007;X
65008;Chief of Army;Desta Damtew;1936;1964;1999;PA;Guns and Butter Doctrine;Very High;M65008;X
65009;Chief of Navy;Ras Seyum;1936;1964;1999;FA;Indirect Approach Doctrine;Very High;M65009;X
65010;Chief of Air Force;John Robinson;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M65010;X
65032;Head of State;Lij Johannes;1936;1964;1999;FA;Insignificant Layman;High;M65011;X
65034;Head of State;Ras Imru Haile Selassie;1936;1964;1999;SC;Benevolent Gentleman;High;M65021;X
65036;Head of Government;Makonnen Endelkatchew;1941;1964;1999;PA;Political Protege;High;M65036;X
65039;Head of Government;Ras Imru Haile Selassie;1936;1964;1999;SC;Corporate Suit;High;M65021;X
65040;Head of Government;Blatta Zawde Belaineh;1941;1964;1999;SC;Silent Workhorse;High;M65024;X
65042;Foreign Minister;Makonnen Endelkatchew;1941;1964;1999;PA;Great Compromiser;High;M65036;X
65043;Foreign Minister;Aklilu Habtewold;1943;1964;1999;PA;Biased Intellectual;Very High;M65043;X
65044;Foreign Minister;Mered Azmatch Asfa Wossen;1945;1964;1999;PA;The Cloak N Dagger Schemer;High;M65044;X
65047;Foreign Minister;Ras Sega;1936;1964;1999;SC;Biased Intellectual;Medium;M65023;X
65048;Foreign Minister;Dedja Zinatch Nadeon;1941;1964;1999;SC;Iron Fisted Brute;Medium;M65029;X
65049;Foreign Minister;Tsehafe Taezaz;1943;1964;1999;SC;Ideological Crusader;Very High;M65049;X
65050;Minister of Armament;Pierre Linant de Bellefonds;1937;1964;1999;PA;Administrative Genius;Very High;M65050;X
65052;Minister of Armament;Tsehafe Taezaz;1945;1964;1999;PA;Air Superiority Proponent;Very High;M65049;X
65055;Minister of Armament;Blatta Zawde Belaineh;1936;1964;1999;SC;Resource Industrialist;Medium;M65024;X
65056;Minister of Armament;Wagshum Wosen Hailu;1941;1964;1999;SC;Tank Proponent;Medium;M65056;X
65058;Minister of Security;Aklilu Habtewold;1941;1964;1999;PA;Efficient Sociopath;Very High;M65058;X
65059;Minister of Security;Deajaz Gabremariam;1945;1964;1999;PA;Compassionate Gentleman;Very High;M65059;X
65062;Minister of Security;Ras Gugsa Arya;1936;1964;1999;SC;Compassionate Gentleman;Medium;M65025;X
65063;Minister of Security;Ato Fassika;1941;1964;1999;SC;Prince of Terror;Medium;M65063;X
65065;Head of Military Intelligence;Fikre Selasse Katama;1941;1964;1999;PA;Logistics Specialist;Very High;M65065;X
65066;Head of Military Intelligence;Tamrat Yigezu;1945;1964;1999;PA;Dismal Enigma;Very High;M65066;X
65069;Head of Military Intelligence;Ras Imru Haile Selassie;1936;1964;1999;SC;Political Specialist;Medium;M65021;X
65070;Head of Military Intelligence;Lij Araya Abebe;1941;1964;1999;SC;Industrial Specialist;Medium;M65070;X
65071;Chief of Staff;Hapte Mikael Agafari;1937;1964;1999;PA;School of Psychology;Very High;M65071;X
65072;Chief of Staff;Haile Wolde Rufe;1945;1964;1999;PA;School of Mass Combat;Very High;M65072;X
65074;Chief of Staff;Woldemeskal Tariku;1936;1964;1999;SC;School of Defence;Medium;M65027;X
65075;Chief of Staff;Abanefso Balcha;1941;1964;1999;SC;School of Mass Combat;Medium;M65075;X
