TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
12001;Head of State;Kemal Atatürk;1936;1939;1999;PA;Resigned Generalissimo;High;M12001;X
12002;Head of Government;Mustafa Ismet;1936;1964;1999;PA;Political Protege;High;M12002;X
12003;Foreign Minister;Tewfik Rüstü Aras;1936;1964;1999;PA;Biased Intellectual;Medium;M12003;X
12004;Minister of Armament;Zekai Apaydin;1936;1964;1999;SC;Resource Industrialist;Medium;M12004;X
12005;Minister of Security;Sükrü Kaya;1936;1964;1999;SC;Man of the People;Medium;M12005;X
12006;Head of Military Intelligence;Sükrü Ali Ogel;1936;1964;1999;PA;Industrial Specialist;Medium;M12006;X
12007;Chief of Staff;Fevzi Cakmak;1936;1964;1999;PA;School of Defence;Medium;M12007;X
12008;Chief of Army;Mehmet Nuri Yamut;1936;1964;1999;PA;Static Defence Doctrine;Medium;M12008;X
12009;Chief of Navy;Mehmet Ali Üngen;1936;1964;1999;PA;Base Control Doctrine;Medium;M12009;X
12010;Chief of Air Force;Ali Örlungat;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M12010;X
12031;Head of State;Ismet Inönü;1936;1964;1999;SC;Pig-headed Isolationist;High;M12031;X
12032;Head of Government;Mahmud Celal Bayar;1936;1964;1999;SC;Silent Workhorse;High;M12032;X
12033;Head of Government;Refik Saydam;1936;1964;1999;ML;Smiling Oilman;High;M12024;X
12034;Head of Government;Sükrü Saracoglu;1942;1964;1999;ML;Flamboyant Tough Guy;High;M12034;X
12035;Foreign Minister;Sükrü Saracoglu;1936;1964;1999;SC;Biased Intellectual;High;M12034;X
12036;Foreign Minister;Said Menemencioglu;1936;1964;1999;ML;Great Compromiser;Medium;M12036;X
12038;Foreign Minister;Hassan Saka;1944;1964;1999;SC;Ideological Crusader;Medium;M12038;X
12039;Foreign Minister;Necmettin Sadik Sadak;1947;1964;1999;SC;General Staffer;Medium;M12039;X
12040;Foreign Minister;Refet Bele;1936;1964;1999;PA;General Staffer;Medium;M12040;X
12041;Foreign Minister;Mustafa Ismet;1937;1964;1999;SC;Great Compromiser;Medium;M12002;X
12042;Foreign Minister;Ali Fehti Okyar;1937;1964;1999;ML;Biased Intellectual;Medium;M12013;X
12043;Foreign Minister;Abdülhalik Renda;1943;1964;1999;ML;Apologetic Clerk;Medium;M12043;X
12045;Minister of Armament;Nurullah Esat Sümer;1936;1964;1999;ML;Corrupt Kleptocrat;Medium;M12045;X
12046;Minister of Armament;Adnan Menderes;1946;1964;1999;ML;Theoretical Scientist;Medium;M12046;X
12047;Minister of Armament;Ismet Inönü;1936;1964;1999;SC;Administrative Genius;Medium;M12031;X
12048;Minister of Armament;Fuad Calistar;1936;1964;1999;SC;Infantry Proponent;Medium;M12048;X
12049;Minister of Armament;Kazim Özalp;1936;1964;1999;SC;Military Entrepreneur;Medium;M12049;X
12050;Minister of Armament;Tevfik Rüsta Aras;1939;1964;1999;ML;Theoretical Scientist;Medium;M12050;X
12051;Minister of Armament;Mehmet Günaltay;1940;1964;1999;SC;Tank Proponent;Medium;M12051;X
12052;Minister of Armament;Münir Bürsen;1946;1964;1999;ML;Laissez-Faire Capitalist;Medium;M12052;X
12054;Minister of Armament;Mustafa Renda;1938;1964;1999;ML;Military Entrepreneur;Medium;M12054;X
12056;Minister of Security;Hüsnü Cakir;1943;1964;1999;ML;Crooked Kleptocrat;Medium;M12056;X
12057;Minister of Security;Hilmi Uran;1936;1964;1999;ML;Crime Fighter;Medium;M12057;X
12059;Minister of Security;Memduh Tagmac;1946;1964;1999;ML;Prince of Terror;Medium;M12059;X
12060;Minister of Security;Adnan Menderes;1947;1964;1999;ML;Back Stabber;Medium;M12046;X
12061;Minister of Security;Abdul Naci Tinaz;1938;1964;1999;ML;Silent Lawyer;Medium;M12061;X
12062;Minister of Security;Mahmud Celal Bayar;1936;1964;1999;SC;Back Stabber;Medium;M12032;X
12063;Minister of Security;Abbas Cevat;1939;1964;1999;SD;Crooked Kleptocrat;Medium;M12025;X
12064;Minister of Security;Saffet Arikan;1940;1964;1999;SC;Crime Fighter;Medium;M12058;X
12065;Minister of Security;Ali Riza Türel;1940;1964;1999;ML;Efficient Sociopath;Medium;M12065;X
12066;Minister of Security;Orhan Gökay;1941;1964;1999;ML;Silent Lawyer;Medium;M12015;X
12067;Minister of Security;Mehmet Recep Peker;1941;1964;1999;SC;Compassionate Gentleman;Medium;M12067;X
12068;Head of Military Intelligence;Mustafa Renda;1938;1964;1999;SC;Dismal Enigma;High;M12054;X
12069;Head of Military Intelligence;Ali Rüza Artunkal;1943;1964;1999;ML;Logistics Specialist;Medium;M12069;X
12070;Head of Military Intelligence;Mumtaz Ökmen;1946;1964;1999;ML;Industrial Specialist;Medium;M12070;X
12071;Head of Military Intelligence;Mehmet Recep Peker;1947;1964;1999;ML;Industrial Specialist;High;M12067;X
12072;Head of Military Intelligence;Fuad Köprülü;1938;1964;1999;ML;Naval Intelligence Specialist;Medium;M12026;X
12073;Chief of Staff;Abdul Naci Tinaz;1938;1964;1999;SC;School of Fire Support;Medium;M12061;X
12074;Chief of Staff;Ali Örlungat;1943;1964;1999;ML;School of Mass Combat;Medium;M12010;X
12075;Chief of Staff;Abdurrahman Gürman;1946;1964;1999;ML;School of Manoeuvre;Medium;M12075;X
12077;Chief of Army;Mustafa Eldelhun;1943;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M12077;X
12078;Chief of Army;Cemil Toüdemür;1946;1964;1999;ML;Decisive Battle Doctrine;Medium;M12078;X
12079;Chief of Navy;Ali Fuat Cebesoy;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M12079;X
12080;Chief of Navy;Vehbi Koc;1943;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M12080;X
12081;Chief of Navy;Ahmet Aydam Bölak;1946;1964;1999;ML;Base Control Doctrine;Medium;M12081;X
12083;Chief of Air Force;Erkan Gataly;1943;1964;1999;ML;Army Aviation Doctrine;Medium;M12083;X
12084;Chief of Air Force;Memduh Tagmac;1946;1964;1999;ML;Air Superiority Doctrine;Medium;M12059;X
12011;Head of State;Nihal Atsiz;1936;1964;1999;FA;Ruthless Powermonger;High;M12011;X
12012;Head of Government;Zeki Velidi Togan;1936;1964;1999;FA;Old General;High;M12012;X
12013;Foreign Minister;Ali Fethi Okyar;1936;1964;1999;PA;Ideological Crusader;Medium;M12013;X
12014;Minister of Armament;Sadi Özbek;1936;1964;1999;FA;Air to Sea Proponent;Medium;M12014;X
12016;Head of Military Intelligence;Ali Fehti Okyar;1936;1964;1999;SC;Dismal Enigma;Medium;M12013;X
12017;Chief of Staff;Mustafa Ismet;1936;1964;1999;PA;School of Defence;Medium;M12002;X
12018;Chief of Army;Alparslan Türkes;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;M12018;X
12019;Chief of Navy;Rauf Orbay;1936;1964;1999;FA;Base Control Doctrine;Medium;M12019;X
12020;Chief of Air Force;Sadi Özbek;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M12014;X
12021;Head of State;Sefik Hüsnü;1936;1964;1999;ST;Stern Imperialist;High;M12021;X
12022;Head of Government;Pertev Naili Boratav;1936;1964;1999;ST;Naive Optimist;High;M12022;X
12023;Foreign Minister;Nazim Hikmet Ran;1936;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M12023;X
12024;Minister of Armament;Refik Saydam;1936;1964;1999;LWR;Infantry Proponent;Medium;M12024;X
12027;Chief of Staff;Abbas Cevat;1936;1964;1999;LWR;School of Manoeuvre;Medium;M12025;X
12028;Chief of Army;Pertev Naili Boratav;1936;1964;1999;LWR;Elastic Defence Doctrine;Very Low;M12022;X
12029;Chief of Navy;Ismael Erim;1936;1964;1999;LE;Decisive Naval Battle Doctrine;Medium;M12029;X
12030;Chief of Air Force;Refik Saydam;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M12024;X
12085;Head of State;Mahmud Celal Bayar;1950;1964;1999;ML;Barking Buffoon;High;M12032;X
12086;Head of Government;Mehmet Recep Peker;1946;1964;1999;SC;Political Protege;High;M12067;X
12087;Head of Government;Hassan Saka;1947;1964;1999;SC;Happy Amateur;High;M12038;X
12088;Head of Government;Mehmet Günaltay;1949;1964;1999;SC;Silent Workhorse;High;M12051;X
12089;Head of Government;Adnan Menderes;1950;1964;1999;ML;Ambitious Union Boss;High;M12046;X
12090;Foreign Minister;Mehmet Fuat Köprülü;1950;1964;1999;ML;Iron Fisted Brute;Medium;M12090;X
12091;Minister of Armament;Faik Ahmet Barutcu;1947;1964;1999;SC;Battle Fleet Proponent;Medium;M12091;X
12092;Minister of Armament;Ismael Erim;1949;1964;1999;SC;Resource Industrialist;Medium;M12029;X
12093;Minister of Armament;Samet Agaoglu;1950;1964;1999;ML;Theoretical Scientist;Medium;M12093;X
12094;Minister of Armament;Fatim Rüstü Zorlu;1952;1964;1999;ML;Administrative Genius;Medium;M12094;X
12095;Minister of Security;Refik Koraltan;1950;1964;1999;ML;Silent Lawyer;Medium;M12095;X
12096;Head of State;Sükrü Saracoglu;1936;1964;1999;ML;Stern Imperialist;High;M12034;X
12097;Head of State;Ziyauddin Babakhan;1956;1964;1999;FA;Autocratic Charmer;High;KYG_ziyauddin;X
12098;Head of Government;Ziyauddin Babakhan;1956;1964;1999;FA;Flamboyant Tough Guy;High;KYG_ziyauddin;X
12099;Head of State;Ishan Babakhan;1936;1964;1999;FA;Autocratic Charmer;High;KYG_ishauddin;X
12100;Head of Government;Ishan Babakhan;1936;1964;1999;FA;Flamboyant Tough Guy;High;KYG_ishauddin;X
