SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
10001;Head of State;Miguel Cabanellas Ferrer;1936;1964;1999;FA;Resigned Generalissimo;High;M10001;x
10002;Head of Government;Fidel Dávila Arrondo;1936;1964;1999;FA;Political Protege;High;M10002;x
10003;Foreign Minister;Francisco de Asís Serrat y Bonastre;1936;1964;1999;FA;Ideological Crusader;High;M10003;x
10004;Minister of Armament;Gérman Gil y Yuste;1936;1964;1999;FA;Infantry Proponent;High;M10004;x
10005;Minister of Security;Miguel Ponte Mansó de Zúñiga;1936;1964;1999;PA;Crime Fighter;High;M10005;x
10006;Head of Military Intelligence;Angel Salas Larrázabal;1936;1964;1999;FA;Political Specialist;High;M10006;x
10007;Chief of Staff;Fidel Dávila Arrondo;1936;1964;1999;FA;School of Psychology;High;M10002;x
10008;Chief of Army;José Sanjurjo Sacanell;1936;1964;1999;FA;Armoured Spearhead Doctrine;Very High;M10040;x
10009;Chief of Navy;Francisco Moreno Fernández;1936;1964;1999;FA;Open Seas Doctrine;High;M10009;x
10010;Chief of Air Force;Ramón Franco Bahamonde;1936;1964;1999;PA;Naval Aviation Doctrine;High;M10089;x
10032;Head of State;Francisco Franco Bahamonde;1936;1964;1999;PA;Stern Imperialist;High;L3426;x
10034;Head of State;Javier de Borbón-Parma;1936;1964;1999;FA;Autocratic Charmer;High;M10034;x
10038;Head of State;S.C.M. Juan III;1941;1964;1999;SC;Benevolent Gentleman;High;M10011;x
10039;Head of State;S.C.M. Alfonso XIII;1936;1964;1999;SC;Insignificant Layman;High;kaiserreich afonsoxiii;x
10046;Head of Government;Francisco Franco Bahamonde;1936;1964;1999;PA;Silent Workhorse;High;L3426;x
10049;Head of Government;Manuel Fal Conde;1941;1964;1999;FA;Political Protege;High;M10049;x
10050;Head of Government;Manuel Hedilla Larrey;1944;1964;1999;FA;Smiling Oilman;High;M10050;x
10054;Head of Government;J.M. Gil-Robles Quiñones;1936;1964;1999;PA;Silent Workhorse;High;M10012;x
10055;Foreign Minister;Francisco Gómez-Jordana y Souza;1936;1964;1999;PA;Biased Intellectual;High;M10057;x
10056;Foreign Minister;Juan Luís Beigbeder Atienza;1939;1964;1999;PA;General Staffer;Medium;M10013;x
10057;Foreign Minister;Ramón Serrano Súñer;1940;1964;1999;PA;Ideological Crusader;Medium;M10059;x
10058;Foreign Minister;José Lequerica y Erquiza;1944;1964;1999;PA;The Cloak N Dagger Schemer;High;M10060;x
10059;Foreign Minister;Alberto M. Artejo-Álvarez;1945;1964;1999;PA;Apologetic Clerk;High;M10061;x
10060;Foreign Minister;Tomás Conde de Redezno;1936;1964;1999;FA;Iron Fisted Brute;High;M10048;x
10061;Foreign Minister;Enrique Plá y Deniel;1938;1964;1999;FA;Ideological Crusader;Medium;M10063;x
10062;Foreign Minister;Victor Pradera;1943;1964;1999;FA;Ideological Crusader;High;M10066;x
10063;Foreign Minister;Luís Hernando de Larramendi;1946;1964;1999;FA;Biased Intellectual;High;M10067;x
10064;Foreign Minister;J. de Areilza y Martínez-Rodas;1942;1964;1999;FA;Great Compromiser;High;M10071;x
10065;Foreign Minister;Manuel Hedilla Larrey;1946;1964;1999;FA;Biased Intellectual;High;M10050;x
10066;Foreign Minister;Raimundo Fernández Cuesta;1947;1964;1999;FA;The Cloak N Dagger Schemer;High;M10074;x
10067;Foreign Minister;Ramiro de Maeztu;1936;1964;1999;SC;Ideological Crusader;High;M10075;x
10068;Foreign Minister;Francisco de Borbón de la Torre;1941;1964;1999;SC;General Staffer;Medium;M10077;x
10069;Foreign Minister;Jacobo Fitz-James Stuart;1945;1964;1999;SC;Biased Intellectual;Medium;M10080;x
10070;Foreign Minister;José Yanguas Messía;1936;1964;1999;SC;Great Compromiser;High;M11150;x
10071;Foreign Minister;Claudio Sánchez Albornoz;1936;1964;1999;ML;Ideological Crusader;High;M11072;x
10072;Foreign Minister;José Martínez de Velasco;1937;1964;1999;ML;Iron Fisted Brute;Low;M11110;x
10073;Foreign Minister;Luis Luciá Luciá;1938;1964;1999;ML;Biased Intellectual;Low;M11113;x
10074;Foreign Minister;José Ungría Jiménez;1940;1964;1999;FA;General Staffer;High;M10085;x
10075;Foreign Minister;Niceto Alcalá-Zamora;1941;1964;1999;ML;Great Compromiser;High;M11001;x
10076;Foreign Minister;José de Areilza y Martínez-Rodas;1946;1964;1999;ML;The Cloak N Dagger Schemer;High;M10071;x
10077;Minister of Armament;José de Areilza y Martínez-Rodas;1936;1964;1999;PA;laissez-faire capitalist;High;M10071;x
10078;Minister of Armament;Ramón Franco Bahamonde;1937;1964;1999;PA;Air Superiority Proponent;Medium;M10089;x
