FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
29001;Head of State;H.K.M. Fredrik Kaarle I;1936;1964;1999;PA;Weary Stiffneck;High;kaiserreich vaino;X
29002;Head of Government;Toivo M. Kivimäki;1936;1964;1999;SC;Smiling Oilman;High;M29002;X
29003;Foreign Minister;Antti V. Hackzell;1936;1964;1999;SC;Biased Intellectual;Medium;M29003;X
29004;Minister of Armament;Arvi A. Oksala;1936;1964;1999;SC;Resource Industrialist;Medium;M29004;X
29005;Minister of Security;Yrjö W. Puhakka;1936;1964;1999;SC;Silent Lawyer;Medium;M29005;X
29006;Head of Military Intelligence;Esko Riekki;1936;1964;1999;SC;Dismal Enigma;High;M29006;X
29007;Chief of Staff;K.L. Oesch;1936;1964;1999;SC;School of Fire Support;High;M29007;X
29008;Chief of Army;Hugo Österman;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M29008;X
29009;Chief of Navy;Väinö Valve;1936;1964;1999;SC;Base Control Doctrine;High;M29009;X
29010;Chief of Air Force;Jarl Lundqvist;1936;1964;1999;SC;Carpet Bombing Doctrine;Very High;M29010;X
29031;Head of Government;Väinö Tanner;1936;1964;1999;SD;Silent Workhorse;High;kai_vaitan;X
29032;Head of Government;Kaarlo Juhlo Stahlberg;1936;1964;1999;SC;Flamboyant Tough Guy;High;kai_kaarljuh;X
29033;Head of State;H.K.M. Moritz I;1936;1964;1999;PA;Stern Imperialist;High;wolfgang;X
29034;Head of Government;Carl G. Mannerheim;1936;1947;1999;SC;Flamboyant Tough Guy;High;M29034;X
29035;Head of State;H.K.M. Kaarle II;1936;1964;1999;PA;Insignificant Layman;High;kaarle;X
29036;Head of State;H.K.M. Moritz I;1936;1964;1999;ML;Popular Figurehead;High;wolfgang;X
29039;Head of State;Risto Ryti;1940;1964;1999;ML;Weary Stiffneck;High;M29033;X
29043;Head of State;Kyösti Kallio;1937;1964;1999;SC;Stern Imperialist;High;M29032;X
29044;Head of State;Risto Ryti;1940;1964;1999;SC;Weary Stiffneck;High;M29033;X
29045;Head of State;Risto Ryti;1943;1964;1999;PA;Weary Stiffneck;High;M29033;X
29047;Head of State;Juho K. Paasikivi;1946;1964;1999;SC;Autocratic Charmer;High;M29035;X
29048;Head of State;Bruno Salmiala;1936;1964;1999;FA;Ruthless Powermonger;High;M29011;X
29049;Head of State;Otto Ville Kuusinen;1936;1964;1999;ST;Ruthless Powermonger;High;M29021;X
29050;Head of Government;Väinö Kivisalo;1936;1964;1999;SD;Naive Optimist;High;M29050;X
29051;Head of Government;Urho K. Kekkonen;1943;1964;1999;ML;Backroom Backstabber;High;M29051;X
29052;Head of Government;Mauno Pekkala;1936;1964;1999;SD;Political Protege;High;M29052;X
29053;Head of Government;Kyösti Kallio;1936;1964;1999;ML;Corporate Suit;High;M29032;X
29054;Head of Government;Aimo Cajander;1937;1964;1999;ML;Happy Amateur;High;M29054;X
29055;Head of Government;Jarl Lundqvist;1943;1964;1999;ML;Smiling Oilman;High;M29010;X
29056;Head of Government;Yrjö K. Leino;1946;1964;1999;ML;Naive Optimist;High;M29025;X
29058;Head of Government;Risto Ryti;1939;1964;1999;SC;Backroom Backstabber;High;M29033;X
29059;Head of Government;Johan W. Rangell;1941;1964;1999;SC;Flamboyant Tough Guy;High;M29059;X
29060;Head of Government;Antti V. Hackzell;1944;1964;1999;SC;Silent Workhorse;High;M29003;X
29061;Head of Government;Juho K. Paasikivi;1944;1964;1999;SC;Flamboyant Tough Guy;High;M29035;X
29062;Head of Government;Kyosti Järvinen;1946;1964;1999;SC;Silent Workhorse;High;M29062;X
29063;Head of Government;Edwin H. Linkomies;1943;1964;1999;SC;Naive Optimist;High;M29063;X
29064;Head of Government;Urho J. Castrén;1944;1964;1999;SC;Corporate Suit;High;M29064;X
29065;Head of Government;Vihtori Kosola;1936;1964;1999;FA;Silent Workhorse;High;kaiserreich VihtoriKosola;X
29066;Head of Government;Otto Ville Kuusinen;1939;1964;1999;ST;Flamboyant Tough Guy;High;M29021;X
29067;Foreign Minister;Anselmi Pitkäsilta;1936;1964;1999;SD;Apologetic Clerk;Medium;M29067;X
29068;Foreign Minister;Väinö A. Tanner;1939;1964;1999;SC;Ideological Crusader;Medium;M29068;X
29069;Foreign Minister;Väinö Kivisalo;1943;1964;1999;SD;Iron Fisted Brute;Very High;M29050;X
29071;Foreign Minister;Eino R. Holsti;1936;1964;1999;ML;Great Compromiser;Medium;M29071;X
29072;Foreign Minister;Kaarle V. Voionmaa;1938;1964;1999;ML;Apologetic Clerk;Medium;M29072;X
29073;Foreign Minister;Juho E. Erkko;1938;1964;1999;ML;Biased Intellectual;Medium;M29073;X
29074;Foreign Minister;Rolf J. Witting;1940;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M29074;X
29075;Foreign Minister;Carl J. Enckell;1944;1964;1999;ML;Great Compromiser;Medium;M29070;X
29076;Foreign Minister;Arvi A. Oksala;1936;1964;1999;SC;General Staffer;Medium;M29004;X
29077;Foreign Minister;Carl Ramsay;1943;1964;1999;SC;Iron Fisted Brute;Medium;M29077;X
29078;Foreign Minister;Johan W. Rangell;1936;1964;1999;SC;Biased Intellectual;High;M29059;X
29079;Foreign Minister;Hilja Riipinen;1936;1964;1999;FA;Ideological Crusader;High;M29013;X
29080;Foreign Minister;Otto Ville Kuusinen;1939;1964;1999;ST;Apologetic Clerk;Low;M29021;X
29081;Foreign Minister;Hella Wuolijoki;1942;1964;1999;ST;Great Compromiser;Low;M29081;X
29082;Minister of Armament;Viljam Sinisalo;1936;1964;1999;SD;Strategic Air Proponent;Medium;M29082;X
29083;Minister of Armament;K.A. Fagerholm;1943;1964;1999;SD;Laissez-Faire Capitalist;Medium;M29083;X
29084;Minister of Armament;Mauno Pekkala;1944;1964;1999;SD;Theoretical Scientist;Medium;M29052;X
29085;Minister of Armament;Otto Toivonen;1946;1964;1999;SD;Military Entrepreneur;Medium;M29085;X
29086;Minister of Armament;Juho Niukkanen;1936;1964;1999;ML;Administrative Genius;Medium;M29014;X
29087;Minister of Armament;Aimo Cajander;1939;1964;1999;ML;Resource Industrialist;Medium;M29054;X
29088;Minister of Armament;Kyösti Kallio;1941;1964;1999;ML;Laissez-Faire Capitalist;High;M29032;X
29089;Minister of Armament;Väinö L. Valve;1944;1964;1999;ML;Military Entrepreneur;Medium;M29009;X
29090;Minister of Armament;Jarl Lundqvist;1946;1964;1999;ML;Air to Sea Proponent;Very High;M29010;X
29091;Minister of Armament;Antti V. Hackzell;1936;1964;1999;SC;Battle Fleet Proponent;Medium;M29003;X
29092;Minister of Armament;Pehr E. Svinhufvud;1936;1964;1999;SC;Tank Proponent;High;M29001;X
