ISR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
559001;Head of State;Chaim Weizmann;1936;1964;1999;SL;Benevolent Gentleman;High;M559001;x
559002;Head of Government;David Ben Gurion;1936;1964;1999;SL;Ambitious Union Boss;High;M559002;x
559003;Foreign Minister;Moshe Sharett;1936;1964;1999;SL;Biased Intellectual;High;M559003;x
559004;Minister of Armament;Levi Eshkol;1936;1964;1999;SL;Resource Industrialist;Medium;M559004;x
559005;Minister of Security;Golda Meir;1936;1964;1999;SL;Man of the People;Medium;M559005;x
559006;Head of Military Intelligence;Yigal Allon;1936;1964;1999;SL;Logistics Specialist;Medium;M559006;x
559007;Chief of Staff;Yigael Yadin;1936;1964;1999;SL;School of Fire Support;Medium;M559007;x
559008;Chief of Army;Yigal Allon;1936;1964;1999;SL;Guns and Butter Doctrine;Medium;M559008;x
559009;Chief of Navy;Yedidia Ya'ari;1936;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M559009;x
559010;Chief of Air Force;Haim Laskov;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M559010;x
559011;Head of State;Mashe Shaypira;1936;1964;1999;PA;Stern Imperialist;High;M559011;x
559012;Head of State;Chaim Arlosoroff;1936;1964;1999;LE;Barking Buffoon;High;M559012;x
559013;Head of Government;Daniel Auster;1936;1964;1999;PA;Backroom Backstabber;High;M559013;x
559014;Head of Government;Dr. Abrahan Herschel;1936;1964;1999;LE;Naive Optimist;High;M559014;x
559015;Foreign Minister;Zerach Warnaftig;1936;1964;1999;PA;Ideological Crusader;High;M559015;x
559016;Foreign Minister;Pinhas Levon;1943;1964;1999;SL;Great Compromiser;High;M559016;x
559017;Foreign Minister;Yitzhak Ben Zvi;1936;1964;1999;LE;Iron Fisted Brute;High;M559017;x
559018;Foreign Minister;Yitzhak Tabenkin;1939;1964;1999;LE;The Cloak N Dagger Schemer;High;M559018;x
559019;Minister of Armament;Vadia Yosef;1936;1964;1999;PA;Infantry Proponent;Medium;M559019;x
559020;Minister of Armament;Mencahem Ussiskin;1937;1964;1999;PA;Strategic Air Proponent;Medium;M559020;x
559021;Minister of Armament;Vatchagan Meltonian;1940;1964;1999;PA;laissez-faire capitalist;Medium;M559021;x
559022;Minister of Armament;Kadish Luz;1940;1964;1999;SL;Battle Fleet Proponent;Medium;M559022;x
559023;Minister of Armament;Yosef Sprinzak;1942;1964;1999;SL;Air Superiority Proponent;Medium;M559023;x
559024;Minister of Armament;Eliezer Kaplan;1945;1964;1999;SL;Military Entrepreneur;Medium;M559024;x
559025;Minister of Armament;Pavlos Levan;1936;1964;1999;LE;Tank Proponent;Medium;M559025;x
559026;Minister of Security;Nahum Nir-Rafalkes;1936;1964;1999;PA;Back Stabber;Medium;M559026;x
559027;Minister of Security;Menachem Baskind;1939;1964;1999;PA;Compassionate Gentleman;Medium;M559027;x
559028;Minister of Security;Mencahem Begin;1940;1964;1999;PA;Efficient Sociopath;Medium;M559028;x
559029;Minister of Security;Moshe Haim Shapira;1949;1964;1999;SL;Silent Lawyer;Medium;M559029;x
559030;Minister of Security;Israel Rokach;1952;1964;1999;SD;Crime Fighter;Medium;M559030;x
559031;Minister of Security;Moshe Katznelson;1941;1964;1999;LE;Prince of Terror;Medium;M559031;x
559032;Head of Military Intelligence;Israel Bar-Yehuda;1936;1964;1999;PA;Political Specialist;Medium;M559032;x
559033;Head of Military Intelligence;Menachem Mendel Lipschutz;1937;1964;1999;PA;Dismal Enigma;Medium;M559033;x
559034;Head of Military Intelligence;Pinhas Sapir;1942;1964;1999;SL;Technical Specialist;Medium;M559034;x
559035;Head of Military Intelligence;Yitzhak Grünbaum;1944;1964;1999;SL;Dismal Enigma;Medium;M559035;x
559036;Head of Military Intelligence;Rerl Katznelson;1936;1964;1999;LE;Industrial Specialist;Medium;M559036;x
559037;Head of Military Intelligence;Menachem Schneerson;1937;1964;1999;LE;Naval Intelligence Specialist;Medium;M559037;x
559038;Chief of Staff;Roman Zakhari;1936;1964;1999;PA;School of Defence;Medium;M559038;x
559039;Chief of Staff;Jiloshahaft Harkabi;1942;1964;1999;PA;School of Psychology;Medium;M559039;x
559040;Chief of Staff;Richard Silverstein;1936;1964;1999;LE;School of Mass Combat;Medium;M559040;x
559041;Chief of Army;Pinchas Rosengarten;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;M559041;x
559042;Chief of Army;Moshe Dayan;1944;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M559042;x
559043;Chief of Army;Amos Zoref;1936;1964;1999;LE;Decisive Battle Doctrine;Medium;M559043;x
559044;Chief of Navy;Chaim Grunwald;1936;1964;1999;PA;Base Control Doctrine;Medium;M559044;x
559045;Chief of Navy;Moshe Krelitz;1936;1964;1999;LE;Indirect Approach Doctrine;Medium;M559045;x
559046;Chief of Air Force;Chris Magee;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M559046;x
559047;Chief of Air Force;Reuven Woolf;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M559047;x
559048;Head of State;Yitzhak Ben Zvi;1952;1964;1999;SL;Ruthless Powermonger;High;M559017;x
559049;Minister of Security;Yitzhak Grünbaum;1948;1964;1999;SL;Prince of Terror;Medium;M559035;x
559050;Head of Military Intelligence;Yosef Sprinzak;1948;1964;1999;SL;Industrial Specialist;Medium;M559023;x
559051;Chief of Army;David Ben Gurion;1948;1964;1999;SL;Decisive Battle Doctrine;Medium;M559002;x
