GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
18001;Head of State;H.R.H. Georgios II;1936;1964;1999;PA;Insignificant Layman;High;M18001;X
18002;Head of Government;Constantinos Demertzis;1936;1964;1999;PA;Naive Optimist;NA;M18002;X
18003;Foreign Minister;Constantinos Demertzis;1936;1964;1999;PA;Biased Intellectual;Very High;M18002;X
18004;Minister of Armament;Georgios Mantzavinos;1936;1964;1999;PA;Military Entrepreneur;Medium;M18004;X
18005;Minister of Security;Georgios Logothetis;1936;1964;1999;PA;Crime Fighter;Medium;M18005;X
18006;Head of Military Intelligence;Georgios Logothetis;1936;1964;1999;PA;Dismal Enigma;Medium;M18005;X
18007;Chief of Staff;Theodor Pangalos;1936;1964;1999;PA;School of Defence;Low;M18007;X
18008;Chief of Army;Alexandros Papagos;1936;1964;1999;PA;Elastic Defence Doctrine;Low;M18008;X
18009;Chief of Navy;Anastassio Sakellariou;1936;1964;1999;PA;Open Seas Doctrine;Medium;M18009;X
18010;Chief of Air Force;Eleftherios Venizelos;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M18010;X
18031;Head of State;H.R.H. Georgios II;1936;1964;1999;SL;Insignificant Layman;High;M18001;X
18032;Head of State;Archbishop Damaskinos;1941;1964;1999;SL;Barking Buffoon;High;M18032;X
18033;Head of State;Pavlos I;1947;1964;1999;SL;Die-hard Reformer;High;M18033;X
18034;Head of State;H.R.H. Georgios II;1936;1964;1999;PA;Insignificant Layman;High;M18001;X
18035;Head of State;Archbishop Damaskinos;1941;1964;1999;SC;Barking Buffoon;High;M18032;X
18036;Head of State;Pavlos I;1947;1964;1999;SC;Die-hard Reformer;High;M18033;X
18037;Head of State;H.R.H. Georgios II;1936;1964;1999;FA;Insignificant Layman;High;M18001;X
18039;Head of State;Archbishop Damaskinos;1941;1964;1999;PA;Barking Buffoon;High;M18032;X
18040;Head of State;Grigoriev Murnov;1941;1964;1999;NS;Weary Stiffneck;High;M18040;X
18041;Head of State;Mario Vercellino;1942;1964;1999;NS;Resigned Generalissimo;High;M18041;X
18042;Head of State;Reinhard Altenburg;1943;1964;1999;NS;Autocratic Charmer;High;M18042;X
18043;Head of State;Pavlos I;1947;1964;1999;PA;Die-hard Reformer;High;M18033;X
18044;Head of State;Giorgis Siantos;1936;1964;1999;ST;Popular Figurehead;High;M18021;X
18045;Head of State;Nikos Zahariadis;1944;1964;1999;ST;Autocratic Charmer;High;M18022;X
18046;Head of Government;Themistocles Sophoulis;1936;1964;1999;SL;Flamboyant Tough Guy;High;M18014;X
18047;Head of Government;Georgios Papandreou;1944;1964;1999;SL;Silent Workhorse;High;M18015;X
18048;Head of Government;Panagiolis Poulitsas;1946;1964;1999;SL;Smiling Oilman;High;M18048;X
18049;Head of Government;Ioannis Metaxas;1936;1964;1999;FA;Old General;High;M18049;X
