IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
25001;Head of State;Michael Collins;1936;1964;1999;PA;Resigned Generalissimo;High;kaiserreich mcollins;X
25002;Head of Government;Eoin O'Duffy;1936;1964;1999;FA;Backroom Backstabber;High;M25018;X
25003;Foreign Minister;Eamon de Valera;1936;1964;1999;ML;Ideological Crusader;Undying;M25002;X
25004;Minister of Armament;Seán MacEntee;1936;1964;1999;ML;Laissez-Faire Capitalist;High;M25004;X
25005;Minister of Security;Archbishop John Charles McQuaid;1936;1964;1999;FA;Man of the People;High;kaiserreich archMcQuaid;X
25006;Head of Military Intelligence;Gerald Boland;1936;1964;1999;ML;Political Specialist;High;M25006;X
25007;Chief of Staff;Michael J. Costello;1936;1964;1999;ML;School of Defence;High;M25007;X
25008;Chief of Army;Donal Buckley;1936;1964;1999;ML;Elastic Defence Doctrine;High;M25001;X
25009;Chief of Navy;H.T. Green;1936;1964;1999;SC;Base Control Doctrine;High;M25009;X
25010;Chief of Air Force;Patrick A. Mulcahy;1936;1964;1999;ML;Air Superiority Doctrine;High;M25010;X
25032;Head of State;Cathal Brugha;1936;1964;1999;SD;Benevolent Gentleman;High;CathalBrugha;X
25033;Head of State;Seán Lemass;1936;1964;1999;ML;Pig-headed Isolationist;High;M25033;X
25034;Head of State;Frank Fahy;1936;1964;1999;ML;Insignificant Layman;High;M25031;X
25035;Head of State;Douglas Hyde;1936;1964;1999;ML;Popular Figurehead;High;M25035;X
25036;Head of State;Seán T. O'Ceallaigh;1936;1964;1999;ML;Autocratic Charmer;High;M25036;X
25037;Head of State;Frank McDermott;1936;1964;1999;SC;Weary Stiffneck;High;M25076;X
25038;Head of State;Eoin MacNeill;1936;1964;1999;SC;Stern Imperialist;High;M25038;X
25039;Head of State;Jim Larkin sr.;1936;1964;1999;LE;Barking Buffoon;High;M25021;X
25040;Head of State;Oliver J. Flanagan;1936;1964;1999;PA;Weary Stiffneck;High;M25011;X
25041;Head of State;Jim Larkin jr.;1936;1964;1999;LE;Insignificant Layman;High;M25022;X
25042;Head of Government;Thomas Johnson;1936;1964;1999;SD;Ambitious Union Boss;High;M25042;X
25043;Head of Government;Seán Lemass;1936;1964;1999;ML;Smiling Oilman;High;M25033;X
25044;Head of Government;William Norton;1936;1964;1999;SD;Happy Amateur;High;M25044;X
25046;Head of Government;William T. Cosgrave;1936;1964;1999;SC;Silent Workhorse;High;M25046;X
25047;Head of Government;Richard Mulcahy;1936;1964;1999;PA;Corporate Suit;High;M25126;X
25048;Head of Government;John A. Costello;1936;1964;1999;SC;Backroom Backstabber;High;M25077;X
25049;Head of Government;Patrick Sweeney;1936;1964;1999;FA;Happy Amateur;High;M25012;X
25050;Head of Government;Peadar O'Donnell;1936;1964;1999;LE;Naive Optimist;High;PeadarO'Donnell;X
25051;Foreign Minister;Liam O'Monahan;1936;1964;1999;SD;Great Compromiser;High;M25051;X
25052;Foreign Minister;Michael O'Rafferty;1936;1964;1999;SD;The Cloak N Dagger Schemer;High;M25052;X
25053;Foreign Minister;Thomas Johnson;1936;1964;1999;SD;Ideological Crusader;Very High;M25042;X
25054;Foreign Minister;William Norton;1936;1964;1999;SD;Apologetic Clerk;High;M25044;X
25056;Foreign Minister;Patrick A. Mulcahy;1936;1964;1999;ML;General Staffer;High;M25010;X
25057;Foreign Minister;William T. Cosgrave;1936;1964;1999;SC;Biased Intellectual;Undying;M25046;X
25058;Foreign Minister;Kevin O'Higgins;1936;1964;1999;PA;Ideological Crusader;High;M25058;X
25059;Foreign Minister;Richard Mulcahy;1936;1964;1999;PA;Apologetic Clerk;Undying;M25126;X
25060;Foreign Minister;John A. Costello;1936;1964;1999;SC;Great Compromiser;High;M25077;X
25061;Foreign Minister;Sean MacBride;1936;1964;1999;SD;Ideological Crusader;High;M25061;X
25062;Foreign Minister;Oliver J. Flanagan;1936;1964;1999;PA;Biased Intellectual;Low;M25011;X
25063;Foreign Minister;Sean Murray;1936;1964;1999;LE;General Staffer;High;M25026;X
25064;Foreign Minister;Bill Gannon;1936;1964;1999;LWR;Ideological Crusader;High;M25023;X
25065;Minister of Armament;Seán Lemass;1936;1964;1999;ML;Resource Industrialist;High;M25033;X
25066;Minister of Armament;William Gallacher;1936;1964;1999;SD;Air Superiority Proponent;High;M25066;X
25067;Minister of Armament;Sean Murray;1936;1964;1999;SD;Air to Ground Proponent;High;M25026;X
25068;Minister of Armament;Sean Lester;1936;1964;1999;SD;Battle Fleet Proponent;High;M25068;X
25069;Minister of Armament;Ernest Blythe;1936;1964;1999;SC;Administrative Genius;High;ErnestBlythe;X
25070;Minister of Armament;William Norton;1936;1964;1999;SD;Resource Industrialist;High;M25044;X
25072;Minister of Armament;Douglas Hyde;1936;1964;1999;ML;Military Entrepreneur;High;M25035;X
25073;Minister of Armament;Seán T. O'Ceallaigh;1936;1964;1999;ML;Military Entrepreneur;High;M25036;X
25074;Minister of Armament;Frank Aiken;1936;1964;1999;ML;Resource Industrialist;High;M25074;X
25075;Minister of Armament;Patrick A. Mulcahy;1936;1964;1999;ML;Military Entrepreneur;High;M25010;X
25076;Minister of Armament;Frank McDermott;1936;1964;1999;SC;Strategic Air Proponent;High;M25076;X
25077;Minister of Armament;John A. Costello;1936;1964;1999;SC;Air to Ground Proponent;High;M25077;X
25078;Minister of Armament;Richard Mulcahy;1936;1964;1999;PA;Military Entrepreneur;High;M25126;X
25079;Minister of Armament;Seán Moylan;1936;1964;1999;ML;Infantry Proponent;High;M25079;X
25080;Minister of Armament;Patrick Lynch;1936;1964;1999;SC;Submarine Proponent;High;M25080;X
25081;Minister of Armament;John O'Byrne;1936;1964;1999;SC;Laissez-Faire Capitalist;High;M25081;X
25082;Minister of Armament;Patrick McGilligan;1936;1964;1999;SC;Resource Industrialist;High;M25082;X
25083;Minister of Armament;Oliver J. Flanagan;1936;1964;1999;PA;Resource Industrialist;High;M25011;X
25084;Minister of Armament;Eoin O'Duffy;1936;1964;1999;FA;Infantry Proponent;High;M25018;X
25085;Minister of Armament;Sighle Humphreys;1936;1964;1999;LWR;Administrative Genius;High;SighleHumphreys;X
25086;Minister of Armament;Jim Larkin jr.;1936;1964;1999;LE;Air Superiority Proponent;Very High;M25022;X
25087;Minister of Armament;Bill Gannon;1936;1964;1999;LWR;Tank Proponent;Very Low;M25023;X
25088;Minister of Security;George Gilmore;1936;1964;1999;SD;Man of the People;High;GeorgeGilmore;X
25089;Minister of Security;Jack Thomas;1936;1964;1999;SD;Man of the People;High;M25089;X
25090;Minister of Security;James Geoghegan;1936;1964;1999;ML;Silent Lawyer;High;M25090;X
25091;Minister of Security;Edward J. Phelan;1936;1964;1999;SD;Prince of Terror;High;M25091;X
25092;Minister of Security;Cearbhall O'Dalaigh;1936;1964;1999;ML;Compassionate Gentleman;High;M25092;X
25093;Minister of Security;Kevin Dixon;1936;1964;1999;SD;Efficient Sociopath;High;M25093;X
25095;Minister of Security;Gerald Boland;1936;1964;1999;ML;Crime Fighter;High;M25006;X
25096;Minister of Security;Eoin MacNeill;1936;1964;1999;SC;Efficient Sociopath;High;M25038;X
25097;Minister of Security;John W. Dulanty;1936;1964;1999;SC;Crime Fighter;High;M25097;X
25098;Minister of Security;Cecil Lavery;1936;1964;1999;SC;Silent Lawyer;High;M25069;X
25099;Minister of Security;Ludwig Bieler;1936;1964;1999;SC;Prince of Terror;High;M25099;X
25100;Minister of Security;Kevin Haugh;1936;1964;1999;SC;Silent Lawyer;High;M25100;X
25101;Minister of Security;Sean MacEoin;1936;1964;1999;PA;Compassionate Gentleman;High;M25028;X
25102;Minister of Security;Gearóid Ó Cuinnegáin;1936;1964;1999;FA;Efficient Sociopath;High;GearoidOCuinnegain;X
25103;Minister of Security;Bill Scott;1936;1964;1999;LE;Man of the People;High;M25025;X
25104;Minister of Security;Betty Sinclair;1936;1964;1999;LWR;Back Stabber;High;M25104;X
25105;Head of Military Intelligence;Denis McCullough;1936;1964;1999;SC;Naval Intelligence Specialist;Medium;M25105;X
25106;Head of Military Intelligence;Joseph Conolly;1936;1964;1999;ML;Political Specialist;High;M25106;X
25107;Head of Military Intelligence;Padraig O'Connor;1936;1964;1999;SD;Industrial Specialist;High;M25107;X
25108;Head of Military Intelligence;Hugh Kennedy;1936;1964;1999;ML;Technical Specialist;High;M25108;X
25109;Head of Military Intelligence;Frank Aiken;1936;1964;1999;ML;Industrial Specialist;High;M25074;X
25110;Head of Military Intelligence;Dan McKenna;1936;1964;1999;ML;Technical Specialist;High;M25110;X
25111;Head of Military Intelligence;Oscar Traynor;1936;1964;1999;ML;Logistics Specialist;High;M25111;X
25112;Head of Military Intelligence;Jack Lynch;1936;1964;1999;ML;Political Specialist;High;M25112;X
25113;Head of Military Intelligence;Liam Archer;1936;1964;1999;SC;Dismal Enigma;High;M25113;X
25114;Head of Military Intelligence;Joseph Walshe;1936;1964;1999;SC;Industrial Specialist;High;M25114;X
