MAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
539001;Head of State;Marcel de Coppet;1936;1964;1999;SL;Popular Figurehead;High;M538014;x
539002;Head of Government;Oswald Durand;1936;1964;1999;SL;Ambitious Union Boss;High;M533026;x
539003;Foreign Minister;Ferdinand J.L. Rougier;1936;1964;1999;SL;Iron Fisted Brute;High;M539003;x
539004;Minister of Armament;Pierre Boisson;1936;1964;1999;SL;Theoretical Scientist;Medium;M534010;x
539005;Minister of Security;Martin Cayla;1936;1964;1999;SL;Compassionate Gentleman;Medium;M539005;x
539006;Head of Military Intelligence;Christian Laigret;1936;1964;1999;SL;Logistics Specialist;Medium;M539006;x
539007;Chief of Staff;Pierre Charles Cournaire;1936;1964;1999;SL;School of Fire Support;Medium;M534004;x
539008;Chief of Army;Jean-Louis Beyries;1936;1964;1999;SL;Guns and Butter Doctrine;Medium;M539008;x
539009;Chief of Navy;Pierre Ponchardier;1936;1964;1999;SL;Open Seas Doctrine;Medium;M539009;x
539010;Chief of Air Force;Henri Tourtet;1936;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M539010;x
539011;Head of State;Leon Cayla;1938;1964;1999;SL;Resigned Generalissimo;High;M538001;x
539012;Head of State;Pierre Boisson;1940;1964;1999;SL;Powerhungry Demagogue;High;M534010;x
539013;Head of State;Pierre Charles Cournaire;1943;1964;1999;SL;Insignificant Layman;High;M534004;x
539014;Head of State;René V.M. Barthes;1946;1964;1999;SL;Pig-headed Isolationist;High;M539014;x
539015;Head of State;Martin Cayla;1936;1964;1999;PA;Benevolent Gentleman;High;M539005;x
539016;Head of State;Leopold Sedar Senghor;1936;1964;1999;LWR;Die-hard Reformer;High;M539016;x
539017;Head of Government;Jean-Louis Beyries;1938;1964;1999;SL;Naive Optimist;High;M539008;x
539018;Head of Government;Christian Laigret;1944;1964;1999;SL;Political Protege;High;M539006;x
539019;Head of Government;Henry de Mauduit;1945;1964;1999;SL;Corporate Suit;High;M533025;x
539020;Head of Government;Ferdinand J.L. Rougier;1936;1964;1999;PA;Backroom Backstabber;High;M539003;x
539021;Head of Government;Moktar Ould Daddah;1936;1964;1999;LWR;Silent Workhorse;High;M539021;x
539022;Foreign Minister;Jean Desanti;1938;1964;1999;SL;Biased Intellectual;High;M539022;x
539023;Foreign Minister;Auguste Calvel;1942;1964;1999;SL;Apologetic Clerk;High;M539023;x
539024;Foreign Minister;Jean-Louis Beyries;1936;1964;1999;PA;General Staffer;High;M539008;x
539025;Foreign Minister;Modibo Keita;1936;1964;1999;LWR;Apologetic Clerk;High;M539025;x
539026;Minister of Armament;Maurice Guillaudot;1939;1964;1999;SL;Tank Proponent;Medium;M539026;x
539027;Minister of Armament;Leopold Sedar Senghor;1943;1964;1999;SL;Administrative Genius;Medium;M539016;x
539028;Minister of Armament;Christian Laigret;1936;1964;1999;PA;Air Superiority Proponent;Medium;M539006;x
539029;Minister of Armament;Mamadou Dia;1936;1964;1999;LWR;Battle Fleet Proponent;Medium;M539029;x
539030;Minister of Security;Jean Clouet des Pesruches;1942;1964;1999;SL;Prince of Terror;Medium;M539030;x
539031;Minister of Security;Paul Ribeyre;1945;1964;1999;SL;Efficient Sociopath;Medium;M539031;x
539032;Minister of Security;Oswald Durand;1936;1964;1999;PA;Back Stabber;Medium;M533026;x
539033;Minister of Security;Fily Dabo Sissoko;1943;1964;1999;PA;Crime Fighter;Medium;M539033;x
539034;Minister of Security;Mamadou Konaté;1936;1964;1999;LWR;Prince of Terror;Medium;M539034;x
539035;Head of Military Intelligence;René V.M. Barthes;1943;1964;1999;SL;Political Specialist;Medium;M539014;x
539036;Head of Military Intelligence;Martin Cayla;1936;1964;1999;PA;Dismal Enigma;Medium;M539005;x
539037;Head of Military Intelligence;Aoua Keita;1936;1964;1999;LWR;Industrial Specialist;Medium;M539037;x
539038;Chief of Staff;Paul Moguez;1943;1964;1999;SL;School of Psychology;Medium;M539038;x
539039;Chief of Staff;Leon Cayla;1936;1964;1999;PA;School of Defence;Medium;M538001;x
539040;Chief of Staff;Abdallah Soumare;1936;1964;1999;LWR;School of Fire Support;Medium;M539040;x
539041;Chief of Army;Aimé Teisseire;1942;1964;1999;SL;Decisive Battle Doctrine;Medium;M539041;x
539042;Chief of Army;Henri Verdier;1936;1964;1999;PA;Static Defence Doctrine;Medium;M539042;x
539043;Chief of Army;Henri Rol-Tanguy;1936;1964;1999;LWR;Decisive Battle Doctrine;Medium;M539043;x
539044;Chief of Navy;Jean Desanti;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M539022;x
539045;Chief of Navy;Ousmane Ibrahim Sall;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M539045;x
539046;Chief of Air Force;Yves Mourier;1942;1964;1999;SL;Army Aviation Doctrine;Medium;M539046;x
539047;Chief of Air Force;Auguste Calvel;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M539023;x
539048;Chief of Air Force;Oumar Ousseynou;1936;1964;1999;LWR;Air Superiority Doctrine;Medium;M539048;x
