ICL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
581001;Head of State;Sveinn Bjornsson;1936;1964;1999;PA;Stern Imperialist;High;M581001;x
581002;Head of Government;Hermann Jonasson;1936;1964;1999;PA;Smiling Oilman;High;M581002;x
581003;Foreign Minister;Olafur Thors;1936;1964;1999;LWR;Ideological Crusader;High;M581003;x
581004;Minister of Armament;Einar Thordarsson;1936;1964;1999;PA;Infantry Proponent;Medium;M581004;x
581005;Minister of Security;Knud Dyby;1936;1964;1999;PA;Crime Fighter;Medium;M581005;x
581006;Head of Military Intelligence;Stefan J. Stefansson;1936;1964;1999;PA;Political Specialist;Medium;M581006;x
581007;Chief of Staff;Thorkil Sonne;1936;1964;1999;PA;School of Defence;Medium;M581007;x
581008;Chief of Army;Walter Ulrich;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M581008;x
581009;Chief of Navy;Ingvar Palmasson;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M581009;x
581010;Chief of Air Force;Jakob R.V. Moller;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M581010;x
581011;Foreign Minister;Stefan J. Stefansson;1936;1964;1999;SD;Great Compromiser;High;M581006;x
581012;Minister of Armament;Ingvar Palmasson;1936;1964;1999;LWR;Submarine Proponent;Medium;M581009;x
581013;Minister of Security;Jakob R.V. Moller;1936;1964;1999;PA;Man of the People;Medium;M581010;x
581014;Head of Military Intelligence;Jorgen F.T. Lolle;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M581014;x
581015;Chief of Staff;August Arendrup;1936;1964;1999;PA;School of Mass Combat;Medium;M581015;x
581016;Chief of Army;Kai Hammerich;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M581016;x
581017;Chief of Navy;Paul Ipsen;1936;1964;1999;PA;Open Seas Doctrine;Medium;M581017;x
581018;Chief of Air Force;Asger E.V. Grandjean;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M581018;x
581019;Head of State;Asgeir Asgeirsson;1936;1964;1999;SL;Pig-headed Isolationist;High;M581019;x
581020;Head of Government;Olafur Thors;1936;1964;1999;LWR;Flamboyant Tough Guy;High;M581003;x
581021;Foreign Minister;Vilhjalmur Thor;1936;1964;1999;PA;Apologetic Clerk;High;M581021;x
581022;Head of Government;Stefan J. Stefansson;1936;1964;1999;SD;Ambitious Union Boss;High;M581006;x
581023;Minister of Armament;Petur Magnusson;1936;1964;1999;LWR;Submarine Proponent;Medium;M581023;x
581024;Minister of Security;Finnur Jonsson;1936;1964;1999;LWR;Back Stabber;Medium;M581024;x
581025;Head of Military Intelligence;Ingvar Palmasson;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M581009;x
581026;Foreign Minister;Bjarni Benediktsson;1936;1964;1999;SD;Great Compromiser;High;M581026;x
581027;Minister of Armament;Johann Th. Josefsson;1936;1964;1999;SD;Military Entrepreneur;Medium;M581027;x
581028;Minister of Security;Bjarni Benediktsson;1936;1964;1999;SD;Compassionate Gentleman;Medium;M581026;x
581029;Minister of Armament;Bjorn Olofsson;1936;1964;1999;LWR;Battle Fleet Proponent;Medium;M581029;x
581030;Head of Military Intelligence;Steingrimur Steinthorsson;1936;1964;1999;SD;Industrial Specialist;Medium;M581030;x
581031;Head of Government;Steingrimur Steinthorsson;1936;1964;1999;SD;Silent Workhorse;High;M581030;x
581032;Minister of Armament;Eysteinn Jonsson;1936;1964;1999;SD;Administrative Genius;Medium;M581032;x
581033;Foreign Minister;Gudmundur Gudmundsson;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;M581033;x
581034;Minister of Security;Einar Arnorsson;1936;1964;1999;LWR;Crime Fighter;Medium;M581034;x
581035;Head of State;Brynjólfur Bjarnason;1936;1964;1999;LE;Barking Buffoon;Medium;ICL_bjarnason;x
581036;Head of Government;Einar Olgeirsson;1936;1964;1999;LE;Silent Workhorse;Medium;ICL_olgeirsson;x
581037;Head of Military Intelligence;Brynjólfur Bjarnason;1936;1964;1999;LE;Political Specialist;Medium;ICL_bjarnason;x
581038;Foreign Minister;Thórbergur Thórdarson;1936;1964;1999;LE;Ideological Crusader;Medium;ICL_thordarson;x
581039;Foreign Minister;Jóhannes úr Kötlum;1936;1964;1999;LE;Great Compromiser;Medium;ICL_kotlum;x
581040;Foreign Minister;Adalsteinn Kristmundsson;1936;1964;1999;LE;Iron fisted brute;Medium;ICL_kristmundsson;x
581041;Head of Military Intelligence;Hédinn Valdimarsson;1936;1964;1999;LE;Industrial Specialist;Medium;ICL_valdimarsson;x
581042;Head of Military Intelligence;Einar Olgeirsson;1936;1964;1999;LE;Political Specialist;Medium;ICL_olgeirsson;x
581043;Minister of Security;Adalsteinn Kristmundsson;1936;1964;1999;LE;Man of the People;Medium;ICL_kristmundsson;x
581044;Minister of Security;Hédinn Valdimarsson;1936;1964;1999;LE;Silent Lawyer;Medium;ICL_valdimarsson;x
581045;Minister of Security;Einar Olgeirsson;1936;1964;1999;LE;Crime Fighter;Medium;ICL_olgeirsson;x
581046;Minister of Armament;Hédinn Valdimarsson;1936;1964;1999;LE;Administrative Genius;Medium;ICL_valdimarsson;x
581047;Chief of Staff;Björn Sveinsson Björnsson;1936;1964;1999;NS;School of Psychology;Medium;ICL_bjornsson;x
581048;Chief of Staff;Hallgrímur Hallgrímsson;1936;1964;1999;LE;School of Mass Combat;Medium;ICL_hallgrimsson;x
581049;Chief of Staff;Agnar Kofoed-Hansen;1936;1964;1999;SD;School of Psychology;Medium;ICL_hansen;x
581050;Chief of Army;Björn Sveinsson Björnsson;1936;1964;1999;NS;Elastic Defence Doctrine;Medium;ICL_bjornsson;x
581051;Chief of Army;Hallgrímur Hallgrímsson;1936;1964;1999;LE;Decisive Battle Doctrine;Medium;ICL_hallgrimsson;x
581052;Chief of Army;Agnar Kofoed-Hansen;1936;1964;1999;SD;Static Defence Doctrine;Medium;ICL_hansen;x
581053;Chief of Navy;Agnar Kofoed-Hansen;1936;1964;1999;SD;Open Seas Doctrine;Medium;ICL_hansen;x
581054;Chief of Air Force;Agnar Kofoed-Hansen;1936;1964;1999;SD;Naval Aviation Doctrine;Medium;ICL_hansen;x
581055;Chief of Air Force;Thorsteinn Jonsson;1936;1964;1999;SD;Air Superiority Doctrine;Medium;ICL_jonsson;x
581056;Head of Military Intelligence;Einar Arnalds;1936;1964;1999;SL;Naval Intelligence Specialist;Medium;ICL_arnalds;x
581057;Minister of Security;Einar Arnalds;1936;1964;1999;SL;Compassionate Gentleman;Medium;ICL_arnalds;x
581058;Chief of Navy;Einar Arnalds;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;ICL_arnalds;x
