URU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
22301;Head of State;M.S.R. Carol II;1936;1964;1999;SC;Benevolent Gentleman;High;M22001;x
22302;Head of Government;Gheorghe Tatarescu;1936;1964;1999;SC;Silent Workhorse;High;M22002;x
22303;Foreign Minister;Nicolae Titulescu;1936;1964;1999;SC;Great Compromiser;Medium;M22003;x
22304;Minister of Armament;Constantin Bratianu;1936;1964;1999;SC;Resource Industrialist;High;M22004;x
22305;Minister of Security;Istrate Micescu;1936;1964;1999;SC;Silent Lawyer;Medium;M22005;x
22306;Head of Military Intelligence;Mihail Moruzov;1936;1964;1999;SC;Logistics Specialist;Very High;M22006;x
22307;Chief of Staff;Ion Antonescu;1936;1964;1999;FA;School of Psychology;High;M22007;x
22308;Chief of Army;Marin Ceausu;1936;1964;1999;SC;Static Defence Doctrine;Low;M22008;x
22309;Chief of Navy;Nicolae Caranfil;1936;1964;1999;SC;Decisive Naval Battle Doctrine;Low;M22009;x
22310;Chief of Air Force;Dante Vizante;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M22010;x
22331;Head of State;M.S.R. Carol II;1936;1964;1999;SL;Benevolent Gentleman;High;M22001;x
22332;Head of State;M.S.R. Carol II;1936;1964;1999;PA;Benevolent Gentleman;High;M22001;x
22334;Head of State;M.S.R. Mihai I;1939;1964;1999;SC;Insignificant Layman;High;M22011;x
22335;Head of State;M.S.R. Mihai I;1939;1964;1999;FA;Insignificant Layman;High;M22011;x
22337;Head of State;M.S.R. Mihai I;1939;1964;1999;ST;Insignificant Layman;High;M22011;x
22338;Head of State;M.S.R. Constantin I. Parhon;1936;1964;1999;ST;Powerhungry Demagogue;High;M22038;x
22339;Head of State;M.S.R. Carol II;1936;1964;1999;NS;Benevolent Gentleman;High;M22001;x
22340;Head of State;M.S.R. Mihai I;1939;1964;1999;NS;Insignificant Layman;High;M22011;x
22341;Head of Government;Octavian Goga;1936;1964;1999;SL;Happy Amateur;High;M22041;x
22342;Head of Government;Miron Cristea;1938;1964;1999;PA;Ambitious Union Boss;High;M22042;x
22343;Head of Government;Armand Calinescu;1939;1964;1999;SL;Smiling Oilman;High;M22043;x
