NIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
48001;Head of State;Juan Bautista Sacasa;1936;1964;1999;SC;Benevolent Gentleman;High;M48001;x
48002;Head of Government;Otto Cortes Fernandez;1936;1964;1999;SC;Silent Workhorse;High;M47035;x
48003;Foreign Minister;Leonardo Argüello Vargas;1936;1964;1999;SC;Iron Fisted Brute;High;M48003;x
48004;Minister of Armament;Anastasio Somoza García;1936;1964;1999;FA;Corrupt Kleptocrat;Very High;M48004;x
48005;Minister of Security;Alcacio Trelles Mendoza;1936;1964;1999;ML;Crooked Kleptocrat;Very High;M48005;x
48006;Head of Military Intelligence;Leonardo Argüello Vargas;1936;1964;1999;SC;Technical Specialist;Medium;M48003;x
48007;Chief of Staff;Anastasio Somoza García;1936;1964;1999;FA;School of Defence;Very High;M48004;x
48008;Chief of Army;Augusto Caraval Antonio;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M48008;x
48009;Chief of Navy;Gustavo Flores Mendienta;1936;1964;1999;SC;Base Control Doctrine;Very High;M48009;x
48010;Chief of Air Force;Guillermo R. Cuadra;1936;1964;1999;SC;Naval Aviation Doctrine;Medium;M48010;x
;Replacements;;;;;;;;;x
48011;Head of State;Anastasio Somoza García;1936;1964;1999;FA;Resigned Generalissimo;High;M48004;x
48012;Head of State;Carlos Brenes Jarquin;1936;1964;1999;PA;Autocratic Charmer;High;M48032;x
48013;Head of State;Leon Cabrales;1936;1964;1999;SL;Insignificant Layman;High;M48011;x
48014;Head of State;Tobias Zúñiaga Montúfar;1936;1964;1999;SL;Stern Imperialist;High;M47033;x
48015;Head of State;Otto Cortes Fernandez;1936;1964;1999;SC;Insignificant Layman;High;M47035;x
48016;Head of State;Rafael Calderon Guardia;1940;1964;1999;SC;Barking Buffoon;High;M47036;x
48017;Head of State;Teodoro Picado Michalski;1944;1964;1999;SC;Resigned Generalissimo;High;M47037;x
48018;Head of State;Alejandro de Castro Lopez;1944;1964;1999;SL;Barking Buffoon;High;M47034;x
48019;Head of State;Benjamin Lacayo Sacasa;1947;1964;1999;SC;Popular Figurehead;High;M48034;x
48020;Head of State;Victor Roman y Reyes;1947;1964;1999;PA;Pig-headed Isolationist;High;M48035;x
48021;Head of State;Santos León Herrera;1947;1964;1999;SC;Pig-headed Isolationist;High;M47133;x
48022;Head of State;Leonardo Argüello Vargas;1947;1964;1999;SC;Die-hard Reformer;High;M48003;x
48023;Head of Government;Leon Cabrales;1936;1964;1999;SC;Happy Amateur;High;M48011;x
48024;Head of Government;Anastasio Somoza García;1936;1964;1999;FA;Old General;High;M48004;x
48025;Head of Government;Adolfo Urribe Castro;1936;1964;1999;SC;Smiling Oilman;High;M47044;x
48026;Head of Government;Tobias Zúñiaga Montúfar;1936;1964;1999;SL;Ambitious Union Boss;High;M47033;x
48027;Head of Government;Leon Cortes Castro;1936;1964;1999;SL;Political Protege;NA;M47002;x
48028;Head of Government;Vicente Morales;1937;1964;1999;SC;Naive Optimist;High;M48038;x
48029;Head of Government;Carlos A. Villanueva;1939;1964;1999;SC;Political Protege;High;M48039;x
48030;Head of Government;Alcacio Trelles Mendoza;1941;1964;1999;SC;Corporate Suit;High;M48005;x
48031;Head of Government;Carlos Brenes Jarquin;1944;1964;1999;SC;Silent Workhorse;High;M48032;x
48032;Head of Government;Guillermo Cuadra;1947;1964;1999;SC;Ambitious Union Boss;High;M48012;x
48033;Head of Government;Santos León Herrera;1947;1964;1999;SC;Corporate Suit;High;M47133;x
48034;Head of Government;Alejandro de Castro Lopez;1944;1964;1999;SL;Happy Amateur;High;M47034;x
48035;Head of Government;Teodoro Picado Michalski;1940;1964;1999;SC;Old General;High;M47037;x
48036;Head of Government;Rafael Calderon Guardia;1944;1964;1999;SC;Flamboyant Tough Guy;High;M47046;x
48037;Foreign Minister;Anastasio Somoza García;1936;1964;1999;FA;The Cloak N Dagger Schemer;High;M48004;x
48038;Foreign Minister;Raúl Gundían;1936;1964;1999;PA;General Staffer;Medium;M47003;x
48039;Foreign Minister;Adolfo Urribe Castro;1936;1964;1999;SC;Apologetic Clerk;Medium;M47044;x
48040;Foreign Minister;Dario Darío y Debayle;1936;1964;1999;SC;General Staffer;High;M48043;x
48041;Foreign Minister;Raúl Gundían;1936;1964;1999;SL;General Staffer;Medium;M47003;x
48042;Foreign Minister;Leon Cabrales;1936;1964;1999;SL;Biased Intellectual;High;M48011;x
48043;Foreign Minister;Leon Cortes Castro;1936;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M47002;x
48044;Foreign Minister;Manuel Cordero Reyes;1937;1964;1999;SC;Great Compromiser;High;M48044;x
