ALI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
999280;Head of State;Sarmatia1871;1936;1964;1999;FA;Powerhungry Demagogue;High;palpatine;X
999281;Head of Government;AC;1936;1964;1999;FA;Ambitious Union Boss;High;vader;X
999282;Foreign Minister;Yuriswe;1936;1964;1999;FA;Iron Fisted Brute;High;motti;X
999283;Minister of Armament;Kibbles;1936;1964;1999;FA;Theoretical Scientist;High;jerjerrod;X
999284;Minister of Security;viader;1936;1964;1999;FA;Prince of Terror;High;tarkin;X
999285;Head of Military Intelligence;Fernando;1936;1964;1999;FA;Dismal Enigma;High;tagge;X
999286;Chief of Staff;Matej von Jakubco;1936;1964;1999;FA;School of Psychology;High;piett;X
999287;Chief of Army;Milites;1936;1964;1999;FA;Decisive Battle Doctrine;High;veers;X
999288;Chief of Navy;Jedrek;1936;1964;1999;FA;Decisive Naval Battle Doctrine;High;ozzel;X
999289;Chief of Air Force;Arturius;1936;1964;1999;FA;Army Aviation Doctrine;High;needa;X
999290;Chief of Staff;FlyingDutchman;1936;1964;1999;FA;School of Manoeuvre;High;yularen;X
999291;Chief of Air Force;Liam Riordan;1936;1964;1999;FA;Air Superiority Doctrine;High;thrawn;X
999292;Chief of Navy;Zauberfloete;1936;1964;1999;FA;Open Seas Doctrine;High;cabbel;X
999293;Foreign Minister;Kretoxian;1936;1964;1999;FA;Great Compromiser;High;nemet;X
999294;Head of Government;Johnny Canuck;1936;1964;1999;FA;Old General;High;bewill;X
999295;Foreign Minister;Kavak;1936;1964;1999;NS;Ideological Crusader;High;lennox;X
999296;Minister of Armament;ArmyDuck;1936;1964;1999;NS;Military Entrepreneur;High;bast;X
999297;Head of Government;Straczynski;1936;1964;1999;NS;Flamboyant Tough Guy;High;shann;X
999298;Minister of Security;GP93;1936;1964;1999;NS;Efficient Sociopath;High;treidum;X
999299;Head of Military Intelligence;Kornilov;1936;1964;1999;NS;Political Specialist;High;praji;X
999300;Minister of Armament;Strategia;1936;1964;1999;NS;Tank Proponent;High;Grievous;X
999301;Foreign Minister;Fischer;1936;1964;1999;NS;Great Compromiser;High;datoo;X
999302;Head of Military Intelligence;Wolf der Sturm;1936;1964;1999;NS;Technical Specialist;High;krennic;X
999303;Head of Government;Ashtak;1936;1964;1999;NS;Silent Workhorse;High;darth_maul;X
999304;Foreign Minister;Grackadillo;1936;1964;1999;NS;Great Compromiser;High;greedo;X
999305;Minister of Armament;Popperfett;1936;1964;1999;NS;Administrative Genius;High;boba;X
