LBY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
576001;Head of State;H.R.M. Zubayr I;1936;1964;1999;PA;Ruthless Powermonger;Very High;kai_lbyzbrahmdalsns;x
576002;Head of State;H.R.M. Idris I al-Sanussi;1936;1964;1999;PA;Popular Figurehead;Very High;Idris;X
576003;Head of State;Sharif El Gariani;1936;1964;1999;PA;Stern Imperialist;Very High;Gariani;X
576004;Head of State;Ramadan Al-Swehli;1936;1964;1999;PA;Benevolent Gentleman;Very High;Al-Swehli;X
576005;Head of Government;Nuri Killigil;1936;1964;1999;PA;Silent Workhorse;Very High;Nuri_Killigil;x
576006;Head of Government;Sharif El Gariani;1936;1964;1999;PA;Flamboyant Tough Guy;Very High;Gariani;X
576007;Head of Government;Ramadan Al-Swehli;1936;1964;1999;PA;Silent Workhorse;Very High;Al-Swehli;X
576008;Foreign Minister;Idris I al-Sanussi;1936;1964;1999;PA;General Staffer;Very High;Idris;X
576009;Foreign Minister;Ahmad al-Halikwi;1939;1964;1999;PA;The Cloak N Dagger Schemer;Very High;M576018;X
576010;Foreign Minister;Abd al-Qadir al-Badri;1941;1964;1999;PA;Biased Intellectual;Very High;al-Badri;X
576011;Foreign Minister;Ahmed Fouad Shennib;1943;1964;1999;PA;Great Compromiser;Very High;unknown;X
576012;Minister of Armament;Idris I al-Sanussi;1936;1964;1999;PA;Infantry Proponent;Very High;Idris;X
576013;Minister of Armament;Ramadan Al-Swehli;1936;1964;1999;PA;Resource Industrialist;Very High;Al-Swehli;X
576014;Minister of Armament;Abd al-Qadir al-Badri;1941;1964;1999;PA;Administrative Genius;Very High;al-Badri;X
576015;Minister of Armament;Ali al-Umlan;1936;1964;1999;PA;Strategic Air Proponent;Very High;M576030;X
576016;Minister of Armament;Hussein Yousef Maziq;1938;1964;1999;PA;Battle fleet Proponent;Very High;Maziq;X
576017;Minister of Armament;Sharif El Gariani;1936;1964;1999;PA;Infantry Proponent;Very High;Gariani;X
576018;Minister of Armament;Ahmad al-Halikwi;1939;1964;1999;PA;Corrupt Kleptocrat;Very High;M576018;X
576019;Minister of Security;Idris I al-Sanussi;1936;1964;1999;PA;Prince of Terror;Very High;Idris;X
576020;Minister of Security;Abd al-Qadir al-Badri;1941;1964;1999;PA;Silent Lawyer;Very High;al-Badri;X
576021;Minister of Security;Ahmed Fouad Shennib;1943;1964;1999;PA;Man of the People;Very High;unknown;X
576022;Minister of Security;Ramadan Al-Swehli;1936;1964;1999;PA;Prince of Terror;Very High;Al-Swehli;X
576023;Minister of Security;Ahmad al-Halikwi;1939;1964;1999;PA;Crooked Kleptocrat;Very High;M576018;X
576024;Head of Military Intelligence;Ramadan Al-Swehli;1936;1964;1999;PA;Industrial Specialist;Very High;Al-Swehli;X
576025;Head of Military Intelligence;Ahmad al-Halikwi;1939;1964;1999;PA;Dismal Enigma;Very High;M576018;X
576026;Head of Military Intelligence;H.R.H. Taher Khimlani;1936;1964;1999;PA;Naval Intelligence Specialist;Very High;M576028;X
576027;Chief of Staff;Idris I al-Sanussi;1936;1964;1999;PA;School of Psychology;Very High;Idris;X
576028;Chief of Staff;Omar al Fayek Shennib;1936;1964;1999;PA;School of Defence;Very High;Shennib;X
576029;Chief of Staff;Mohammar Sidiq;1936;1964;1999;PA;School of Manoeuvre;Very High;M576026;X
576030;Chief of Staff;Sharif El Gariani;1936;1964;1999;PA;School of Mass Combat;Very High;Gariani;X
576031;Chief of Army;Idris I al-Sanussi;1936;1964;1999;PA;Static Defence Doctrine;Very High;Idris;X
576032;Chief of Army;Omar al Fayek Shennib;1936;1964;1999;PA;Static Defence Doctrine;Very High;Shennib;X
576033;Chief of Army;Mohammar Sidiq;1936;1964;1999;PA;Elastic Defence Doctrine;Very High;M576026;X
576034;Chief of Army;Sharif El Gariani;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;Gariani;X
576035;Chief of Navy;Wanis al-Qaddafi;1944;1964;1999;PA;Base Control Doctrine;Very High;al-Qaddafi;X
576036;Chief of Navy;Hussein Yousef Maziq;1938;1964;1999;PA;Decisive Naval Battle Doctrine;Very High;Maziq;X
576037;Chief of Navy;H.R.H. Taher Khimlani;1936;1964;1999;PA;Open Seas Doctrine;Very High;M576028;X
576038;Chief of Air Force;Wanis al-Qaddafi;1944;1964;1999;PA;Vertical Envelopment Doctrine;Very High;al-Qaddafi;X
576039;Chief of Air Force;Ali al-Umlan;1936;1964;1999;PA;Carpet Bombing Doctrine;Very High;M576030;X
576040;Head of State;Abdul Kubar;1936;1964;1999;ML;Insignificant Layman;Very High;M576022;X
576041;Head of State;Muhammad Osman Said;1942;1964;1999;ML;Autocratic Charmer;Very High;Said;X
576042;Head of Government;Abdul Kubar;1936;1964;1999;ML;Naive Optimist;Very High;M576022;X
576043;Head of Government;Muhammad Osman Said;1942;1964;1999;ML;Backroom Backstabber;Very High;Said;X
576044;Foreign Minister;Mahammad Sakizli;1936;1964;1999;ML;General Staffer;Very High;M576024;X
576045;Foreign Minister;Mustafa ben Halim;1941;1964;1999;ML;Ideological Crusader;Very High;M576020;X
576046;Foreign Minister;Abdul Kubar;1936;1964;1999;ML;Apologetic Clerk;Very High;M576022;X
576047;Foreign Minister;Muhammad Osman Said;1942;1964;1999;ML;iron fisted brute;Very High;Said;X
576048;Minister of Armament;Muhammad Osman Said;1942;1964;1999;ML;Laissez-Faire Capitalist;Very High;Said;X
576049;Minister of Armament;Mohieddin Fikini;1945;1964;1999;ML;Military Entrepreneur;Very High;Fikini;X
576050;Minister of Armament;Omar Shegewi;1936;1964;1999;ML;Submarine Proponent;Very High;unknown;X
576051;Minister of Armament;Mahammad Sakizli;1936;1964;1999;ML;Tank Proponent;Very High;M576024;X
576052;Minister of Armament;Umar Mansur Kikhia;1936;1964;1999;ML;Air Superiority Proponent;Very High;M576017;X
576053;Minister of Armament;Ahmed Rafiq Almhadoui;1936;1964;1999;ML;air to ground proponent;Very High;unknown;X
576054;Minister of Armament;Mohamed Abulas’ad El-Alem;1936;1964;1999;ML;air to sea proponent;Very High;unknown;X
576055;Minister of Armament;Abdul Kubar;1936;1964;1999;ML;Theoretical Scientist;Very High;M576022;X
576056;Minister of Security;Mahammad Sakizli;1936;1964;1999;ML;Efficient Sociopath;Very High;M576024;X
576057;Minister of Security;Mustafa ben Halim;1941;1964;1999;ML;Compassionate Gentleman;Very High;M576020;X
576058;Minister of Security;Abdul Kubar;1936;1964;1999;ML;Crime Fighter;Very High;M576022;X
576059;Minister of Security;Muhammad Osman Said;1942;1964;1999;ML;Back Stabber;Very High;Said;X
576060;Head of Military Intelligence;Muhammad Osman Said;1942;1964;1999;ML;Political Specialist;Very High;Said;X
576061;Head of Military Intelligence;Abdul Kubar;1936;1964;1999;ML;Technical Specialist;Very High;M576022;X
576062;Head of Military Intelligence;Mohieddin Fikini;1945;1964;1999;ML;Logistics Specialist;Very High;Fikini;X
576063;Chief of Staff;Mahammad Sakizli;1936;1964;1999;ML;School of Fire Support;Very High;M576024;X
576064;Chief of Staff;Mohieddin Fikini;1945;1964;1999;ML;School of Psychology;Very High;Fikini;X
576065;Chief of Army;Mahammad Sakizli;1936;1964;1999;ML;Armoured Spearhead Doctrine;Very High;M576024;X
576066;Chief of Army;Mohieddin Fikini;1945;1964;1999;ML;Guns and Butter Doctrine;Very High;Fikini;X
576067;Chief of Navy;Mohamed Abulas’ad El-Alem;1936;1964;1999;ML;Power Projection Doctrine;Very High;unknown;X
576068;Chief of Navy;Omar Shegewi;1936;1964;1999;ML;Indirect Approach Doctrine;Very High;unknown;X
576069;Chief of Air Force;Umar Mansur Kikhia;1936;1964;1999;ML;Air Superiority Doctrine;Very High;M576017;X
576070;Chief of Air Force;Ahmed Rafiq Almhadoui;1936;1964;1999;ML;Army Aviation Doctrine;Very High;unknown;X
576071;Chief of Air Force;Mohamed Abulas’ad El-Alem;1936;1964;1999;ML;Naval Aviation Doctrine;Very High;unknown;X
