KAZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
520001;Head of State;Nikolay Skvortsov;1936;1964;1999;LWR;Die-hard Reformer;High;M520001;X
520002;Head of Government;Zhumabay Shayakmetov;1936;1964;1999;LWR;Silent Workhorse;High;M520002;X
520003;Foreign Minister;Levon Mirzoyan;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;M520003;X
520004;Minister of Armament;Azilkhan Nurshaykov;1936;1964;1999;LWR;Air to Ground Proponent;Medium;M520004;X
520005;Minister of Security;Sherkan Murtaza;1936;1964;1999;LWR;Crime Fighter;Medium;M520005;X
520006;Head of Military Intelligence;Sholpan Zhandarbekova;1936;1964;1999;LWR;Dismal Enigma;Medium;M520006;X
520007;Chief of Staff;Ivan Susaikov;1936;1964;1999;LWR;School of Manoeuvre;Medium;M520007;X
520008;Chief of Army;Talgat Bigeldinov;1936;1964;1999;LWR;Decisive Battle Doctrine;Medium;M520008;X
520009;Chief of Navy;Ivan Sergeev;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M520009;X
520010;Chief of Air Force;Arbuz Khan Arsen;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M520010;X
520011;Head of State;Dmitriy Snegin;1936;1964;1999;ML;Insignificant Layman;High;M520011;X
520012;Head of State;Ali Khan Bukaiklianov;1936;1964;1999;PA;Resigned Generalissimo;High;M520012;X
520013;Head of Government;Akhmet Baytursinuli;1936;1964;1999;PA;Political Protege;High;M520013;X
520014;Head of Government;Aleksandr Dutov;1936;1964;1999;PA;Old General;High;M520014;X
520015;Foreign Minister;Dimitrij Kunayev;1936;1964;1999;LWR;Apologetic Clerk;High;M520015;X
520016;Foreign Minister;Shota Ualikhanov;1936;1964;1999;ML;Great Compromiser;High;M520016;X
520017;Foreign Minister;Zaurbek Raibayev;1936;1964;1999;PA;Iron Fisted Brute;High;M520017;X
520018;Minister of Armament;Mazhit Begaliyevm;1936;1964;1999;LWR;Laissez-Faire Capitalist;Medium;M520018;X
520019;Minister of Armament;Mukhtar Shakhanov;1936;1964;1999;ML;Military Entrepreneur;Medium;M520019;X
520020;Minister of Armament;Gabiden Mustafin;1936;1964;1999;PA;Tank Proponent;Medium;M520020;X
520021;Minister of Security;Sergey Oksanur;1936;1964;1999;LWR;Silent Lawyer;Medium;M520021;X
520022;Minister of Security;Itgabit Musrepov;1936;1964;1999;ML;Back Stabber;Medium;M520022;X
520023;Minister of Security;Asanbey Askarov;1936;1964;1999;PA;Prince of Terror;Medium;M520023;X
520024;Minister of Security;Azerbayzhan Mambetov;1936;1964;1999;PA;Silent Lawyer;Medium;M520024;X
520025;Head of Military Intelligence;Gabiden Mustafin;1936;1964;1999;PA;Industrial Specialist;Medium;M520020;X
520026;Head of Military Intelligence;Aizat Temirbek;1936;1964;1999;PA;Dismal Enigma;Medium;M520026;X
520027;Head of Military Intelligence;Raushan Baglanova;1936;1964;1999;LE;Political Specialist;Medium;M520027;X
520028;Chief of Staff;Gulzhan Aneshan;1936;1964;1999;LWR;School of Defence;Medium;M520028;X
520029;Chief of Staff;Nikolai Suchkov;1936;1964;1999;ML;School of Fire Support;Medium;M520029;X
520030;Chief of Staff;Aleksandr Dutov;1936;1950;1999;PA;School of Mass Combat;Medium;M520014;X
520031;Chief of Army;Nikolai Starkov;1936;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;M520031;X
520032;Chief of Army;Nikolai Starostin;1936;1964;1999;ML;Static Defence Doctrine;Medium;M520032;X
520033;Chief of Army;Ali Khan Bukaiklianov;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M520012;X
520034;Chief of Navy;Dimitriy Samarski;1936;1964;1999;LWR;Power Projection Doctrine;Medium;M520034;X
520035;Chief of Navy;Sarafin Sarkisyan;1936;1964;1999;ML;Base Control Doctrine;Medium;M520035;X
520036;Chief of Navy;Manas Gulimbayzyl;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M520036;X
