U04;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
310001;Head of State;Mamadou Dia;1936;1964;1999;ST;Powerhungry Demagogue;Very High;AFR_mamadou_dia;x
310002;Head of State;Léopold Sédar Senghor;1936;1964;1999;LWR;Popular Figurehead;Very High;M539016;x
310003;Head of Government;Mamadou Dia;1936;1964;1999;ST;Ambitious Union Boss;Very High;AFR_mamadou_dia;x
310004;Head of Government;Léopold Sédar Senghor;1936;1964;1999;LWR;Naive Optimist;Very High;M539016;x
310005;Foreign Minister;Mohamadou Djibrilla Maïga;1936;1964;1999;LE;Apologetic Clerk;Very High;Maiga;x
310006;Foreign Minister;Mahamane Alassane Haidara;1936;1964;1999;LWR;The Cloak N Dagger Schemer;Very High;Haidara;x
310007;Foreign Minister;Edward Francis Small;1936;1964;1999;LWR;Ideological Crusader;Very High;unknown;x
310008;Foreign Minister;Tiemoko Garan Kouyaté;1936;1964;1999;LE;Biased Intellectual;Very High;unknown;x
310009;Foreign Minister;Blaise Diagne;1936;1964;1999;LWR;General Staffer;Very High;AFR_blaise_diagne;x
310010;Foreign Minister;Lamine Guèye;1936;1964;1999;LE;Great Compromiser;Very High;AFR_lamine_gueye;x
310011;Foreign Minister;Modibo Keita;1936;1964;1999;LE;iron fisted brute;Very High;AFR_modibo_keita;x
310012;Minister of Armament;Mohamadou Djibrilla Maïga;1936;1964;1999;LE;Administrative Genius;Very High;Maiga;x
310013;Minister of Armament;Tiemoko Garan Kouyaté;1936;1964;1999;LE;Theoretical Scientist;Very High;unknown;x
310014;Minister of Armament;Blaise Diagne;1936;1964;1999;LWR;Military Entrepreneur;Very High;AFR_blaise_diagne;x
310015;Minister of Armament;Abdallah Soumare;1936;1964;1999;LWR;Tank Proponent;Very High;M539040;x
310016;Minister of Armament;Oumar Ousseynou;1936;1964;1999;LWR;Air Superiority Proponent;Very High;M539048;x
310017;Minister of Armament;Boubou Hama;1936;1964;1999;LWR;Infantry Proponent;Very High;Hama;x
310018;Minister of Armament;Barcourgné Courmo;1936;1964;1999;LWR;Strategic Air Proponent;Very High;unknown;x
310019;Minister of Armament;Aoua Keita;1936;1964;1999;LE;Resource Industrialist;Very High;M539037;x
310020;Minister of Armament;Ibrahima Diallo;1936;1964;1999;LWR;Battle fleet Proponent;Very High;Diallo;x
310021;Minister of Armament;Mahamane Alassane Haidara;1936;1964;1999;LWR;Corrupt Kleptocrat;Very High;Haidara;x
310022;Minister of Armament;Lamine Guèye;1936;1964;1999;LE;Laissez-Faire Capitalist;Very High;AFR_lamine_gueye;x
310023;Minister of Armament;Yacouba Sido;1936;1964;1999;LWR;Submarine Proponent;Very High;Sido;x
310024;Minister of Armament;Daniel Ouézzin Coulibaly;1936;1964;1999;LWR;air to ground proponent;Very High;Daniel_Ouezzin_Coulibaly;x
310025;Minister of Armament;Soce Ousmane Diop;1936;1964;1999;LWR;air to sea proponent;Very High;Diop4;x
310026;Minister of Security;Lamine Guèye;1936;1964;1999;LE;Crime Fighter;Very High;AFR_lamine_gueye;x
310027;Minister of Security;Mohamadou Djibrilla Maïga;1936;1964;1999;LE;Man of the People;Very High;Maiga;x
310028;Minister of Security;Mamadou Konaté;1936;1964;1999;LWR;Efficient Sociopath;Very High;M539034;x
310029;Minister of Security;Modibo Keita;1936;1964;1999;LE;Prince of Terror;Very High;AFR_modibo_keita;x
310030;Minister of Security;Tiemoko Garan Kouyaté;1936;1964;1999;LE;Silent Lawyer;Very High;unknown;x
310031;Minister of Security;Mahamane Alassane Haidara;1936;1964;1999;LWR;Crooked Kleptocrat;Very High;Haidara;x
310032;Minister of Security;Edward Francis Small;1936;1964;1999;LWR;Compassionate Gentleman;Very High;unknown;x
310033;Minister of Security;Mamadou Dia;1936;1964;1999;ST;Back Stabber;Very High;AFR_mamadou_dia;x
310034;Head of Military Intelligence;Mohamadou Djibrilla Maïga;1936;1964;1999;LE;Political Specialist;Very High;Maiga;x
310035;Head of Military Intelligence;Tiemoko Garan Kouyaté;1936;1964;1999;LE;Technical Specialist;Very High;unknown;x
310036;Head of Military Intelligence;Mahamane Alassane Haidara;1936;1964;1999;LWR;Dismal Enigma;Very High;Haidara;x
310037;Head of Military Intelligence;Blaise Diagne;1936;1964;1999;LWR;Logistics Specialist;Very High;AFR_blaise_diagne;x
310038;Head of Military Intelligence;Aoua Keita;1936;1964;1999;LE;Industrial Specialist;Very High;M539037;x
310039;Head of Military Intelligence;Hamani Diori;1936;1964;1999;LE;Naval Intelligence Specialist;Very High;M533049;x
310040;Chief of Staff;Boubou Hama;1936;1964;1999;LWR;School of Mass Combat;Very High;Hama;x
310041;Chief of Staff;Abdallah Soumare;1936;1964;1999;LWR;School of Fire Support;Very High;M539040;x
310042;Chief of Staff;Daniel Ouézzin Coulibaly;1936;1964;1999;LWR;School of Defence;Very High;Daniel_Ouezzin_Coulibaly;x
310043;Chief of Staff;Henri Guissou;1936;1964;1999;LE;School of Manoeuvre;Very High;Guissou;x
310044;Chief of Staff;Blaise Diagne;1936;1964;1999;LWR;School of Psychology;Very High;AFR_blaise_diagne;x
310045;Chief of Army;Boubou Hama;1936;1964;1999;LWR;Decisive Battle Doctrine;Very High;Hama;x
310046;Chief of Army;Abdallah Soumare;1936;1964;1999;LWR;Armoured Spearhead Doctrine;Very High;M539040;x
310047;Chief of Army;Daniel Ouézzin Coulibaly;1936;1964;1999;LWR;Static Defence Doctrine;Very High;Daniel_Ouezzin_Coulibaly;x
310048;Chief of Army;Henri Guissou;1936;1964;1999;LE;Elastic Defence Doctrine;Very High;Guissou;x
310049;Chief of Army;Blaise Diagne;1936;1964;1999;LWR;Guns and Butter Doctrine;Very High;AFR_blaise_diagne;x
310050;Chief of Navy;Yacouba Sido;1936;1964;1999;LWR;Indirect Approach Doctrine;Very High;Sido;x
310051;Chief of Navy;Mamadou M'Bodje;1936;1964;1999;LWR;Base Control Doctrine;Very High;M'Bodje;x
310052;Chief of Navy;Ibrahima Diallo;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Very High;Diallo;x
310053;Chief of Navy;Hamani Diori;1936;1964;1999;LE;Open Seas Doctrine;Very High;M533049;x
310054;Chief of Navy;Soce Ousmane Diop;1936;1964;1999;LWR;Power Projection Doctrine;Very High;Diop4;x
310055;Chief of Air Force;Soce Ousmane Diop;1936;1964;1999;LWR;Naval Aviation Doctrine;Very High;Diop4;x
310056;Chief of Air Force;Daniel Ouézzin Coulibaly;1936;1964;1999;LWR;Army Aviation Doctrine;Very High;Daniel_Ouezzin_Coulibaly;x
310057;Chief of Air Force;Oumar Ousseynou;1936;1964;1999;LWR;Air Superiority Doctrine;Very High;M539048;x
310058;Chief of Air Force;Barcourgné Courmo;1936;1964;1999;LWR;Carpet Bombing Doctrine;Very High;unknown;x
310059;Chief of Air Force;Mamadou M'Bodje;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Very High;M'Bodje;x
310060;Head of State;H.R.M. Yusuf;1936;1964;1999;PA;Powerhungry Demagogue;Very High;unknown;x
310061;Head of State;H.R.M. Ahmed Koulamallah;1936;1964;1999;PA;Ruthless Powermonger;Very High;AFR_ahmed_koulamallah;x
310062;Head of State;Tierno Bokar;1936;1964;1999;PA;Popular Figurehead;Very High;unknown;x
310063;Head of Government;Ibrahim Niass;1936;1964;1999;PA;spiritual leader;Very High;Niass;x
310064;Head of Government;Shekna Ahmeda Hamahullah bin Muhammad bin Seydina Umar;1936;1964;1999;PA;spiritual leader;Very High;unknown;x
310065;Head of Government;Tierno Bokar;1936;1964;1999;PA;spiritual leader;Very High;unknown;x
