FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
2001;Head of State;Albert Lebrun;1936;1964;1999;SL;Barking Buffoon;High;M2001;X
2002;Head of Government;Albert Sarraut;1936;1964;1999;SL;Happy Amateur;High;M2002;X
2003;Foreign Minister;Pierre Etienne Flandin;1936;1964;1999;SL;Ideological Crusader;Low;M2003;X
2004;Minister of Armament;Vincent Auriol;1936;1964;1999;LWR;Administrative Genius;High;M2004;X
2005;Minister of Security;Marx Dormoy;1936;1964;1999;SL;Compassionate Gentleman;Medium;M2005;X
2006;Head of Military Intelligence;Joseph Paganon;1936;1964;1999;SL;Political Specialist;Medium;M2006;X
2007;Chief of Staff;Maurice Gamelin;1936;1964;1999;SL;School of Fire Support;Very High;M2007;X
2008;Chief of Army;Maurice Gamelin;1936;1964;1999;SL;Static Defence Doctrine;Very High;M2007;X
2009;Chief of Navy;François Darlan;1960;1964;1999;SL;Open Seas Doctrine;High;M2009;X
2010;Chief of Air Force;Victor Denain;1936;1964;1999;SL;Carpet Bombing Doctrine;Medium;M2010;X
2022;Head of State;Vincent Auriol;1946;1964;1999;LWR;Benevolent Gentleman;High;M2004;X
2023;Head of State;Daniel Mayer;1944;1964;1999;LWR;Weary Stiffneck;High;M2023;X
2030;Head of State;Maurice Thorez;1936;1964;1999;ST;Powerhungry Demagogue;High;M2011;X
2031;Head of State;Charles de Gaulle;1940;1964;1999;SC;Resigned Generalissimo;High;M2027;X
2032;Head of State;Jean de Bourbon;1938;1964;1999;PA;Benevolent Gentleman;High;M2032;X
2033;Head of Government;Léon Blum;1936;1964;1999;LWR;Naive Optimist;High;M2033;X
2034;Head of Government;Felix Gouin;1940;1964;1999;SD;Smiling Oilman;High;M2034;X
2035;Head of Government;Paul Ramadier;1946;1964;1999;LWR;Ambitious Union Boss;Very High;M2035;X
2036;Head of Government;Camille Chautemps;1937;1964;1999;SL;Silent Workhorse;High;M2036;X
2037;Head of Government;Edouard Daladier;1938;1964;1999;SD;Naive Optimist;High;M2037;X
2038;Head of Government;Paul Reynaud;1940;1964;1999;SL;Political Protege;High;M2038;X
2039;Head of Government;Georges Bidault;1946;1964;1999;ML;Old General;High;M2039;X
2040;Head of Government;Pierre Laval;1936;1964;1999;SC;Flamboyant Tough Guy;High;M2040;X
2041;Head of Government;André Marie;1938;1964;1999;SC;Happy Amateur;High;M2041;X
2042;Head of Government;Edouard Herriot;1940;1964;1999;SC;Naive Optimist;High;M2042;X
2043;Head of Government;Antoine Henri Queuille;1941;1964;1999;SC;Corporate Suit;High;M2043;X
2044;Head of Government;Jacques Duclos;1936;1964;1999;ST;Backroom Backstabber;High;M2012;X
2045;Head of Government;Marcel Cachin;1936;1964;1999;ST;Silent Workhorse;High;M2017;X
2046;Head of Government;Charles de Gaulle;1940;1964;1999;SC;Old General;High;M2027;X
2047;Head of Government;Jean-Marie Lattre de Tassigny;1938;1964;1999;SC;Old General;High;M2047;X
2049;Foreign Minister;Joseph Paul Boncour;1936;1964;1999;LE;Ideological Crusader;Medium;M2049;X
