PRI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
527001;Head of State;Aleksandr Kolchak;1920;1964;1999;FA;Admiral Dictator;Very High;Mrus kolchak;X
527002;Head of Government;Grigorij M. Semyonov;1920;1964;1999;FA;Old General;Very High;kai_msemenov;X
527003;Foreign Minister;Boris Bakhmetev;1936;1953;1999;PA;Apologetic Clerk;High;KR_Bakh;X
527004;Minister of Armament;Dmitry Lebedev;1936;1940;1999;FA;Resource Industrialist;Medium;KR_Lebedev;X
527005;Minister of Security;Arkady Udintsev;1936;1960;1999;FA;Prince of Terror;Medium;KR_Udintsev;X
527006;Head of Military Intelligence;Nikolai Orlov;1936;1948;1999;NS;Logistics Specialist;Medium;KR_Orlov;X
527007;Chief of Staff;Pavel Ivanov-Rinov;1936;1945;1999;PA;School of Fire Support;Medium;KR_Rinov;X
527008;Chief of Army;Tryfil Shimansky;1936;1964;1999;LE;Elastic Defence Doctrine;Medium;M527008;X
527009;Chief of Navy;Vitaly Panov;1936;1964;1999;LE;Open Seas Doctrine;Medium;M527009;X
527010;Chief of Air Force;Nikolai Shutt;1936;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M527010;X
527011;Head of State;Nikolay Smirnov;1936;1964;1999;ML;Die-hard Reformer;High;M527011;X
527012;Head of State;Mirsha Vuchilkov;1936;1964;1999;ML;Insignificant Layman;High;M527012;X
527013;Head of Government;Mihail Akseimov;1936;1964;1999;ML;Flamboyant Tough Guy;High;M527013;X
527014;Head of Government;Gennadij Shiyanov;1936;1964;1999;PA;Old Admiral;High;M527014;X
527015;Foreign Minister;Mahmud Gaidar;1936;1964;1999;LE;Ideological Crusader;High;M527015;X
527016;Foreign Minister;Jegor K. Chahine;1936;1964;1999;ML;Biased Intellectual;High;M527016;X
527017;Foreign Minister;Aleksei Sidorenko;1936;1964;1999;ML;Great Compromiser;High;M527017;X
527018;Foreign Minister;Piotr Shulgin;1936;1964;1999;PA;Great Compromiser;High;M527018;X
527019;Foreign Minister;Magomed Gasanovich;1936;1964;1999;PA;Iron Fisted Brute;High;M527019;X
527020;Minister of Armament;Sirazhudin Khabuleyev;1936;1964;1999;LE;Military Entrepreneur;Medium;M527020;X
527021;Minister of Armament;Tryin Tryubachev;1936;1964;1999;ML;Administrative Genius;Medium;M527021;X
527022;Minister of Armament;Gennadij Selezhnev;1936;1964;1999;ML;Air to Ground Proponent;Medium;M527022;X
527023;Minister of Armament;Vladimir Bolshanin;1936;1964;1999;PA;Tank Proponent;Medium;M527023;X
527024;Minister of Armament;Roman Basilevsky;1936;1964;1999;PA;Industrialiser;Medium;M527024;X
527025;Minister of Security;Gennadij Bukaev;1936;1964;1999;LE;Man of the People;Medium;M527025;X
527026;Minister of Security;Victor Krhistenko;1936;1964;1999;ML;Compassionate Gentleman;Medium;M527026;X
527027;Minister of Security;Vladimir Kevorkov;1936;1964;1999;ML;Back Stabber;Medium;M527027;X
527029;Minister of Security;Aleksandyr Davidenko;1936;1964;1999;PA;Compassionate Gentleman;Medium;M527029;X
527030;Head of Military Intelligence;Jelena Shvanova;1936;1964;1999;LE;Industrial Specialist;Medium;M527030;X
527031;Head of Military Intelligence;Viktor A. Shanin;1936;1964;1999;ML;Industrial Specialist;Medium;M527031;X
527032;Head of Military Intelligence;Jegor Koptev;1936;1964;1999;ML;Technical Specialist;Medium;M527032;X
527033;Head of Military Intelligence;Viktor Karelin;1936;1964;1999;PA;Dismal Enigma;Medium;M527033;X
527034;Head of Military Intelligence;Wilfred Filon;1936;1964;1999;PA;Logistics Specialist;Medium;M527034;X
527035;Chief of Staff;Voldar Shalimov;1936;1964;1999;LE;School of Mass Combat;Medium;M527035;X
527036;Chief of Staff;Vassilij A. Shiryaev;1936;1964;1999;ML;School of Defence;Medium;M527036;X
527038;Chief of Army;Ivan Tretyak;1936;1964;1999;LE;Static Defence Doctrine;Medium;M527038;X
