CUB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
33001;Head of State;José Barnet y Vinageras;1936;1964;1999;ML;Insignificant Layman;High;M33001;X
33002;Head of Government;Miguel Gómez y Arias;1936;1964;1999;ML;Naive Optimist;High;M33002;X
33003;Foreign Minister;José Barnet y Vinageras;1936;1964;1999;ML;Iron Fisted Brute;Medium;M33001;X
33004;Minister of Armament;Carlos Prio;1936;1964;1999;ML;Administrative Genius;Low;M33004;X
33005;Minister of Security;Sergio Carbo;1936;1964;1999;ML;Compassionate Gentleman;Medium;M33005;X
33006;Head of Military Intelligence;Manuel Ferrara;1936;1964;1999;ML;Dismal Enigma;Medium;M33006;X
33007;Chief of Staff;Julio Sanguily;1936;1964;1999;ML;School of Defence;Medium;M33007;X
33008;Chief of Army;Salvador Castaneda Castro;1936;1964;1999;ML;Elastic Defence Doctrine;Medium;M33008;X
33009;Chief of Navy;Rodrigo A. Fuentes;1936;1964;1999;ML;Open Seas Doctrine;Medium;M33009;X
33010;Chief of Air Force;Domingo R. del Toro;1936;1964;1999;ML;Army Aviation Doctrine;High;M33010;X
33031;Head of State;Miguel Gómez y Arias;1936;1964;1999;ML;Benevolent Gentleman;High;M33002;X
33032;Head of State;Gerardo Machado;1940;1964;1999;ML;Die-hard Reformer;High;M33032;X
33033;Head of State;Federico Laredo Brú;1936;1964;1999;SD;Insignificant Layman;High;M33014;X
33034;Head of State;Fulgencio Batista;1940;1964;1999;SC;Resigned Generalissimo;High;M33034;X
33035;Head of State;Ramón Grau San Martín;1944;1964;1999;PA;Popular Figurehead;High;M33011;X
33036;Head of State;Juan Martines-Villera;1936;1964;1999;LWR;Powerhungry Demagogue;High;M33021;X
33037;Head of State;Carlos Prio;1944;1964;1999;LWR;Popular Figurehead;High;M33004;X
33038;Head of Government;Gerardo Machado;1936;1964;1999;ML;Silent Workhorse;High;M33032;X
33039;Head of Government;Eduardo Chibas;1940;1964;1999;ML;Political Protege;High;M33013;X
33040;Head of Government;Eugenio Molinet Castro;1944;1964;1999;ML;Corporate Suit;High;M33040;X
33041;Head of Government;Fulgencio Batista;1936;1964;1999;SD;Old General;High;M33034;X
33042;Head of Government;Carlos Mendieta;1940;1964;1999;SC;Flamboyant Tough Guy;High;M33042;X
33043;Head of Government;Fulgencio Batista;1944;1964;1999;PA;Old General;High;M33034;X
33044;Head of Government;Antonio G. Holmes;1936;1964;1999;LWR;Naive Optimist;High;M33022;X
33045;Head of Government;José Irrisari;1941;1964;1999;LWR;Political Protege;High;M33023;X
33046;Foreign Minister;Jorge Luis Echarte;1936;1964;1999;ML;The Cloak N Dagger Schemer;High;M33046;X
33047;Foreign Minister;Eduardo Chibas;1940;1964;1999;ML;Biased Intellectual;High;M33013;X
33048;Foreign Minister;Carlos Mendieta;1944;1964;1999;ML;Iron Fisted Brute;Medium;M33042;X
33049;Foreign Minister;José Manuel Cortina;1936;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M33049;X
33050;Foreign Minister;Juan Remos y Rubio;1937;1964;1999;SD;General Staffer;Medium;M33050;X
33051;Foreign Minister;Miguel Campa y Caraveda;1939;1964;1999;SD;Ideological Crusader;Medium;M33051;X
33052;Foreign Minister;José Manuel Cortina;1940;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M33049;X
33053;Foreign Minister;José Agustín Martínez;1942;1964;1999;SC;Biased Intellectual;Medium;M33053;X
33054;Foreign Minister;E. Santiago Santovenio;1943;1964;1999;SC;Iron Fisted Brute;Medium;M33054;X
33055;Foreign Minister;Jorge Mañach;1944;1964;1999;SC;Apologetic Clerk;Medium;M33055;X
33057;Foreign Minister;Gustavo Cuervo Rubio;1945;1964;1999;PA;Iron Fisted Brute;Medium;M33057;X
33058;Foreign Minister;Alberto Inocente Álvarez;1946;1964;1999;PA;Great Compromiser;Medium;M33058;X
33059;Foreign Minister;José Irrisari;1936;1964;1999;LWR;Biased Intellectual;Very Low;M33023;X
33060;Foreign Minister;Carlos Prio;1944;1964;1999;LWR;Great Compromiser;Medium;M33004;X
33061;Minister of Armament;Ezequiel Garcia Ensenat;1936;1964;1999;ML;Administrative Genius;Medium;M33061;X
33062;Minister of Armament;Miguel Gómez y Arias;1940;1964;1999;ML;Laissez-Faire Capitalist;Medium;M33002;X
33063;Minister of Armament;Eduardo Chibas;1944;1964;1999;ML;Theoretical Scientist;Low;M33013;X
33064;Minister of Armament;Fulgencio Batista;1936;1964;1999;SD;Corrupt Kleptocrat;Medium;M33034;X
33065;Minister of Armament;José Orlando Ferrer;1936;1964;1999;ML;Industrialiser;Medium;M33065;X
33066;Minister of Armament;Porfirio Franca;1940;1964;1999;SC;Corrupt Kleptocrat;Medium;M33066;X
33067;Minister of Armament;Federico L. Bru;1941;1964;1999;SC;Infantry Proponent;Low;M33014;X
33068;Minister of Armament;A. de Aguero y Bethancourt;1943;1964;1999;SC;Air to Ground Proponent;Medium;M33068;X
33069;Minister of Armament;Manuel Ferrara;1944;1964;1999;PA;Corrupt Kleptocrat;Medium;M33006;X
33070;Minister of Armament;Alberto O'Farrill;1946;1964;1999;PA;Administrative Genius;Medium;M33070;X
33071;Minister of Armament;Carlos Prio;1936;1964;1999;LWR;Administrative Genius;High;M33004;X
33072;Minister of Armament;Juan Martines Villera;1940;1964;1999;LWR;Submarine Proponent;Medium;M33021;X
33073;Minister of Armament;Miguel Campa y Caraveda;1944;1964;1999;LWR;Air to Ground Proponent;Medium;M33051;X
33074;Minister of Security;Eugenio Molinet Castro;1936;1964;1999;ML;Crooked Kleptocrat;Medium;M33040;X
33075;Minister of Security;Gerardo Machado;1940;1964;1999;ML;Efficient Sociopath;Medium;M33032;X
33076;Minister of Security;Carlos Hevia;1944;1964;1999;ML;Crime Fighter;High;M33015;X
33077;Minister of Security;P. de Jesús Candelier;1936;1964;1999;SD;Back Stabber;Medium;M33077;X
33078;Minister of Security;A. Odero y Garcia;1939;1964;1999;SD;Compassionate Gentleman;Medium;M33078;X
33079;Minister of Security;Porfirio Franca;1940;1964;1999;SC;Crooked Kleptocrat;Medium;M33066;X
33080;Minister of Security;C. de la Torriente y Peraza;1942;1964;1999;SC;Man of the People;Medium;M33080;X
33081;Minister of Security;Guillermo Portela;1943;1964;1999;SC;Back Stabber;Medium;M33081;X
33082;Minister of Security;Fulgencio Batista;1944;1964;1999;PA;Crooked Kleptocrat;High;M33034;X
33083;Minister of Security;Antonio S. de Bustamente;1946;1964;1999;PA;Crime Fighter;Medium;M33083;X
33084;Minister of Security;Sandalio Junco;1936;1964;1999;LWR;Prince of Terror;Very Low;M33025;X
33085;Minister of Security;Gabriel de la Campa y Cuffi;1944;1964;1999;LWR;Man of the People;Low;M33085;X
33086;Head of Military Intelligence;José Barnet y Vinageras;1936;1964;1999;ML;Political Specialist;Medium;M33001;X
