U00;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
920910;Head of State;J.K.M. Mindaugaas III;1936;1964;1999;FA;german aristocrat;High;kaiserreich mindaugasiii;x
920911;Head of Government;Stanislaw Narutowicz;1936;1964;1999;SC;Naive Optimist;Very High;kaiserreich snarutowicz;x
920912;Foreign Minister;Jan hr. Szembek;1936;1964;1999;PA;Great Compromiser;Low;M13013;x
920913;Minister of Armament;Vladas Jurgutis;1936;1964;1999;PA;Resource Industrialist;High;M28072;x
920914;Minister of Security;Janusz Radziwill;1936;1964;1999;PA;Efficient Sociopath;Medium;M13104;x
920915;Head of Military Intelligence;Franciskus Ivinskis;1936;1964;1999;PA;Logistics Specialist;High;M28103;x
920916;Chief of Staff;Wladyslaw Sikorski;1936;1964;1999;PA;School of Manoeuvre;Medium;M13043;x
920917;Chief of Army;Stasys Rastikis;1936;1964;1999;FA;Elastic Defence Doctrine;Medium;M28008;x
920918;Chief of Navy;Jerzy Swirski;1936;1964;1999;PA;Open Seas Doctrine;Medium;M13009;x
920919;Chief of Air Force;Józef Zajac;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M13010;x
920920;Head of State;Feliks Dzierzynski;1936;1964;1999;ST;powerhungry demagogue;Very High;kaiserreich feliksdzierzynski;x
920921;Head of State;Justas Paleckis;1938;1964;1999;ST;Insignificant Layman;High;M28021;x
920922;Head of State;Karol Radek;1938;1964;1999;ST;Ruthless Powermonger;High;kaiserreich kradek;x
920923;Head of State;Jan Wolski;1936;1964;1999;LWR;Die-hard Reformer;High;kaiserreich jwolski;x
920924;Head of State;Stanislaw Wojciechowski;1936;1964;1999;SD;Insignificant Layman;High;kaiserreich swojciechowski;x
920925;Head of State;Kazys Grinius;1936;1964;1999;SL;Stern Imperialist;High;kaiserreich kgrinius;x
920926;Head of State;Mieczyslaw Michalowicz;1936;1964;1999;ML;Die-hard Reformer;High;kaiserreich mmichalowicz;x
920927;Head of State;Stanislaw Narutowicz;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich snarutowicz;x
920928;Head of State;Wladyslaw Sikorski;1936;1964;1999;PA;Resigned Generalissimo;High;M13043;x
920929;Head of State;Roman Dmowski;1936;1964;1999;NS;Stern Imperialist;High;M13050;x
920930;Head of State;Tadeusz Bielecki;1936;1964;1999;NS;Barking Buffoon;High;M13051;x
920941;Head of Government;Karol Radek;1936;1964;1999;ST;Silent Workhorse;High;kaiserreich kradek;x
920942;Head of Government;Vincas Kreve-Mickevicius;1936;1964;1999;ST;Ambitious Union Boss;High;M28053;x
920943;Head of Government;Stanislaw Lancucki;1936;1964;1999;LWR;Silent Workhorse;High;kaiserreich slancucki;x
920944;Head of Government;Norbert Barlicki;1936;1964;1999;SD;Silent Workhorse;High;M13021;x
920945;Head of Government;Stanislaw Mikolajczyk;1940;1964;1999;SL;Ambitious Union Boss;Medium;M13046;x
920946;Head of Government;Mikolaj Kwasniewski;1936;1964;1999;ML;Silent Workhorse;Very High;kaiserreich mkwasniewski;x
920947;Head of Government;Leonas Bistras;1936;1964;1999;SC;Backroom Backstabber;High;M28077;x
920948;Head of Government;Jan Stanislaw Jankowski;1936;1964;1999;SC;Silent Workhorse;High;kaiserreich jsjankowski;x
920949;Head of Government;Wladyslaw Sikorski;1936;1964;1999;PA;Old General;High;M13043;x
920950;Head of Government;Stanislaw Cat-Mackiewicz;1936;1964;1999;PA;Flamboyant Tough Guy;High;kaiserreich smackiewicz;x
920951;Head of Government;Eustachy Sapieha;1936;1964;1999;PA;Naive Optimist;High;kaiserreich esapieha;x
920952;Head of Government;Wladyslaw Studnicki;1936;1964;1999;PA;Backroom Backstabber;High;kaiserreich wstudnicki;x
920953;Head of Government;Adam Doboszyñski;1936;1964;1999;NS;Flamboyant Tough Guy;High;kaiserreich adoboszynski;x
920954;Head of Government;Tadeusz Bielecki;1936;1964;1999;NS;Backroom Backstabber;High;M13051;x
920955;Head of Government;Janusz Radziwill;1936;1964;1999;PA;Political Protege;Very High;M13104;x
920956;Head of Government;Juozas Ambrazevicius;1936;1964;1999;SC;Corporate Suit;High;M28020;x
920965;Foreign Minister;Roza Luksemburg;1936;1964;1999;ST;Ideological Crusader;Low;kaiserreich rluksemburg;x
920966;Foreign Minister;Henryk Walecki;1936;1964;1999;ST;Biased Intellectual;High;kaiserreich hwalecki;x
920967;Foreign Minister;Karolis Didziulis-Grosmanas;1936;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M28067;x
920968;Foreign Minister;Eliezer Herszauge;1936;1964;1999;LWR;Ideological Crusader;Low;kaiserreich eherszuage;x
920969;Foreign Minister;Norbert Barlicki;1936;1964;1999;SD;The Cloak N Dagger Schemer;High;M13021;x
920970;Foreign Minister;Adam Ciolkosz;1941;1964;1999;SD;Apologetic Clerk;Medium;kaiserreich aciolkosz;x
920971;Foreign Minister;Gabriel Narutowicz;1936;1964;1999;SL;Biased Intellectual;High;kaiserreich gnarutowicz;x
920972;Foreign Minister;Ernestas Galvanauskas;1936;1964;1999;SL;Apologetic Clerk;Medium;M28059;x
920973;Foreign Minister;Stasys Lozoraitis;1936;1964;1999;ML;Great Compromiser;Medium;M28003;x
920974;Foreign Minister;Aleksander Lednicki;1936;1964;1999;ML;Biased Intellectual;Low;kaiserreich alednicki;x
920975;Foreign Minister;Petras Klimas;1936;1964;1999;ML;The Cloak N Dagger Schemer;Medium;kaiserreich pklimas;x
920976;Foreign Minister;Konstanty Skirmunt;1936;1964;1999;SC;Great Compromiser;Medium;kaiserreich kskirmunt;x
920977;Foreign Minister;Aleksandras Stulginskis;1936;1964;1999;SC;Biased Intellectual;Medium;kaiserreich astulginskis;x
920978;Foreign Minister;Eustachy Sapieha;1936;1964;1999;PA;Biased Intellectual;Low;kaiserreich esapieha;x
920979;Foreign Minister;Alfred Wysocki;1936;1964;1999;PA;Biased Intellectual;Medium;kaiserreich awysocki;x
920980;Foreign Minister;Archbishop A. Sapieha;1936;1964;1999;FA;Ideological Crusader;Very High;kaiserreich asapieha;x
920981;Foreign Minister;Jedrzej Giertych;1936;1964;1999;NS;Ideological Crusader;Medium;M13067;x
920982;Foreign Minister;Zygmunt Berezowski;1936;1964;1999;NS;iron fisted brute;Medium;kaiserreich zberezowski;x
920983;Foreign Minister;Jonas Vileisis;1936;1964;1999;SD;Biased Intellectual;Medium;kaiserreich jvilesis;x
920984;Foreign Minister;Juozas Urbsys;1936;1964;1999;PA;General Staffer;Medium;M28058;x
920993;Minister of Armament;Icikas Meskupas-Adomas;1936;1964;1999;ST;Corrupt Kleptocrat;Medium;M28081;x
920994;Minister of Armament;Mecislovas Gedvilas;1940;1964;1999;ST;Theoretical Scientist;Medium;M28024;x
920995;Minister of Armament;Wanda Wasilewska;1936;1964;1999;LE;Military Entrepreneur;Medium;M13038;x
920996;Minister of Armament;Tomasz Pilarski;1936;1964;1999;LWR;Military Entrepreneur;High;kaiserreich tpilarski;x
920997;Minister of Armament;Herman Liebermann;1938;1964;1999;SD;Infantry Proponent;High;M13027;x
920998;Minister of Armament;Aleksander Prystor;1936;1964;1999;SD;Infantry Proponent;High;kaiserreich aprystor;x
920999;Minister of Armament;Marian Zyndram-Koscialkowski;1936;1964;1999;SL;Infantry Proponent;Medium;M13002;x
921000;Minister of Armament;Jan Piekalkiewicz;1936;1964;1999;SL;Administrative Genius;Very High;M13065;x
921001;Minister of Armament;Jonas Vailokaitis;1936;1964;1999;ML;Laissez-Faire Capitalist;Medium;M28063;x
921002;Minister of Armament;Leonas Bistras;1936;1964;1999;SC;Infantry Proponent;Medium;M28077;x
921003;Minister of Armament;Jan Stecki;1936;1964;1999;PA;Resource Industrialist;High;kaiserreich jstecki;x
921004;Minister of Armament;Jonas Smilgevicius;1936;1964;1999;PA;laissez-faire capitalist;Medium;kaiserreich jsmilgevicius;x
921005;Minister of Armament;Andrzej Wierzbicki;1936;1964;1999;PA;laissez-faire capitalist;High;kaiserreich AndrzejWierzbicki;x
921006;Minister of Armament;Eugeniusz Kwiatkowski;1938;1964;1999;PA;Administrative Genius;High;M13052;x
921007;Minister of Armament;Jerzy Zdziechowski;1936;1964;1999;NS;Resource Industrialist;Medium;kaiserreich jzdziechowski;x
921008;Minister of Armament;Roman Rybarski;1936;1964;1999;NS;Administrative Genius;Medium;kaiserreich rrybarski;x
921009;Minister of Armament;Henryk Leon Strasburger;1936;1964;1999;PA;laissez-faire capitalist;Medium;M13066;x
921010;Minister of Armament;Adam Krzyzanowski;1938;1964;1999;ML;laissez-faire capitalist;High;kaiserreich akrzyzankowski;x
921019;Minister of Security;Antanas Snieckus;1936;1964;1999;ST;Crime Fighter;Medium;M28041;x
921020;Minister of Security;Adolf Warski;1936;1964;1999;LE;Man of the People;High;kaiserreich awarski;x
921021;Minister of Security;Boleslaw Bierut;1936;1964;1999;ST;Back Stabber;High;M13033;x
921022;Minister of Security;Szymon Radowicki;1936;1964;1999;LWR;Man of the People;High;kaiserreich szradowicki;x
921023;Minister of Security;Steponas Kairys;1936;1964;1999;SD;Man of the People;Medium;kaiserreich skairys;x
921024;Minister of Security;Zygmunt Zaremba;1936;1964;1999;SD;Prince of Terror;Medium;kaiserreich zzaremba;x
921025;Minister of Security;Mieczyslaw Niedzialkowski;1936;1964;1999;SD;Crime Fighter;Medium;M13095;x
921026;Minister of Security;Mykolas Sleževièius;1936;1964;1999;SL;Crime Fighter;Medium;M28085;x
921027;Minister of Security;Mieczyslaw Bilek;1936;1964;1999;ML;Crime Fighter;Medium;kaiserreich mbilek;x
921028;Minister of Security;Pranas Dovydaitis;1936;1964;1999;SC;Silent Lawyer;Medium;M28091;x
921029;Minister of Security;Kazys Bizauskas;1936;1964;1999;SC;Crooked Kleptocrat;Medium;kaiserreich kbizauskas;x
921030;Minister of Security;Karol Popiel;1936;1964;1999;SC;Silent Lawyer;High;M13098;x
921031;Minister of Security;Zdzislaw Lubomirski;1936;1964;1999;PA;Compassionate Gentleman;Very High;kaiserreich zlubomirski;x
921032;Minister of Security;Stanislaw Bukowiecki;1936;1964;1999;PA;Crime Fighter;Very High;kaiserreich StanislawBukowiecki;x
921033;Minister of Security;Franciszek Salezy Potocki;1938;1964;1999;PA;Man of the People;Medium;kaiserreich fpotocki;x
921034;Minister of Security;Seweryn Czetwertynski;1936;1964;1999;NS;Crooked Kleptocrat;Medium;kaiserreich sczetwertyñski;x
921035;Minister of Security;Mieczyslaw Trajdos;1938;1964;1999;NS;Silent Lawyer;Medium;M13101;x
921036;Minister of Security;Tadeusz Bielecki;1936;1964;1999;NS;Prince of Terror;Medium;M13051;x
921046;Head of Military Intelligence;Vincentas Leskys;1938;1964;1999;ST;Industrial Specialist;Medium;M28109;x
921047;Head of Military Intelligence;Waclaw Komar;1936;1964;1999;ST;Logistics Specialist;Medium;kaiserreich wkomar;x
921048;Head of Military Intelligence;Stanislaw Dubois;1936;1964;1999;SD;Technical Specialist;Medium;M13026;x
921049;Head of Military Intelligence;Walery Slawek;1936;1964;1999;SD;Dismal Enigma;High;kaiserreich wslawek;x
921050;Head of Military Intelligence;Jurgis Saulys;1936;1964;1999;SC;Technical Specialist;Medium;M28107;x
921051;Head of Military Intelligence;Adam Tarnowski;1939;1964;1999;SC;Dismal Enigma;High;M13061;x
921052;Head of Military Intelligence;Marian Rejewski;1936;1964;1999;PA;Technical Specialist;High;kaiserreich MarianRejewski;x
921053;Head of Military Intelligence;Jan Kowalewski;1936;1964;1999;PA;Logistics Specialist;Medium;kaiserreich jkowalewski;x
921054;Head of Military Intelligence;Feliks Koneczny;1936;1964;1999;NS;Technical Specialist;High;M13108;x
921055;Head of Military Intelligence;Kazimierz Bartel;1938;1964;1999;SL;Political Specialist;Medium;M13105;x
921065;Chief of Staff;Karol Swierczewski;1936;1964;1999;ST;School of Fire Support;Medium;M13028;x
921066;Chief of Staff;Aleksandras Guzevicius;1941;1964;1999;ST;School of Defence;Medium;M28030;x
921067;Chief of Staff;Pawel Lew Marek;1936;1964;1999;LWR;School of Psychology;Medium;kaiserreich plmarek;x
921068;Chief of Staff;Herman Lieberman;1938;1964;1999;SD;School of Psychology;Medium;M13027;x
921069;Chief of Staff;Tadeusz Kutrzeba;1936;1964;1999;ML;School of Manoeuvre;High;L8070;x
921070;Chief of Staff;Juoza Barzda-Bradauskas;1936;1964;1999;SC;School of Psychology;Medium;M28017;x
921071;Chief of Staff;Antoni Szylling;1936;1964;1999;SC;School of Defence;High;L8140;x
921072;Chief of Staff;Wladyslaw Bortnowski;1936;1964;1999;SC;School of Fire Support;High;L8008;x
921073;Chief of Staff;Jonas Cernius;1936;1964;1999;PA;School of Manoeuvre;High;M28014;x
921074;Chief of Staff;Marian Januszajtis-¯egota;1936;1964;1999;NS;School of Psychology;Medium;kaiserreich mjanuszajtiszegota;x
921075;Chief of Staff;Stasys Rastikis;1936;1964;1999;PA;School of Fire Support;Medium;M28008;x
921085;Chief of Army;Karol Swierczewski;1936;1964;1999;ST;Decisive Battle doctrine;Medium;M13028;x
921086;Chief of Army;Jurgis Terleckas;1936;1964;1999;ST;Guns and Butter Doctrine;Medium;M28098;x
921087;Chief of Army;Pawel Lew Marek;1936;1964;1999;LWR;Guns and Butter Doctrine;Very high;kaiserreich plmarek;x
921088;Chief of Army;Wladyslaw Anders;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;M13125;x
921089;Chief of Army;Wladyslaw Bortnowski;1936;1964;1999;SC;Static Defence Doctrine;High;L8008;x
921090;Chief of Army;Antoni Szylling;1936;1964;1999;SC;Elastic Defence Doctrine;High;L8140;x
921091;Chief of Army;Stanislaw Maczek;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;L8075;x
921092;Chief of Army;Kazys Musteikis;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M28125;x
921093;Chief of Army;Marian Januszajtis-¯egota;1936;1964;1999;NS;elastic defence doctrine;Medium;kaiserreich mjanuszajtiszegota;x
921094;Chief of Army;Wladyslaw Sikorski;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M13043;x
921104;Chief of Navy;Adam Mohuczy;1936;1964;1999;LE;Base Control Doctrine;Medium;kaiserreich amohuczy;x
921105;Chief of Navy;Tadeusz Morgenstern-Podjazd;1938;1964;1999;SD;Open Seas Doctrine;Medium;unknown;x
921116;Chief of Air Force;Aleksandras Guzevicius;1936;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M28030;x
921117;Chief of Air Force;Juozas Baukarskas;1945;1964;1999;ST;Army Aviation Doctrine;Medium;M28145;x
921118;Chief of Air Force;Witold Urbanowicz;1939;1964;1999;ML;Air Superiority Doctrine;Medium;kaiserriech wurbanowicz;x
921119;Chief of Air Force;Stanislaw Pawluc;1939;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M13135;x
921120;Chief of Air Force;Wladyslaw Kalkus;1938;1964;1999;PA;Air Superiority Doctrine;Medium;M13136;x
921121;Chief of Air Force;Ludomil Rayski;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M13134;
