ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1002;Head of Government;Stanley Baldwin;1936;1964;1999;ML;Backroom Backstabber;High;M1002;X
1003;Foreign Minister;Anthony Eden;1936;1964;1999;ML;Ideological Crusader;Medium;M1003;X
1004;Minister of Armament;Oswald Mosley;1936;1964;1999;ST;Resource Industrialist;High;kaiserreich mosley1;X
1005;Minister of Security;John Simon;1936;1964;1999;ML;Crime Fighter;High;M1005;X
1006;Head of Military Intelligence;Hugh Sinclair;1936;1964;1999;ML;Logistics Specialist;Very High;kaiserreich sinclair;X
1010;Chief of Air Force;Owen Boyd;1936;1964;1999;ML;Air Superiority Doctrine;High;kaiserreich tboyd;X
1036;Head of State;Nye Bevan;1936;1964;1999;LWR;Pig-headed Isolationist;High;Kaiserreich Nye Bevan;X
1037;Head of Government;Neville Chamberlain;1936;1964;1999;ML;Naive Optimist;High;M1004;X
557568;Chief of Army;Nevil Brownjohn;1940;1964;1999;LWR;Guns and Butter Doctrine;High;ENG_Nevil_Brownjohn;X
1040;Head of Government;Clement Attlee;1937;1964;1999;SL;Silent Workhorse;High;kaiserreich attlee;X
1042;Head of Government;Oswald Mosley;1936;1964;1999;LE;Flamboyant Tough Guy;High;kaiserreich mosley1;X
1043;Head of Government;Harry Pollitt;1936;1964;1999;LWR;Ambitious Union Boss;High;kaiserreich pollittdesk;X
1046;Foreign Minister;John Selwyn Lloyd;1944;1964;1999;ML;Biased Intellectual;High;M1046;X
1047;Foreign Minister;Ernest Bevin;1937;1964;1999;LWR;The Cloak N Dagger Schemer;High;kaiserreich bevin;X
1048;Foreign Minister;Herbert Morrison;1936;1964;1999;SL;Biased Intellectual;High;kaiserreich morrison;X
1049;Foreign Minister;William Joyce;1936;1964;1999;ST;General Staffer;Low;kaiserreich joyce;X
1050;Foreign Minister;Arthur Wellesley;1939;1964;1999;PA;Great Compromiser;Low;M1050;X
1051;Foreign Minister;Josslyn Erroll;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M1051;X
1052;Foreign Minister;Henry Williamson;1941;1964;1999;FA;Biased Intellectual;Medium;M1052;X
1055;Foreign Minister;Rajani Palme Dutt;1936;1964;1999;LE;Biased Intellectual;Medium;kaiserreich dutt;X
1056;Foreign Minister;Phil Piratin;1936;1964;1999;ST;The Cloak N Dagger Schemer;Medium;kaiserreich piratin;X
1057;Foreign Minister;Denis Nowell Pritt ;1943;1964;1999;ST;Apologetic Clerk;Medium;kaiserreich dpritt;X
1058;Foreign Minister;Dave Springhall;1936;1964;1999;LWR;Iron Fisted Brute;Medium;kaiserreich springhall;X
1059;Foreign Minister;Ian Mikardo;1936;1964;1999;LWR;Ideological Crusader;Medium;kaiserreich mikardo;X
1060;Minister of Armament;John Simon;1937;1964;1999;ML;Resource Industrialist;High;M1005;X
1061;Minister of Armament;John Anderson;1939;1964;1999;ML;Laissez-Faire Capitalist;High;M1061;X
1062;Minister of Armament;Kingsley Wood;1936;1964;1999;ML;Resource Industrialist;High;M1062;X
1064;Minister of Armament;Robert Butler;1945;1964;1999;ML;Theoretical Scientist;Very High;M1064;X
1065;Minister of Armament;Hugh Dalton;1937;1964;1999;SL;Resource Industrialist;Medium;M1065;X
1066;Minister of Armament;Clement Attlee;1936;1964;1999;LWR;Administrative Genius;Medium;kaiserreich attlee;X
1068;Minister of Armament;Neville Chamberlain;1936;1964;1999;ML;Laissez-Faire Capitalist;High;M1004;X
1069;Minister of Armament;Alliott Vernon-Roe;1938;1964;1999;PA;Air to Ground Proponent;High;M1069;X
1070;Minister of Armament;Neil Francis-Hawkins;1939;1964;1999;FA;Submarine Proponent;High;M1070;X
1071;Minister of Armament;Alexander Raven-Thomson;1941;1964;1999;FA;Strategic Air Proponent;High;M1071;X
1072;Minister of Armament;Jorian Jenks;1942;1964;1999;PA;Battle Fleet Proponent;High;M1072;X
1073;Minister of Armament;A.J.P. Taylor;1944;1964;1999;PA;Laissez-Faire Capitalist;High;M1073;X
1074;Minister of Armament;Stafford Cripps;1936;1964;1999;LWR;Keynesian Economy;Medium;kaiserreich cripps;X
1075;Minister of Armament;Leslie Solley;1938;1964;1999;ST;Resource Industrialist;Very High;kaiserreich leslie;X
1076;Minister of Armament;Arthur Horner;1936;1964;1999;ML;Resource Industrialist;Medium;M1076;X
1077;Minister of Armament;Jack Gaster;1963;1964;1999;LE;Submarine Proponent;Medium;M1077;X
1078;Minister of Armament;Abe Moffat;1936;1964;1999;LWR;Tank Proponent;Medium;kaiserreich moffat;X
1079;Minister of Armament;William Rust;1944;1964;1999;ST;Infantry Proponent;Medium;M1079;X
1080;Minister of Armament;Konnie Zilliacus;1945;1964;1999;LWR;Air Superiority Proponent;Medium;kaiserreich konnie;X
1081;Minister of Security;Stanley Baldwin;1936;1964;1999;ML;Man of the People;Medium;M1002;X
1082;Minister of Security;Austen Chamberlain;1936;1964;1999;ML;Efficient Sociopath;High;M1082;X
1083;Minister of Security;Samuel Hoare;1937;1964;1999;ML;Man of the People;High;M1083;X
1084;Minister of Security;Neil Francis Hawkins;1936;1950;1951;ST;Efficient Sociopath;High;kaiserreich hawkins;X
1085;Minister of Security;David Maxwell Fyfe;1941;1964;1999;ML;Compassionate Gentleman;High;M1085;X
1086;Minister of Security;Donald Bradley Somervell;1945;1964;1999;ML;Crime Fighter;High;M1086;X
1087;Minister of Security;Brendan Bracken;1946;1964;1999;ML;Silent Lawyer;Very High;kaiserreich brendan;X
1088;Minister of Security;Herbert Morrison;1936;1964;1999;LWR;Man of the People;Very High;kaiserreich morrison;X
1089;Minister of Security;James Chuter Ede;1945;1964;1999;SL;Prince of Terror;Very High;M1089;X
1090;Minister of Security;Arnold Spencer-Leese;1936;1964;1999;FA;Prince of Terror;Low;M1015;X
1091;Minister of Security;John Beckett;1936;1964;1999;FA;Compassionate Gentleman;Medium;M1091;X
1092;Minister of Security;Arthur Chesterton;1941;1964;1999;PA;Back Stabber;Medium;M1092;X
1093;Minister of Security;Jeffrey Hamm;1942;1964;1999;ST;Crime Fighter;Medium;M1093;X
1094;Minister of Security;Maxwell Knight;1943;1964;1999;PA;Man of the People;Medium;M1094;X
1095;Minister of Security;Violet Lansbury;1936;1964;1999;ST;Prince of Terror;Medium;M1095;X
1096;Minister of Security;Lester Hutchinson;1963;1964;1999;ST;Back Stabber;Medium;M1096;X
1097;Minister of Security;John Platts-Mills;1936;1964;1999;LWR;Silent Lawyer;Medium;kaiserreich plattsmills;X
1098;Minister of Security;Sydney Silvermann;1936;1964;1999;ST;Man of the People;Medium;kaiserreich silverman;X
1099;Minister of Security;Barbara Castle;1936;1964;1999;LWR;Crime Fighter;Medium;kaiserreich bcastle;X
1100;Minister of Security;Kim Philby;1936;1964;1999;ST;Compassionate Gentleman;Very High;kaiserreich kimp;X
1102;Head of Military Intelligence;Robert Cecil;1937;1964;1999;ML;Industrial Specialist;Very High;kaiserreich cecil;X
1103;Head of Military Intelligence;Robert Menzies;1936;1964;1999;ML;Dismal Enigma;Very High;kaiserreich menzies;X
1105;Head of Military Intelligence;Kim Philby;1946;1964;1999;ML;Technical Specialist;Very Low;kaiserreich kimp;X
1106;Head of Military Intelligence;Brendan Bracken;1937;1964;1999;ML;Political Specialist;Very High;kaiserreich brendan;X
1107;Head of Military Intelligence;S.P. James;1936;1964;1999;PA;Industrial Specialist;High;M1016;X
1108;Head of Military Intelligence;Barry E. Domvile;1964;1964;1999;PA;Naval Intelligence Specialist;High;M1019;X
1109;Head of Military Intelligence;Maxwell Knight;1942;1964;1999;PA;Logistics Specialist;Medium;M1094;X
1111;Head of Military Intelligence;William Gallacher;1936;1964;1999;LE;Industrial Specialist;High;kaiserreich gallacher;X
1112;Head of Military Intelligence;Christopher Hill;1936;1964;1999;ST;Naval Intelligence Specialist;High;kaiserreich hill;X
1113;Head of Military Intelligence;Nye Bevan;1943;1964;1999;LWR;Dismal Enigma;High;Kaiserreich Nye Bevan;X
1114;Head of Military Intelligence;Anthony Blunt;1936;1964;1999;LWR;Political Specialist;Very High;kaiserreich ablunt;X
1115;Head of Military Intelligence;Kim Philby;1936;1964;1999;ST;Technical Specialist;Very High;kaiserreich kimp;X
1117;Chief of Staff;John Vereker;1936;1964;1999;ML;School of Manoeuvre;Very High;kaiserreich verker;X
1119;Chief of Staff;John Dill;1939;1964;1999;ML;School of Fire Support;Very High;M1119;X
1120;Chief of Staff;Alan Brooke;1936;1964;1999;SD;School of Mass Combat;Very High;kaiserreich brooke;X
1122;Chief of Staff;Archibald Nye;1941;1964;1999;LWR;School of Mass Combat;Very High;M1122;X
1123;Chief of Staff;Bernard Montgomery;1939;1964;1999;SD;School of Manoeuvre;Medium;kaiserreich monty;X
1125;Chief of Staff;Barry E. Domvile;1964;1964;1999;PA;School of Psychology;High;M1019;X
1126;Chief of Staff;Tom Wintringham;1936;1964;1999;LE;School of Mass Combat;High;kaiserreich twitt;X
1128;Chief of Army;John Vereker;1937;1964;1999;ML;Armoured Spearhead Doctrine;Very High;kaiserreich verker;X
1130;Chief of Army;Alan Brooke;1936;1964;1999;SD;Decisive Battle Doctrine;Very High;kaiserreich brooke;X
1132;Chief of Army;Sir John Dill;1937;1964;1999;ML;Elastic Defence Doctrine;Very High;M1119;X
1133;Chief of Army;Bernard Montgomery;1936;1964;1999;SD;Armoured Spearhead Doctrine;Medium;kaiserreich monty;X
1135;Chief of Army;Bill Alexander;1936;1964;1999;LE;Static Defence Doctrine;High;kaiserreich bill;X
1138;Chief of Navy;Andrew Cunningham;1936;1964;1999;LWR;Power Projection Doctrine;High;kaiserreich cunningham;X
1142;Chief of Navy;Barry E. Domvile;1964;1964;1999;PA;Power Projection Doctrine;High;M1019;X
1143;Chief of Navy;E.H. Cole;1942;1964;1999;FA;Open Seas Doctrine;High;M1143;X
1144;Chief of Navy;Fred Copeman;1936;1964;1999;LWR;Indirect Approach Doctrine;High;M1029;X
1145;Chief of Navy;Harry Pollitt;1939;1964;1999;LWR;Decisive Naval Battle Doctrine;High;kaiserreich pollitt1;X
1148;Chief of Air Force;Arthur Tedder;1945;1964;1999;ML;Army Aviation Doctrine;Very High;kaiserreich tedder;X
1151;Chief of Air Force;John Chamier;1936;1964;1999;FA;Vertical Envelopment Doctrine;High;M1020;X
1152;Chief of Air Force;Williams Sempill;1939;1964;1999;PA;Carpet Bombing Doctrine;High;M1152;X
1153;Chief of Air Force;Donald Marendaz;1941;1964;1999;PA;Air Superiority Doctrine;High;M1153;X
1154;Chief of Air Force;Railton Freeman;1943;1964;1999;PA;Naval Aviation Doctrine;High;M1154;X
1155;Chief of Air Force;John Strachey;1936;1964;1999;ST;Carpet Bombing Doctrine;High;kaiserreich strachey;X
1158;Foreign Minister;Samuel Hoare;1939;1964;1999;ML;Apologetic Clerk;High;M1083;X
1159;Minister of Security;John Anderson;1939;1964;1999;ML;Compassionate Gentleman;High;M1061;X
1160;Head of Government;David Lloyd George;1936;1964;1999;SL;Naive Optimist;Very High;M1160;X
1161;Foreign Minister;Archibald Sinclair;1936;1964;1999;SL;Great Compromiser;High;M1161;X
1163;Minister of Armament;Leslie Hore-Belisha;1937;1964;1999;SL;Infantry Proponent;Low;M1163;X
1165;Chief of Army;Miles Dempsey;1944;1964;1999;ML;Armoured Spearhead Doctrine;High;L1099;X
1167;Chief of Army;Richard O'Connor;1936;1964;1999;LWR;Armoured Spearhead Doctrine;High;L1237;X
1168;Chief of Air Force;Hugh Dowding;1936;1964;1999;LWR;Air Superiority Doctrine;Very High;L1435;X
1169;Chief of Air Force;Arthur Harris;1937;1964;1999;LWR;Carpet Bombing Doctrine;Very High;kaiserreich harris;X
1171;Chief of Air Force;William Sholto Douglas;1944;1964;1999;SL;Air Superiority Doctrine;High;L1479;X
1172;Head of Military Intelligence;Stewart Menzies;1939;1964;1999;ML;Political Specialist;High;M1172;X
1174;Minister of Armament;Thomas Inskip;1936;1964;1999;ML;Air Superiority Proponent;Very High;M1174;X
1175;Minister of Armament;Andrew Duncan;1936;1964;1999;ML;Resource Industrialist;High;M1175;X
1176;Minister of Armament;John Moore-Brabazon;1941;1964;1999;ML;Air Superiority Proponent;Medium;M1176;X
1177;Minister of Armament;Hibbert Cross;1939;1964;1999;ML;Laissez-Faire Capitalist;High;M1177;X
1178;Minister of Armament;Alfred Duff Cooper;1936;1964;1999;ML;Battle Fleet Proponent;Medium;M1178;X
1179;Minister of Armament;Oliver Stanley;1936;1964;1999;ML;Military Entrepreneur;Very High;M1179;X
1180;Minister of Armament;Henry Margesson;1936;1964;1999;ML;Resource Industrialist;Very High;M1180;X
1181;Minister of Armament;Percy Grigg;1942;1964;1999;ML;Laissez-Faire Capitalist;High;M1181;X
1182;Chief of Army;Eric Blair;1936;1964;1999;LE;Guns and Butter Doctrine;Very High;kaiserreich ericblair;X
1183;Chief of Air Force;William Wedgewood Benn;1936;1957;1999;LWR;Army Aviation Doctrine;Very High;kaiserreich williamwedgewoodbenn;X
1184;Foreign Minister;Niclas y Glais;1936;1964;1999;LE;Great Compromiser;Very High;kaiserreich glais;X
1185;Head of Military Intelligence;Niclas y Glais;1936;1964;1999;LE;Political Specialist;Very High;kaiserreich glais;X
1186;Head of Government;Niclas y Glais;1936;1964;1999;LE;Flamboyant Tough Guy;Very High;kaiserreich glais;X
1187;Head of State;Niclas y Glais;1936;1964;1999;LE;Barking Buffoon;Very High;kaiserreich glais;X
1188;Head of Government;Arthur Horner;1936;1964;1999;LWR;Ambitious Union Boss;Very High;kaiserreich arthurhorner;X
1189;Head of Military Intelligence;Arthur Horner;1936;1964;1999;LWR;Logistics Specialist;Very High;kaiserreich arthurhorner;X
1190;Head of Government;James Maxton;1936;1964;1999;LWR;Backroom Backstabber;Very High;kaiserreich jamesmaxton;X
1191;Foreign Minister;James Maxton;1936;1964;1999;LWR;Biased Intellectual;Very High;kaiserreich jamesmaxton;X
1193;Head of State;Philip Snowden;1936;1964;1999;LWR;Pig-headed Isolationist;Very High;kaiserreich philipsnowden;X
1194;Minister of Armament;Philip Snowden;1936;1964;1999;LWR;Mixed Economy;Very High;kaiserreich philipsnowden;X
1195;Foreign Minister;David Kirkwood;1936;1964;1999;LE;Apologetic Clerk;Very High;kaiserreich davidkirkwood;X
1196;Minister of Armament;David Kirkwood;1936;1964;1999;LE;Infantry Proponent;Very High;kaiserreich davidkirkwood;X
1197;Chief of Staff;Frederick Bellenger;1936;1964;1999;LWR;School of Psychology;Very High;kaiserreich bellenger;X
1199;Minister of Security;Helen Crawfurd;1936;1964;1999;LE;Crime Fighter;Very High;kaiserreich helencrawfurd;X
1200;Minister of Armament;William Weir;1936;1964;1999;LWR;Air to Ground Proponent;High;kaiserreich williamweir;X
1202;Head of Government;William Gallacher;1936;1964;1999;LE;Silent Workhorse;High;kaiserreich gallacher;X
1203;Head of Military Intelligence;Patrick Dollan;1936;1954;1954;LWR;Political Specialist;High;kaiserreich dollan;X
1204;Head of State;Oswald Mosley;1936;1964;1999;ST;Totalist President;Very High;kaiserreich mosley1;X
1205;Head of State;Annie Kenney;1936;1964;1999;LWR;Die-hard Reformer;Very High;Kaiserreich Anne Kenney;X
1206;Head of Government;Eric Blair;1936;1964;1999;LE;Reformist Soldierhog;Very High;kaiserreich ericblair;X
1207;Head of State;Arthur Horner;1936;1964;1999;LWR;Die-hard Reformer;Very High;kaiserreich arthurhorner;X
1208;Head of Government;Christabel Pankhurst;1936;1964;1999;LWR;Ambitious Union Boss;Very High;kaiserreich pankhurst;X
1209;Head of Government;Annie Kenney;1936;1964;1999;LWR;Flamboyant Tough Guy;Very High;Kaiserreich Anne Kenney;X
1210;Head of Government;Lewis Jones;1936;1964;1999;LWR;Ambitious Union Boss;Very High;kaiserreich lewisjones;X
1211;Head of State;Congress of Trade Unions;1936;1964;1999;LWR;Die-hard Reformer;Very High;kaiserreich tuc;X
1212;Head of Government;Tom Mann;1925;1964;1999;LWR;Ambitious Union Boss;Very High;kaiserreich tommann;X
1213;Head of State;Tom Mann;1936;1964;1999;LWR;Pig-headed Isolationist;Very High;kaiserreich tommann;X
1214;Minister of Armament;Nye Bevan;1936;1964;1999;LWR;Administrative Genius;High;Kaiserreich Nye Bevan;X
1215;Minister of Security;Nye Bevan;1936;1964;1999;LWR;Health and Safety;High;Kaiserreich Nye Bevan;X
1216;Foreign Minister;Elizabeth Andrews;1936;1964;1999;LWR;Apologetic Clerk;High;Kaiserreich elizabeth andrews;X
1217;Head of State;Oswald Mosley;1936;1964;1999;ST;Totalist President;Very High;kaiserreich mosleydictator;X
1218;Head of Government;Oswald Mosley;1936;1964;1999;ST;Totalist Chairman;High;kaiserreich mosleydictator;X
1219;Head of State;Clement Attlee;1936;1964;1999;LWR;Die-hard Reformer;High;kaiserreich attlee;X
1220;Head of Government;Nye Bevan;1936;1964;1999;LWR;Flamboyant Tough Guy;High;Kaiserreich Nye Bevan;X
1221;Minister of Armament;Barbara Castle;1936;1964;1999;LWR;Keynesian Economy;High;kaiserreich bcastle;X
1222;Head of Government;Clement Attlee;1936;1964;1999;LWR;Silent Workhorse;High;kaiserreich attlee;X
1223;Head of State;Barbara Castle;1936;1964;1999;LWR;Benevolent Gentleman;High;kaiserreich bcastle;X
1224;Head of State;T.E. Lawrence;1936;1964;1999;SL;Resigned Generalissimo;High;kaiserreich lawrence;X
1225;Head of State;Tom Wintringham;1936;1964;1999;LE;Resigned Generalissimo;High;kaiserreich twitt;X
1226;Head of Government;Tom Wintringham;1936;1964;1999;LE;Old General;High;kaiserreich twitt;X
1227;Head of Government;Barbara Castle;1936;1964;1999;LWR;Political Protege;High;kaiserreich bcastle;X
1228;Head of State;Eric Blair;1936;1964;1999;LE;Weary Stiffneck;High;kaiserreich ericblair;X
1229;Head of State;Nye Bevan;1936;1964;1999;LWR;Die-hard Reformer;High;Kaiserreich Nye Bevan;X
1230;Head of Government;Stafford Cripps;1936;1964;1999;LWR;Silent Workhorse;Medium;kaiserreich cripps;X
1231;Foreign Minister;Leslie Solley;1936;1964;1999;ST;Biased Intellectual;Medium;kaiserreich leslie;X
1232;Minister of Security;William Joyce;1936;1964;1999;ST;Prince of Terror;Low;kaiserreich joyce;X
1233;Head of Military Intelligence;Ian Fleming;1936;1964;1999;ST;Dismal Enigma;Very High;kaiserreich fleming;X
1234;Head of Government;G.D.H. Cole;1936;1964;1999;LWR;Naive Optimist;Very High;kaiserreich cole;X
1235;Head of Government;Harold Wilson;1954;1964;1999;LWR;Ambitious Union Boss;High;kaiserreich hwilson;X
1236;Head of Government;Denis Healey;1954;1964;1999;ST;Smiling Oilman;High;kaiserreich healey;X
1237;Head of Government;Jim Callaghan;1954;1964;1999;LE;Ambitious Union Boss;Very High;kaiserreich callaghan;X
1238;Head of State;Harold Wilson;1954;1964;1999;LWR;Die-hard Reformer;High;kaiserreich hwilson;X
1239;Head of State;Jack Jones;1954;1964;1999;LE;Ruthless Powermonger;High;kaiserreich jackjones;X
1240;Head of Government;Tony Benn;1936;1964;1999;LE;Silent Workhorse;High;kaiserreich tonybenn;X
1241;Minister of Security;Tony Benn;1954;1964;1999;LE;Man of the People;High;kaiserreich tonybenn;X
1242;Minister of Armament;Tony Benn;1954;1964;1999;LE;Resource Industrialist;Very High;kaiserreich tonybenn;X
1243;Minister of Armament;Jack Jones;1954;1964;1999;LE;Corrupt Kleptocrat;Very High;kaiserreich jackjones;X
1244;Minister of Armament;Denis Healey;1954;1964;1999;ST;Administrative Genius;Very High;kaiserreich healey;X
1245;Foreign Minister;Denis Healey;1954;1964;1999;ST;Iron Fisted Brute;Very High;kaiserreich healey;X
1246;Foreign Minister;Jim Callaghan;1954;1964;1999;LE;Biased Intellectual;Very High;kaiserreich callaghan;X
1247;Head of Government;John Strachey;1936;1962;1999;ST;Backroom Backstabber;High;kaiserreich strachey;X
1248;Foreign Minister;Bernard Montgomery;1936;1964;1999;SD;General Staffer;Very High;kaiserreich monty;X
1249;Minister of Security;Eric Blair;1936;1964;1999;LE;Compassionate Gentleman;High;kaiserreich ericblair;X
1250;Head of State;William Gallacher;1936;1964;1999;LE;Benevolent Gentleman;High;kaiserreich gallacher;X
1251;Head of Government;J.B. Priestley;1936;1964;1999;LE;Naive Optimist;High;kaiserreich_UK_J_B_Priestley;X
1252;Foreign Minister;Eric Hobsbawm;1957;1964;1999;LE;Biased Intellectual;High;kaiserreich erichobsbawm;X
1253;Minister of Armament;John Strachey;1936;1962;1962;ST;Air to Ground Proponent;High;kaiserreich strachey;X
1254;Minister of Armament;Annie Kenney;1936;1953;1953;LWR;Administrative Genius;Very High;Kaiserreich Anne Kenney;X
1255;Head of State;Phil Piratin;1936;1964;1999;ST;Die-hard Reformer;Medium;kaiserreich piratin;X
1256;Head of Government;Phil Piratin;1936;1964;1999;ST;Silent Workhorse;Medium;kaiserreich piratin;X
1257;Minister of Armament;Alexander Raven Thomson;1936;1955;1955;ST;Industrialiser;High;kaiserreich raven;X
1258;Chief of Army;J.H. Holliman;1936;1964;1999;ST;Armoured Spearhead Doctrine;Very High;kaiserreich holliman;X
1259;Chief of Staff;Charles Bentinck Budd;1936;1964;1999;ST;School of Fire Support;Very High;kaiserreich budd;X
1260;Minister of Armament;J.R. Clynes;1936;1949;1949;LWR;Keynesian Economy;Medium;kaiserreich clynes;X
1261;Minister of Armament;Arthur MacManus;1936;1956;1956;LWR;Construction Magnate;High;kaiserreich macmanus;X
1262;Minister of Security;Mary Richardson;1936;1961;1961;ST;Efficient Sociopath;Low;kaiserreich richardson;X
1263;Head of Military Intelligence;Mary Sophia Allen;1936;1960;1960;ST;Political Specialist;High;kaiserreich allen;X
1264;Minister of Security;Rhys Davies;1936;1952;1952;LWR;Compassionate Gentleman;High;kaiserreich davies;X
1265;Minister of Security;Wilfred Risdon;1936;1964;1999;ST;Media Magnate;Very High;kaiserreich risdon;X
1266;Foreign Minister;Robert Forgan;1936;1964;1999;LE;Ideological Crusader;High;kaiserreich forgan;X
1267;Chief of Navy;A.V. Alexander;1936;1964;1999;LWR;Open Seas Doctrine;Medium;kaiserreich alexander;X
1268;Minister of Security;Cecil Dudgeon;1936;1964;1999;LE;Compassionate Gentleman;High;kaiserreich dudgeon;X
1269;Head of Military Intelligence;Carlyon Bellairs;1936;1955;1955;ST;Naval Intelligence Specialist;High;kaiserreich bellairs;X
1270;Minister of Security;Margaret Cole;1936;1964;1999;LWR;Crime Fighter;High;kaiserreich mcole;X
1271;Head of Military Intelligence;Raymond Postgate;1936;1964;1999;LE;Industrial Specialist;High;kaiserreich postgate;X
1272;Foreign Minister;George Bernard Shaw;1936;1950;1950;ST;The Cloak N Dagger Schemer;Medium;kaiserreich shaw;X
1273;Minister of Armament;Cecil L'Estrange Malone;1936;1964;1999;LE;Air to Sea Proponent;Medium;kaiserreich malone;X
1274;Foreign Minister;Ezra Pound;1936;1964;1999;ST;Biased Intellectual;Medium;kaiserreich pound;X
1275;Head of State;Wyndham Lewis;1936;1957;1957;ST;Barking Buffoon;Low;kaiserreich lewis;X
1276;Head of Government;William Joyce;1936;1964;1999;ST;Backroom Backstabber;Low;kaiserreich joyce;X
1277;Chief of Air Force;John Adrian Chamier;1936;1964;1999;ST;Army Aviation Doctrine;High;kaiserreich chaimer;X
1278;Minister of Security;Olive Hawks;1942;1964;1999;ST;Silent Lawyer;Medium;kaiserreich hawks;X
1279;Minister of Armament;Margaret Bondfield;1936;1951;1951;LE;Balanced Budget Economy;High;kaiserreich bondfield;X
1280;Foreign Minister;Saunders Lewis;1936;1964;1999;LE;Ideological Crusader;High;kaiserreich saunders;X
1281;Minister of Security;Lewis Valentine;1936;1964;1999;LWR;Man of the People;Very High;kaiserreich valentine;X
1282;Minister of Armament;S.O. Davies;1936;1964;1999;LE;Steel Magnate;Medium;kaiserreich sodavies;X
1283;Head of Military Intelligence;Ness Edwards;1936;1964;1999;LE;Political Specialist;High;kaiserreich edwards;X
1284;Minister of Security;Wilfrid Whiteley;1936;1964;1999;LE;Man of the People;High;kaiserreich whiteley;X
1289;Minister of Security;Henry Williamson;1936;1964;1999;ST;Compassionate Gentleman;High;kaiserreich williamson;X
1290;Head of Military Intelligence;Allan Young;1936;1964;1999;ST;Political Specialist;Very High;kaiserreich young;X
1291;Head of Government;Oswald Mosley;1936;1964;1999;ST;Totalist Chairman;Very High;kaiserreich mosley1;X
1292;Minister of Armament;Ellen Wilkinson;1936;1947;1947;LWR;Reformer;High;kaiserreich wilkinson;X
1293;Head of Military Intelligence;Emanuel Shinwell;1936;1964;1999;LE;Industrial Specialist;High;kaiserreich shinwell;X
1294;Minister of Security;Patrick Dollan;1936;1954;1954;LWR;Crime Fighter;High;kaiserreich dollan;X
1295;Chief of Air Force;Amy Johnson;1936;1964;1999;SL;Vertical Envelopment Doctrine;Medium;kaiserreich johnson;X
1296;Foreign Minister;Ethel MacDonald;1938;1960;1960;LE;Biased Intellectual;Low;kaiserreich emacdonald;X
1297;Head of Government;Jenny Hamilton Patrick;1936;1964;1999;LE;Happy Amateur;Low;kaiserreich jhamilton;X
1298;Head of State;Guy Aldred;1936;1963;1963;LE;Die-hard Reformer;Low;kaiserreich aldred;X
1299;Foreign Minister;Clifford Allen;1936;1939;1939;LWR;Apologetic Clerk;Very High;kaiserreich clifford;X
1300;Head of Military Intelligence;Fenner Brockway;1936;1964;1999;LE;Political Specialist;Very High;kaiserreich fenner;X
1301;Minister of Armament;Frank Horrabin;1936;1960;1960;LE;Construction Magnate;High;kaiserreich horrabin;X
1302;Minister of Security;Thomas Johnson;1936;1960;1960;LE;Compassionate Gentleman;High;kaiserreich tjohnson;X
1303;Foreign Minister;C.E.M. Joad;1936;1951;1951;ST;The Cloak N Dagger Schemer;Medium;kaiserreich joad;X
1304;Head of Military Intelligence;William John Brown;1936;1958;1958;LE;Political Specialist;High;kaiserreich william brown;X
1305;Foreign Minister;Cynthia Mosley;1936;1964;1999;ST;Great Compromiser;Very High;kaiserreich cynthia;X
1306;Minister of Security;John MacCormick;1936;1961;1961;LWR;Prince of Terror;Low;kaiserreich maccormick;X
