CAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
572001;Head of State;Frank Merriam;1936;1956;1999;SC;Barking Buffoon;High;kaiserreich frank_merriam;X
572002;Head of Government;Culbert Levy Olson;1936;1962;1999;SD;Ambitious Union Boss;High;kaiserreich culbert_olson;X
572003;Foreign Minister;Frank E. Homan;1936;1964;1999;PA;Great Compromiser;High;M572003;X
572004;Minister of Armament;Angelo J. Rossi;1936;1949;1999;PA;Corrupt Kleptocrat;Medium;M572004;X
572005;Minister of Security;Bestor Robinson;1942;1970;1999;SC;Health and Safety;Medium;MBestor_Robinson;X
572006;Minister of Security;Percy Benbough;1936;1943;1999;SC;Crime Fighter;Medium;M572006;X
572007;Head of Government;Frank Merriam;1936;1956;1999;SC;Smiling Oilman;Medium;kaiserreich frank_merriam;X
572008;Minister of Armament;William Myron Keck;1936;1964;1999;SC;Oil Baron;Medium;williamkeck;X
572009;Minister of Armament;Homer Truett Bone;1936;1970;1999;SL;Mixed Economy;Medium;homerbone;X
572010;Head of Government;Hiram Johnson;1936;1946;1999;SC;Pragmatic Statesman;Very High;kaiserreich hiramjohnson;X
572011;Minister of Security;Frank L. Shaw;1936;1958;1999;PA;Crooked Kleptocrat;High;M572011;X
572012;Foreign Minister;David Prescott Barrows;1936;1955;1999;SC;Biased Intellectual;High;M572012;X
572013;Minister of Security;Earl Warren;1939;1970;1999;SC;Silent Lawyer;High;M572013;X
572014;Minister of Armament;Fletcher Bowron;1938;1969;1999;PA;Resource Industrialist;Medium;M572014;X
572015;Minister of Security;Henry Fountain Ashurst;1936;1962;1999;SL;Man of the People;Medium;M572015;X
572016;Minister of Armament;Harley Knox;1942;1957;1999;SC;Construction Magnate;Medium;M572016;X
572017;Minister of Armament;Newell Stewart;1940;1964;1999;PA;Laissez-Faire Capitalist;Medium;M572017;X
572018;Minister of Security;Tom Monk;1936;1950;1999;PA;Prince of Terror;Medium;M572018;X
572019;Minister of Security;Claude A. Watson;1936;1970;1999;SL;Crime Fighter;Medium;MClaude_A_Watson;X
572020;Minister of Security;John Dockweiler;1938;1944;1999;PA;Crime Fighter;Medium;M572020;X
572021;Minister of Security;Roger Dearborn Lapham;1944;1966;1999;PA;Back Stabber;Medium;M572021;X
572022;Head of Government;Clyde Tingley;1936;1961;1999;SL;Naive Optimist;Medium;MClyde_Tingley;X
572023;Minister of Security;Clyde Tingley;1936;1961;1999;SL;Health and Safety;Medium;MClyde_Tingley;X
572024;Head of Military Intelligence;Joseph J. Rochefort;1936;1970;1999;SL;Naval Intelligence Specialist;Medium;MJoseph_John_Rochefort;X
572025;Minister of Security;Ray Lyman Wilbur;1936;1950;1999;ML;Health and Safety;Medium;MRay_Lyman_Wilbur;X
572026;Minister of Security;Norman Chandler;1936;1970;1999;SD;Media Magnate;Medium;kaiserreich norman_chandler;X
572027;Minister of Armament;Clarence D. Martin;1936;1956;1999;ML;Keynesian Economy;Medium;mayor_martin_lg;X
572028;Minister of Security;Sheridan Downey;1938;1962;1999;SL;Compassionate Gentleman;Medium;downey;X
572029;Head of Government;Earl Warren;1941;1970;1999;SC;Political Protege;Medium;M572013;X
572030;Head of Government;Howard Hughes;1936;1970;1999;ML;Old Airmarshal;Very High;kaiserreich howardhughes;X
572212;Head of State;Howard Hughes;1936;1970;1999;ML;Autocratic Charmer;Very High;kaiserreich howardhughes;X
572031;Minister of Armament;Howard Hughes;1936;1964;1999;ML;Air Superiority Proponent;Very High;kaiserreich howardhughes;X
572032;Chief of Air Force;Thomas C. Turner;1936;1957;1999;SC;Naval Aviation Doctrine;Very High;LThomas_Caldwell_Turner;X
572033;Head of State;Hiram Johnson;1936;1946;1999;SC;Pig-headed Isolationist;Very High;kaiserreich hiramjohnson;X
572034;Minister of Security;Hiram Johnson;1936;1946;1999;SC;Man of the People;Very High;kaiserreich hiramjohnson;X
572035;Head of Military Intelligence;Harry Chandler;1936;1945;1999;SC;Industrial Specialist;Very High;kaiserreich harry_chandler;X
572036;Foreign Minister;Friend W. Richardson;1936;1944;1999;SC;Ideological Crusader;Very High;kaiserreich friend_richardson;X
572037;Minister of Armament;Friend W. Richardson;1936;1944;1999;SC;Corrupt Kleptocrat;Very High;kaiserreich friend_richardson;X
572038;Head of Government;James Rolph;1936;1939;1999;SC;Backroom Backstabber;Very High;kaiserreich james_rolphs;X
572039;Minister of Security;James Rolph;1936;1939;1999;SC;Silent Lawyer;Very High;kaiserreich james_rolphs;X
572040;Foreign Minister;Frank Merriam;1936;1956;1999;SC;Biased Intellectual;Very High;kaiserreich frank_merriam;X
572041;Minister of Armament;Donald Douglas;1936;1970;1999;ML;Military Entrepreneur;Very High;kaiserreich donald_douglas;X
572042;Chief of Air Force;Henry Arnold;1936;1951;1999;SC;Carpet Bombing Doctrine;Very High;M6167;X
572043;Head of State;William Randolph Hearst;1936;1964;1999;FA;Ruthless Powermonger;Very High;kaiserreich w_r_hearst;X
572044;Head of Government;William Randolph Hearst;1936;1964;1999;FA;Silent Workhorse;Very High;kaiserreich w_r_hearst;X
572045;Head of Military Intelligence;William Randolph Hearst;1936;1964;1999;FA;Industrial Specialist;Very High;kaiserreich w_r_hearst;X
572046;Foreign Minister;Culbert Levy Olson;1936;1962;1999;SD;Apologetic Clerk;Very High;kaiserreich culbert_olson;X
572047;Head of Government;Victor A. Meyers;1936;1970;1999;SC;Happy Amateur;Very High;MVictor_Aloysius_Meyers;X
572048;Minister of Armament;Harry Bridges;1936;1970;1999;SD;Administrative Genius;Very High;kaiserreich harry_bridges;X
572049;Head of Military Intelligence;Norman Chandler;1936;1970;1999;SD;Technical Specialist;Very High;kaiserreich norman_chandler;X
572050;Head of State;Upton Sinclair;1936;1969;1999;LWR;Die-hard Reformer;Very High;kaiserreich upton_sinclair;X
572051;Minister of Security;Upton Sinclair;1936;1969;1999;LWR;Man of the People;Very High;kaiserreich upton_sinclair;X
572052;Head of State;John L. Lewis;1936;1969;1999;LWR;Popular Figurehead;Very High;Lewis;X
572053;Chief of Air Force;James Doolittle;1936;1970;1999;SC;Aviation Organizer;Very High;L60505;X
572054;Chief of Army;Alexander Patch;1936;1964;1999;SC;Decisive Battle Doctrine;Very High;L60291;X
572055;Chief of Navy;Robert Carney;1946;1970;1999;SC;Power Projection Doctrine;Very High;Kaiserreich Carney;X
572056;Chief of Staff;Alexander Patch;1936;1964;1999;SC;School of Psychology;Very High;L60291;X
572057;Minister of Armament;Henry J. Kaiser;1936;1968;1999;SL;Administrative Genius;Very High;M6082;X
572058;Chief of Staff;Henry Arnold;1936;1951;1999;SC;School of Fire Support;Very High;M6167;X
