WLL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
511001;Head of State;Léon Degrelle;1936;1964;1999;NS;Powerhungry Demagogue;Very High;M511001;x
511002;Head of Government;Léon Degrelle;1936;1964;1999;NS;Old General;Very High;M511001;x
511003;Foreign Minister;Léon Degrelle;1936;1964;1999;NS;Iron Fisted Brute;Very High;M511001;x
511004;Minister of Armament;Victor Matthys;1936;1964;1999;NS;Military Entrepreneur;Very High;M15058;x
511005;Minister of Security;Paul Ouwerx;1936;1964;1999;NS;Crime Fighter;Very High;M15075;x
511006;Head of Military Intelligence;Paul Ouwerx;1936;1964;1999;NS;Logistics Specialist;Very High;M15075;x
511007;Chief of Staff;Jean Vermeire;1936;1964;1999;NS;School of Defence;Very High;M511007;x
511008;Chief of Army;Lambert Chardonne;1936;1964;1999;FA;Armoured Spearhead Doctrine;Very High;L68002;x
511009;Chief of Navy;Jean Vermeire;1936;1964;1999;NS;Open Seas Doctrine;Very High;M511007;x
511010;Chief of Air Force;Lucien Lippert;1936;1964;1999;NS;Army Aviation Doctrine;Very High;M511010;x
511011;Head of State;Alexander von Falkenhausen;1940;1964;1999;FA;Resigned Generalissimo;Very High;M510086;x
511012;Head of State;Victor Matthys;1941;1964;1999;NS;Insignificant Layman;Very High;M15058;x
511013;Head of Government;Alexander von Falkenhausen;1940;1964;1999;NS;Silent Workhorse;Very High;M510086;x
511014;Head of Government;José Streel;1936;1964;1999;FA;Political Protege;Very High;M511014;x
511015;Head of Government;Victor Matthys;1941;1964;1999;NS;Silent Workhorse;Very High;M15058;x
511016;Foreign Minister;Jean-François Collard;1940;1964;1999;FA;Apologetic Clerk;Very High;M511016;x
511017;Foreign Minister;José Streel;1942;1964;1999;NS;Ideological Crusader;Very High;M511014;x
511018;Foreign Minister;Xavier de Grunne;1936;1964;1999;FA;Biased Intellectual;Very High;M511018;x
511019;Minister of Armament;Baron de Launoit;1936;1964;1999;FA;Resource Industrialist;Very High;M511019;x
511020;Minister of Armament;Jean-François Collard;1940;1964;1999;FA;laissez-faire capitalist;Very High;M511016;x
511021;Minister of Armament;Léon Degrelle;1937;1964;1999;NS;Infantry Proponent;Very High;M511001;x
511022;Minister of Armament;Paul Garain;1942;1964;1999;NS;Military Entrepreneur;Very High;M511022;x
511023;Minister of Armament;Xavier de Grunne;1936;1964;1999;FA;laissez-faire capitalist;Very High;M511018;x
511024;Minister of Security;Jean Vermeire;1936;1964;1999;NS;Efficient Sociopath;Very High;M511007;x
511025;Minister of Security;John Hagemans;1940;1964;1999;NS;Man of the People;Very High;M511025;x
511026;Minister of Security;José Streel;1942;1964;1999;NS;Man of the People;Very High;M511014;x
511027;Minister of Security;Léon Degrelle;1937;1964;1999;NS;Prince of Terror;Very High;M511001;x
511028;Minister of Security;Xavier de Grunne;1936;1964;1999;FA;Silent Lawyer;Very High;M511018;x
511029;Head of Military Intelligence;John Hagemans;1937;1964;1999;SC;Dismal Enigma;Very High;M511025;x
511030;Head of Military Intelligence;José Streel;1938;1964;1999;NS;Political Specialist;Very High;M511014;x
511031;Chief of Staff;Egert Reeder;1936;1964;1999;FA;School of Manoeuvre;Very High;M510061;x
511032;Chief of Staff;Lambert Chardonne;1936;1964;1999;FA;School of Fire Support;Very High;L68002;x
511033;Chief of Staff;Léon Degrelle;1936;1964;1999;NS;School of Mass Combat;Very High;M511001;x
511034;Chief of Staff;Lucien Lippert;1936;1964;1999;SC;School of Psychology;Very High;M511010;x
511035;Chief of Staff;Paul Ouwerx;1936;1964;1999;ML;School of Manoeuvre;Very High;M15075;x
511036;Chief of Army;Egert Reeder;1940;1964;1999;NS;Elastic Defence Doctrine;Very High;M510061;x
511037;Chief of Army;Jean Vermeire;1936;1964;1999;NS;Static Defence Doctrine;Very High;M511007;x
511038;Chief of Army;Léon Degrelle;1936;1964;1999;NS;Guns and Butter Doctrine;Very High;M511001;x
511039;Chief of Army;Lucien Lippert;1936;1964;1999;SC;Decisive Battle Doctrine;Very High;M511010;x
511040;Chief of Army;Paul Ouwerx;1936;1964;1999;ML;Static Defence Doctrine;Very High;M15075;x
511041;Chief of Navy;Egert Reeder;1940;1964;1999;NS;Base Control Doctrine;Very High;M510061;x
511042;Chief of Air Force;Egert Reeder;1940;1964;1999;NS;Air Superiority Doctrine;Very High;M510061;x
511043;Head of State;S.K.M. Adalbert I von Preußen;1936;1964;1999;PA;german aristocrat;Very High;kaiserreich adalbertvH;x
511044;Head of State;S.K.M. Adalbert I von Preußen;1936;1964;1999;SC;german aristocrat;Very High;kaiserreich adalbertvH;x
511045;Head of State;Andre Renard;1936;1964;1999;LE;Pig-headed Isolationist;Very High;kai_rndandr;x
511046;Head of Government;Charles Plisnier;1936;1964;1999;LE;Silent Workhorse;Very High;kai_charplis;x
511047;Foreign Minister;Fernand Dehousse;1936;1964;1999;LE;Apologetic Clerk;Very High;kai_frndhss;x
511048;Minister of Armament;Julien Lahut;1936;1964;1999;LE;Resource Industrialist;Very High;kai_jlnlht;x
511049;Minister of Security;Pierre Paulus;1936;1964;1999;LE;Crime Fighter;Very High;kai_plsprri;x
511050;Head of Military Intelligence;Pierre Paulus;1936;1964;1999;LE;Logistics Specialist;Very High;kai_plsprri;x
511051;Head of State;Jules Bordet;1936;1964;1999;SC;Insignificant Layman;Very High;kai_jlsbrdt;x
511052;Head of Government;Victor de Laveleye;1936;1964;1999;ML;Political Protege;Very High;kai_vctdlav;x
511053;Foreign Minister;Henri Story;1936;1964;1999;ML;Ideological Crusader;Very High;kai_hnrstr;x
511054;Minister of Armament;Maurice Destenay;1936;1964;1999;ML;laissez-faire capitalist;Very High;kai_murdstn;x
511055;Minister of Security;Albert Lilar;1936;1964;1999;ML;Crime Fighter;Very High;kai_albrtllr;x
511056;Head of State;Albert Lilar;1936;1964;1999;ML;Pig-headed Isolationist;Very High;kai_albrtllr;x
511057;Head of Government;Paul-Emilie Janson;1936;1964;1999;SL;Naive Optimist;Very High;kai_plemjns;x
511058;Head of Government;Hubert Pierlot;1936;1964;1999;SC;Flamboyant Tough Guy;Very High;kai_hubrtpier;x
511059;Foreign Minister;Georges Prosper Remi;1936;1964;1999;SC;Great Compromiser;Very High;kai_grgprosrm;x
511060;Head of State;S.K.M. Leopold III;1936;1949;1950;PA;Benevolent Gentleman;Very High;M15001;x
511061;Head of State;S.K.M. Leopold III;1936;1949;1950;SC;Benevolent Gentleman;Very High;M15001;x
511062;Head of State;S.K.M. Wilhelm I von Preußen;1940;1964;1999;PA;german aristocrat;Very High;;x
511063;Head of State;S.K.M. Wilhelm I von Preußen;1940;1964;1999;SC;german aristocrat;Very High;;x
