CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
51001;Head of Government;Zhang Tianran;1920;1964;1999;NS;Corporate Suit;High;Zhang Tianran;x
51002;Head of State;Zhang Tianran;1936;1964;1999;NS;Die-Hard Reformer;High;Zhang Tianran;x
51003;Head of Government;Fang Zhimin;1936;1964;1999;NS;Political Protege;High;Fang Zhimin;x
51004;Head of State;Fang Zhimin;1920;1964;1999;NS;Popular Figurehead;High;Fang Zhimin;x
51005;Chief of Army;Fang Zhimin;1936;1964;1999;NS;Static Defence Doctrine;High;Fang Zhimin;x
51006;Head of Government;Sun Suzhen;1920;1964;1999;NS;Happy Amateur;High;Sun Suzhen;x
51007;Head of State;Sun Suzhen;1936;1964;1999;NS;Die-hard Reformer;High;Sun Suzhen;x
51008;Head of State;Zhang Guotao;1936;1964;1999;NS;Ruthless Powermonger;High;M51012;x
51009;Minister of Armament;Lin Bojiu;1936;1964;1999;NS;Military Entrepreneur;High;M51004;x
51010;Minister of Security;Xie Juezai;1936;1964;1999;NS;Man of the People;Medium;M51005;x
51012;Head of Military Intelligence;Li Kenong;1936;1964;1999;NS;Logistics Specialist;Medium;M51006;x
51013;Chief of Army;Zhu De;1936;1964;1999;NS;Guns and Butter Doctrine;Low;M51007;x
51015;Chief of Navy;Ziao Jingguang;1936;1964;1999;NS;Open Seas Doctrine;Medium;M51009;x
51016;Chief of Air Force;Fang Zeyi;1936;1964;1999;NS;Army Aviation Doctrine;Medium;M51010;x
51018;Head of State;Zhang Guotao;1937;1964;1999;NS;Ruthless Powermonger;High;M51012;x
51019;Head of State;Lin Bojiu;1937;1964;1999;NS;Die-hard Reformer;High;M51004;x
51023;Head of Government;Zhang Guotao;1937;1964;1999;NS;Ambitious Union Boss;High;M51012;x
51024;Head of Government;Lin Bojiu;1937;1964;1999;NS;Flamboyant Tough Guy;High;M51004;x
51025;Minister of Armament;Cao Qiuru;1939;1964;1999;NS;Administrative Genius;High;M51023;x
51028;Minister of Armament;Guo Yunshen;1941;1964;1999;NS;Air to Ground Proponent;High;M51024;x
51030;Minister of Armament;Wang Fengbo;1943;1964;1999;NS;laissez-faire capitalist;High;M51025;x
51031;Minister of Armament;He Yuandang;1936;1964;1999;NS;Resource Industrialist;High;M51026;x
51032;Minister of Security;Zhou Xing;1936;1964;1999;NS;Crime Fighter;Medium;M51030;x
51033;Minister of Security;Lin Bojiu;1942;1964;1999;NS;Compassionate Gentleman;High;M51004;x
51037;Minister of Security;Gao Xue;1944;1964;1999;NS;Compassionate Gentleman;High;M51033;x
51038;Head of Military Intelligence;Zhou Enlai;1939;1964;1999;NS;Technical Specialist;Medium;M51037;x
51039;Head of Military Intelligence;Deng Xiaoping;1936;1964;1999;NS;Industrial Specialist;Medium;M51038;x
51040;Head of Military Intelligence;Wang Jiaxiang;1936;1964;1999;NS;Dismal Enigma;High;M51003;x
51044;Head of Military Intelligence;Xie Juezai;1945;1964;1999;NS;Political Specialist;Medium;M51005;x
51045;Chief of Staff;Xu Xiangqian;1936;1964;1999;NS;School of Manoeuvre;Medium;M51044;x
51049;Chief of Staff;Chen Yi;1944;1964;1999;NS;School of Psychology;Medium;M51045;x
51050;Chief of Army;Gao Gang;1940;1964;1999;NS;Elastic Defence Doctrine;Low;M51049;x
51051;Chief of Army;Chen Yi;1943;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M51045;x
51052;Foreign Minister;Zhang Tianran;1936;1964;1999;NS;Biased Intellectual;High;Zhang Tianran;x
51053;Foreign Minister;Sun Suzhen;1936;1964;1999;NS;The Cloak N Dagger Schemer;High;Sun Suzhen;x
51054;Foreign Minister;Lin Bojiu;1936;1964;1999;NS;Iron Fisted Brute;High;M51004;x
51055;Minister of Security;Wang Jiaxiang;1936;1964;1999;NS;Prince of Terror;High;M51003;x
51056;Foreign Minister;Zhang Tianran;1936;1964;1999;NS;Ideological Crusader;High;Zhang Tianran;x
51057;Foreign Minister;Sun Suzhen;1936;1964;1999;NS;Great Compromiser;Medium;Sun Suzhen;x
51058;Head of Military Intelligence;Wu Leichuan;1936;1964;1999;NS;Political Specialist;Very high;MCHCWuLei;x
51059;Chief of Staff;Lü Zhengcao;1936;1964;1999;NS;School of Mass Combat;Medium;MCHCLuZheng;x
