KOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
578038;Head of State;H.R.H. Yi Un;1936;1964;1999;PA;Benevolent Gentleman;High;M750051;x
578039;Head of Government;H.R.H. Yi Gang;1936;1964;1999;PA;Flamboyant Tough Guy;High;M750050;x
578001;Head of State;Syngman Rhee;1936;1964;1999;SC;Stern Imperialist;Medium;M578001;x
578002;Head of Government;Kim Ku;1936;1964;1999;SC;Flamboyant Tough Guy;Medium;M578002;x
578003;Foreign Minister;Kim Gyu Sik;1936;1964;1999;SC;Great Compromiser;Medium;M578003;x
578004;Minister of Armament;Kim Chang Sook;1936;1964;1999;SC;Military Entrepreneur;Medium;M578004;x
578005;Minister of Security;Cho Man Sik;1936;1964;1999;SC;Prince of Terror;Medium;M578005;x
578006;Head of Military Intelligence;Cho So Ang;1936;1964;1999;SC;Logistics Specialist;Medium;M578006;x
578007;Chief of Staff;Chae Byong Duk;1936;1964;1999;SC;School of Defence;Medium;M578007;x
578008;Chief of Army;Lee Chung Chun;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M578008;x
578009;Chief of Navy;Soon Won-yil;1936;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M578009;x
578010;Chief of Air Force;Lee Bom Suk;1936;1964;1999;SC;Army Aviation Doctrine;Medium;M578010;x
578011;Head of State;Yeo Un-hyeong;1936;1964;1999;LWR;Weary Stiffneck;Medium;M578011;x
578012;Head of Government;Park Hyong Yong;1936;1964;1999;LWR;Ambitious Union Boss;Medium;M578012;x
578013;Foreign Minister;Kim Kyu-joon;1936;1964;1999;LWR;Apologetic Clerk;Medium;M578013;x
578014;Minister of Armament;Yi Tong-whi;1936;1964;1999;LWR;Infantry Proponent;Medium;M578014;x
578015;Minister of Security;Nam Suk Lee;1936;1964;1999;LWR;Efficient Sociopath;Medium;M578015;x
578016;Head of Military Intelligence;Kim Chang Kim;1936;1964;1999;LWR;Technical Specialist;Medium;M578016;x
578017;Chief of Staff;Chi Chun Chung;1936;1964;1999;LWR;School of Psychology;Medium;M578017;x
578018;Chief of Army;Kim Won Bong;1936;1964;1999;LWR;Guns and Butter Doctrine;Medium;M578018;x
578019;Chief of Navy;Jong Dong-ju;1936;1964;1999;LWR;Open Seas Doctrine;Medium;M578019;x
578020;Chief of Air Force;Ri Jae Sun;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M578020;x
578021;Minister of Armament;Rheem Eun Soo;1936;1964;1999;SC;Military Entrepreneur;Medium;M578021;x
578022;Minister of Security;Baik Cha Bum;1936;1964;1999;SC;Silent Lawyer;Medium;M578022;x
578023;Head of Military Intelligence;Park Chung Hee;1936;1964;1999;SC;Political Specialist;Medium;M578023;x
578024;Head of Government;Lee Bom Suk;1936;1964;1999;SC;old airmarshal;Medium;M578010;x
578025;Head of Government;Shin Sung Mo;1950;1964;1999;SC;Happy Amateur;Medium;M578025;x
578026;Head of Government;Chang Myon;1950;1964;1999;SC;Silent Workhorse;Medium;M578026;x
578027;Head of Government;Chang Taek Sang;1952;1964;1999;SC;Corporate Suit;Medium;M578027;x
578028;Head of Government;Paik Too Chin;1952;1964;1999;SC;Backroom Backstabber;Medium;M578028;x
578029;Foreign Minister;Chang Myon;1936;1964;1999;SC;Apologetic Clerk;Medium;M578026;x
578030;Foreign Minister;To Yong Chang;1950;1964;1999;SC;Iron Fisted Brute;Medium;M578030;x
578031;Minister of Armament;Han Song Paek;1951;1964;1999;SC;laissez-faire capitalist;Medium;M578031;x
578032;Minister of Armament;Shan Sang Ma;1951;1964;1999;SC;Theoretical Scientist;Medium;M578032;x
578033;Minister of Security;Yong Tae Pyon;1949;1964;1999;SC;Efficient Sociopath;Medium;M578033;x
578034;Minister of Security;Shin Sung Mo;1952;1964;1999;SC;Crime Fighter;Medium;M578025;x
578035;Head of Military Intelligence;Paik Too Chin;1949;1964;1999;SC;Political Specialist;Medium;M578028;x
578037;Head of Military Intelligence;Shan Sang Ma;1951;1964;1999;SC;Technical Specialist;Medium;M578032;x
578036;Foreign Minister;Chang Taek Sang;1952;1964;1999;SC;Biased Intellectual;Medium;M578027;x
578040;Foreign Minister;Hong Jin;1936;1964;1999;ML;Biased Intellectual;High;KORHong;x
578041;Head of Government;Yuh Woon-Hyung;1936;1964;1999;SD;Naive Optimist;High;KORHyung;x
578042;Head of Government;Kim Kyu-sik;1936;1964;1999;ML;Silent Workhorse;High;KORKye;x
578043;Minister of Security;An Chang-ho;1936;1964;1999;SD;Man of the People;High;Changho;x
578044;Head of Military Intelligence;Chae Man-shik;1936;1964;1999;SL;Dismal Enigma;High;KORShik;x
578045;Minister of Armament;Yang Gi-tak;1936;1964;1999;SL;Administrative Genius;High;KORYang;x
578046;Head of State;Yi Donghwi;1936;1964;1999;SD;Benevolent Gentleman;High;KORYi;x
578047;Chief of Army;Kim Gu;1936;1964;1999;ML;Decisive Battle Doctrine;High;KORGu;x
