U12;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
725001;Head of State;Osman Ali Khan;1936;1964;1999;PA;Powerhungry Demagogue;High;INDOsm;X
725002;Head of Government;Akbar Hydari;1936;1964;1999;SC;Corporate Suit;High;INDAkb;X
725003;Foreign Minister;Kazi Zainul Abedin;1936;1964;1999;SC;Great Compromiser;High;INDKaz;X
725004;Minister of Armament;Akbar Hydari;1936;1964;1999;SC;Bank President;High;INDAkb;X
725005;Minister of Security;Syed Kasim Razvi;1936;1964;1999;PA;Prince of Terror;Very High;INDKas;X
725006;Head of Military Intelligence;Azizul Haque;1936;1964;1999;PA;Political Specialist;High;INDHaq;X
725007;Chief of Staff;Muhammad Ahmad Said Khan Chhatari;1936;1964;1999;PA;School of Psychology;High;INDMuh;X
725008;Chief of Army;Azam Jah of Berar;1936;1964;1999;PA;Decisive Battle Doctrine;High;INDAza;X
725009;Chief of Navy;D. N. Mukerji;1936;1964;1999;PA;Base Control Doctrine;High;INDMuk;X
725010;Chief of Air Force;H.K Patel;1936;1964;1999;PA;Air Superiority Doctrine;High;INDPat;X
725011;Head of State;Chityala Ailamma;1936;1964;1999;LE;Barking Buffoon;High;PRKAil;X
725014;Head of Government;Rash Behari Bose;1936;1964;1999;LE;Old General;High;PRKReh;X
725015;Foreign Minister;Bhimreddy Narasimha Reddy;1936;1964;1999;LE;Ideological Crusader;High;PRKBhi;X
725016;Foreign Minister;Shri Khwaja Moin ud-din Khan;1936;1964;1999;ML;Great Compromiser;High;INDKwh;X
725018;Minister of Armament;Chandra Rajeswara Rao;1936;1964;1999;LE;Administrative Genius;Medium;PRKRaj;X
725019;Minister of Armament;Cattamanchi Ramalinga Reddy;1936;1964;1999;SC;Resource Industrialist;High;INDCat;X
725020;Minister of Armament;Muhammad Raziuddin Siddiqui;1936;1964;1999;SC;Laissez-Faire Capitalist;High;INDRaz;X
725021;Minister of Armament;Mehtar Saif ur-Rahman;1936;1964;1999;PA;Resource Industrialist;Medium;M564021;X
725022;Minister of Security;Chityala Ailamma;1936;1964;1999;LE;Man of the People;Very High;PRKAil;X
725023;Minister of Security;Burgula Ramakrishna Rao;1936;1964;1999;SL;Man of the People;Very High;INDBur;X
725024;Minister of Security;Evan Meredith Jenkins;1961;1964;1999;ML;Compassionate Gentleman;Medium;M564024;X
725025;Minister of Security;H.H. Muzaffar ul-Mulk;1945;1964;1999;PA;Back Stabber;Medium;M564025;X
725026;Head of Military Intelligence;Makhdoom Mohiuddin;1936;1964;1999;LE;Dismal Enigma;Medium;PRKMak;X
725027;Head of Military Intelligence;Wilfred Hart-Sugden;1941;1964;1999;ML;Naval Intelligence Specialist;Medium;M564027;X
725028;Head of Military Intelligence;Lord Edward Gleichen;1945;1964;1999;PA;Dismal Enigma;Medium;M564028;X
725029;Chief of Staff;Manabendra Nath Roy;1936;1964;1999;LE;School of Psychology;Very High;KRNath;X
725030;Chief of Staff;Muhammad Yahya Khan;1945;1964;1999;SD;School of Fire Support;Low;M59098;X
725032;Chief of Army;Manabendra Nath Roy;1936;1964;1999;LE;Elastic Defence Doctrine;Medium;KRNath;X
725033;Chief of Army;Muhammad Yahya Khan;1945;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M59098;X
725034;Chief of Army;Rukn Nawab ud-Duala;1945;1964;1999;PA;Decisive Battle Doctrine;Medium;M564034;X
725035;Chief of Navy;Ali Rehman Khan;1945;1964;1999;SD;Base Control Doctrine;Medium;L505113;X
725036;Chief of Navy;H.H. Diwan III Nawab Khanji;1945;1964;1999;SD;Open Seas Doctrine;Medium;M564036;X
725037;Chief of Air Force;Asghar Khan;1945;1964;1999;SD;Vertical Envelopment Doctrine;High;M59020;X
725040;Head of State;Khwaja Nazimuddin;1945;1964;1999;SD;Barking Buffoon;High;M564040;X
725041;Head of State;Gholam Muhammad;1945;1964;1999;SD;Benevolent Gentleman;High;M564041;X
725042;Head of Government;Bhimreddy Narasimha Reddy;1936;1964;1999;LE;Ambitious Union Boss;High;PRKBhi;X
725043;Head of Government;Madapati Hanumantha Rao;1936;1964;1999;ML;Naive Optimist;High;INDMad;X
725044;Head of Government;Mohammad Ali Bogra;1941;1964;1999;SD;Ambitious Union Boss;High;M564044;X
725045;Foreign Minister;Chaudry Mohammad Ali;1941;1964;1999;SD;Biased Intellectual;High;M564045;X
725046;Foreign Minister;Husain Suhrawandy;1936;1964;1999;SD;Apologetic Clerk;High;M564046;X
725047;Minister of Armament;Abdul Wahab Khan;1936;1964;1999;SD;Infantry Proponent;Medium;M564047;X
725048;Minister of Security;Moulvi Tamizaddin Khan;1936;1964;1999;SD;Silent Lawyer;Very High;M564048;X
725049;Head of Military Intelligence;Abdul Wahab Khan;1936;1964;1999;SD;Logistics Specialist;Medium;M564047;X
725050;Chief of Staff;Mirza Aslam Beg;1936;1964;1999;PA;School of Psychology;High;6091;X
725051;Chief of Staff;Mirza Aslam Beg;1936;1964;1999;SC;School of Psychology;High;6091;X
725052;Head of State;Vallabhbhai Jhaverbhai Patel;1936;1964;1999;LE;Powerhungry Demagogue;High;PRKPat;X
725053;Head of Government;Madapati Hanumantha Rao;1936;1964;1999;ML;Naive Optimist;High;INDMad;X
725054;Head of State;Madapati Hanumantha Rao;1936;1964;1999;ML;Unpopular President;High;INDMad;X
