U07;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
557400;Head of State;H.R.M. Edward VIII;1936;1964;1999;SC;revanchist monarch;High;M1011;x
557401;Head of Government;Harold Nicolson;1936;1964;1999;ML;Political Protege;High;kaiserreich_UK_Harold_Nicolson;x
557402;Foreign Minister;Halford Mackinder;1936;1964;1999;ML;Biased Intellectual;High;kaiserreich_UK_Halford_Mackinder;x
557403;Minister of Armament;Lionel Robbins;1936;1964;1999;ML;Laissez-Faire Capitalist;High;kaiserreich_UK_Lionel_Robbins;x
557404;Minister of Security;John Reith;1936;1964;1999;ML;Silent Lawyer;High;kaiserreich_UK_John_Reith;x
557405;Head of Military Intelligence;Hugh Trevor-Roper;1936;1964;1999;SC;Dismal Enigma;High;kaiserreich_UK_Hugh_Trevor-Roper;x
557406;Chief of Staff;Prince Henry;1936;1964;1999;SC;School of Defence;High;kaiserreich_UK_Prince_Henry;x
557407;Chief of Army;Prince Henry;1936;1964;1999;SC;Static Defence Doctrine;High;kaiserreich_UK_Prince_Henry;x
557408;Chief of Navy;Lord Mountbatten;1936;1964;1999;SC;Indirect Approach Doctrine;High;L1230;x
557409;Chief of Air Force;Prince George;1936;1964;1999;SC;Air Superiority Doctrine;High;kaiserreich_UK_Prince_George;x
;Replacements;;;;;;;;;x
557410;Head of State;S.K.M. Richard IV;1936;1964;1999;PA;Weary Stiffneck;High;kaiserreich Richard IV;x
557411;Head of State;Michael Foot;1936;1964;1999;SD;Popular Figurehead;High;kaiserreich foot;x
557412;Head of Government;Archibald Ramsay;1936;1964;1999;FA;Flamboyant Tough Guy;High;M1054;x
557413;Head of Government;Edward Heath;1936;1964;1999;PA;Silent Workhorse;High;Kaiserreich Heath;x
557414;Head of Government;Murray Sueter;1936;1964;1999;PA;Political Protege;High;kaimurraysueter;x
557415;Head of Government;Henry Page Croft;1936;1964;1999;PA;Flamboyant Tough Guy;High;kaihenrpgecrft;x
557416;Head of Government;Lord Mountbatten;1936;1964;1999;SC;Old Admiral;High;L1230;x
557417;Head of Government;Lord Beaverbrook;1936;1964;1999;SC;Corporate Suit;High;M1063;x
557418;Head of Government;Herbert Samuel;1936;1964;1999;ML;Naive Optimist;High;kaiserreich_UK_Herbert_Samuel;x
557419;Head of Government;Stanley Baldwin;1921;1964;1999;ML;Backroom Backstabber;High;M1002;x
557420;Head of Government;Bernard Montgomery;1936;1964;1999;SL;Old General;High;Montgomery;x
557421;Head of Government;Richard Acland;1936;1964;1999;SL;Happy Amateur;High;kaiserreich_UK_Richard_Acland;x
557422;Foreign Minister;Baron Ampthill;1936;1964;1999;FA;Iron Fisted Brute;High;;x
557424;Foreign Minister;Earl of Bessborough;1936;1964;1999;PA;Ideological Crusader;High;kaiserreich_UK_Earl_of_Bessborough;x
557425;Foreign Minister;Richard Cooper;1936;1964;1999;PA;Iron Fisted Brute;High;;x
557427;Foreign Minister;Josslyn Erroll;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M1051;x
557428;Foreign Minister;Evelyn Waugh;1936;1964;1999;PA;Biased Intellectual;High;Evelyn Waugh;x
557429;Foreign Minister;Mark Sykes;1936;1964;1999;SC;Great Compromiser;High;kaiserreich_UK_Mark_Sykes;x
557430;Foreign Minister;Robert Boothby;1936;1964;1999;SC;Ideological Crusader;High;kairobbooty;x
557431;Foreign Minister;John Colville;1936;1964;1999;SC;Apologetic Clerk;High;kaijohncolville;x
557432;Foreign Minister;Adrian Carton de Wiart;1936;1964;1999;SC;General Staffer;High;L1068;x
557433;Foreign Minister;William Crozier;1936;1964;1999;ML;iron fisted brute;High;;x
557435;Foreign Minister;Anthony Eden;1936;1964;1999;ML;Ideological Crusader;Medium;M1003;x
557437;Foreign Minister;Violet Bonham Carter;1936;1964;1999;ML;Ideological Crusader;High;kaiserreich_UK_Violet_Bonham_Carter;x
557438;Foreign Minister;Walter Runciman;1936;1964;1999;ML;Apologetic Clerk;High;kaiserreich_UK_Walter_Runciman;x
557439;Foreign Minister;J. B. Priestley;1936;1964;1999;SL;Ideological Crusader;High;kaiserreich_UK_J_B_Priestley;x
557440;Foreign Minister;E. H. Carr;1936;1964;1999;SL;Biased Intellectual;High;kaiserreich_UK_E_H_Carr;x
557436;Foreign Minister;Samuel Hoare;1939;1964;1999;ML;Apologetic Clerk;High;M1083;x
557426;Foreign Minister;Arthur Wellesley;1939;1964;1999;PA;Great Compromiser;Low;M1050;x
557423;Foreign Minister;Henry Williamson;1941;1964;1999;FA;Biased Intellectual;Medium;M1052;x
557434;Foreign Minister;John Selwyn Lloyd;1944;1964;1999;ML;Biased Intellectual;High;M1046;x
557441;Minister of Armament;Noel Pemberton-Billing;1936;1964;1999;FA;Air Superiority Proponent;High;kaiserreich_UK_Noel_Pemberton_Billing;x
557442;Minister of Armament;Rotha Beryl Lintorn-Orman;1936;1964;1999;FA;Military Entrepreneur;High;Rotha Beryl Lintorn-Orman;x
557447;Minister of Armament;John Carnegie;1936;1964;1999;PA;Infantry Proponent;High;kaijohncarniege;x
557448;Minister of Armament;Murray Sueter;1936;1964;1999;PA;Resource Industrialist;High;kaimurraysueter;x
557449;Minister of Armament;John Siddeley;1936;1964;1999;SC;Tank Proponent;High;kaiserreich_UK_John_Siddeley;x
557450;Minister of Armament;George Lane-Fox;1936;1964;1999;SC;Resource Industrialist;High;kaiserreich_UK_George_Lane_Fox;x
557451;Minister of Armament;Philip Lloyd-Greame;1936;1964;1999;SC;Air Superiority Proponent;High;kaiserreich_UK_Philip_Lloyd_Greame;x
557452;Minister of Armament;Montagu Norman;1936;1964;1999;SC;Laissez-Faire Capitalist;High;kaiserreich_UK_Montagu_Norman;x
557453;Minister of Armament;Isaac Foot;1936;1964;1999;ML;Laissez-Faire Capitalist;High;kaiserreich_UK_Isaac_Foot;x
557454;Minister of Armament;Ernest Simon;1936;1964;1999;ML;Resource Industrialist;High;kaiserreich_UK_Ernest_Simon;x
557455;Minister of Armament;Joseph Kenworthy;1936;1964;1999;ML;Battle Fleet Proponent;High;;x
557456;Minister of Armament;Thomas Inskip;1936;1964;1999;ML;Air Superiority Proponent;Very High;M1174;x
557457;Minister of Armament;Andrew Duncan;1936;1964;1999;ML;Resource Industrialist;High;M1175;x
557460;Minister of Armament;Alfred Duff Cooper;1936;1964;1999;ML;Battle Fleet Proponent;Medium;M1178;x
557461;Minister of Armament;Oliver Stanley;1936;1964;1999;ML;Military Entrepreneur;Very High;M1179;x
557462;Minister of Armament;Henry Margesson;1936;1964;1999;ML;Resource Industrialist;Very High;M1180;x
557463;Minister of Armament;John Simon;1937;1964;1999;ML;Resource Industrialist;High;M1005;x
557464;Minister of Armament;Alliott Vernon-Roe;1938;1964;1999;PA;Air to Ground Proponent;High;M1069;x
557465;Minister of Armament;John Anderson;1939;1964;1999;ML;laissez-faire capitalist;High;M1061;x
557466;Minister of Armament;Hibbert Cross;1939;1964;1999;ML;laissez-faire capitalist;High;M1177;x
557467;Minister of Armament;Neil Francis-Hawkins;1939;1964;1999;FA;Submarine Proponent;High;M1070;x
557468;Minister of Armament;Alexander Raven-Thomson;1941;1964;1999;FA;Strategic Air Proponent;High;M1071;x
557469;Minister of Armament;John Moore-Brabazon;1941;1964;1999;ML;Air Superiority Proponent;Medium;M1176;x
557470;Minister of Armament;Jorian Jenks;1942;1964;1999;PA;Battle Fleet Proponent;High;M1072;x
557471;Minister of Armament;Percy Grigg;1942;1964;1999;ML;laissez-faire capitalist;High;M1181;x
557472;Minister of Armament;Robert Butler;1945;1964;1999;ML;Theoretical Scientist;Very High;M1064;x
557473;Minister of Armament;Kingsley Wood;1936;1964;1999;ML;Resource Industrialist;High;M1062;x
557474;Minister of Armament;Patrick Shaw-Stewart;1936;1964;1999;SL;Military Entrepreneur;High;;x
557475;Minister of Armament;R. H. Tawney;1936;1964;1999;SL;Military Entrepreneur;High;kaiserreich_UK_R_H_Tawney;x
557476;Minister of Security;Alexander Scotland;1936;1964;1999;FA;Prince of Terror;High;kaiserreich_UK_Alexander_Scotland;x
557477;Minister of Security;Arnold Spencer-Leese;1936;1964;1999;FA;Prince of Terror;Low;M1015;x
557478;Minister of Security;John Beckett;1936;1964;1999;FA;Compassionate Gentleman;Medium;M1091;x
557479;Minister of Security;Ernest Shackleton;1936;1964;1999;PA;Man of the People;High;kaiserreich_UK_Ernest_Shackleton;x
557480;Minister of Security;Archibald Ramsay;1936;1964;1999;PA;Prince of Terror;High;M1054;x
557481;Minister of Security;Duke of Devonshire;1936;1964;1999;SC;Prince of Terror;High;kaiserreich_UK_Duke_of_Devonshire;x
557482;Minister of Security;Martin Lindsay;1936;1964;1999;SC;Crime Fighter;High;;x
557483;Minister of Security;Desmond Morton;1936;1964;1999;SC;Prince of Terror;High;kaiserreich_UK_Desmond_Morton;x
557484;Minister of Security;Ivor Brown;1936;1964;1999;ML;Compassionate Gentleman;High;kaiserreich_UK_Ivor_Brown;x
557485;Minister of Security;J. L. Hammond;1936;1964;1999;ML;Silent Lawyer;High;;x
557486;Minister of Security;Austen Chamberlain;1936;1964;1999;ML;Efficient Sociopath;High;M1082;x
557487;Minister of Security;Stanley Baldwin;1921;1964;1999;ML;Man of the People;Medium;M1002;x
557488;Minister of Security;John Simon;1936;1964;1999;ML;Crime Fighter;High;M1005;x
557489;Minister of Security;H. G. Wells;1936;1964;1999;SL;Man of the People;High;kaiserreich_UK_H_G_Wells;x
557490;Minister of Security;Hewlett Johnson;1936;1964;1999;SL;Compassionate Gentleman;High;kaiserreich_UK_Hewlett_Johnson;x
557491;Minister of Security;Samuel Hoare;1937;1964;1999;ML;Man of the People;High;M1083;x
557492;Minister of Security;John Anderson;1939;1964;1999;ML;Compassionate Gentleman;High;M1061;x
557493;Minister of Security;David Maxwell Fyfe;1941;1964;1999;ML;Compassionate Gentleman;High;M1085;x
557494;Minister of Security;Arthur Chesterton;1941;1964;1999;PA;Back Stabber;Medium;M1092;x
557495;Minister of Security;Jeffrey Hamm;1942;1964;1999;PA;Crime Fighter;Medium;M1093;x
557496;Minister of Security;Maxwell Knight;1943;1964;1999;PA;Man of the People;Medium;M1094;x
557497;Minister of Security;Donald Bradley Somervell;1945;1964;1999;ML;Crime Fighter;High;M1086;x
557498;Minister of Security;Brendan Bracken;1946;1964;1999;ML;Silent Lawyer;Very High;M1087;x
557499;Minister of Security;Randolph Churchill;1948;1964;1999;SC;Man of the People;High;Randolph Churchill;x
557500;Head of Military Intelligence;John Amery;1936;1964;1999;FA;Dismal Enigma;High;M1110;x
557501;Head of Military Intelligence;S.P. James;1936;1964;1999;PA;Industrial Specialist;High;M1016;x
557502;Head of Military Intelligence;Barry E. Domvile;1936;1964;1999;PA;Naval Intelligence Specialist;High;M1019;x
557503;Head of Military Intelligence;J. C. C. Davidson;1936;1964;1999;SC;Political Specialist;High;kaiserreich_UK_J_C_C_Davidson;x
557504;Head of Military Intelligence;Ronald McCallum;1936;1964;1999;ML;Political Specialist;High;kaiserreich_UK_Robert_McCallum;x
557505;Head of Military Intelligence;George Lambert;1936;1964;1999;ML;Dismal Enigma;High;;x
557506;Head of Military Intelligence;Sir Robert Menzies;1936;1964;1999;ML;Dismal Enigma;Very High;M1103;x
557507;Head of Military Intelligence;Victor Rothschild;1936;1964;1999;SL;Political Specialist;High;kaiserreich_UK_Victor_Rothschild;x
557508;Head of Military Intelligence;Robert Cecil;1937;1964;1999;ML;Industrial Specialist;Very High;M1102;x
557509;Head of Military Intelligence;Maxwell Knight;1942;1964;1999;PA;Logistics Specialist;Medium;M1094;x
557510;Head of Military Intelligence;Kim Philby;1946;1964;1999;ML;Technical Specialist;Very Low;M1105;x
557511;Chief of Staff;Duke of Westminster;1936;1964;1999;FA;School of Manoeuvre;High;M1053;x
557512;Chief of Staff;Wilhelm Keitel;1960;1964;1999;PA;School of Manoeuvre;High;M176;x
557513;Chief of Staff;Barry E. Domvile;1939;1964;1999;PA;School of Psychology;High;M1019;x
557514;Chief of Staff;Edmund Ironside;1936;1964;1999;SC;School of Defence;High;M1118;x
557515;Chief of Staff;Claude Auchinleck;1936;1964;1999;SC;School of Fire Support;High;L1014;x
557516;Chief of Staff;Harold Alexander;1936;1964;1999;SC;School of Psychology;High;L1006;x
557517;Chief of Staff;Alan Brooke;1936;1964;1999;ML;School of Mass Combat;Very High;M1120;x
557518;Chief of Staff;John Vereker;1936;1964;1999;ML;School of Manoeuvre;Very High;M1117;x
557519;Chief of Staff;John Dill;1939;1964;1999;ML;School of Fire Support;Very High;M1119;x
557520;Chief of Staff;Orde Wingate;1944;1964;1999;SC;School of Mass Combat;High;L1239;x
557521;Chief of Army;Duke of Westminster;1936;1964;1999;FA;Armoured Spearhead Doctrine;High;M1053;x
557522;Chief of Army;Wilhelm Keitel;1960;1964;1999;PA;Armoured Spearhead Doctrine;High;M176;x
557523;Chief of Army;Harold Alexander;1936;1964;1999;SC;Decisive Battle Doctrine;High;L1006;x
557524;Chief of Army;H. M. Wilson;1936;1964;1999;SC;Guns and Butter Doctrine;High;L1315;x
557525;Chief of Army;Edmund Ironside;1936;1964;1999;SC;Static Defence Doctrine;High;M1118;x
557526;Chief of Army;Claude Auchinleck;1936;1964;1999;SC;Elastic Defence Doctrine;High;L1014;x
557527;Chief of Army;John Vereker;1937;1964;1999;ML;Armoured Spearhead Doctrine;Very High;M1117;x
557528;Chief of Army;Sir John Dill;1937;1964;1999;ML;Elastic Defence Doctrine;Very High;M1119;x
557529;Chief of Army;Charles Norrie;1941;1964;1999;SC;Armoured Spearhead Doctrine;High;L1223;x
557530;Chief of Army;Miles Dempsey;1944;1964;1999;ML;Armoured Spearhead Doctrine;High;L1099;x
557531;Chief of Navy;Guy Russell;1936;1964;1999;FA;Decisive Naval Battle Doctrine;High;;x
557532;Chief of Navy;Barry E. Domvile;1936;1964;1999;PA;Power Projection Doctrine;High;M1019;x
557533;Chief of Navy;Ernle Chatfield;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;M1009;x
557534;Chief of Navy;Roger Backhouse;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;M1137;x
557535;Chief of Navy;Dudley Pound;1936;1964;1999;SC;Open Seas Doctrine;High;M1140;x
557536;Chief of Navy;Roger Keyes;1936;1964;1999;SC;Power Projection Doctrine;High;kaiserreich_UK_Roger_Keyes;x
557537;Chief of Navy;E.H. Cole;1942;1964;1999;FA;Open Seas Doctrine;High;M1143;x
557538;Chief of Navy;Tom Philips;1943;1964;1999;SC;Decisive Naval Battle Doctrine;High;L1379;x
557539;Chief of Navy;Philip Vian;1944;1964;1999;SC;Power Projection Doctrine;High;L1399;x
557540;Chief of Air Force;Earl of Portsmouth;1936;1964;1999;FA;Vertical Envelopment Doctrine;High;;x
557541;Chief of Air Force;John Chamier;1936;1964;1999;FA;Vertical Envelopment Doctrine;High;M1020;x
557542;Chief of Air Force;Charles Portal;1936;1964;1999;SC;Carpet Bombing Doctrine;High;M1147;x
557543;Chief of Air Force;Frederick Bowhill;1936;1964;1999;SC;Naval Aviation Doctrine;High;L1417;x
557544;Chief of Air Force;Hugh Trenchard;1936;1964;1999;SC;Carpet Bombing Doctrine;High;L1483;x
557545;Chief of Air Force;Owen Boyd;1936;1964;1999;ML;Air Superiority Doctrine;High;M1010;x
557546;Chief of Air Force;Arthur Longmore;1938;1964;1999;SC;Army Aviation Doctrine;High;L1457;x
557547;Chief of Air Force;Williams Sempill;1939;1964;1999;PA;Carpet Bombing Doctrine;High;M1152;x
557548;Chief of Air Force;Donald Marendaz;1941;1964;1999;PA;Air Superiority Doctrine;High;M1153;x
557549;Chief of Air Force;Railton Freeman;1943;1964;1999;PA;Naval Aviation Doctrine;High;M1154;x
557550;Chief of Air Force;Trafford Leigh-Mallory;1943;1964;1999;SC;Air Superiority Doctrine;High;L1456;x
557551;Chief of Air Force;Arthur Tedder;1945;1964;1999;ML;Army Aviation Doctrine;Very High;M1148;x
557552;Head of State;H.R.M. Elizabeth II;1940;1964;1999;ML;Popular Figurehead;Very High;Elisabeth_II;x
557553;Head of State;H.R.M. Elizabeth II;1940;1964;1999;PA;Popular Figurehead;Very High;Elisabeth_II;x
557554;Head of State;H.R.M. William V;1936;1964;1999;PA;russian aristocrat;Very High;kai_wllivrus;x
557555;Head of State;H.R.M. William V;1936;1964;1999;SC;russian aristocrat;Very High;kai_wllivrus;x
557556;Head of Government;Bernard Montgomery;1936;1964;1999;PA;Old General;High;Montgomery;x
557557;Head of State;Bernard Montgomery;1936;1964;1999;PA;Weary Stiffneck;High;Montgomery;x
557558;Head of State;H.R.M. George V;1914;1934;1935;SC;Stern Imperialist;High;2474;x
557559;Head of Government;David Lloyd George;1916;1934;1935;SL;Flamboyant Tough Guy;High;2467;X
557560;Head of State;H.R.M. James III FitzJames Stuart;1914;1964;1999;PA;Autocratic Charmer;High;stuart_jacobo;x
557561;Head of State;H.R.M. Mary III FitzJames Stuart;1936;1964;1999;PA;Insignificant Layman;High;stuart_cayetana;x
557562;Head of State;H.R.M. James III FitzJames Stuart;1936;1964;1999;SC;Popular Figurehead;High;stuart_jacobo;x
557563;Head of State;H.R.M. Mary III FitzJames Stuart;1936;1964;1999;SC;Popular Figurehead;High;stuart_cayetana;x
557564;Head of State;S.K.M. Charles III auf Saxe-Coburg Gotha;1936;1964;1999;PA;german aristocrat;High;Kaiserreich_U16_CharlesIII;x
557565;Head of State;S.K.M. Charles III auf Saxe-Coburg Gotha;1936;1964;1999;SC;german aristocrat;High;Kaiserreich_U16_CharlesIII;x
557567;Head of Government;George Curzon;1921;1964;1999;PA;Flamboyant Tough Guy;High;kaiserreich curzon;x
