SWE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
7001;Head of State;H.M. Gustav V;1936;1964;1999;SC;Pig-headed Isolationist;High;M7001;x
7002;Head of Government;Axel Pehrsson-Bramstorp;1936;1964;1999;SL;Happy Amateur;High;M7002;x
7003;Foreign Minister;Karl G. Westman;1936;1964;1999;SL;Apologetic Clerk;Very High;M7003;x
7004;Minister of Armament;Vilmar Ljungdahl;1936;1964;1999;SL;Tank Proponent;Very High;M7004;x
7005;Minister of Security;Thorwald Bergquist;1936;1964;1999;SL;Compassionate Gentleman;Very High;M7005;x
7006;Head of Military Intelligence;Carlos Adlercreutz;1936;1964;1999;SC;Political Specialist;High;M7068;x
7007;Chief of Staff;Oscar Nygren;1936;1964;1999;SC;School of Defence;Medium;M7007;x
7008;Chief of Army;Oscar Nygren;1936;1964;1999;SC;Guns and Butter Doctrine;Medium;M7007;x
7009;Chief of Navy;Charles de Champs;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Very Low;M7009;x
7010;Chief of Air Force;Torsten Friis;1936;1964;1999;ML;Army Aviation Doctrine;Very High;M7010;x
7031;Head of State;H.M. Gustav V;1936;1964;1999;SC;Pig-headed Isolationist;High;M7001;x
7033;Head of Government;Per Albin Hansson;1936;1964;1999;SD;Ambitious Union Boss;High;M7033;x
7034;Head of Government;Tage Erlander;1946;1964;1999;SD;Political Protege;High;M7034;x
7035;Head of Government;Gösta Bagge;1936;1964;1999;ML;Smiling Oilman;High;M7035;x
7036;Head of Government;Axel Pehrsson-Bramstorp;1938;1964;1999;SL;Happy Amateur;High;M7002;x
7037;Head of Government;Bertil Ohlin;1939;1964;1999;SL;Corporate Suit;High;M7037;x
7038;Foreign Minister;Richard Sandler;1936;1964;1999;SD;Biased Intellectual;Low;M7038;x
7039;Foreign Minister;Christian Günther;1940;1964;1999;SC;Apologetic Clerk;High;M7039;x
7040;Foreign Minister;Östen Undén;1945;1964;1999;LWR;Great Compromiser;High;M7040;x
7041;Foreign Minister;Per Edvin Sköld;1936;1964;1999;SD;Ideological Crusader;Medium;M7041;x
7042;Foreign Minister;Vilhelm Göran Lundvik;1937;1964;1999;SL;Biased Intellectual;High;M7042;x
7043;Foreign Minister;R. Reson Sohlmann;1938;1964;1999;SL;Iron Fisted Brute;High;M7043;x
7044;Foreign Minister;Per E.G. Insulander;1939;1964;1999;SL;General Staffer;High;M7044;x
7045;Foreign Minister;Georg Andrén;1945;1964;1999;SC;Ideological Crusader;High;M7045;x
7046;Foreign Minister;Axel Pehrsson-Bramstorp;1940;1964;1999;SL;The Cloak N Dagger Schemer;Very High;M7002;x
7047;Minister of Armament;Ernst Wigforss;1936;1964;1999;SD;Resource Industrialist;Low;M7047;x
7048;Minister of Armament;Gustav Möller;1936;1964;1999;SD;laissez-faire capitalist;Medium;M7048;x
7049;Minister of Armament;Gustav Cassel;1937;1964;1999;ML;Administrative Genius;Medium;M7049;x
7050;Minister of Armament;Erik Palmstierna;1937;1964;1999;SD;Battle Fleet Proponent;Medium;M7050;x
7051;Minister of Armament;Ernst Trygger;1938;1964;1999;ML;Theoretical Scientist;Medium;M7051;x
7052;Minister of Armament;Erik Einar Ekstrand;1939;1964;1999;ML;Submarine Proponent;Medium;M7052;x
7053;Minister of Armament;Gösta Bagge;1940;1964;1999;ML;Resource Industrialist;Medium;M7035;x
7054;Minister of Armament;Östen Undén;1941;1964;1999;LWR;Infantry Proponent;Medium;M7054;x
7055;Minister of Armament;Bertil Ohlin;1944;1964;1999;SL;Military Entrepreneur;Medium;M7037;x
7056;Minister of Armament;Martin Skoglund;1940;1964;1999;ML;laissez-faire capitalist;High;M7056;x
7057;Minister of Armament;Fritjof Domö;1945;1964;1999;ML;Administrative Genius;High;M7057;x
7058;Minister of Security;Karl Schlyter;1936;1964;1999;SD;Silent Lawyer;High;M7058;x
7059;Minister of Security;Gustav Andersson-Rasjön;1940;1964;1999;SL;Compassionate Gentleman;Medium;M7059;x
7060;Minister of Security;Axel T. Ädelsvärd;1936;1964;1999;SL;Silent Lawyer;Very High;M7060;x
