RHO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
553001;Head of State;Sir Herbert J. Stanley;1936;1964;1999;ML;Insignificant Layman;High;M553001;x	Y
553002;Head of Government;Godfrey Martin Huggins;1936;1964;1999;ML;Corporate Suit;High;M553002;x	y
553003;Foreign Minister;Sir Evelyn Baring;1936;1964;1999;ML;Iron Fisted Brute;High;M553003;x	n
553004;Minister of Armament;Sir Robert J. Hudson;1936;1964;1999;ML;Administrative Genius;Medium;M553004;x	y
553005;Minister of Security;Anthony Sillery;1936;1964;1999;ML;Crime Fighter;Medium;M553005;x
553006;Head of Military Intelligence;Sir Philip W. Richardson;1936;1964;1999;ML;Industrial Specialist;Medium;M553006;x
553007;Chief of Staff;Eric de Burgh;1936;1964;1999;ML;School of Fire Support;Medium;L1094;x
553008;Chief of Army;Philip Carrington;1936;1964;1999;ML;Static Defence Doctrine;Medium;M553008;x
553009;Chief of Navy;Cecil Drummond;1936;1964;1999;ML;Power Projection Doctrine;Medium;M553009;x
553010;Chief of Air Force;Sir Charles Arden-Clarke;1936;1964;1999;ML;Naval Aviation Doctrine;Medium;M551008;x
553011;Head of State;H.H. Litunga Yeta III;1936;1964;1999;PA;Barking Buffoon;High;M553011;x
553012;Head of State;Sir Hubert Winthrop-Young;1936;1964;1999;SL;Stern Imperialist;High;M553012;x
553013;Head of State;Kenneth Kaunda;1936;1964;1999;SD;Powerhungry Demagogue;High;M553013;x
553014;Head of Government;Donald McKenzie-Kennedy;1936;1964;1999;PA;old airmarshal;High;M553014;x
553015;Head of Government;Sir Charles Arden-Clarke;1936;1964;1999;SL;Old General;High;M551012;x
553016;Head of Government;Hastings Kamuzu Banda;1936;1964;1999;SD;Ambitious Union Boss;High;M553016;x
553017;Foreign Minister;Kgoshi III Khama;1936;1964;1999;PA;Biased Intellectual;High;M553017;x
553018;Foreign Minister;Sir Harold B. Kittermaster;1936;1964;1999;SL;Ideological Crusader;High;M553018;x
553019;Foreign Minister;Sir Seretse Khama;1936;1964;1999;SD;Apologetic Clerk;High;M553019;x
553020;Minister of Armament;Sir Roy Welensky;1936;1964;1999;PA;Air to Ground Proponent;Medium;M553020;x
553021;Minister of Armament;Mulena Yomohulu;1936;1964;1999;SL;Corrupt Kleptocrat;Medium;M553021;x
553022;Minister of Armament;Paed O'Reilly;1942;1964;1999;SL;Tank Proponent;Medium;M553022;x
553023;Minister of Armament;Eubule James Waddington;1936;1964;1999;SD;Theoretical Scientist;Medium;M553023;x
553024;Minister of Security;Enderby Khamatse;1936;1964;1999;PA;Prince of Terror;Medium;M553024;x
553025;Minister of Security;Maxwell MacDiarmid;1941;1964;1999;PA;Man of the People;Medium;M553025;x
553026;Minister of Security;Robert Smythe-Cramer;1936;1964;1999;SL;Crooked Kleptocrat;Medium;M553026;x
553027;Minister of Security;Violet Grigg;1942;1964;1999;SL;Silent Lawyer;Medium;M553027;x
553028;Minister of Security;Henry Nkumbula;1936;1964;1999;SD;Back Stabber;Medium;M553028;x
553029;Minister of Security;Muzi Hlongwa;1943;1964;1999;SD;Compassionate Gentleman;Medium;M553029;x
553030;Head of Military Intelligence;Peter Youens;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M553030;x
553031;Head of Military Intelligence;John Alexander Maybin;1941;1964;1999;PA;Political Specialist;Medium;M553031;x
553032;Head of Military Intelligence;Duncan McAllister;1936;1964;1999;SL;Dismal Enigma;Medium;M553032;x
553033;Head of Military Intelligence;John Mwanakatwe;1936;1964;1999;SD;Technical Specialist;Medium;M553033;x
553034;Head of Military Intelligence;Tshekedi Khama;1943;1964;1999;SD;Logistics Specialist;Medium;M553034;x
553035;Chief of Staff;G.W.D. Nicholson;1936;1964;1999;PA;School of Mass Combat;Medium;M553035;x
553036;Chief of Staff;Thomas Rees;1941;1964;1999;ML;School of Manoeuvre;Medium;L1260;x
553037;Chief of Staff;Mulena Yomohulu;1936;1964;1999;SL;School of Defence;Medium;M553021;x
553038;Chief of Staff;C.M. Grigg;1936;1964;1999;SD;School of Psychology;Medium;M553038;x
553039;Chief of Army;Ferdinand Charles Stanley;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M553039;x
553040;Chief of Army;Dennis C. Capell-Dunn;1941;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M553040;x
553041;Chief of Army;Mbumu wa Ltunga;1936;1964;1999;SL;Elastic Defence Doctrine;Medium;M553041;x
553042;Chief of Army;Yomohulu Mburnu;1936;1964;1999;SD;Decisive Battle Doctrine;Medium;M553042;x
553043;Chief of Navy;H.H. Litunga Yeta III;1936;1964;1999;PA;Base Control Doctrine;Medium;M553011;x
553044;Chief of Navy;Tommy Gould;1941;1964;1999;ML;Indirect Approach Doctrine;Medium;M74009;x
553045;Chief of Navy;George Squance;1936;1964;1999;SL;Open Seas Doctrine;Medium;M553045;x
553046;Chief of Navy;Mbumu wa Ltunga;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M553041;x
553047;Chief of Air Force;Donald McKenzie-Kennedy;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M553014;x
553048;Chief of Air Force;Herbert Croucher;1936;1964;1999;SL;Carpet Bombing Doctrine;Medium;M553048;x
553049;Chief of Air Force;John Mwanakatwe;1936;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M553033;x
553050;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
553051;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
