COS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
47001;Head of State;Romualdo Jímenez Oreamurio;1936;1964;1999;SL;Ruthless Powermonger;High;M47001;x
47002;Head of Government;Leon Cortes Castro;1936;1964;1999;SL;Political Protege;NA;M47002;x
47003;Foreign Minister;Raúl Gundían;1936;1964;1999;SL;General Staffer;Medium;M47003;x
47004;Minister of Armament;Julio Acosta Garcia;1936;1964;1999;SL;Military Entrepreneur;Medium;M47004;x
47005;Minister of Security;Victor Sanabria Martinéz;1936;1964;1999;SL;Efficient Sociopath;Very High;M47005;x
47006;Head of Military Intelligence;Federico Tinoco;1936;1964;1999;SL;Industrial Specialist;Medium;M47006;x
47007;Chief of Staff;Federico Tinoco;1936;1964;1999;SL;School of Defence;Medium;M47006;x
47008;Chief of Army;Federico Tinoco;1936;1964;1999;SL;Static Defence Doctrine;Medium;M47006;x
47009;Chief of Navy;Roberto Juarez Camposino;1936;1964;1999;SL;Open Seas Doctrine;Medium;M47009;x
47010;Chief of Air Force;Don Arnaldo Zamora;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M47010;x
47031;Head of State;Otilio Ulate;1944;1964;1999;SD;Benevolent Gentleman;High;M47031;x
47032;Head of State;Leon Cortes Castro;1936;1964;1999;SL;Autocratic Charmer;High;M47002;x
47033;Head of State;Tobias Zúñiaga Montúfar;1940;1964;1999;SL;Stern Imperialist;High;M47033;x
47034;Head of State;Alejandro de Castro Lopez;1944;1964;1999;SL;Barking Buffoon;High;M47034;x
47035;Head of State;Otto Cortes Fernandez;1936;1964;1999;SC;Insignificant Layman;High;M47035;x
47036;Head of State;Rafael Calderon Guardia;1940;1964;1999;SC;Barking Buffoon;High;M47036;x
47037;Head of State;Teodoro Picado Michalski;1944;1964;1999;SC;Resigned Generalissimo;High;M47037;x
47038;Head of State;Romualdo Pino Roja;1936;1964;1999;FA;Resigned Generalissimo;High;M47011;x
47039;Head of State;Manuel Mora Valverde;1940;1964;1999;LE;Insignificant Layman;High;M47021;x
47040;Head of State;Isalino de Silva Londres;1947;1964;1999;LWR;Autocratic Charmer;High;M47040;x
47041;Head of Government;Jose Figueres Ferrer;1944;1964;1999;SD;Political Protege;High;M47041;x
47042;Head of Government;Tobias Zúñiaga Montúfar;1936;1964;1999;SL;Ambitious Union Boss;High;M47033;x
47043;Head of Government;Alejandro de Castro Lopez;1944;1964;1999;SL;Happy Amateur;High;M47034;x
47044;Head of Government;Adolfo Urribe Castro;1936;1964;1999;SC;Smiling Oilman;High;M47044;x
47045;Head of Government;Teodoro Picado Michalski;1940;1964;1999;SC;Old General;High;M47037;x
47046;Head of Government;Rafael Calderon Guardia;1944;1964;1999;SC;Flamboyant Tough Guy;High;M47046;x
47047;Head of Government;Otto Cortes Fernandez;1944;1964;1999;SC;Silent Workhorse;High;M47035;x
47048;Head of Government;Romualdo Pino Roja;1936;1964;1999;PA;Old General;High;M47011;x
47049;Head of Government;Manuel Mora Valverde;1940;1964;1999;LE;Happy Amateur;High;M47021;x
47050;Head of Government;Isalino de Silva Londres;1947;1964;1999;LWR;Political Protege;NA;M47040;x
47051;Foreign Minister;Otilio Ulate;1944;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M47031;x
47052;Foreign Minister;Luís Fernandéz Rodríguez;1947;1964;1999;SD;Ideological Crusader;Medium;M47024;x
47053;Foreign Minister;Leon Cortes Castro;1936;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M47002;x
47054;Foreign Minister;Manuel F. Jímenez;1938;1964;1999;SL;General Staffer;Medium;M47054;x
47055;Foreign Minister;Albert Echandi Montero;1939;1964;1999;SL;Iron Fisted Brute;Medium;M47055;x
47056;Foreign Minister;Roberto Brenes Mesen;1940;1964;1999;SL;Apologetic Clerk;Medium;M47056;x
47057;Foreign Minister;Tobias Zúñiaga Montúfar;1942;1964;1999;SL;Biased Intellectual;High;M47033;x
47058;Foreign Minister;Chico Orlich Bolmarich;1944;1964;1999;SL;Ideological Crusader;High;M47058;x
47059;Foreign Minister;Adolfo Urribe Castro;1936;1964;1999;SC;Apologetic Clerk;Medium;M47044;x
47060;Foreign Minister;Rafael Calderon Guardia;1940;1964;1999;SC;Biased Intellectual;Medium;M47036;x
47061;Foreign Minister;Julio Acosta Garcia;1942;1964;1999;SC;Great Compromiser;Medium;M47004;x
47062;Foreign Minister;Teodoro Picado Michalski;1943;1964;1999;SC;Ideological Crusader;High;M47037;x
47063;Foreign Minister;Manuel de Peralta;1944;1964;1999;SC;Iron Fisted Brute;Medium;M47063;x
47064;Foreign Minister;Raúl Gundían;1936;1964;1999;PA;General Staffer;Medium;M47003;x
47065;Foreign Minister;Manuel Mora Valverde;1940;1964;1999;LE;The Cloak N Dagger Schemer;Medium;M47021;x
47066;Foreign Minister;Enrique Díaz Toledo;1947;1964;1999;LWR;Apologetic Clerk;Medium;M47066;x
47067;Minister of Armament;Jose Figueres Ferrer;1944;1964;1999;SD;Administrative Genius;Medium;M47041;x
47068;Minister of Armament;Calufa Fallas Sinaja;1947;1964;1999;SD;Submarine Proponent;High;M47068;x
47070;Minister of Armament;Chico Orlich Bolmarich;1940;1964;1999;SL;Tank Proponent;High;M47058;x
47071;Minister of Armament;Roberto Brenes Mesen;1944;1964;1999;SL;Infantry Proponent;Medium;M47056;x
47072;Minister of Armament;Tobias Zúñiaga Montúfar;1947;1964;1999;SL;Air to Ground Proponent;High;M47033;x
47073;Minister of Armament;Juan Cortes Castro;1936;1964;1999;SC;laissez-faire capitalist;Medium;M47073;x
47074;Minister of Armament;Otto Cortes Fernandez;1938;1964;1999;SC;Administrative Genius;High;M47035;x
47075;Minister of Armament;Tobias Picado Cortes;1941;1964;1999;SC;Battle Fleet Proponent;Very High;M47075;x
47076;Minister of Armament;Ignacio Mendéz Alino;1936;1964;1999;PA;Corrupt Kleptocrat;High;M47014;x
47077;Minister of Armament;Luís Fernandéz Rodríguez;1940;1964;1999;LE;Air to Ground Proponent;Medium;M47024;x
47078;Minister of Armament;Ignacio Mendéz Alino;1947;1964;1999;LWR;Corrupt Kleptocrat;High;M47014;x
47079;Minister of Security;Calufa Fallas Sinaja;1944;1964;1999;SD;Silent Lawyer;Medium;M47068;x
47080;Minister of Security;Jose Figueres Ferrer;1947;1964;1999;SD;Man of the People;High;M47041;x
47082;Minister of Security;Isalino de Silva Londres;1940;1964;1999;SL;Crime Fighter;Low;M47040;x
47083;Minister of Security;Tobias Zúñiaga Montúfar;1944;1964;1999;SL;Silent Lawyer;High;M47033;x
47084;Minister of Security;Alejandro de Castro Lopez;1947;1964;1999;SL;Man of the People;High;M47034;x
47085;Minister of Security;Adolfo Urribe Castro;1936;1964;1999;SC;Compassionate Gentleman;Medium;M47044;x
47087;Minister of Security;Tobias Picado Cortes;1946;1964;1999;SC;Prince of Terror;Very High;M47075;x
47088;Minister of Security;Alberto Marten Chavarria;1936;1964;1999;PA;Crooked Kleptocrat;Very Low;M47015;x
47089;Minister of Security;Isalino de Silva Londres;1940;1964;1999;LWR;Crime Fighter;Low;M47040;x
47090;Minister of Security;Carmen Lyra;1947;1964;1999;LWR;Prince of Terror;Low;M47025;x
47091;Head of Military Intelligence;Jose Figueres Ferrer;1944;1964;1999;SD;Political Specialist;Medium;M47041;x
47092;Head of Military Intelligence;Romualdo Jímenez Oreamurio;1936;1964;1999;SL;Technical Specialist;High;M47001;x
47093;Head of Military Intelligence;Raúl Gundían;1936;1964;1999;SL;Dismal Enigma;Medium;M47003;x
47094;Head of Military Intelligence;Enrique Díaz Toledo;1944;1964;1999;SL;Logistics Specialist;Medium;M47066;x
47095;Head of Military Intelligence;Tobias Zúñiaga Montúfar;1947;1964;1999;SL;Political Specialist;High;M47033;x
47096;Head of Military Intelligence;Benjamin Nuñez Vargas;1936;1964;1999;SC;Logistics Specialist;High;M47096;x
47098;Head of Military Intelligence;Romualdo Pino Roja;1946;1964;1999;SC;Dismal Enigma;Low;M47011;x
47099;Head of Military Intelligence;José Mendéz Alino;1936;1964;1999;PA;Industrial Specialist;Medium;M47016;x
47100;Head of Military Intelligence;Hugo Montés Ramirez;1940;1964;1999;LE;Logistics Specialist;Medium;M47100;x
47101;Head of Military Intelligence;Miguel Ramirez Alcantara;1947;1964;1999;LWR;Dismal Enigma;Medium;M47026;x
47102;Chief of Staff;Felipe Abreu Castro;1945;1964;1999;SD;School of Fire Support;High;M47102;x
47103;Chief of Staff;Jose Figueres Ferrer;1947;1964;1999;SD;School of Mass Combat;High;M47103;x
47105;Chief of Staff;Alejandro de Castro Lopez;1947;1964;1999;SL;School of Mass Combat;High;M47034;x
47107;Chief of Staff;Jorge Volio Jimenéz;1944;1964;1999;SC;School of Manoeuvre;Medium;M47107;x
47109;Chief of Staff;Hugo Montés Ramirez;1940;1964;1999;LE;School of Psychology;Medium;M47100;x
47110;Chief of Staff;Miguel Ramirez Alcantara;1947;1964;1999;LWR;School of Fire Support;Medium;M47026;x
47112;Chief of Army;Jose Figueres Ferrer;1947;1964;1999;SD;Decisive Battle Doctrine;High;M47103;x
47114;Chief of Army;Tobias Zúñiaga Montúfar;1947;1964;1999;SL;Elastic Defence Doctrine;High;M47033;x
47116;Chief of Army;Don Arnaldo Zamora;1940;1964;1999;SC;Guns and Butter Doctrine;Medium;M47111;x
47117;Chief of Army;Jorge Volio Jimenéz;1944;1964;1999;SC;Armoured Spearhead Doctrine;High;M47107;x
47118;Chief of Army;Baptista E. Gutierrez;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;M47018;x
47119;Chief of Army;Hugo Montés Ramirez;1940;1964;1999;LE;Decisive Battle Doctrine;Medium;M47100;x
47120;Chief of Army;Francisco Rosendo Arguello;1947;1964;1999;LWR;Guns and Butter Doctrine;Medium;M47028;x
47121;Chief of Navy;Felipe Abreu Castro;1944;1964;1999;SD;Power Projection Doctrine;High;M47102;x
47125;Chief of Navy;Manuel Mora Valverde;1940;1964;1999;LE;Base Control Doctrine;Medium;M47021;x
47126;Chief of Navy;Hugo Siedler Mendoza;1947;1964;1999;LWR;Indirect Approach Doctrine;Medium;M47029;x
47127;Chief of Air Force;Guillermo Macho Nuñez;1944;1964;1999;SD;Air Superiority Doctrine;Medium;M47127;x
47129;Chief of Air Force;Carlos Uribé Alpoveda;1936;1964;1999;SC;Carpet Bombing Doctrine;Medium;M47129;x
47131;Chief of Air Force;Manuel Mora Valverde;1940;1964;1999;LE;Army Aviation Doctrine;Medium;M47021;x
47132;Chief of Air Force;Oscar Padilla Sellean;1947;1964;1999;LWR;Naval Aviation Doctrine;Medium;M47030;x
47133;Head of State;Santos León Herrera;1947;1964;1999;SC;Pig-headed Isolationist;High;M47133;x
47134;Head of Government;Santos León Herrera;1947;1964;1999;SC;Corporate Suit;High;M47133;x
47030;Chief of Air Force;Oscar Padilla Sellean;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M47030;x
