NOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
14001;Head of State;H.K.M. Haakon VII;1936;1964;1999;SD;Weary Stiffneck;High;M14001;X
14002;Head of Government;Johan Nygaardsvold;1936;1964;1999;SD;Ambitious Union Boss;High;M14002;X
14003;Foreign Minister;Halvdan Koht;1936;1964;1999;SD;Biased Intellectual;Medium;M14003;X
14004;Minister of Armament;Adolf Indrebø;1936;1964;1999;SD;Resource Industrialist;Medium;M14004;X
14005;Minister of Security;Trygve H. Lie;1936;1964;1999;SD;Man of the People;Medium;M14005;X
14006;Head of Military Intelligence;Ragnvald Alfred Roscher-Lund;1942;1964;1999;SD;Logistics Specialist;High;L9622;X
14007;Chief of Staff;Otto Ruge;1933;1947;1999;SD;School of Defence;High;L9623;X
14008;Chief of Army;Kristian Laake;1931;1940;1999;SL;Static Defence Doctrine;High;L9617;X
14009;Chief of Navy;Edgar Otto;1934;1938;1999;SL;Decisive Naval Battle Doctrine;High;LEdgar_Otto;X
14010;Chief of Air Force;Finn Lützow-Holm;1938;1950;1999;SD;Naval Aviation Doctrine;High;L9659;X
14011;Head of Military Intelligence;Erling Sandberg;1936;1964;1999;SC;Logistics Specialist;Medium;M14014;X
14012;Head of Government;Jacob Worm-Müller;1936;1964;1999;SL;Silent Workhorse;High;kai_jacwormu;X
14013;Head of Government;Jens Hundseid;1936;1964;1999;ML;Silent Workhorse;High;kai_jenhun;X
14014;Minister of Security;Bertram Dybwad Brochmann;1936;1964;1999;SD;Man of the People;Medium;M14071;X
14015;Head of Government;Oscar Torp;1940;1964;1999;SC;Corporate Suit;High;kai_osctor;X
14016;Head of Government;Per Borten;1940;1964;1999;ML;Naive Optimist;High;kai_perbor;X
14017;Head of State;H.K.M. Olav V;1950;1964;1999;SD;Benevolent Gentleman;High;kai_olavvn;X
14018;Head of State;H.K.M. Olav V;1950;1964;1999;ML;Benevolent Gentleman;High;kai_olavvn;X
14019;Head of State;H.K.M. Olav V;1950;1964;1999;PA;Benevolent Gentleman;High;kai_olavvn;X
14020;Head of State;H.K.M. Haakon VII;1936;1964;1999;PA;Benevolent Gentleman;High;M14001;X
14032;Head of State;H.K.M. Haakon VII;1936;1964;1999;ML;Benevolent Gentleman;High;M14001;X
14034;Head of State;Erling Sandberg;1945;1964;1999;PA;Autocratic Charmer;High;M14014;X
14036;Head of Government;C.J. Hambro;1936;1964;1999;SC;Silent Workhorse;High;M14036;X
14037;Head of Government;Einar Gerhardsen;1941;1964;1999;SD;Political Protege;High;M14037;X
14038;Head of Government;Adolf Worm-Müller;1941;1964;1999;SL;Happy Amateur;High;M14038;X
14039;Head of Government;Paal Berg;1945;1964;1999;ML;Backroom Backstabber;High;M14039;X
14040;Head of Government;Anders Lange;1945;1964;1999;PA;Happy Amateur;High;M14040;X
14041;Foreign Minister;Trygve H. Lie;1941;1964;1999;SD;Iron Fisted Brute;High;M14005;X
14042;Foreign Minister;Halvard Manthey Lange;1945;1964;1999;SD;General Staffer;High;M14042;X
14043;Foreign Minister;J. L. Mowinckel;1936;1964;1999;SL;Ideological Crusader;Very High;M14043;X
14044;Foreign Minister;Paal Berg;1937;1964;1999;SL;Great Compromiser;High;M14039;X
14045;Foreign Minister;Erik Andreas Colban;1936;1964;1999;ML;Great Compromiser;High;M14045;X
14046;Foreign Minister;C.J. Hambro;1936;1964;1999;SC;Great Compromiser;High;M14036;X
14047;Foreign Minister;Rolf Andvord;1945;1964;1999;SD;Apologetic Clerk;High;M14047;X
14048;Foreign Minister;Albert Viljam Hagelin;1942;1964;1999;FA;Biased Intellectual;Low;M14048;X
14049;Foreign Minister;Adam Egede Nissen;1941;1964;1999;ST;Iron Fisted Brute;Low;M14021;X
14050;Minister of Armament;Finn Hagerup;1937;1964;1999;SD;Submarine Proponent;Medium;M14050;X
14051;Minister of Armament;Oscar F. Torp;1939;1964;1999;SD;Mixed Economy;Medium;M14051;X
14052;Minister of Armament;Fredrik Monsen;1940;1964;1999;SD;Balanced Budget Economy;Medium;M14052;X
14053;Minister of Armament;Jens Christian Hauge;1940;1964;1999;SD;Military Entrepreneur;High;M14053;X
14054;Minister of Armament;Erik Brofoss;1945;1964;1999;SD;Planned Economy Proponent;High;M14054;X
14055;Minister of Armament;Frederic Beichmann;1936;1964;1999;SL;Infantry Proponent;Medium;M14055;X
14056;Minister of Armament;Johan H. Andresen;1936;1964;1999;ML;Resource Industrialist;Medium;M14056;X
14057;Minister of Armament;Benjamin Vogt;1936;1964;1999;SC;Battle Fleet Proponent;Medium;M14057;X
14058;Minister of Armament;Michael Hansson;1941;1964;1999;SL;Strategic Air Proponent;Medium;M14058;X
14059;Minister of Armament;Erling Sandberg;1943;1956;1999;SL;Bank President;High;M14014;X
14060;Minister of Armament;Gunnar Jahn;1945;1964;1999;SL;Laissez-Faire Capitalist;Medium;M14060;X
14061;Minister of Armament;Albert Viljam Hagelin;1941;1964;1999;FA;Laissez-Faire Capitalist;High;M14048;X
14062;Minister of Armament;Fredrik Prytz;1936;1964;1999;FA;Military Entrepreneur;Medium;M14062;X
14063;Minister of Armament;Carl Frølich Hanssen;1936;1960;1999;FA;Military Entrepreneur;High;LCarl_Frolich_Hanssen;X
14064;Minister of Armament;Emil Lövlien;1945;1964;1999;ST;Mixed Economy;Low;M14022;X
14065;Minister of Security;Terje Wold;1939;1964;1999;SD;Silent Lawyer;Medium;M14065;X
14066;Minister of Security;Asbjørn Bryhn;1943;1964;1999;SD;Crime Fighter;Low;M14066;X
14067;Minister of Security;Haakon Lie;1945;1964;1999;SD;Prince of Terror;High;M14067;X
14068;Minister of Security;Arne Sunde;1936;1964;1999;SL;Silent Lawyer;High;M14068;X
14069;Minister of Security;Erling Sandberg;1936;1964;1999;SC;Compassionate Gentleman;Very Low;M14014;X
14070;Minister of Security;Rolf Fuglesang;1942;1964;1999;FA;Efficient Sociopath;Very Low;M14070;X
14071;Head of Military Intelligence;Bertram Dybwad Brochmann;1936;1964;1999;ML;Dismal Enigma;Medium;M14071;X
14072;Head of Military Intelligence;Vilhelm Evang;1946;1970;1999;SD;Counterintelligence Specialist;High;M14072;X
