BOS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
546001;Head of State;Ademaga Mesic;1936;1964;1999;NS;Weary Stiffneck;High;BOS-KR_Ademaga_Mesic;X
546002;Head of Government;Dzafer-beg Kulenovic;1936;1964;1999;FA;Naive Optimist;High;BOS-KR_Dzafer_Kulenovic;X
546003;Foreign Minister;Mehmed Alajbegovic;1936;1964;1999;NS;Ideological Crusader;High;BOS-KR_Alajbegovic;X
546004;Minister of Armament;Nesad Topcic;1936;1964;1999;NS;Military Entrepreneur;High;M546004;X
546005;Minister of Security;Hakija Hadzic;1936;1964;1999;NS;Prince of Terror;High;M546007;X
546006;Head of Military Intelligence;Hakija Hadzic;1936;1964;1999;NS;Political Specialist;High;M546007;X
546007;Chief of Staff;Ibrahim Pjanic;1936;1964;1999;FA;School of Mass Combat;High;BOS-KR_Ibrahim_Pjanic;X
546008;Chief of Army;Muhamed Hadziefendic;1936;1964;1999;FA;Static Defence Doctrine;High;BOS-KR_Muhamed_Hadziefendic;X
546009;Chief of Navy;Muhamed Hadziefendic;1936;1964;1999;FA;Indirect Approach Doctrine;High;BOS-KR_Muhamed_Hadziefendic;X
546010;Chief of Air Force;Cvitan Galic;1936;1964;1999;NS;Army Aviation Doctrine;High;BOS-KR_Cvitan_Galic;X
546011;Head of State;Safvet-beg Basagic;1936;1964;1999;SC;Popular Figurehead;High;BOS-KR_Safvet-beg_Basagic;X
546012;Head of State;Djuro Djakovic;1936;1964;1999;LE;Die-hard Reformer;High;BOS-KR_Djuro_Djakovic;X
546013;Head of Government;Mehmed Spaho;1936;1964;1999;SC;Silent Workhorse;High;BOS-KR_Mehmed_Spaho;X
546014;Head of Government;Djuro Pucar;1936;1964;1999;LE;Ambitious Union Boss;High;BOS-KR_Pucar_Djuro_Stari;X
546015;Foreign Minister;Dzafer-beg Kulenovic;1936;1964;1999;FA;Ideological Crusader;High;BOS-KR_Dzafer_Kulenovic;X
546016;Foreign Minister;Dzemaludin ef. Causevic;1936;1964;1999;SC;Great Compromiser;High;M546016;X
546017;Foreign Minister;Veselin Maslesa;1936;1964;1999;LE;Ideological Crusader;High;BOS-KR_VMaslesa;X
546018;Minister of Armament;Osman Vilovic;1936;1964;1999;SC;Resource Industrialist;High;BOS-KR_Osman_Vilovic;X
546019;Minister of Armament;Mehmed Spaho;1936;1964;1999;SC;Industrialiser;High;BOS-KR_Mehmed_Spaho;X
546020;Minister of Armament;Barisa Smoljan;1936;1964;1999;SC;Resource Industrialist;High;BOS-KR_Barisa_Smoljan;X
546021;Minister of Armament;Avdo Humo;1936;1964;1999;LE;Infantry Proponent;High;BOS-KR_Avdo_Humo;X
546022;Minister of Armament;Nikola Mandic;1936;1964;1999;FA;Bank President;High;BOS-KR_Nikola_Mandic;X
