UIR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
3234700;Head of State;Sir Henry Duffield Craik;1933;1964;1999;FA;Stern Imperialist;High;M564001;X
3234701;Head of Government;Sir John Anderson;1933;1964;1999;FA;Political Protege;High;M564002;X
3234702;Foreign Minister;Sir Bertrand Glancy;1933;1964;1999;FA;Great Compromiser;High;M564003;X
3234703;Minister of Armament;Albert E. Clutterbuck;1933;1964;1999;FA;Corrupt Kleptocrat;Medium;M564004;X
3234704;Minister of Security;Herbert William Emerson;1933;1964;1999;FA;Prince of Terror;Medium;M564005;X
3234705;Head of Military Intelligence;Frederick Gough-Calthorpe;1933;1964;1999;FA;Industrial Specialist;Medium;M564006;X
3234706;Chief of Staff;Wallace Duffield Wright;1933;1964;1999;FA;School of Defence;Medium;M564007;X
3234707;Chief of Army;B.G.E. Dyer;1933;1964;1999;FA;Static Defence Doctrine;Medium;M564008;X
3234708;Chief of Navy;John Talbot Savignac Hall;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;L1394;X
3234709;Chief of Air Force;Gerald Hendrickson;1933;1964;1999;FA;Naval Aviation Doctrine;Medium;M564010;X
3234710;Head of State;Iskander Mirza;1933;1964;1999;SD;Barking Buffoon;High;M59014;X
3234711;Head of State;H.H. Muhammed Shuja ul-Mulk;1933;1964;1999;PA;Resigned Generalissimo;High;M564012;X
3234712;Head of Government;Mohammad Ali Jinnah;1933;1964;1999;SD;Flamboyant Tough Guy;High;M59042;X
3234713;Head of Government;Jamiat II Nawab of Manowar;1933;1964;1999;PA;old airmarshal;High;M564014;X
3234714;Foreign Minister;Liaquat Ali Khan;1933;1964;1999;SD;The Cloak N Dagger Schemer;High;M59052;X
3234715;Foreign Minister;Mohammed Ayub Khan;1946;1964;1999;SD;General Staffer;High;M59049;X
3234716;Foreign Minister;H.H. Nwanm Khan Jorawar;1933;1964;1999;PA;Ideological Crusader;High;M564017;X
3234717;Minister of Armament;Dr. Zakir Husain;1933;1964;1999;SD;Theoretical Scientist;Medium;M59066;X
3234718;Minister of Armament;Zahid Hussain;1941;1964;1999;SD;Administrative Genius;Medium;M564019;X
3234719;Minister of Armament;Francis Edgar Kearney;1940;1964;1999;ML;Military Entrepreneur;Medium;M564020;X
3234720;Minister of Armament;Mehtar Saif ur-Rahman;1933;1964;1999;PA;Resource Industrialist;Medium;M564021;X
3234721;Minister of Security;Liaquat Ali Khan;1933;1964;1999;SD;Efficient Sociopath;Very High;M59052;X
3234722;Minister of Security;Abdul Badshah Khan;1944;1964;1999;SD;Man of the People;Very High;M59076;X
3234723;Minister of Security;Evan Meredith Jenkins;1943;1964;1999;ML;Compassionate Gentleman;Medium;M564024;X
3234724;Minister of Security;H.H. Muzaffar ul-Mulk;1933;1964;1999;PA;Back Stabber;Medium;M564025;X
3234725;Head of Military Intelligence;Ifthqar Husain Memdoot;1933;1964;1999;SD;Industrial Specialist;Medium;M59085;X
3234726;Head of Military Intelligence;Wilfred Hart-Sugden;1941;1964;1999;ML;Naval Intelligence Specialist;Medium;M564027;X
3234727;Head of Military Intelligence;Lord Edward Gleichen;1933;1964;1999;PA;Dismal Enigma;Medium;M564028;X
3234728;Chief of Staff;Sir Skindher Hitay Khan;1933;1964;1999;SD;School of Psychology;Very High;M59096;X
3234729;Chief of Staff;Muhammad Yahya Khan;1945;1964;1999;SD;School of Fire Support;Low;M59098;X
3234730;Chief of Staff;H.H. Shriman VIII Maharaja of Kashmir;1933;1964;1999;PA;School of Mass Combat;Low;M564031;X
3234731;Chief of Army;Muhammad Ayub Khan;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M59105;X
3234732;Chief of Army;Muhammad Yahya Khan;1945;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M59098;X
3234733;Chief of Army;Rukn Nawab ud-Duala;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M564034;X
3234734;Chief of Navy;Ali Rehman Khan;1933;1964;1999;SD;Base Control Doctrine;Medium;L505113;X
3234735;Chief of Navy;H.H. Diwan III Nawab Khanji;1933;1964;1999;SD;Open Seas Doctrine;Medium;M564036;X
3234736;Chief of Air Force;Asghar Khan;1933;1964;1999;SD;Vertical Envelopment Doctrine;High;M59020;X
3234737;Chief of Air Force;H.H. Ahmad ul-Mulk;1933;1964;1999;PA;Carpet Bombing Doctrine;High;M564038;X
3234738;Head of State;Mohammad Ali Jinnah;1947;1964;1999;SD;Powerhungry Demagogue;High;M59042;X
3234739;Head of State;Khwaja Nazimuddin;1948;1964;1999;SD;Barking Buffoon;High;M564040;X
3234740;Head of State;Gholam Muhammad;1951;1964;1999;SD;Benevolent Gentleman;High;M564041;X
3234741;Head of Government;Liaquat Ali Khan;1947;1964;1999;SD;Backroom Backstabber;High;M59052;X
3234742;Head of Government;Khwaja Nazimuddin;1947;1964;1999;SD;Corporate Suit;High;M564040;X
3234743;Head of Government;Mohammad Ali Bogra;1953;1964;1999;SD;Ambitious Union Boss;High;M564044;X
3234744;Foreign Minister;Chaudry Mohammad Ali;1951;1964;1999;SD;Biased Intellectual;High;M564045;X
3234745;Foreign Minister;Husain Suhrawandy;1953;1964;1999;SD;Apologetic Clerk;High;M564046;X
3234746;Minister of Armament;Abdul Wahab Khan;1952;1964;1999;SD;Infantry Proponent;Medium;M564047;X
3234747;Minister of Security;Moulvi Tamizaddin Khan;1951;1964;1999;SD;Silent Lawyer;Very High;M564048;X
3234748;Head of Military Intelligence;Abdul Wahab Khan;1949;1964;1999;SD;Logistics Specialist;Medium;M564047;X
3234749;Chief of Staff;Mirza Aslam Beg;1962;1964;1999;PA;School of Psychology;High;6091;x
3234750;Chief of Staff;Mirza Aslam Beg;1962;1964;1999;SC;School of Psychology;High;6091;X
3234751;Head of Military Intelligence;James Francis Robert Forman;1947;1948;1949;ML;Logistics Specialist;Medium;unknownminister;X
