U32;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
95800;Head of State;Dwight H. Green;1936;1964;1999;ML;Autocratic Charmer;Medium;M44500;X
95801;Head of Government;John H. Stelle;1936;1964;1999;SL;Old General;Medium;M44501;X
95802;Foreign Minister;Harry F. Kelly;1936;1964;1999;ML;General Staffer;Medium;M44502;X
95803;Minister of Armament;Preston T. Tucker;1936;1964;1999;ML;Resource Industrialist;Medium;M44503;X
95804;Minister of Security;Kimber C. Sigler;1936;1964;1999;ML;Crime Fighter;Medium;M44504;X
95805;Head of Military Intelligence;Luren D. Dickinson;1936;1964;1999;ML;Technical Specialist;Medium;M44505;X
95806;Chief of Staff;Murray D. Van Wagoner;1936;1964;1999;SL;School of Defence;Medium;M44506;X
95807;Chief of Army;Martin H. Kennelly;1936;1964;1999;SL;Guns and Butter Doctrine;Medium;M44507;X
95808;Chief of Navy;Aubrey W. Fitch;1936;1964;1999;ML;Open Seas Doctrine;Medium;M44508;X
95809;Chief of Air Force;Talbert Abrams;1936;1964;1999;ML;Naval Aviation Doctrine;Medium;M44509;X
95810;Head of State;John H. Stelle;1936;1964;1999;SL;Resigned Generalissimo;Medium;M44501;X
95811;Head of State;Henry Horner;1936;1964;1999;SL;Weary Stiffneck;Medium;M44511;X
95812;Head of State;Adlai Ewing Stevenson II;1948;1964;1999;SL;Benevolent Gentleman;Medium;M44512;X
95953;Foreign Minister;Adlai Ewing Stevenson II;1948;1964;1999;SL;Ideological Crusader;Medium;M44512;X
95813;Head of State;William G. Stratton;1950;1964;1999;ML;Popular Figurehead;Medium;M44513;X
95814;Head of State;Otto Kerner, Jr;1954;1964;1999;SL;Die-hard Reformer;Medium;M44514;X
95815;Head of State;Charles H. Percy;1960;1964;1999;ML;Pig-headed Isolationist;Medium;M44515;X
95816;Head of State;Richard J. Daley;1955;1964;1999;ML;Autocratic Charmer;Medium;M44516;X
95817;Head of State;Edward J. Kelly;1936;1964;1999;SL;Die-hard Reformer;Medium;M44517;X
95818;Head of State;Martin H. Kennelly;1936;1964;1999;SL;Resigned Generalissimo;Medium;M44507;X
95819;Head of State;Frank D. Fitzgerald;1936;1964;1999;ML;Pig-headed Isolationist;Medium;M44519;X
95820;Head of State;William F. Murphy;1936;1964;1999;SL;Benevolent Gentleman;Medium;M44520;X
95821;Head of State;Luren D. Dickinson;1936;1964;1999;ML;Popular Figurehead;Medium;M44505;X
95822;Head of State;Murray D. Van Wagoner;1940;1964;1999;SL;Die-hard Reformer;Medium;M44506;X
95823;Head of State;Harry F. Kelly;1940;1964;1999;ML;Resigned Generalissimo;Medium;M44502;X
95824;Head of State;Kimber C. Sigler;1946;1964;1999;ML;Benevolent Gentleman;Medium;M44504;X
95825;Head of State;G. Mennen Williams;1946;1964;1999;SL;Benevolent Gentleman;Medium;M44525;X
95826;Head of State;John B. Swainson;1960;1964;1999;SL;Resigned Generalissimo;Medium;M44526;X
95827;Head of State;George W. Romney;1960;1964;1999;ML;Stern Imperialist;Medium;M44527;X
95828;Head of State;Jerome P. Cavanagh;1960;1964;1999;SL;Die-hard Reformer;Medium;M44528;X
95829;Head of State;Charles Lindbergh;1936;1964;1999;PA;Pig-headed Isolationist;Medium;M44529;X
