PRU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
39001;Head of State;Oscar Benavides Larrea;1936;1964;1999;PA;Resigned Generalissimo;High;M39001;X
39152;Head of State;Zenón Noriega Agüero;1941;1964;1999;SC;Resigned Generalissimo;High;;X
39153;Head of Government;Zenón Noriega Agüero;1941;1964;1999;SC;Flamboyant Tough Guy;High;;X
39154;Chief of Staff;Zenón Noriega Agüero;1941;1964;1999;SC;School of Defence;High;;X
39155;Chief of Army;Zenón Noriega Agüero;1941;1964;1999;SC;Static Defence Doctrine;High;;X
39002;Head of Government;Manuel Esteban Rodríguez;1936;1964;1999;PA;Old General;High;M39002;X
39003;Foreign Minister;Alberto Ulloa Sotomayor;1936;1964;1999;PA;Iron Fisted Brute;Medium;M39003;X
39004;Minister of Armament;Ernesto Scroth;1936;1964;1999;PA;Battle Fleet Proponent;Medium;M39004;X
39005;Minister of Security;Luis Sanchez Cerro;1936;1964;1999;PA;Compassionate Gentleman;Medium;M39005;X
39006;Head of Military Intelligence;Oscar Gilardi;1936;1964;1999;PA;Technical Specialist;Very Low;M39006;X
39007;Chief of Staff;Gustavo Jimenez;1936;1964;1999;PA;School of Psychology;Medium;M39007;X
39008;Chief of Army;Oscar Benavides Larrea;1936;1964;1999;PA;Static Defence Doctrine;Medium;M39001;X
39009;Chief of Navy;Ernesto Scroth;1936;1964;1999;PA;Open Seas Doctrine;Medium;M39004;X
39010;Chief of Air Force;Paul de Beaudiez;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M39010;X
39137;Foreign Minister;Raul Ferrero Rebagliati;1936;1964;1999;NS;The Cloak N Dagger Schemer;Medium;;X
39011;Head of State;Oscar Benavides Larrea;1936;1964;1999;PA;Resigned Generalissimo;High;M39001;X
39132;Head of State;Oscar Benavides Larrea;1936;1964;1999;FA;Resigned Generalissimo;High;M39001;X
39012;Head of State;José de la Riva Agüero;1936;1964;1999;NS;Stern Imperialist;High;M39011;X
39013;Head of State;Lodovico Rovino Morales;1936;1964;1999;ST;Benevolent Gentleman;High;M39021;X
39014;Head of State;Augusto Leguia Swayne;1936;1964;1999;LWR;Powerhungry Demagogue;High;M39034;X
39015;Head of State;Manuel Prado y Ugarteche;1939;1964;1999;SC;Autocratic Charmer;High;M39032;X
39016;Head of State;Reynaldo Vinatea;1939;1964;1999;SD;Barking Buffoon;High;M39035;X
39017;Head of State;José Bustamante y Rivero;1945;1964;1999;ML;Benevolent Gentleman;High;M39033;X
39127;Head of State;Jorge Prado Ugarteche;1935;1964;1999;SL;Powerhungry Demagogue;High;;X
39131;Head of State;Jorge Prado Ugarteche;1935;1964;1999;ML;Powerhungry Demagogue;High;;X
39018;Head of State;Eloy G. Ureta;1945;1964;1999;NS;Resigned Generalissimo;High;M39036;X
39019;Head of State;Manuel Odria Amoretti;1948;1964;1999;PA;Resigned Generalissimo;High;L260017;X
39020;Head of State;Fernando Belaúnde Terry;1948;1964;1999;ML;Benevolent Gentleman;High;kaiserreich Fernando Belaúnde Terry;X
39021;Head of Government;José de la Riva Agüero;1936;1964;1999;NS;Old Admiral;High;M39011;X
39022;Head of Government;Lodovico Rovino Morales;1936;1964;1999;ST;Old Airmarshal;High;M39021;X
39023;Head of Government;Ernesto Montagne Sanchez;1950;1964;1999;SC;Smiling Oilman;High;M39037;X
39162;Foreign Minister;Ernesto Montagne Markholz;1936;1954;1999;SC;Biased Intellectual;High;;X
39163;Minister of Security;Ernesto Montagne Markholz;1936;1954;1999;SC;Health and Safety;High;;X
39024;Head of Government;Augusto Leguia Swayne;1936;1964;1999;LWR;Happy Amateur;High;M39034;X
39025;Head of Government;Alberto Rey de Castro;1939;1964;1999;SC;Old General;High;M39137;X
39026;Head of Government;Adolfo Solf y Muro;1939;1964;1999;SC;Naive Optimist;High;M39039;X
39027;Head of Government;Oscar Miro Quesada;1939;1964;1999;SD;Silent Workhorse;High;M39040;X
39028;Head of Government;Manuel Cisneros Sanchez;1944;1964;1999;ML;Political Protege;High;M39041;X
39125;Head of Government;Manuel Vicente Villarán;1936;1958;1999;SC;Naive Optimist;High;;X
39029;Head of Government;Julio Tello East;1945;1964;1999;SL;Smiling Oilman;High;M39042;X
39030;Head of Government;Enrique García Sayan;1945;1964;1999;ML;Flamboyant Tough Guy;High;M39043;X
