MAD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
538001;Head of State;H.R.M. Marie-Louise Razafinandriamanitra;1936;1964;1999;FA;Insignificant Layman;Low;MAD_marie_louise_razafinandriamanitra;x
538002;Head of State;H.R.M. Andriamanantena Razafinkarefo;1936;1964;1999;PA;Popular Figurehead;Low;MAD_andriamanantena_paul_razafinkarefo;x
538003;Head of State;H.R.M. Ranavalona IV;1936;1964;1999;SC;Weary Stiffneck;Low;MAD_ranavalona_IV;x
538004;Head of State;Philibert Tsiranana;1936;1964;1999;SC;Insignificant Layman;High;MAD_philibert_tsiranana;x
538005;Head of State;Paul Le Gentilhomme;1940;1964;1999;SC;Pig-headed Isolationist;High;L24108;x
538006;Head of State;Leon Cayla;1936;1964;1999;SC;Resigned Generalissimo;High;M538001;x
538007;Head of State;Michel Randria;1936;1964;1999;SL;Pig-headed Isolationist;Low;MAD_michel_randria;x
538008;Head of State;Armand Annet;1939;1964;1999;SL;Barking Buffoon;High;M538006;x
538009;Head of State;Pierre de Saint-Mart;1943;1964;1999;SL;Die-hard Reformer;High;M535007;x
538010;Head of State;Marcel de Coppet;1946;1964;1999;SL;Popular Figurehead;High;M538014;x
538011;Head of State;Joseph Ravoahangy-Andrianavalona;1936;1964;1999;SD;Powerhungry demagogue;High;MAD_joseph_ravoahangy_andrianavalona;x
538012;Head of State;Jacques Rabemananjara;1936;1964;1999;SD;Popular Figurehead;High;MAD_jacques_rabemananjara;x
538013;Head of State;Joseph Raseta;1936;1964;1999;LWR;Stern Imperialist;High;MAD_joseph_raseta;x
538014;Head of State;Monja Jaona;1936;1964;1999;LWR;Ruthless Powermonger;High;MAD_monja_jaona;x
538015;Head of State;Jean Ralaimongo;1936;1964;1999;LE;Die-hard Reformer;High;MAD_jean_ralaimongo;x
538016;Head of Government;Zanak'Itl Ratsimandrava;1936;1964;1999;FA;Old General;Low;MAD_zanakitl_ratsimandrava;x
