DOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
49001;Head of State;Rafel Trujillo;1936;1964;1999;PA;Ruthless Powermonger;High;M49001;x
49002;Head of Government;Jacinto Bienvenido Peynado;1936;1964;1999;PA;Happy Amateur;High;M49002;x
49003;Foreign Minister;Elias Brache;1936;1964;1999;PA;Great Compromiser;Medium;M49003;x
49004;Minister of Armament;Manuel de Jesus Troncoso;1936;1964;1999;PA;Infantry Proponent;Medium;M49004;x
49005;Minister of Security;Rafel Trujillo;1936;1964;1999;PA;Prince of Terror;Low;M49001;x
49006;Head of Military Intelligence;Jesus da Costa Ruiz;1936;1964;1999;PA;Technical Specialist;Medium;M49006;x
49007;Chief of Staff;Rafel Trujillo;1936;1964;1999;PA;School of Defence;Low;M49001;x
49008;Chief of Army;Rafel Trujillo;1936;1964;1999;PA;Static Defence Doctrine;Low;M49001;x
49009;Chief of Navy;Humberto Rojas;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M49009;x
49010;Chief of Air Force;Anibal Vallejo Sosa;1936;1964;1999;PA;Air Superiority Doctrine;Low;M49010;x
49031;Head of State;Jacinto Bienvenido Peynado;1938;1964;1999;PA;Insignificant Layman;High;M49002;x
49032;Head of State;Manuel de Jesus Troncoso;1940;1964;1999;PA;Benevolent Gentleman;High;M49004;x
49034;Head of State;Elias Brache;1936;1964;1999;SC;Weary Stiffneck;High;M49003;x
49035;Head of State;Rafael Espaillat;1936;1964;1999;SC;Popular Figurehead;High;M49035;x
49036;Head of State;Frank Felix Miranda;1936;1964;1999;LWR;Popular Figurehead;High;M49030;x
49037;Head of State;Francisco Prats Ramirez;1936;1964;1999;LWR;Autocratic Charmer;High;M49037;x
49038;Head of Government;Manuel de Jesus Troncoso;1936;1964;1999;PA;Silent Workhorse;High;M49004;x
49039;Head of Government;Rafel Trujillo;1936;1964;1999;PA;Backroom Backstabber;High;M49001;x
49040;Head of Government;Alberto Garcia Vienda;1936;1964;1999;SC;Happy Amateur;High;M49015;x
49041;Head of Government;Rafael Espaillat;1936;1964;1999;SC;Political Protege;High;M49035;x
49042;Head of Government;Rafael Bonelly Fondeur;1936;1964;1999;SC;Smiling Oilman;High;M49042;x
49043;Head of Government;Francisco Prats Ramirez;1936;1964;1999;LWR;Happy Amateur;High;M49037;x
49044;Head of Government;Mario Imbert McGregor;1960;1964;1999;ML;Corporate Suit;High;M49026;x
49045;Head of Government;Juan Bosch;1939;1964;1999;SD;Old General;High;M49021;x
49046;Foreign Minister;Ernesto Bonetti-Burgos;1936;1964;1999;PA;Apologetic Clerk;Medium;M49046;x
49047;Foreign Minister;Julio Ortega Frier;1937;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M49047;x
49048;Foreign Minister;Arturo Despradel;1938;1964;1999;PA;Great Compromiser;Very High;M49048;x
49049;Foreign Minister;Manuel Pena Battle;1943;1964;1999;PA;General Staffer;Very High;M49049;x
49051;Foreign Minister;Jesus de Galindez;1942;1964;1999;SC;Ideological Crusader;Medium;M49013;x
49052;Foreign Minister;Emilio de los Santos;1946;1964;1999;SC;Iron Fisted Brute;Medium;M49052;x
49053;Foreign Minister;Antonio Leyba Pou;1938;1964;1999;PA;Ideological Crusader;Medium;M49025;x
49054;Foreign Minister;Juan Bosch;1939;1964;1999;SD;Iron Fisted Brute;Low;M49021;x
49056;Minister of Armament;Ignacio Bajordo;1940;1964;1999;PA;Administrative Genius;High;M49056;x
49057;Minister of Armament;Rafel Trujillo;1942;1964;1999;PA;Corrupt Kleptocrat;Very High;M49001;x
49058;Minister of Armament;Luis Amiamo Tio;1946;1964;1999;PA;Corrupt Kleptocrat;Low;M49058;x
49059;Minister of Armament;Jesus de Galindez;1938;1964;1999;SC;laissez-faire capitalist;Medium;M49013;x
49060;Minister of Armament;Rafael Bonelly Fondeur;1942;1964;1999;SC;Infantry Proponent;Medium;M49042;x
49061;Minister of Armament;Jorge Balaguer;1946;1964;1999;SC;Administrative Genius;Low;M49014;x
49062;Minister of Armament;Francisco Cutricos;1936;1964;1999;ML;Corrupt Kleptocrat;Low;M49024;x
49063;Minister of Armament;Mario Imbert McGregor;1960;1964;1999;ML;Resource Industrialist;Medium;M49026;x
49064;Minister of Security;Jacinto Bienvenido Peynado;1938;1964;1999;PA;Crooked Kleptocrat;High;M49002;x
49066;Minister of Security;Donald Reid Cabral;1944;1964;1999;PA;Compassionate Gentleman;Low;M49066;x
49067;Minister of Security;Hector Trujillo;1946;1964;1999;PA;Crooked Kleptocrat;High;M49067;x
49068;Minister of Security;Rafael Espaillat;1938;1964;1999;SC;Efficient Sociopath;Medium;M49035;x
49069;Minister of Security;Alberto Garcia Vienda;1942;1964;1999;SC;Silent Lawyer;Medium;M49015;x
49071;Minister of Security;Antonio Leyba Pou;1938;1964;1999;PA;Man of the People;Medium;M49025;x
49073;Head of Military Intelligence;Manuel de Jesus Troncoso;1940;1964;1999;PA;Naval Intelligence Specialist;Medium;M49004;x
49074;Head of Military Intelligence;Jorge Balaguer;1942;1964;1999;PA;Logistics Specialist;Medium;M49014;x
49075;Head of Military Intelligence;Hector Trujillo;1946;1964;1999;PA;Political Specialist;High;M49067;x
49076;Head of Military Intelligence;Alberto Garcia Vienda;1938;1964;1999;SC;Logistics Specialist;Low;M49015;x
49077;Head of Military Intelligence;Francisco Prats Ramirez;1936;1964;1999;LWR;Industrial Specialist;High;M49037;x
49078;Head of Military Intelligence;Mario Imbert McGregor;1960;1964;1999;ML;Dismal Enigma;Medium;M49026;x
49080;Chief of Staff;Manuel Pena Battle;1946;1964;1999;PA;School of Defence;Very High;M49049;x
49081;Chief of Staff;Jesus da Costa-Ruiz;1938;1964;1999;SC;School of Mass Combat;Medium;M49006;x
49082;Chief of Staff;Victor Vinas Roman;1936;1964;1999;ML;School of Fire Support;Medium;M49027;x
49084;Chief of Army;Domingo de los Santos Ortiz;1938;1964;1999;SC;Armoured Spearhead Doctrine;Low;M49018;x
49085;Chief of Army;Victor Vinas Roman;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;M49027;x
49087;Chief of Navy;Honoracio Yuna Robles;1940;1964;1999;PA;Open Seas Doctrine;High;M49087;x
49088;Chief of Navy;Rafel Trujillo;1942;1964;1999;PA;Base Control Doctrine;Very High;M49088;x
49090;Chief of Navy;Edgar Martinez;1938;1964;1999;LWR;Indirect Approach Doctrine;Very Low;M49029;x
49092;Chief of Air Force;Julio Ortega Frier;1942;1964;1999;PA;Army Aviation Doctrine;Medium;M49047;x
49094;Chief of Air Force;Diego Trabajo Ruiz;1942;1964;1999;SC;Carpet Bombing Doctrine;High;M49094;x
49095;Chief of Air Force;Frank Felix Miranda;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M49030;x
49096;Head of State;Rafel Trujillo;1942;1964;1999;PA;Barking Buffoon;High;M49001;x
49097;Chief of Air Force;Edgar Martinez;1941;1964;1999;LWR;Air Superiority Doctrine;High;M49029;x
49021;Head of State;Juan Bosch;1939;1964;1999;SD;Die-hard Reformer;High;M49021;x
49022;Head of Government;Jesus de Galindez;1936;1964;1999;ML;Flamboyant Tough Guy;High;M49013;x
49098;Head of State;Hector Trujillo;1952;1964;1999;PA;Insignificant Layman;High;M49067;x
49099;Minister of Armament;Enrique Mirabal;1936;1964;1999;SL;Laissez-Faire Capitalist;Low;DOM_mirabal;x
49100;Head of Military Intelligence;Porfirio Rubirosa;1939;1964;1999;PA;Dismal Enigma;High;DOM_rubirosa;x
49101;Foreign Minister;Porfirio Rubirosa;1939;1964;1999;PA;The cloak n dagger schemer;High;DOM_rubirosa;x
49102;Head of State;Jose Eugenio Kunhardt;1936;1964;1999;LWR;Die-hard Reformer;High;DOM_kunhardt;x
49103;Head of Government;Jose Eugenio Kunhardt;1936;1964;1999;LWR;Corporate Suit;High;DOM_kunhardt;x
49104;Minister of Armament;Jose Eugenio Kunhardt;1936;1964;1999;LWR;Military Entrepreneur;High;DOM_kunhardt;x
49105;Head of State;Filareto Kavernido;1936;1964;1999;LE;Popular Figurehead;High;DOM_filareto;x
49106;Minister of Security;Filareto Kavernido;1936;1964;1999;LE;Man of the People;High;DOM_filareto;x
49107;Head of Government;Jose Ramon Lopez Lora;1936;1964;1999;LWR;Silent Workhorse;High;DOM_ramon_lopez;x
49108;Foreign Minister;Jose Ramon Lopez Lora;1936;1964;1999;LWR;Great Compromiser;High;DOM_ramon_lopez;x
49109;Head of State;Rafael Estrella Ure?a;1936;1964;1999;SD;Autocratic Charmer;High;DOM_urena;x
49110;Foreign Minister;Rafael Estrella Ure?a;1936;1964;1999;SD;Biased Intellectual;High;DOM_urena;x
49111;Chief of Staff;Frank Felix Miranda;1936;1964;1999;LWR;School of Psychology;Medium;M49030;x
49112;Head of Military Intelligence;Ramon Marrero Aristy;1943;1964;1999;LE;Political Specialist;High;DOM_marrero;x
49113;Head of Government;Hector Porfirio Quezada;1946;1964;1999;ST;Ambitious Union Boss;High;DOM_hector;x
49114;Minister of Security;Hector Porfirio Quezada;1946;1964;1999;ST;Man of the People;High;DOM_hector;x
49115;Head of State;Mauricio Baez;1940;1964;1999;LE;Pig-headed Isolationist;High;DOM_baez;x
49116;Head of Government;Mauricio Baez;1940;1964;1999;LE;Ambitious Union Boss;High;DOM_baez;x
49117;Foreign Minister;Mauricio Baez;1940;1964;1999;LE;Iron fisted brute;High;DOM_baez;x
49118;Head of State;Felix Evaristo Mejia;1936;1964;1999;SD;Benevolent Gentleman;High;DOM_mejia;x
49119;Head of Government;Felix Evaristo Mejia;1936;1964;1999;SD;Flamboyant Tough Guy;High;DOM_mejia;x
49120;Foreign Minister;Felix Evaristo Mejia;1936;1964;1999;SD;Ideological Crusader;High;DOM_mejia;x
