ARM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
515001;Head of State;Andranik Ozanian;1936;1940;1999;SC;Stern Imperialist;High;kaiserreich aozanian;X
515002;Head of Government;Andranik Ozanian;1936;1940;1999;SC;Old General;High;kaiserreich aozanian;X
515003;Foreign Minister;Sirakan Tigranyan;1918;1950;1999;ML;Biased Intellectual;High;MSirakan_Tigranyan;X
515004;Minister of Armament;Hagop Andonian;1936;1964;1999;FA;Military Entrepreneur;Medium;M515004;X
515005;Minister of Security;Karek Pastermadjan;1936;1964;1999;FA;Prince of Terror;Medium;M515005;X
515006;Head of Military Intelligence;Jack Agazarian;1942;1970;1999;SC;Dismal Enigma;High;M515006;X
515007;Chief of Army;Andranik Ozanian;1936;1940;1999;FA;Guerilla Warfare Doctrine;High;kaiserreich aozanian;X
515008;Foreign Minister;Berch Kerestejyan;1936;1949;1999;PA;Great Compromiser;High;M515011;X
515009;Foreign Minister;Hamo Ohanjanyan;1920;1947;1999;SC;Apologetic Clerk;High;MHamo_Ohanjanyan;X
515010;Foreign Minister;Father Romanos;1936;1964;1999;FA;Iron Fisted Brute;High;M515013;X
515011;Minister of Armament;Berch Kerestejyan;1936;1949;1999;PA;Administrative Genius;High;M515011;X
515012;Head of State;Artashes Abeghyan;1936;1955;1999;FA;Barking Buffoon;High;MArtashes_Abeghyan;X
515013;Minister of Armament;Dikran Sarafian;1936;1964;1999;PA;Laissez-Faire Capitalist;High;M515016;X
515014;Minister of Security;Garegin Nzdek;1936;1960;1999;FA;Efficient Sociopath;High;M515017;X
515015;Minister of Security;Father Hovhannes;1936;1964;1999;NS;Crime Fighter;Medium;M515018;X
515016;Minister of Security;Aram Andonian;1920;1951;1999;PA;Media Magnate;High;M515019;X
515017;Minister of Security;Patriarch Lalazar;1936;1964;1999;PA;Man of the People;Medium;M515020;X
515018;Head of Military Intelligence;Khint Osebian;1936;1964;1999;NS;Industrial Specialist;Medium;M515021;X
515019;Minister of Security;Yeghishe Charents;1936;1942;1999;LWR;Man of the People;High;M515022;X
515020;Head of Military Intelligence;Father Christapor;1936;1964;1999;FA;Political Specialist;Medium;M515023;X
515021;Chief of Army;Hamazasp Babadzhanian;1950;1970;1999;SC;Armoured Spearhead Doctrine;High;M515024;X
515022;Chief of Army;Drastamat Kanayan;1936;1960;1999;PA;Elastic Defence Doctrine;High;Kaiserreich_Kanayan;X
515023;Chief of Navy;Yervand Gasparyan;1920;1947;1999;ML;Merchant Navy Focus;High;MYervand_Gasparyan;X
515024;Chief of Air Force;Garabed Arafian;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M515027;X
515025;Chief of Air Force;Sarkis Petrikian;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M515028;X
515026;Chief of Staff;Hamazasp Babadzhanian;1950;1970;1999;SC;School of Manoeuvre;High;M515024;X
515027;Head of State;Aleksandr Myasnikyan;1921;1961;1999;LE;Die-hard Reformer;High;MAlexander_Myasnikyan;X
515028;Head of State;Aghasi Khanjyan;1930;1970;1999;LWR;Benevolent Gentleman;High;MAghasi_Khanjyan;X
515029;Head of State;Drastamat Kanayan;1936;1960;1999;PA;Powerhungry Demagogue;High;Kaiserreich_Kanayan;X
515030;Head of Government;Garegin Nzdek;1936;1960;1999;FA;Respected War Hero;High;M515017;X
515031;Head of State;Anastas Mikoyan;1936;1970;1999;LE;Die-hard Reformer;High;kai_anstmki;X
515032;Head of Government;Semeno Ter-Petrossian;1936;1952;1999;ST;Flamboyant Tough Guy;High;kai_smntrkm;X
515033;Head of Government;Sahak Ter-Gabrielyan;1920;1961;1999;LE;Silent Workhorse;High;MSahak_Ter-Gabrielyan;X
515034;Head of Government;Abraham Guloyan;1935;1968;1999;LWR;Silent Workhorse;High;MAbraham_Guloyan;X
515035;Minister of Armament;Abraham Guloyan;1925;1968;1999;LWR;Theoretical Scientist;High;MAbraham_Guloyan;X
515036;Head of State;Mehmed Esat Pasha;1936;1952;1999;FA;Resigned Generalissimo;High;kai_Mehmed EsadPasha;X
515037;Head of Government;Kâzim Özalp;1936;1968;1999;FA;Old General;High;OTT_Kazim Fikri;X
515038;Head of Government;Avetis Aharonyan;1936;1948;1999;ML;Happy Amateur;High;ARMAha;X
515039;Head of State;Simon Vratsyan;1936;1969;1999;SD;Die-hard Reformer;High;ARMVra;X
515040;Head of Government;Simon Vratsyan;1920;1969;1999;SD;Pragmatic Statesman;High;ARMVra;X
515041;Foreign Minister;Simon Vratsyan;1920;1969;1999;SD;Biased Intellectual;High;ARMVra;X
515042;Foreign Minister;Aleksandr Bekzadyan;1920;1954;1999;LWR;The Cloak N Dagger Schemer;High;MAlexander_Bekzadyan;X
515043;Minister of Armament;Aleksandr Bekzadyan;1922;1954;1999;LWR;Planned Economy Proponent;High;MAlexander_Bekzadyan;X
515044;Head of Military Intelligence;Aleksandr Bekzadyan;1920;1954;1999;LWR;Political Specialist;High;MAlexander_Bekzadyan;X
515045;Foreign Minister;Abraham Gyulkhandanyan;1919;1946;1999;SD;Ideological Crusader;High;MAbraham_Gyulkhandanyan;X
515046;Minister of Security;Abraham Gyulkhandanyan;1919;1946;1999;SD;Silent Lawyer;High;MAbraham_Gyulkhandanyan;X
515047;Foreign Minister;Aleksander Khatisyan;1936;1945;1999;ML;Great Compromiser;High;ARMAle;X
515048;Minister of Armament;Ivan Knunyants;1942;1970;1999;LWR;Industrial Chemist;High;MIvan_Knunyants;X
515049;Minister of Armament;Hambardzum Terteryan;1919;1955;1999;SL;Construction Magnate;High;MHambardzum_Terteryan;X
515050;Minister of Security;Hambardzum Terteryan;1919;1955;1999;SL;Man of the People;High;MHambardzum_Terteryan;X
515051;Minister of Armament;Arshak Karagyozyan;1919;1963;1999;SL;Laissez-Faire Capitalist;High;ARMKar;X
515052;Minister of Armament;Sargis Araratyan;1919;1948;1999;ML;Oil Baron;High;MSargis_Araratyan;X
515053;Minister of Armament;Grigor Jaghetyan;1919;1960;1999;ML;Bank President;High;MGrigor_Jaghetyan;X
515054;Minister of Security;Sargis Araratyan;1920;1948;1999;ML;Compassionate Gentleman;High;MSargis_Araratyan;X
515055;Minister of Armament;Calouste Gulbenkian;1936;1955;1999;ML;Administrative Genius;High;ARMCal;X
515056;Minister of Security;Artashes Babalyan;1920;1959;1999;SL;Health and Safety;High;MArtashes_Babalyan;X
515057;Minister of Security;Arshak Chobanyan;1936;1954;1999;ML;Media Magnate;High;ARMArs;X
515058;Minister of Security;Karo Sasuni;1920;1970;1999;ML;Silent Lawyer;High;MKaro_Sasuni;X
515059;Head of Military Intelligence;Suren Gasparyan;1944;1966;1999;SD;Industrial Specialist;High;LSuren_Artemovich_Gasparyan;X
515060;Head of Military Intelligence;Arshak Vardanyan;1940;1970;1999;SL;Technical Specialist;High;MArtak_Armenakovich_Vartanyan;X
515061;Head of Military Intelligence;Nikol Aghbalian;1936;1947;1999;SC;Political Specialist;High;ARMNik;X
515062;Chief of Staff;Gaspar Voskanyan;1930;1962;1999;LWR;School of Mass Combat;High;LGaspar_Karapetovich_Voskanov;X
