CYN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
501000;Head of State;Wang Fusheng;1936;1970;1999;ST;Totalist President;High;MWang_Fusheng;X
501001;Minister of Security;Wang Fusheng;1936;1970;1999;ST;Back Stabber;High;MWang_Fusheng;X
501002;Head of Military Intelligence;Wang Fusheng;1936;1970;1999;ST;Dismal Enigma;High;MWang_Fusheng;X
501003;Head of State;Li Xin;1936;1970;1999;LE;Syndicalist Demagogue;High;MLi_Xin;X
501004;Head of State;Zhao Zuochuan;1936;1950;1999;LWR;Die-hard Reformer;High;MZhao_Zuochuan;X
501005;Head of Government;Zhao Zuochuan;1936;1950;1999;LWR;Naive Optimist;High;MZhao_Zuochuan;X
501006;Head of State;Zhu De;1936;1970;1999;LWR;Reformist Soldierhos;High;L76312;X
501007;Head of Military Intelligence;Zhu De;1936;1970;1999;LWR;Logistics Specialist;High;L76312;X
501008;Chief of Staff;Zhu De;1936;1970;1999;LWR;School of Mass Combat;High;L76312;X
501009;Chief of Army;Zhu De;1936;1970;1999;LWR;Elastic Defence Doctrine;High;L76312;X
501010;Head of State;Zhang Bojun;1938;1969;1999;SD;Benevolent Gentleman;High;Zhang Bojun;X
501011;Head of Government;Zhang Bojun;1936;1969;1999;SD;Political Protege;High;Zhang Bojun;X
501012;Minister of Security;Zhang Bojun;1936;1969;1999;SD;Compassionate Gentleman;High;Zhang Bojun;X
501013;Head of State;Luo Longji;1936;1965;1999;SL;Benevolent Gentleman;High;ChiLongji;X
501014;Foreign Minister;Luo Longji;1936;1965;1999;SL;Ideological Crusader;High;ChiLongji;X
501015;Head of State;Wen Yiduo;1944;1970;1999;SL;Popular Figurehead;High;MWen_Yiduo;X
501016;Head of State;Miao Yuntai;1936;1970;1999;ML;Die-hard Reformer;High;MMiao_Yuntai;X
501017;Head of Government;Miao Yuntai;1936;1970;1999;ML;Pragmatic Statesman;High;MMiao_Yuntai;X
501018;Minister of Armament;Miao Yuntai;1936;1970;1999;ML;Administrative Genius;High;MMiao_Yuntai;X
501019;Head of State;Tang Jiyao;1920;1940;1999;SC;The Master Of The Eastern Continent;High;Tang Jiyao;X
501020;Head of State;Zhu Peide;1932;1940;1999;SC;Resigned Generalissimo;High;Zhu Peide1926;X
501021;Foreign Minister;Zhu Peide;1932;1940;1999;SC;General Staffer;High;Zhu Peide1926;X
501022;Chief of Staff;Zhu Peide;1932;1940;1999;SC;School of Psychology;High;Zhu Peide1926;X
501023;Chief of Army;Zhu Peide;1932;1940;1999;SC;Elastic Defence Doctrine;High;Zhu Peide1926;X
501024;Head of State;Long Yun;1936;1962;1999;PA;Die-hard Reformer;High;M750056;X
501025;Chief of Staff;Long Yun;1936;1962;1999;PA;School of Psychology;High;M750056;X
501026;Chief of Army;Long Yun;1936;1962;1999;PA;Elastic Defence Doctrine;High;M750056;X
501027;Chief of Air Force;Long Yun;1936;1962;1999;PA;Army Aviation Doctrine;High;M750056;X
501028;Head of State;Li Zonghuang;1928;1970;1999;PA;Ruthless Powermonger;High;MLi_Zonghuang;X
501029;Foreign Minister;Li Zonghuang;1923;1970;1999;PA;Iron Fisted Brute;High;MLi_Zonghuang;X
501030;Minister of Security;Li Zonghuang;1928;1970;1999;PA;Prince of Terror;High;MLi_Zonghuang;X
501031;Head of State;Gong Shou;1936;1969;1999;FA;Insignificant Layman;High;MGong_Shou;X
501032;Head of State;Lu Han;1936;1970;1999;FA;Ruthless Powermonger;High;MLu_Han;X
501033;Minister of Armament;Lu Han;1928;1970;1999;FA;Military Entrepreneur;High;MLu_Han;X
501034;Chief of Army;Lu Han;1937;1970;1999;FA;Doctrine of Autonomy;High;M750055;X
501035;Head of Government;Wang Desan;1936;1970;1999;LE;Ambitious Union Boss;High;MWang_Desan;X
501036;Head of Military Intelligence;Wang Desan;1936;1970;1999;LE;Political Specialist;High;MWang_Desan;X
501037;Head of Government;Xi Liyuan;1949;1967;1999;LWR;Respected War Hero;High;MZhou_Baozhong;X
501038;Chief of Staff;Xi Liyuan;1945;1967;1999;LWR;School of Psychology;High;LZhou_Baozhong;X
501039;Chief of Army;Xi Liyuan;1945;1967;1999;LWR;Doctrine of Autonomy;High;LZhou_Baozhong;X
501040;Head of Government;Liu Baoxuan;1948;1970;1999;SL;Ambitious Union Boss;High;MLiu_Baoxuan;X
501041;Head of Government;Bai Xiaosong;1940;1959;1999;SL;Silent Workhorse;High;MBai_Xiaosong;X
501042;Head of Government;Chu Tunan;1936;1970;1999;SL;Pragmatic Statesman;High;MChu_Tunan;X
501043;Foreign Minister;Chu Tunan;1936;1970;1999;SL;Great Compromiser;High;MChu_Tunan;X
501044;Minister of Security;Chu Tunan;1936;1970;1999;SL;Silent Lawyer;High;MChu_Tunan;X
501045;Head of Government;Zhou Zhongyue;1922;1955;1999;SC;Naive Optimist;High;MZhou_Zhongyue;X
501046;Minister of Security;Zhou Zhongyue;1922;1955;1999;SC;Compassionate Gentleman;High;MZhou_Zhongyue;X
501047;Head of Government;An Enpu;1947;1965;1999;SC;Silent Workhorse;High;LAn_Enpu;X
501048;Head of Military Intelligence;An Enpu;1936;1965;1999;SC;Logistics Specialist;High;LAn_Enpu;X
501049;Head of Government;Zhang Weihan;1936;1970;1999;SC;Pragmatic Statesman;High;MZhang_Weihan;X
501050;Foreign Minister;Zhang Weihan;1936;1970;1999;SC;Great Compromiser;High;MZhang_Weihan;X
501051;Minister of Security;Zhang Weihan;1936;1970;1999;SC;Silent Lawyer;High;MZhang_Weihan;X
501052;Head of Government;Tang Jiyu;1936;1950;1999;PA;Local Tyrant;High;MTang_Jiyu;X
501053;Minister of Security;Tang Jiyu;1936;1950;1999;PA;Crooked Kleptocrat;High;MTang_Jiyu;X
501054;Head of Government;Hu Ying;1936;1961;1999;PA;Respected War Hero;High;L50123;X
501055;Minister of Security;Hu Ying;1927;1961;1999;PA;Health and Safety;High;L50123;X
501056;Chief of Army;Hu Ying;1927;1961;1999;PA;Guns and Butter Doctrine;High;L50123;X
501057;Head of Government;Zhang Banghan;1928;1958;1999;PA;Silent Workhorse;High;MZhang_Banghan;X
501058;Foreign Minister;Zhang Banghan;1928;1958;1999;PA;The Cloak N Dagger Schemer;High;MZhang_Banghan;X
501059;Head of Government;Jiang Gongliang;1946;1970;1999;PA;Political Protege;High;LJiang_Gongliang;X
501060;Minister of Armament;Jiang Gongliang;1944;1970;1999;PA;Motorisation Proponent;High;LJiang_Gongliang;X
501061;Head of Government;Zhang Chong;1949;1970;1999;FA;Silent Workhorse;High;LZhang_Chong;X
501062;Chief of Navy;Zhang Chong;1936;1970;1999;FA;Riverine Warfare Doctrine;High;LZhang_Chong;X
501063;Foreign Minister;Ai Siqi;1943;1966;1999;ST;Ideological Crusader;High;MAi_Siqi;X
501064;Foreign Minister;Li Guozhu;1936;1970;1999;LE;Biased Intellectual;High;MLi_Guozhu1906;X
501065;Foreign Minister;Zhao Xingwu;1936;1970;1999;LWR;Ideological Crusader;High;MZhao_Xingwu;X
