BEL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
15001;Head of State;S.M.R. Leopold III;1936;1964;1999;ML;Benevolent Gentleman;Very High;M15001;X
15002;Head of Government;Paul Van Zeeland;1936;1964;1999;SC;Silent Workhorse;Very High;M15002;X
15003;Foreign Minister;Paul Van Zeeland;1936;1964;1999;ML;Biased Intellectual;Very High;M15002;X
15004;Minister of Armament;Albert Devèze;1936;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15004;X
15005;Minister of Security;Eugène Soudan;1936;1964;1999;SL;Silent Lawyer;Very High;M15005;X
15006;Head of Military Intelligence;Albert Devèze;1936;1964;1999;ML;Political Specialist;Very High;M15004;X
15007;Chief of Staff;Oscar Cumont;1936;1964;1999;SC;School of Defence;Very High;M15007;X
15008;Chief of Army;Victor van Strydonck de Burkel;1936;1964;1999;SC;Static Defence Doctrine;Very High;M15008;X
15009;Chief of Navy;G. Timmermans;1936;1964;1999;SC;Indirect Approach Doctrine;Very High;M15009;X
15010;Chief of Air Force;L.F.E. Wouters;1936;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M15010;X
15032;Head of State;Julien Lahaut;1945;1964;1999;ST;Ruthless Powermonger;Very High;M15024;X
15034;Head of Government;Paul-Henri Spaak;1936;1964;1999;SD;Ambitious Union Boss;Very High;M15034;X
15035;Head of Government;Leon Degrelle;1936;1964;1999;FA;Naive Optimist;Very High;M15013;X
15036;Head of Government;Paul-Emile Janson;1937;1964;1999;ML;Silent Workhorse;Very High;M15036;X
15037;Head of Government;Hubert Pierlot;1936;1964;1999;SC;Naive Optimist;Very High;M15037;X
15038;Head of Government;Camille Huysmans;1939;1964;1999;SD;Happy Amateur;Very High;M15038;X
15040;Head of Government;Joseph Jacquemotte;1944;1964;1999;LE;Political Protege;Very High;M15020;X
