FLA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
510001;Head of State;Staf de Clercq;1936;1964;1999;NS;Powerhungry Demagogue;Very High;M15033;x
510002;Head of Government;Staf de Clercq;1936;1964;1999;NS;Flamboyant Tough Guy;Very High;M15033;x
510003;Foreign Minister;Staf de Clercq;1936;1964;1999;NS;Biased Intellectual;Very High;M15033;x
510004;Minister of Armament;Hendrik de Man;1936;1964;1999;PA;Administrative Genius;Very High;M15056;x
510005;Minister of Security;Jan Timmermans;1936;1964;1999;NS;Man of the People;Very High;M15117;x
510006;Head of Military Intelligence;Reimond Tollenaere;1936;1964;1999;NS;Dismal Enigma;Very High;M15082;x
510007;Chief of Staff;Jef Francois;1936;1964;1999;NS;School of Mass Combat;Very High;M15015;x
510008;Chief of Army;Jef Francois;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;M15015;x
510009;Chief of Navy;Ernst Junkermann;1936;1964;1999;NS;Open Seas Doctrine;Very High;M510009;x
510010;Chief of Air Force;Ottfried Sattler;1936;1964;1999;NS;Air Superiority Doctrine;Very High;M510010;x
510011;Chief of Air Force;Egert Reeder;1940;1964;1999;NS;Vertical Envelopment Doctrine;Very High;M510061;x
510012;Chief of Air Force;Konrad Schellong;1942;1964;1999;NS;Army Aviation Doctrine;Very High;L510007;x
510013;Chief of Army;Egert Reeder;1940;1964;1999;NS;Elastic Defence Doctrine;Very High;M510061;x
510014;Chief of Army;G.H. von Craushaar;1940;1964;1999;NS;Guns and Butter Doctrine;Very High;M510084;x
510015;Chief of Army;Gottlob Berger;1940;1964;1999;NS;Guns and Butter Doctrine;Very High;M510027;x
510016;Chief of Army;Hans-Albert von Lettow-Vorbeck;1940;1964;1999;NS;Decisive Battle Doctrine;Very High;M510088;x
510017;Chief of Army;Konrad Schellong;1942;1964;1999;NS;Armoured Spearhead Doctrine;Very High;L510007;x
510018;Chief of Army;Lucien Rijckeboer;1941;1964;1999;NS;Static Defence Doctrine;Very High;M510065;x
510019;Chief of Army;Raf Van Hulse;1942;1964;1999;NS;Guns and Butter Doctrine;Very High;M510078;x
510021;Chief of Army;RÈnÈ Lagrou;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;M15017;x
510022;Chief of Navy;Egert Reeder;1940;1964;1999;NS;Base Control Doctrine;Very High;M510061;x
510024;Chief of Staff;Egert Reeder;1940;1964;1999;NS;School of Manoeuvre;Very High;M510061;x
510025;Chief of Staff;G.H. von Craushaar;1940;1964;1999;NS;School of Fire Support;Very High;M510084;x
510026;Chief of Staff;Gottlob Berger;1940;1964;1999;NS;School of Psychology;Very High;M510027;x
510027;Chief of Staff;Lucien Rijckeboer;1941;1964;1999;NS;School of Defence;Very High;M510065;x
510028;Chief of Staff;Raf Van Hulse;1942;1964;1999;NS;School of Manoeuvre;Very High;M510078;x
510029;Chief of Staff;Robert Verbelen;1940;1964;1999;NS;School of Psychology;Very High;M510081;x
510030;Chief of Staff;Seraf Trio;1940;1964;1999;NS;School of Fire Support;Very High;M510073;x
510031;Foreign Minister;Dr. August Borms;1936;1964;1999;FA;Biased Intellectual;Very High;M510025;x
510032;Foreign Minister;Cyriel Verschaeve;1936;1964;1999;FA;Great Compromiser;Very High;M510083;x
510033;Foreign Minister;E. Van den Heuvel;1941;1964;1999;NS;Ideological Crusader;Very High;M510077;x
510034;Foreign Minister;Frans Daels;1938;1964;1999;FA;Ideological Crusader;Very High;M510035;x
510035;Foreign Minister;Gottlob Berger;1940;1964;1999;NS;General Staffer;Very High;M510027;x
510036;Foreign Minister;Hendrik J. Elias;1942;1964;1999;FA;Biased Intellectual;Very High;M15039;x
510037;Foreign Minister;Jef van de Wiele;1938;1964;1999;NS;Iron Fisted Brute;Very High;M15011;x
510038;Foreign Minister;Jeroom Leuridan;1937;1964;1999;NS;Ideological Crusader;Very High;M510058;x
510039;Foreign Minister;Karel Lambrechts;1939;1964;1999;NS;Great Compromiser;Very High;M510049;x
510040;Foreign Minister;Odiel Daem;1940;1964;1999;NS;The Cloak N Dagger Schemer;Very High;M510037;x
510041;Foreign Minister;Pol Le Roy;1942;1964;1999;FA;Biased Intellectual;Very High;M510054;x
510042;Foreign Minister;Reimond Speleers;1938;1964;1999;FA;Biased Intellectual;Very High;M510072;x
510043;Foreign Minister;Walter Lampaert;1941;1964;1999;NS;General Staffer;Very High;M510052;x
510044;Head of Government;Alexander von Falkenhausen;1940;1964;1999;NS;Silent Workhorse;Very High;M510086;x
510045;Head of Government;Dr. August Borms;1936;1964;1999;FA;Silent Workhorse;Very High;M510025;x
510046;Head of Government;Dr. Schulze;1940;1964;1999;NS;Flamboyant Tough Guy;Very High;M510070;x
510047;Head of Government;Frans Daels;1938;1964;1999;FA;Flamboyant Tough Guy;Very High;M510035;x
510048;Head of Government;Gottlob Berger;1940;1964;1999;NS;Old General;Very High;M510027;x
510049;Head of Government;Hendrik J. Elias;1942;1964;1999;FA;Political Protege;Very High;M15039;x
510050;Head of Government;Jef van de Wiele;1940;1964;1999;NS;Backroom Backstabber;Very High;M15011;x
510051;Head of Government;Jeroom Leuridan;1937;1964;1999;NS;Ambitious Union Boss;Very High;M510058;x
510052;Head of Government;Lucien Rijckeboer;1941;1964;1999;NS;Happy Amateur;Very High;M510065;x
510053;Head of Government;Piet Wijndaele;1937;1964;1999;FA;Naive Optimist;Very High;M510091;x
510054;Head of Government;R. Claeys;1941;1964;1999;NS;Political Protege;Very High;M510033;x
510055;Head of Military Intelligence;A. De Bontridder;1936;1964;1999;FA;Political Specialist;Very High;M510039;x
510056;Head of Military Intelligence;Edgar Lehembre;1940;1964;1999;NS;Technical Specialist;Very High;M510056;x
510057;Head of Military Intelligence;Jos Henskens;1939;1964;1999;NS;Logistics Specialist;Very High;M510044;x
510058;Head of Military Intelligence;Karel Lambrechts;1939;1964;1999;NS;Industrial Specialist;Very High;M510049;x
510059;Head of Military Intelligence;R. Claeys;1941;1964;1999;NS;Political Specialist;Very High;M510033;x
510060;Head of Military Intelligence;Richard Jungclaus;1941;1964;1999;NS;Dismal Enigma;Very High;M510047;x
510061;Head of Military Intelligence;Robert Verbelen;1940;1964;1999;NS;Technical Specialist;Very High;M510081;x
