JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X #NO Social Liberal Cabinet
55601;Head of State;H.I.M. Hirohito;1926;1964;1999;SC;Hirohito;High;MJAPHirohito;X
55602;Head of Government;Inukai Tsuyoshi;1926;1937;1937;SC;Naive Optimist;High;MJAPInukai2;X #Starting Cabinet - Rikken Seiyukai, 1936
55603;Foreign Minister;Yoshizawa Kenkichi;1936;1964;1999;SC;Great Compromiser;High;MJAPYoshizawa;X
55604;Minister of Armament;Mitsuchi Chuzo;1936;1948;1948;SC;Resource Industrialist;High;MJAPMitsuchi;X
55605;Minister of Security;Suzuki Kisaburo;1936;1937;1937;SC;Prince of Terror;High;MJAPSuzuki2;X
55606;Head of Military Intelligence;Okamura Yasuji;1936;1954;1954;FA;Political Specialist;High;MJAPOkamura;X
55607;Chief of Staff;Kanin Kotohito;1936;1945;1945;FA;School of Defence;High;MJAPKanin2;X
55608;Chief of Army;Kanin Kotohito;1936;1945;1945;FA;Static Defence Doctrine;High;MJAPKanin2;X
55609;Chief of Navy;Yamanashi Katsunoshin;1936;1942;1942;SC;Open Seas Doctrine;High;LJAPYamanashiKatsunoshin;X
55610;Chief of Air Force;Yamamoto Isoroku;1936;1949;1949;ML;Naval Aviation Doctrine;High;LJAPYamamotoIsoroku2;X
55611;Head of Government;Hamaguchi Osachi;1936;1938;1938;ML;Flamboyant Tough Guy;High;MJAPHamaguchi;X #Market Liberal - Rikken Minseito
55612;Foreign Minister;Shidehara Kijuro;1936;1951;1951;ML;Biased Intellectual;High;MJAPShidehara2;X
55613;Minister of Armament;Inoue Junnosuke;1936;1940;1940;ML;Bank President;High;MJAPInoue;X
55614;Minister of Security;Saito Takao;1936;1949;1949;ML;Crime Fighter;High;MJAPSaito;X
55615;Head of Government;Machida Chuji;1937;1946;1946;ML;Naive Optimist;High;MJAPMachida2;x
55616;Foreign Minister;Hirota Koki;1936;1948;1948;ML;Great Compromiser;High;MJAPHirota2;X
