LIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
69001;Head of State;Edwin James Barclay;1936;1964;1999;SC;Barking Buffoon;High;M69001;X
69002;Head of State;William Vacanarat Shadrach Tubman;1940;1964;1999;SC;Ruthless Powermonger;High;M69032;X
69003;Head of State;Alford Russ;1936;1964;1999;SC;Ruthless Powermonger;Medium;LIB_alford_russ;X
69004;Head of Government;Edwin James Barclay;1936;1964;1999;SC;Happy Amateur;High;M69001;X
69005;Head of Government;William Vacanarat Shadrach Tubman;1940;1964;1999;SC;Silent Workhorse;High;M69032;X
69006;Head of Government;Alford Russ;1936;1964;1999;SC;Old General;Medium;LIB_alford_russ;X
69007;Foreign Minister;Frank Emmanuel Tolbert;1936;1964;1999;SC;Apologetic Clerk;Very High;unknown;X
69008;Foreign Minister;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;The Cloak N Dagger Schemer;Very High;M69032;X
69009;Foreign Minister;Lawrence Mitchell;1936;1964;1999;SC;Great Compromiser;Very High;unknown;X
69010;Foreign Minister;Gabriel Lafayette Dennis;1936;1964;1999;SC;Iron Fisted Brute;Medium;M69040;X
69011;Minister of Armament;George S. Padmore;1936;1964;1999;SC;Tank Proponent;Very High;GeorgeSPadmore;X
69012;Minister of Armament;F. E. R. Johnson;1936;1964;1999;SC;Air Superiority Proponent;Very High;FERJohnson;X
69013;Minister of Armament;Alford Russ;1936;1964;1999;SC;Infantry Proponent;Very High;LIB_alford_russ;X
69014;Minister of Armament;J. A. Railey;1936;1964;1999;SC;Strategic Air Proponent;Very High;JARailey;X
69015;Minister of Armament;Van Gibson;1936;1964;1999;SC;Battle Fleet Proponent;Very High;VanGibson;X
69016;Minister of Armament;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;Corrupt Kleptocrat;Medium;M69032;X
69017;Minister of Armament;James F. Cooper;1936;1964;1999;SC;Submarine Proponent;Very High;JamesFCooper;X
69018;Minister of Armament;Ashford Sims;1936;1964;1999;SC;Air to Ground Proponent;Very High;AshfordSims;X
69019;Minister of Armament;James D. Jones;1936;1964;1999;SC;Air to Sea Proponent;Very High;JamesDJones;X
69020;Minister of Security;Frank Emmanuel Tolbert;1936;1964;1999;SC;Efficient Sociopath;Very High;unknown;X
69021;Minister of Security;Gabriel Lafayette Dennis;1936;1964;1999;SC;Prince of Terror;Medium;M69040;X
69022;Minister of Security;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;Silent Lawyer;Very High;M69032;X
69023;Minister of Security;Lawrence Mitchell;1936;1964;1999;SC;Compassionate Gentleman;Very High;unknown;X
69024;Minister of Security;Edwin James Barclay;1936;1964;1999;SC;Back Stabber;Medium;M69001;X
69025;Head of Military Intelligence;William Richard Tolbert, Jr.;1936;1964;1999;SC;Technical Specialist;Medium;M69064;X
69026;Head of Military Intelligence;William Vacanarat Shadrach Tubman;1936;1964;1999;SC;Dismal Enigma;Very High;M69032;X
69027;Head of Military Intelligence;Frank Emmanuel Tolbert;1936;1964;1999;SC;Naval Intelligence Specialist;Very High;unknown;X
69028;Chief of Staff;Alford Russ;1936;1964;1999;SC;School of Mass Combat;Medium;LIB_alford_russ;X
69029;Chief of Staff;George S. Padmore;1936;1964;1999;SC;School of Fire Support;Very High;GeorgeSPadmore;X
69030;Chief of Staff;Ashford Sims;1936;1964;1999;SC;School of Psychology;Very High;AshfordSims;X
69031;Chief of Army;Alford Russ;1936;1964;1999;SC;Decisive Battle Doctrine;Medium;LIB_alford_russ;X
69032;Chief of Army;George S. Padmore;1936;1964;1999;SC;Armoured Spearhead Doctrine;Very High;GeorgeSPadmore;X
69033;Chief of Army;Ashford Sims;1936;1964;1999;SC;Guns and Butter Doctrine;Very High;AshfordSims;X
69034;Chief of Navy;James F. Cooper;1936;1964;1999;SC;Indirect Approach Doctrine;Very High;JamesFCooper;X
69035;Chief of Navy;William H. Carter;1936;1964;1999;SC;Base Control Doctrine;Very High;WilliamHCarter;X
69036;Chief of Navy;Van Gibson;1936;1964;1999;SC;Decisive Naval Battle Doctrine;Very High;VanGibson;X
69037;Chief of Navy;Frank Emmanuel Tolbert;1936;1964;1999;SC;Open Seas Doctrine;Very High;unknown;X
69038;Chief of Navy;James D. Jones;1936;1964;1999;SC;Power Projection Doctrine;Very High;JamesDJones;X
69039;Chief of Air Force;Ashford Sims;1936;1964;1999;SC;Army Aviation Doctrine;Very High;AshfordSims;X
69040;Chief of Air Force;James D. Jones;1936;1964;1999;SC;Naval Aviation Doctrine;Very High;JamesDJones;X
69041;Chief of Air Force;F. E. R. Johnson;1936;1964;1999;SC;Air Superiority Doctrine;Very High;FERJohnson;X
69042;Chief of Air Force;J. A. Railey;1936;1964;1999;SC;Carpet Bombing Doctrine;Very High;JARailey;X
69043;Chief of Air Force;William H. Carter;1936;1964;1999;SC;Vertical Envelopment Doctrine;Very High;WilliamHCarter;X
69044;Head of State;Momolu Massaquoi;1936;1964;1999;PA;Stern Imperialist;Low;LIB_momolu_massaquoi;X
69045;Head of State;Louis Arthur Grimes;1936;1964;1999;PA;Die-hard Reformer;Low;LIB_louis_arthur_grimes;X
69046;Head of State;Al-Haj Massaquoi;1936;1964;1999;PA;Ruthless Powermonger;Low;LIB_alhaj_massaquoi;X
69047;Head of State;James Alexander Adolphus Pierre;1936;1964;1999;PA;Barking Buffoon;Medium;LIB_james_pierre;X
69048;Head of Government;Momolu Massaquoi;1936;1964;1999;PA;Flamboyant Tough Guy;Low;LIB_momolu_massaquoi;X
69049;Head of Government;Louis Arthur Grimes;1936;1964;1999;PA;Silent Workhorse;Low;LIB_louis_arthur_grimes;X
69050;Head of Government;Al-Haj Massaquoi;1936;1964;1999;PA;Political Protege;Low;LIB_alhaj_massaquoi;X
69051;Head of Government;James Alexander Adolphus Pierre;1936;1964;1999;PA;Backroom Backstabber;Medium;LIB_james_pierre;X
69052;Foreign Minister;Momolu Massaquoi;1936;1964;1999;PA;Ideological Crusader;Low;LIB_momolu_massaquoi;X
69053;Foreign Minister;Joseph Rudolph Grimes;1945;1964;1999;PA;Biased Intellectual;Medium;M69005;X
