LEB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
529001;Head of State;Emile Eddeh;1936;1964;1999;SL;Pig-headed Isolationist;High;M529001;x
529002;Head of Government;Ayoub Thabet;1936;1964;1999;SL;Old General;High;M529002;x
529003;Foreign Minister;Abdallah Aref al-Yafi;1940;1964;1999;SL;General Staffer;High;M529003;x
529004;Minister of Armament;Alfred Nacchache;1936;1964;1999;SL;Air to Ground Proponent;Medium;M529004;x
529005;Minister of Security;Khaled Chehab;1940;1964;1999;SL;Prince of Terror;Medium;M529005;x
529006;Head of Military Intelligence;Kayreddin al-Ahdab;1936;1964;1999;SL;Technical Specialist;Medium;M529006;x
529007;Chief of Staff;Adrien Peltier;1936;1964;1999;SL;School of Manoeuvre;Medium;M529007;x
529008;Chief of Army;Alfred Cazaud;1936;1964;1999;SL;Decisive Battle Doctrine;Medium;M529008;x
529009;Chief of Navy;Achille Peretti;1936;1964;1999;SL;Power Projection Doctrine;Medium;M529009;x
529011;Head of State;Alfred Nacchache;1940;1964;1999;SC;Autocratic Charmer;High;M529004;x
529012;Head of State;Saader al-Munla;1943;1964;1999;SL;Ruthless Powermonger;High;M529012;x
529013;Head of State;Bachara al-Khoury;1936;1964;1999;SC;Barking Buffoon;High;M529013;x
529014;Head of State;Charles Debbas;1936;1964;1999;PA;Die-hard Reformer;High;M529014;x
529015;Head of Government;Kayreddin al-Ahdab;1937;1964;1999;SL;Naive Optimist;High;M529006;x
529016;Head of Government;Khaled Chehab;1940;1964;1999;ML;Political Protege;High;M529005;x
529017;Head of Government;Abdallah Aref al-Yafi;1940;1964;1999;ML;Old Admiral;High;M529003;x
529018;Head of Government;Abdullah Bayum;1939;1964;1999;SL;Silent Workhorse;High;M529018;x
529019;Head of Government;Alfred Nacchache;1941;1964;1999;SL;Ambitious Union Boss;High;M529004;x
529020;Head of Government;Ahmed Daoud;1941;1964;1999;SL;Corporate Suit;High;M529020;x
529021;Head of Government;Sami as-Solh;1942;1964;1999;SL;Happy Amateur;High;M529021;x
529022;Head of Government;Petro Trad;1943;1964;1999;SL;Smiling Oilman;High;M529022;x
529023;Head of Government;Riad as-Solh;1943;1964;1999;SC;Silent Workhorse;High;M529023;x
529024;Head of Government;Abdul Hamid Karami;1945;1964;1999;SC;Flamboyant Tough Guy;High;M529024;x
529025;Head of Government;Sami as-Solh;1945;1964;1999;SC;Corporate Suit;High;M529021;x
529026;Head of Government;Saader al-Munla;1946;1964;1999;SC;Naive Optimist;High;M529012;x
529027;Head of Government;Riad as-Solh;1946;1964;1999;SC;Backroom Backstabber;High;M529023;x
529028;Head of Government;Habib Basha el-Saed;1936;1964;1999;PA;Political Protege;High;M529028;x
529029;Foreign Minister;Abdelkrim al-Khattabi;1941;1964;1999;SL;The Cloak N Dagger Schemer;High;M529029;x
529030;Foreign Minister;Sami as-Solh;1946;1964;1999;SL;Ideological Crusader;High;M529021;x
529031;Foreign Minister;Abdullah Bayum;1936;1964;1999;SC;Apologetic Clerk;High;M529018;x
529033;Foreign Minister;Majid Arslane;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M529033;x
529034;Foreign Minister;Emile Eddeh;1936;1964;1999;PA;Ideological Crusader;High;M529001;x
529035;Minister of Armament;Riad as-Solh;1940;1964;1999;SL;Administrative Genius;Medium;M529023;x
529036;Minister of Armament;Rayan Kadi;1944;1964;1999;SL;Tank Proponent;Medium;M529036;x
529037;Minister of Armament;Khaled Chehab;1940;1964;1999;SC;Corrupt Kleptocrat;Medium;M529005;x
529038;Minister of Armament;Ahmed Daoud;1939;1964;1999;SC;Infantry Proponent;Medium;M529020;x
529039;Minister of Armament;Nassim Majdalany;1945;1964;1999;SC;Resource Industrialist;Medium;M529039;x
529040;Minister of Armament;Kayreddin al-Ahdab;1936;1964;1999;PA;laissez-faire capitalist;Medium;M529006;x
529041;Minister of Security;Abdul Hamid Karami;1939;1964;1999;SL;Man of the People;Medium;M529024;x
529042;Minister of Security;Nassim Majdalany;1944;1964;1999;SL;Compassionate Gentleman;Medium;M529039;x
529043;Minister of Security;Kayreddin al-Ahdab;1936;1964;1999;SC;Crime Fighter;Medium;M529006;x
529044;Minister of Security;Kamal Jumblatt;1940;1964;1999;SC;Back Stabber;Medium;M529044;x
