PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
50001;Head of State;Manuel Quezon;1936;1964;1999;SL;Die-hard Reformer;High;M50001;X
50002;Head of Government;Sergio Osmeña;1936;1964;1999;SL;Silent Workhorse;High;M50002;X
50003;Foreign Minister;Quintin Paredes;1936;1964;1999;SL;Apologetic Clerk;Low;M50003;X
50004;Minister of Armament;Elpidio Quirino;1936;1964;1999;SL;Laissez-Faire Capitalist;Medium;M50004;X
50005;Minister of Security;Jose Yulo;1936;1964;1999;SL;Compassionate Gentleman;Medium;M50005;X
50006;Head of Military Intelligence;Benito N. Ebuen;1936;1964;1999;SL;Logistics Specialist;High;M50006;X
50007;Chief of Staff;Paulino Santos;1936;1964;1999;SL;School of Psychology;Medium;M50007;X
50008;Chief of Army;Leoncio S. Tan;1936;1964;1999;SL;Guns and Butter Doctrine;Very High;M50008;X
50009;Chief of Navy;Santiago Nuval;1936;1964;1999;SL;Open Seas Doctrine;Medium;M50009;X
50010;Chief of Air Force;Pelagio Cruz;1936;1964;1999;SL;Army Aviation Doctrine;Medium;M50010;X
50011;Head of State;José P. Laurel;1936;1964;1999;PA;Powerhungry Demagogue;High;M50011;X
50012;Head of Government;José P. Laurel;1936;1964;1999;PA;Smiling Oilman;High;M50011;X
50015;Minister of Security;Benigno Aquino sr.;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M50015;X
50018;Chief of Army;Basilio J. Valdez;1936;1964;1999;PA;Static Defence Doctrine;Medium;M50017;X
50020;Chief of Air Force;Felix Pestana;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M50020;X
50021;Head of State;Crisanto Evangelista;1936;1964;1999;LE;Weary Stiffneck;High;M50021;X
50022;Head of Government;Pedro Abad Santos;1936;1964;1999;LE;Corporate Suit;High;M50022;X
50094;Head of Government;Philip Vera Cruz;1936;1964;1999;SD;Ambitious Union Boss;High;PHI Philip Vera Cruz;X
50023;Foreign Minister;Casto Alejandrino;1936;1964;1999;LE;Apologetic Clerk;Medium;M50023;X
50024;Minister of Armament;Crisanto Evangelista;1936;1964;1999;LE;Resource Industrialist;Medium;M50021;X
50025;Minister of Security;Mariano Balgos;1936;1964;1999;LWR;Crime Fighter;Medium;M50025;X
50026;Head of Military Intelligence;Luis Taruc;1936;1964;1999;LE;Dismal Enigma;Medium;M50026;X
50027;Chief of Staff;Luis Taruc;1936;1964;1999;LE;School of Manoeuvre;Medium;M50026;X
50028;Chief of Army;Jesus Lava;1936;1964;1999;LE;Guns and Butter Doctrine;Medium;M50028;X
50029;Chief of Navy;Jesus Lava;1936;1964;1999;LE;Base Control Doctrine;Medium;M50028;X
50030;Chief of Air Force;Joe Rogers;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M50030;X
50031;Head of State;Elpidio Quirino;1936;1964;1999;SC;Pig-headed Isolationist;High;M50004;X
50032;Head of State;Emilio Aguinaldo;1936;1964;1999;SD;Popular Figurehead;High;M50032;X
50033;Head of State;Juan Sumulong;1941;1964;1999;SD;Barking Buffoon;High;M50033;X
50034;Head of State;Sergio Osmeña;1944;1964;1999;SL;Stern Imperialist;High;M50002;X
50035;Head of State;Manuel Roxas;1945;1964;1999;SL;Resigned Generalissimo;High;M50035;X
50036;Head of Government;Elpidio Quirino;1936;1964;1999;SC;Silent Workhorse;High;M50004;X
50037;Head of Government;Rafel Liwanag;1936;1964;1999;SD;Political Protege;High;M50037;X
50038;Head of Government;Juan Sumulong;1941;1964;1999;SD;Happy Amateur;High;M50033;X
50039;Foreign Minister;Manuel Quezon;1937;1964;1999;SL;The Cloak N Dagger Schemer;High;M50001;X
50040;Foreign Minister;Joaquin Elizalde;1938;1964;1999;SL;Great Compromiser;High;M50040;X
50041;Foreign Minister;Sergio Osmeña;1939;1964;1999;SL;Iron Fisted Brute;Low;M50002;X
50042;Foreign Minister;Manuel Quadrino;1940;1964;1999;SL;Biased Intellectual;Very Low;M50042;X
50043;Foreign Minister;Juan Sumulong;1941;1964;1999;SD;Biased Intellectual;Medium;M50033;X
50044;Foreign Minister;Elpidio Quirino;1936;1964;1999;SC;Ideological Crusader;Medium;M50004;X
50045;Foreign Minister;Ferdinand Marcos;1945;1964;1999;SC;Iron Fisted Brute;Medium;M50013;X
50046;Foreign Minister;Emilio Aguinaldo;1936;1964;1999;SD;Ideological Crusader;Medium;M50032;X
50047;Minister of Armament;Antonio de las Alas;1936;1964;1999;SL;Laissez-Faire Capitalist;Low;M50014;X
50048;Minister of Armament;Rafel Liwanag;1936;1964;1999;SD;Submarine Proponent;Medium;M50037;X
50049;Minister of Armament;Manuel Roxas;1938;1964;1999;SC;Air to Sea Proponent;Medium;M50035;X
50050;Minister of Armament;Manuel Quadrino;1941;1964;1999;SL;Corrupt Kleptocrat;Very Low;M50042;X
50051;Minister of Armament;Serafin Fausto;1941;1964;1999;SC;Administrative Genius;Medium;M50051;X
50052;Minister of Armament;Carlos P. Garcia;1941;1964;1999;SD;Battle Fleet Proponent;Medium;M50052;X
50053;Minister of Armament;José G. David;1942;1964;1999;SC;Resource Industrialist;Medium;M50053;X
50054;Minister of Armament;Ramon Magsaysay;1945;1964;1999;SC;Tank Proponent;Medium;M50054;X
50055;Minister of Armament;Diosdado P. Macapagal;1945;1964;1999;SD;Military Entrepreneur;Medium;M50055;X
50056;Minister of Security;Pardo de Tavera;1936;1964;1999;SD;Prince of Terror;Medium;M50056;X
50057;Minister of Security;Leoncio S. Tan;1938;1964;1999;SL;Back Stabber;High;M50008;X
50058;Minister of Security;Roman Apolinario;1939;1964;1999;SL;Man of the People;Medium;M50058;X
50059;Minister of Security;Tiranó Craveza;1940;1964;1999;SC;Efficient Sociopath;Low;M50059;X
