URO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
84000;Head of State;Riccardo Zanella;1921;1959;1999;LWR;Popular Figurehead;High;MRiccardo_Zanella;X
84001;Foreign Minister;Riccardo Zanella;1921;1959;1999;LWR;Ideological Crusader;High;MRiccardo_Zanella;X
84002;Head of State;Mario Bergamo;1925;1963;1999;SD;Die-hard Reformer;High;MMario_Bergamo;X
84003;Head of Government;Mario Bergamo;1925;1963;1999;SD;Flamboyant Tough Guy;High;MMario_Bergamo;X
84004;Minister of Security;Mario Bergamo;1925;1963;1999;SD;Silent Lawyer;High;MMario_Bergamo;X
84005;Head of State;Giovanni Battista Gianquinto;1945;1970;1999;SD;Benevolent Gentleman;High;MGiovanni_Battista_Gianquinto;X
84006;Head of Government;Giovanni Battista Gianquinto;1945;1970;1999;SD;Pragmatic Statesman;High;MGiovanni_Battista_Gianquinto;X
84007;Minister of Security;Giovanni Battista Gianquinto;1936;1970;1999;SD;Crime Fighter;High;MGiovanni_Battista_Gianquinto;X
84008;Head of State;Umberto Merlin;1936;1964;1999;SL;Insignificant Layman;High;MUmberto_Merlin;X
84009;Head of Government;Umberto Merlin;1936;1964;1999;SL;Happy Amateur;High;MUmberto_Merlin;X
84010;Head of State;Giuseppe Volpi;1921;1948;1999;ML;Autocratic Charmer;High;MGiuseppe_Volpi;X
84011;Head of Government;Giuseppe Volpi;1921;1948;1999;ML;Corporate Suit;High;MGiuseppe_Volpi;X
84012;Minister of Armament;Giuseppe Volpi;1921;1948;1999;ML;Laissez-Faire Capitalist;High;MGiuseppe_Volpi;X
84013;Head of State;Giovanni Favaretto Fisca;1945;1970;1999;ML;Benevolent Gentleman;High;MGiovanni_Favaretto_Fisca;X
84014;Head of Government;Giovanni Favaretto Fisca;1945;1970;1999;ML;Silent Workhorse;High;MGiovanni_Favaretto_Fisca;X
84015;Head of State;Giovanni Ponti;1936;1962;1999;SC;Benevolent Gentleman;High;MGiovanni_Ponti;X
84016;Head of Government;Giovanni Ponti;1936;1962;1999;SC;Silent Workhorse;High;MGiovanni_Ponti;X
84017;Head of State;Giovanni Giuriati;1922;1970;1999;PA;Powerhungry Demagogue;High;MGiovanni_Giuriati;X
84018;Head of Government;Giovanni Giuriati;1922;1970;1999;PA;Flamboyant Tough Guy;High;MGiovanni_Giuriati;X
84019;Foreign Minister;Giovanni Giuriati;1922;1970;1999;PA;Biased Intellectual;High;MGiovanni_Giuriati;X
84020;Head of State;Giovanni Host-Venturi;1934;1970;1999;PA;Stern Imperialist;High;MGiovanni_Host-Venturi;X
84021;Foreign Minister;Giovanni Host-Venturi;1934;1970;1999;PA;Iron Fisted Brute;High;MGiovanni_Host-Venturi;X
84022;Head of Government;Guido Giacometti;1921;1969;1999;SD;Happy Amateur;High;MGuido_Giacometti;X
84023;Foreign Minister;Guido Giacometti;1921;1969;1999;SD;Biased Intellectual;High;MGuido_Giacometti;X
