PER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
53202;Chief of Staff;Mohammad Taqi-Khan Pessian;1936;1964;1999;PA;School of Manoeuvre;Very High;PERPess;X
53204;Chief of Army;Reza Pahlavi;1936;1945;1999;PA;Guns and Butter Doctrine;Very High;M53001;X
53203;Foreign Minister;Mohammad Khiabani;1936;1970;1999;SD;Ideological Crusader;Very High;PERKhi;X
53001;Head of State;Reza Pahlavi;1936;1964;1999;PA;Resigned Generalissimo;High;M53001;X
53002;Head of Government;Mahmud Djam;1936;1969;1999;PA;Silent Workhorse;High;M53002;X
53003;Foreign Minister;Hassan Taqizadeh;1936;1964;1999;SC;Great Compromiser;Very High;PERTaq;X
53004;Minister of Armament;Mohammad-Taqi Bahar;1936;1964;1999;SC;Laissez-Faire Capitalist;Very High;PERBar;X
53005;Minister of Security;Seyyed Hassan Modarres;1936;1964;1999;SC;Man of the People;Very High;PERHas;X
53006;Head of Military Intelligence;Reza Mizani;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M53006;X
53007;Chief of Staff;Reza Pahlavi;1936;1945;1999;PA;School of Mass Combat;Medium;M53001;X
53008;Chief of Army;Mahmoud Afshartous;1942;1970;1999;SD;Decisive Battle Doctrine;Medium;LMahmoud_Afshartous;X
53009;Chief of Navy;Abdollah Zelli;1943;1970;1999;ML;Decisive Naval Battle Doctrine;High;LAbdollah_Zelli;X
53010;Chief of Air Force;Ahmad Khan Nakhjavan;1936;1964;1999;PA;Aviation Organizer;High;PERNak;X
53031;Head of State;Mohammed Reza Pahlavi;1941;1964;1999;SC;Benevolent Gentleman;High;M53011;X
53032;Head of State;Mohammed Reza Pahlavi;1941;1964;1999;PA;Autocratic Charmer;High;M53011;X
53033;Head of Government;Ahmad Matin-Daftary;1939;1964;1999;FA;Naive Optimist;High;M53033;X
53034;Head of Government;Ali Khan Mansour;1940;1964;1999;PA;Old General;High;M53034;X
53035;Head of Government;Mohammad-Ali Foroughi;1941;1964;1999;ML;Political Protege;Very High;PERFor;X
53036;Head of Government;Ali Zohayli;1943;1964;1999;SL;Smiling Oilman;High;M53036;X
53037;Head of Government;Ahmeed Qawan as Saltana;1942;1964;1999;SC;Happy Amateur;High;M53037;X
53038;Head of Government;Mohammed Said Maraghei;1920;1964;1999;PA;Silent Workhorse;High;M53038;X
53039;Head of Government;Sayed Morteza Khan Bayat;1944;1964;1999;SL;Flamboyant Tough Guy;High;M53039;X
53040;Head of Government;Ibrahim Hakimi al Mulk;1945;1964;1999;PA;Backroom Backstabber;High;M53040;X
53041;Head of Government;Muhsin Sadr al Araf;1945;1964;1999;SC;Corporate Suit;High;M53041;X
53042;Foreign Minister;Mustafa Adil;1937;1964;1999;PA;Biased Intellectual;Medium;M53042;X
53043;Foreign Minister;Miria Muhsin Khan;1938;1964;1999;PA;Ideological Crusader;Medium;M53043;X
53044;Foreign Minister;Ali Zohayli;1939;1964;1999;PA;Iron Fisted Brute;Low;M53036;X
53045;Foreign Minister;Muzzafar Alam;1939;1964;1999;PA;Apologetic Clerk;Medium;M53045;X
53046;Foreign Minister;Ibrahim Alam;1940;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M53046;X
53047;Foreign Minister;Amari Jawad;1940;1964;1999;FA;Biased Intellectual;Medium;M53047;X
53048;Foreign Minister;Ali Zohayli;1941;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M53036;X
53049;Foreign Minister;Mohammed Said Maraghei;1942;1964;1999;SC;Great Compromiser;High;M53038;X
53051;Foreign Minister;Nusrullah Intizam;1944;1964;1999;SL;Biased Intellectual;Medium;M53051;X
53052;Foreign Minister;Anushirvan Sepahbody;1945;1964;1999;PA;Apologetic Clerk;Medium;M53052;X
53053;Foreign Minister;Abul Qasim Najm;1945;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M53053;X
53054;Foreign Minister;Ahmeed Qawan as Saltana;1946;1964;1999;SC;Ideological Crusader;High;M53037;X
53055;Foreign Minister;Mohammed Mosaddegh;1938;1964;1999;SL;Great Compromiser;Very High;PERMos;X
53056;Minister of Armament;Hassan Taqizadeh;1936;1964;1999;SC;Bank President;Medium;PERTaq;X
53057;Foreign Minister;Mirza Riza Arfa Dowleh;1936;1940;1999;PA;Great Compromiser;Medium;M53057;X
53058;Minister of Armament;Alfred Rudolph Zimmermann;1936;1938;1999;SC;Laissez-Faire Capitalist;Medium;M53014;X
53059;Minister of Armament;Ahmad Khan Nakhjavan;1936;1964;1999;PA;Air to Ground Proponent;High;M53004;X
53060;Minister of Armament;Ahmad Mira Khosravani;1939;1964;1999;PA;Air Superiority Proponent;High;M53009;X
53061;Minister of Armament;Abdolreza Afkhami;1939;1964;1999;FA;Infantry Proponent;Medium;M53008;X
53062;Minister of Armament;Mohammad Sadegh Kopal;1936;1956;1999;FA;Military Entrepreneur;Medium;M53106;X
53063;Minister of Security;Morteza Yazdi;1940;1970;1999;LWR;Health and Safety;Medium;M53024;X
53064;Minister of Armament;Sayyid al-Din Tabataba'i;1941;1969;1999;SC;Corrupt Kleptocrat;Medium;M53012;X
53065;Foreign Minister;Zoka Dowleh;1936;1945;1999;SC;Ideological Crusader;Medium;M53065;X
53066;Minister of Security;Abbas Adham;1936;1969;1999;SC;Health and Safety;Medium;MAbbas_Adham;X
53067;Minister of Security;Zoka Dowleh;1936;1945;1999;SC;Compassionate Gentleman;Medium;M53065;X
53068;Minister of Armament;Ja'fer Pishevari;1945;1964;1999;LWR;Planned Economy Proponent;Medium;M53023;X
53069;Minister of Armament;Anushirvan Sepahbody;1946;1964;1999;SC;Administrative Genius;Medium;M53052;X
53071;Minister of Security;Mirza Riza Arfa Dowleh;1936;1940;1999;PA;Back Stabber;Medium;M53057;X
53072;Minister of Security;Ali Mansour;1938;1964;1999;PA;Man of the People;Medium;M53034;X
53073;Minister of Security;Hussein Khan Ala;1939;1964;1999;FA;Silent Lawyer;Medium;M53073;X
53074;Minister of Security;Mohammed Bahrami;1941;1964;1999;SC;Compassionate Gentleman;Medium;M53026;X
53076;Minister of Security;Edward G.V.S. Derby;1936;1948;1999;SC;Efficient Sociopath;Medium;M53076;X
53077;Minister of Security;Mehdi Manjarani;1945;1964;1999;PA;Prince of Terror;Medium;M53077;X
53078;Minister of Security;Abolhassan Hakimi;1945;1964;1999;SC;Back Stabber;Medium;M53078;X
53079;Minister of Security;Hossein Arfazni;1946;1964;1999;SC;Silent Lawyer;Medium;M53079;X
53080;Head of Military Intelligence;Muhammed Reza Pahlavi;1937;1964;1999;PA;Political Specialist;Medium;M53011;X
53081;Minister of Security;Dinshah Irani;1936;1939;1999;SC;Silent Lawyer;Medium;M53021;X
53082;Head of Military Intelligence;Alfred Rudolph Zimmermann;1936;1938;1999;FA;Industrial Specialist;Medium;M53014;X
53083;Head of Military Intelligence;Ahmad Matin-Daftary;1941;1964;1999;FA;Naval Intelligence Specialist;Medium;M53033;X
53084;Head of Military Intelligence;Ali Sepahbodi Qajar;1941;1964;1999;SC;Dismal Enigma;Medium;M53084;X
53085;Head of Military Intelligence;Sir Neville Grantleigh;1941;1964;1999;SL;Industrial Specialist;Medium;M53085;X
53086;Head of Military Intelligence;Abdol Hossein Sardarie;1945;1964;1999;PA;Dismal Enigma;Medium;M53086;X
53087;Head of Military Intelligence;Abdollah Entezam;1945;1970;1999;SC;Technical Specialist;Medium;M53087;X
53088;Head of Military Intelligence;Ovassaq al-Doleh Noorie;1945;1964;1999;SC;Naval Intelligence Specialist;Medium;M53088;X
53089;Head of Military Intelligence;Mohammed Mosaddegh;1937;1964;1999;SL;Logistics Specialist;Very High;PERMos;X
53090;Chief of Staff;Mohammad Taghi Riahi;1952;1970;1999;LWR;School of Defence;High;LMohammad_Taghi_Riahi;X
53091;Chief of Staff;Abdul Majid Firouz;1939;1959;1999;FA;School of Defence;Medium;M53028;X
53092;Chief of Staff;Fereydoun Djam;1952;1970;1999;SL;School of Manoeuvre;High;LFereydoun_Djam;X
53093;Chief of Staff;Hossein Manouchehri;1947;1970;1999;NS;School of Mass Combat;High;LHossein_Manouchehri;X
53094;Chief of Staff;Mohammed Reza Pahlavi;1945;1964;1999;PA;School of Defence;Medium;M53011;X
53095;Chief of Staff;Abdullah Hedayat;1953;1968;1999;SC;School of Fire Support;Medium;LAbdullah_Hedayat;X
53096;Chief of Army;Ahmad Amir-Ahmadi;1936;1964;1999;FA;Counter-Insurgency Doctrine;Medium;LAhmad_Amir-Ahmadi;X
53097;Chief of Army;Abdul Majid Firouz;1939;1959;1999;FA;Static Defence Doctrine;Medium;M53028;X
53098;Chief of Army;Haj Ali Razmara;1942;1970;1999;PA;Elastic Defence Doctrine;Medium;LHaj_Ali_Razmara;X
53099;Chief of Army;Fereydoun Djam;1952;1970;1999;SL;Guns and Butter Doctrine;Medium;LFereydoun_Djam;X
53100;Chief of Army;Hossein Jahanbani;1953;1970;1999;ML;Armoured Spearhead Doctrine;Medium;LHossein_Jahanbani;X
53101;Chief of Navy;Nakhoda Abbas;1936;1954;1999;SC;Merchant Navy Focus;Medium;LAbbas_the_Sailor;X
53102;Chief of Navy;Mahmoud Etemadzadeh;1941;1970;1999;LWR;Open Seas Doctrine;Medium;LMahmoud_Etemadzadeh;X
53103;Chief of Navy;Gholam Ali Bayandor;1936;1964;1999;PA;Open Seas Doctrine;Medium;LGholamali_Bayandor;X
53104;Chief of Navy;Nasrollah Naghdi;1941;1970;1999;PA;Coastal Defence Doctrine;Medium;LNasrollah_Naghdi;X
53105;Chief of Navy;Gholam-Hossein Bayandor;1945;1970;1999;ML;Indirect Approach Doctrine;Medium;LGholam-Hossein_Bayandor;X
53106;Chief of Air Force;Mohammad Sadegh Kopal;1936;1956;1999;FA;Army Aviation Doctrine;High;M53106;X
53107;Chief of Air Force;Mohammed Nakhjavani;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M53062;X
