UCS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
99000;Head of State;Zhang Guotao;1936;1970;1999;ST;Totalist President;High;M51012;X
99001;Head of Government;Zhang Guotao;1936;1970;1999;ST;Totalist Chairman;High;M51012;X
99002;Head of State;Li Xiannian;1954;1970;1999;ST;Totalist President;High;L76322;X
99003;Head of Government;Li Xiannian;1954;1970;1999;ST;Totalist Chairman;High;L76322;X
99004;Minister of Armament;Li Xiannian;1949;1970;1999;ST;Planned Economy Proponent;High;L76322b;X
99005;Head of Military Intelligence;Li Xiannian;1949;1970;1999;ST;Industrial Specialist;High;L76322b;X
99006;Head of State;Zeng Zhongsheng;1936;1970;1999;LE;Die-hard Reformer;High;LZeng_Zhongsheng;X
99007;Chief of Army;Zeng Zhongsheng;1936;1970;1999;LE;Guerilla Warfare Doctrine;High;LZeng_Zhongsheng;X
99008;Head of State;Wu Yuzhang;1936;1966;1999;LWR;Popular Figurehead;High;MWu_Yuzhang;X
99009;Minister of Armament;Wu Yuzhang;1936;1966;1999;LWR;Theoretical Scientist;High;MWu_Yuzhang;X
99010;Head of State;Ren Baige;1952;1970;1999;LWR;Benevolent Gentleman;High;MRen_Baige;X
99011;Minister of Security;Ren Baige;1942;1970;1999;LWR;Media Magnate;High;MRen_Baige;X
99012;Head of State;Yang Shangkun;1956;1970;1999;LWR;Ruthless Powermonger;High;L76349;X
99013;Head of Government;Yang Shangkun;1945;1970;1999;LWR;Pragmatic Statesman;High;L76349;X
99014;Head of State;Zhang Lan;1936;1955;1999;SD;Popular Figurehead;High;MZhang_Lan;X
99015;Head of State;Yang Bokai;1944;1969;1999;SD;Die-hard Reformer;High;MYang_Bokai;X
99016;Minister of Security;Yang Bokai;1936;1969;1999;SD;Media Magnate;High;MYang_Bokai;X
99017;Head of State;Liu Xiang;1934;1939;1999;SC;Die-hard Reformer;High;Liu Xiang;X
99018;Head of Government;Liu Xiang;1934;1939;1999;SC;Reformist Soldierhog;High;Liu Xiang;X
99019;Chief of Army;Liu Xiang;1921;1939;1999;SC;Elastic Defence Doctrine;High;Liu Xiang;X
99020;Head of State;Zeng Qi;1936;1951;1999;SC;Stern Imperialist;High;CHIZeng;X
99021;Head of Government;Zeng Qi;1936;1951;1999;SC;Backroom Backstabber;High;CHIZeng;X
99022;Foreign Minister;Zeng Qi;1936;1951;1999;SC;The Cloak N Dagger Schemer;High;CHIZeng;X
99023;Head of State;Pan Wenhua;1936;1951;1999;SC;Resigned Generalissimo;High;L50248;X
99024;Minister of Security;Pan Wenhua;1929;1951;1999;SC;Compassionate Gentleman;High;L50248;X
99025;Chief of Staff;Pan Wenhua;1931;1951;1999;SC;School of Manoeuvre;High;L50248;X
99026;Head of State;Xiong Kewu;1920;1970;1999;SC;Benevolent Gentleman;High;MXiong_Kewu;X
99027;Minister of Security;Xiong Kewu;1920;1970;1999;SC;Man of the People;High;MXiong_Kewu;X
99028;Head of Military Intelligence;Xiong Kewu;1936;1970;1999;SC;Political Specialist;High;MXiong_Kewu;X
99029;Head of State;Li Huang;1936;1970;1999;SC;Weary Stiffneck;High;Li Huang;X
99030;Head of Government;Li Huang;1936;1970;1999;SC;Backroom Backstabber;High;Li Huang;X
