ROM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
22001;Head of State;Corneliu Codreanu;1936;1964;1999;NS;Stern Imperialist;High;M22053;x
22002;Head of Government;Alexander Cuza;1936;1964;1999;FA;Backroom Backstabber;Medium;kai_accza;x
22003;Foreign Minister;Ion Antonescu;1936;1964;1999;NS;General Staffer;Medium;M22012;x
22004;Minister of Armament;Constantin Papanace;1936;1964;1999;NS;Administrative Genius;Low;M22014;x
22005;Minister of Security;Cesare Vaida-Voievod;1936;1964;1999;PA;Crime Fighter;Medium;M22100;x
22006;Head of Military Intelligence;Petre Antonescu;1936;1964;1999;FA;Dismal Enigma;Very High;M22119;x
22007;Chief of Staff;Ion Antonescu;1936;1964;1999;NS;School of Mass Combat;High;M22007;x
22008;Chief of Army;Marin Ceausu;1936;1964;1999;SC;Static Defence Doctrine;Low;M22008;x
22009;Chief of Navy;Horia Macellariu;1936;1964;1999;PA;Indirect Approach Doctrine;High;M22019;x
22010;Chief of Air Force;Dante Vizante;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M22010;x
;Replacements;;;;;;;;;x
22031;Head of State;Victor Antonescu;1936;1964;1999;NS;Resigned Generalissimo;Very High;M22007;x
22032;Head of State;Horia Sima;1939;1964;1999;NS;Benevolent Gentleman;High;kaiserreich_horiasima;x
22033;Head of Government;Miron Cristea;1938;1964;1999;PA;Ambitious Union Boss;High;M22042;x
22034;Head of Government;Ion Antonescu;1939;1964;1999;NS;Old General;High;M22007;x
22037;Head of Government;Corneliu Codreanu;1936;1964;1999;NS;Flamboyant Tough Guy;High;M22053;x
22038;Foreign Minister;Victor Antonescu;1936;1964;1999;NS;General Staffer;Medium;M22007;x
22039;Foreign Minister;Nicolae Petrescu-Comnen;1938;1964;1999;PA;Apologetic Clerk;Medium;M22070;x
22040;Foreign Minister;Ion Gigurtu;1940;1964;1999;SC;Ideological Crusader;Medium;M22047;x
22041;Foreign Minister;Mihail Sturdza;1936;1964;1999;FA;Ideological Crusader;Medium;M22013;x
22042;Foreign Minister;Victor Antonescu;1936;1964;1999;PA;General Staffer;Medium;;x
22043;Foreign Minister;Mihai Antonescu;1940;1964;1999;FA;The Cloak N Dagger Schemer;Low;M22077;x
22044;Foreign Minister;Grigore Niculescu-Buzesti;1944;1964;1999;PA;Apologetic Clerk;Medium;M22078;x
22045;Foreign Minister;Constantin Visoianu;1944;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M22079;x
22046;Foreign Minister;Corneliu Codreanu;1937;1964;1999;NS;Ideological Crusader;Low;M22053;x
22047;Minister of Armament;Gheorghe Potopeanu;1936;1964;1999;FA;Military Entrepreneur;High;M22093;x
22048;Minister of Armament;Gheorghe Dobre;1936;1964;1999;FA;Infantry Proponent;High;M22094;x
22049;Minister of Armament;Nicolae Stoenescu;1944;1964;1999;PA;Tank Proponent;Medium;M22095;x
22050;Minister of Armament;Mihail Racovita;1940;1964;1999;SC;Infantry Proponent;High;M22096;x
22051;Minister of Security;David Popescu;1936;1964;1999;FA;Prince of Terror;Medium;M22106;x
22052;Minister of Security;Ion Boiteanu;1936;1964;1999;PA;Man of the People;Medium;M22107;x
22053;Minister of Security;Aurel Aldea;1945;1964;1999;SC;Back Stabber;Medium;M22109;x
22054;Minister of Security;Horia Sima;1940;1964;1999;NS;Efficient Sociopath;High;kaiserreich_horiasima;x
22055;Minister of Security;Ion Petrovicescu;1943;1964;1999;NS;Efficient Sociopath;Low;M22015;x
22056;Head of Military Intelligence;Nicolae Stoenescu;1936;1964;1999;PA;Political Specialist;Medium;M22095;x
22057;Head of Military Intelligence;Gheorghe Savoia;1939;1964;1999;SC;Logistics Specialist;Low;M22117;x
22058;Head of Military Intelligence;Iosif Iacobici;1936;1964;1999;FA;Logistics Specialist;Very High;M22118;x
22059;Head of Military Intelligence;Eugen Cristescu;1936;1964;1999;NS;Dismal Enigma;Very High;M22016;x
22060;Chief of Staff;Mihail Racovita;1937;1964;1999;SC;School of Manoeuvre;High;M22096;x
22061;Chief of Staff;Florea Tenescu;1938;1964;1999;PA;School of Defence;Low;M22124;x
22062;Chief of Staff;Constantin Pantazi;1939;1964;1999;SC;School of Defence;High;M22126;x
22063;Chief of Staff;Radu Korne;1936;1964;1999;FA;School of Manoeuvre;High;M22128;x
22064;Chief of Staff;Platon Chirnoaga;1936;1964;1999;NS;School of Psychology;High;M22132;x
22065;Chief of Staff;Gheorghe Argeseanu;1940;1964;1999;NS;School of Fire Support;Medium;M22133;x
22066;Chief of Staff;Ion Antonescu;1943;1964;1999;NS;School of Psychology;High;M22012;x
22067;Chief of Army;Gheorghe Mihail;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M22136;x
22068;Chief of Army;Ilie Steflea;1940;1964;1999;FA;Guns and Butter Doctrine;High;M22139;x
22069;Chief of Army;Alexandru Ioanitiu;1937;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M22018;x
22070;Chief of Navy;Ioan Georgescu;1936;1964;1999;FA;Indirect Approach Doctrine;Medium;M22150;x
22071;Chief of Navy;Nicolae Sova;1942;1964;1999;PA;Base Control Doctrine;High;M22151;x
22072;Chief of Air Force;Emil Gheorghiu;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M22158;x
22073;Chief of Air Force;Paul Teodorescu;1943;1964;1999;PA;Carpet Bombing Doctrine;Medium;M22159;x
22074;Head of Government;Horia Sima;1936;1964;1999;NS;Flamboyant Tough Guy;High;kaiserreich_horiasima;x
