UPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
97000;Head of State;Walter Liebenthal;1936;1970;1999;SL;Insignificant Layman;High;MWalter_Liebenthal;X
97001;Head of Government;Walter Liebenthal;1936;1970;1999;SL;Happy Amateur;High;MWalter_Liebenthal;X
97002;Head of State;Fritz Lindemann;1945;1969;1999;ML;Reformist Soldierhos;High;LFritz_Lindemann;X
97003;Head of Government;Fritz Lindemann;1945;1969;1999;ML;Reformist Soldierhog;High;LFritz_Lindemann;X
97004;Chief of Staff;Fritz Lindemann;1936;1969;1999;ML;School of Fire Support;High;LFritz_Lindemann;X
97005;Chief of Army;Fritz Lindemann;1936;1969;1999;ML;Innovative Artillery Officer;High;LFritz_Lindemann;X
97006;Head of State;Berthold Schenk von Stauffenberg;1950;1970;1999;SC;Benevolent Gentleman;High;MBerthold_Schenk_vonStauffenberg;X
97007;Foreign Minister;Berthold Schenk von Stauffenberg;1950;1970;1999;SC;Great Compromiser;High;MBerthold_Schenk_vonStauffenberg;X
97008;Minister of Security;Berthold Schenk von Stauffenberg;1950;1970;1999;SC;Silent Lawyer;High;MBerthold_Schenk_vonStauffenberg;X
97009;Head of State;Wolfgang Wegener;1930;1957;1999;PA;Stern Imperialist;High;LWolfgang_Wegener;X
97010;Chief of Navy;Wolfgang Wegener;1930;1957;1999;PA;Decisive Naval Battle Doctrine;High;LWolfgang_Wegener;X
97011;Head of State;Gottfried Treviranus;1936;1970;1999;PA;Ruthless Powermonger;High;MGottfried_Treviranus;X
97012;Head of Government;Gottfried Treviranus;1936;1970;1999;PA;Backroom Backstabber;High;MGottfried_Treviranus;X
97013;Foreign Minister;Gottfried Treviranus;1936;1970;1999;PA;The Cloak N Dagger Schemer;High;MGottfried_Treviranus;X
97014;Minister of Armament;Gottfried Treviranus;1936;1970;1999;PA;Balanced Budget Economy;High;MGottfried_Treviranus;X
97015;Head of Government;Tan Kah Kee;1920;1962;1999;SL;Silent Workhorse;High;CHITan;X
97016;Foreign Minister;Tan Kah Kee;1920;1962;1999;SL;Ideological Crusader;High;CHITan;X
