CAM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
534001;Head of State;Jules Repiquet;1936;1964;1999;SL;Popular Figurehead;High;M534001;x
534002;Head of Government;Emmanuel Endeley;1936;1964;1999;SL;Political Protege;High;M534002;x
534003;Foreign Minister;Richard Brunot;1936;1964;1999;SL;Great Compromiser;High;M534003;x
534004;Minister of Armament;Pierre Charles Cournaire;1936;1964;1999;SL;Corrupt Kleptocrat;Medium;M534004;x
534005;Minister of Security;Hubert E.P. Carras;1936;1964;1999;SL;Back Stabber;Medium;M534005;x
534006;Head of Military Intelligence;Henri Pierre Nicolas;1936;1964;1999;SL;Political Specialist;Medium;M534006;x
534007;Chief of Staff;Francois Priaux;1936;1964;1999;SL;School of Psychology;Medium;M534007;x
534008;Chief of Army;Pierre Ravel-Ecourd;1936;1964;1999;SL;Decisive Battle Doctrine;Medium;M534008;x
534009;Chief of Navy;Robert Delavignette;1936;1964;1999;SL;Indirect Approach Doctrine;Medium;M534009;x
534010;Chief of Air Force;Pierre Boisson;1936;1964;1999;SL;Naval Aviation Doctrine;Medium;M534010;x
534011;Head of State;Pierre Boisson;1937;1964;1999;SL;Powerhungry Demagogue;High;M534010;x
534012;Head of State;Richard Brunot;1938;1964;1999;SL;Benevolent Gentleman;High;M534003;x
534013;Head of State;Pierre Charles Cournaire;1940;1964;1999;SL;Insignificant Layman;High;M534004;x
534014;Head of State;Hubert E.P. Carras;1943;1964;1999;SL;Weary Stiffneck;High;M534005;x
534015;Head of State;Henri Pierre Nicolas;1944;1964;1999;SL;Barking Buffoon;High;M534006;x
534016;Head of State;Robert Delavignette;1946;1964;1999;SL;Die-hard Reformer;High;M534009;x
534017;Head of State;René Hoffherr;1947;1964;1999;SL;Pig-headed Isolationist;High;M534017;x
534018;Head of State;Ahmadou Ahidjo;1936;1964;1999;SC;Stern Imperialist;High;M534018;x
534019;Head of Government;Andre Marie Mbida;1936;1964;1999;SC;Flamboyant Tough Guy;High;M534019;x
534020;Foreign Minister;André Gerberon;1942;1964;1999;SL;Apologetic Clerk;High;M534020;x
534021;Foreign Minister;John Ngu Foncha;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M534021;x
534022;Minister of Armament;Antoine Bissagnet;1942;1964;1999;SL;Military Entrepreneur;Medium;M534022;x
534023;Minister of Armament;Vincent de Paul Ahanda;1936;1964;1999;SC;Administrative Genius;Medium;M534023;x
534024;Minister of Security;Eugene Chavant;1940;1964;1999;SL;Man of the People;Medium;M534024;x
534025;Minister of Security;Georges Bonnet;1936;1964;1999;SC;Compassionate Gentleman;Medium;M534025;x
534026;Head of Military Intelligence;René Hoffherr;1942;1964;1999;SL;Logistics Specialist;Medium;M534017;x
534027;Head of Military Intelligence;Charles Assale;1936;1964;1999;SC;Industrial Specialist;Medium;M534027;x
534028;Chief of Staff;Alpheé Maziéras;1942;1964;1999;SL;School of Defence;Medium;M534028;x
534029;Chief of Staff;Valentin Abeille;1936;1964;1999;SC;School of Mass Combat;Medium;M534029;x
534030;Chief of Army;Georges Hugo;1942;1964;1999;SL;Guns and Butter Doctrine;Medium;M534030;x
534031;Chief of Army;Valentin Abeille;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M534029;x
534032;Chief of Navy;Jean Cédile;1939;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M534032;x
534033;Chief of Navy;Charles Assale;1936;1964;1999;SC;Power Projection Doctrine;Medium;M534027;x
534034;Chief of Air Force;Roger Motte;1941;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M534034;x
534035;Chief of Air Force;Louis Ferrant;1936;1964;1999;SC;Army Aviation Doctrine;Medium;M534035;x
534036;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
534037;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
