MTN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
544001;Head of Government;Sekula Drljevic;1936;1964;1999;PA;Naive Optimist;High;MTN-KR_Sekula_Drljevic;X
544002;Head of Government;Mitar Martinovic;1936;1964;1999;PA;Old General;High;M544009;X
544003;Foreign Minister;Sekula Drljevic;1936;1964;1999;PA;Ideological Crusader;High;MTN-KR_Sekula_Drljevic;X
544004;Minister of Armament;Risto Popovic;1936;1964;1999;PA;Military Entrepreneur;High;MTN-KR_Risto_Popovic;X
544005;Minister of Security;Mihailo Ivanovic;1936;1964;1999;PA;Silent Lawyer;High;MTN-KR_Mihajlo_Ivanovic;X
544006;Head of Military Intelligence;Savo Raspopovic;1936;1964;1999;PA;Logistics Specialist;High;MTN-KR_Savo_raspopovic;X
544007;Chief of Staff;Krsto Popovic;1936;1964;1999;PA;School of Defence;High;MTN-KR_Krsto_Zrnov_Popovic;X
544008;Chief of Army;Mitar Martinovic;1936;1964;1999;PA;Static Defence Doctrine;High;M544009;X
544009;Chief of Navy;Mitar Martinovic;1936;1964;1999;PA;Base Control Doctrine;High;M544009;X
544010;Chief of Air Force;Mirko Lalatovic;1936;1964;1999;PA;Air Superiority Doctrine;High;MTN-KR_Mirko_Lalatovic;X
544011;Head of State;Nj.K.V. Danilo I Petrovic-Njegos;1936;1964;1999;SC;Popular Figurehead;High;M544011;X
544012;Head of State;Ivan Milutinovic;1936;1964;1999;LE;Die-hard Reformer;High;MTN-KR_Ivan_Milutinovic;X
544013;Head of Government;Jovan Plamenac;1936;1964;1999;PA;Backroom Backstabber;High;MTN-KR_jovan_plamenac;X
544014;Head of Government;Blazo Jovanovic;1936;1964;1999;LE;Ambitious Union Boss;High;MTN-KR_Jovanovic_Blazo;X
544015;Head of Government;Andrija Radovic;1936;1964;1999;SC;Silent Workhorse;High;MTN-KR_Andrija_Radovic;X
544016;Foreign Minister;Andrija Radovic;1936;1964;1999;SC;Apologetic Clerk;High;MTN-KR_Andrija_Radovic;X
544017;Foreign Minister;Milovan Djilas;1936;1964;1999;LE;Ideological Crusader;High;MTN_KR-Milovan_Djilas;X
544018;Minister of Armament;Lazar Mijuskovic;1936;1964;1999;PA;Resource Industrialist;High;MTN-KR_Lazar_Mijuskovic;X
544019;Minister of Armament;Mirko Mijuskovic;1936;1964;1999;SC;Resource Industrialist;High;MTN-KR_Mirko_Mijuskovic;X
544020;Minister of Armament;Jefto Scepanovic;1936;1964;1999;LE;Resource Industrialist;High;MTN-KR_Jefto_Scepanovic_Cajo;X
544021;Minister of Security;Krsto Popovic;1936;1964;1999;PA;Crime Fighter;High;MTN-KR_Krsto_Zrnov_Popovic;X
544022;Minister of Security;Savo Vuletic;1936;1964;1999;SC;Silent Lawyer;High;MTN-KR_Savo_Vuletic;X
544023;Minister of Security;Jovo Kapicic;1945;1964;1999;LE;Efficient Sociopath;High;MTN-KR_Kapicic_Jovo;X
544024;Head of Military Intelligence;Mirko Lalatovic;1936;1964;1999;PA;Technical Specialist;High;MTN-KR_Mirko_Lalatovic;X
544025;Head of Military Intelligence;Svetozar Vukmanovic;1936;1964;1999;LE;Political Specialist;High;MTN-KR_Svetozar_Vukmanovic;X
544026;Chief of Staff;Pavle Djurisic;1936;1964;1999;PA;School of Mass Combat;High;MTN-KR_Pavle_Djurisic;X
544027;Chief of Staff;Peko Dapcevic;1936;1964;1999;LE;School of Mass Combat;High;MTN-KR_peko_dapcevic;X
544028;Chief of Army;Milo Matanovic;1936;1964;1999;PA;Guns and Butter Doctrine;High;MTN-KR_Milo_Matanovic;X
